[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ondansetron.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Ondansetron.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Ondansetron.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Ondansetron is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Ondansetron can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Ondansetron.]
[J01FA09, clarithromycin, The metabolism of Ondansetron can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Ondansetron.]
[N05BA09, clobazam, The metabolism of Ondansetron can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Ondansetron can be increased when combined with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Cloxazolam.]
[C09CA06, candesartan, The metabolism of Ondansetron can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Ondansetron can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Ondansetron can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The serum concentration of Ondansetron can be decreased when it is combined with Alpelisib.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Ondansetron.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ondansetron.]
[L01EJ02, fedratinib, The metabolism of Ondansetron can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Ondansetron can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Ondansetron.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Ondansetron.]
[G04BE04, yohimbine, The therapeutic efficacy of Ondansetron can be increased when used in combination with Yohimbine.]
[A10AE03, insulin, regular, pork, The metabolism of Ondansetron can be increased when combined with Insulin pork.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Ondansetron.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Ondansetron.]
[G03AC09, desogestrel, The metabolism of Ondansetron can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Ondansetron.]
[N03AX25, cenobamate, The serum concentration of Ondansetron can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Ondansetron can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Ondansetron.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Ondansetron can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Ondansetron is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Ondansetron can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Ondansetron can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Ondansetron can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Ondansetron can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Ondansetron is combined with Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Ondansetron.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Ondansetron.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Ondansetron is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ondansetron.]
[M01AH02, rofecoxib, The metabolism of Ondansetron can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Ondansetron can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Ondansetron can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Ondansetron can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Valpromide.]
[S03AA08, chloramphenicol, The metabolism of Ondansetron can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Ondansetron.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Ondansetron.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Ondansetron.]
[A03AA08, dihexyverine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The metabolism of Ondansetron can be decreased when combined with Capmatinib.]
[D07XB03, fluprednidene, The metabolism of Ondansetron can be increased when combined with Fluprednidene.]
[G04BD09, trospium, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Ondansetron is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Ondansetron.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Ondansetron.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Ondansetron.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Ondansetron.]
[P01BB01, proguanil, The metabolism of Ondansetron can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Ondansetron is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Ondansetron can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Ondansetron is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Ondansetron can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Ondansetron can be decreased when combined with Pralsetinib.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Ondansetron can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Ondansetron can be decreased when combined with Chlorpropamide.]
[N05AF03, chlorprothixene, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Ondansetron.]
[A11CC05, cholecalciferol, The metabolism of Ondansetron can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ondansetron is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The metabolism of Ondansetron can be decreased when combined with Etodolac.]
[B06AC06, berotralstat, The metabolism of Ondansetron can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Ondansetron can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Ondansetron.]
[P03AX07, abametapir, The serum concentration of Ondansetron can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Ondansetron can be decreased when combined with Tepotinib.]
[V03AF12, trilaciclib, The metabolism of Ondansetron can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Ondansetron is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Ondansetron is combined with Felbamate.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Ondansetron.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Ondansetron.]
[J01MB07, flumequine, The metabolism of Ondansetron can be decreased when combined with Flumequine.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ondansetron.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Ondansetron.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Ondansetron is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Ondansetron can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Ondansetron can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Ondansetron is combined with Gabapentin.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Cinnarizine is combined with Ondansetron.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Ondansetron.]
[L01XX73, sotorasib, The serum concentration of Ondansetron can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Ondansetron can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Ondansetron can be increased when combined with Somapacitan.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Ondansetron is combined with Fexinidazole.]
[H01AC09, lonapegsomatropin, The metabolism of Ondansetron can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Clemastine.]
[A10BB12, glimepiride, The metabolism of Ondansetron can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Ondansetron.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Ondansetron.]
[N06AX25, St. John's wort extract, The metabolism of Ondansetron can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Ondansetron can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Ondansetron.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Ondansetron.]
[J04BA01, clofazimine, The metabolism of Ondansetron can be decreased when combined with Clofazimine.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The metabolism of Ondansetron can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Ondansetron.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Ondansetron.]
[C01EB24, mavacamten, The serum concentration of Ondansetron can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Ondansetron.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Clotiazepam.]
[S01AA13, fusidic acid, The metabolism of Ondansetron can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Ondansetron.]
[N07XX04, sodium oxybate, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The metabolism of Ondansetron can be decreased when combined with Mefenamic acid.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Ondansetron.]
[N05AH02, clozapine, The metabolism of Ondansetron can be decreased when combined with Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Ondansetron.]
[H01AC08, somatrogon, The metabolism of Ondansetron can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Cocaine.]
[C02KB01, metyrosine, Ondansetron may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Ondansetron can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Ondansetron.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Ondansetron is combined with Hexafluronium.]
[A03AB10, hexocyclium, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Ondansetron can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Ondansetron is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Ondansetron is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Ondansetron can be decreased when combined with Nateglinide.]
[J01FA15, telithromycin, The metabolism of Ondansetron can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Ondansetron.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Desloratadine.]
[M01AH03, valdecoxib, The metabolism of Ondansetron can be decreased when combined with Valdecoxib.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Ondansetron is combined with Almotriptan.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Ondansetron.]
[J02AC02, itraconazole, The metabolism of Ondansetron can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Ondansetron can be decreased when combined with Acyclovir.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Emedastine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Ondansetron can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Ondansetron can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Ondansetron.]
[N03AX09, lamotrigine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Ondansetron.]
[S01BA03, cortisone, The metabolism of Ondansetron can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Ondansetron can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Lomefloxacin.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Lormetazepam.]
[C08CA11, manidipine, The metabolism of Ondansetron can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Medifoxamine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Ondansetron.]
[H02AB15, meprednisone, The metabolism of Ondansetron can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Ondansetron.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Adenosine is combined with Ondansetron.]
[N04AA03, methixene, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Ondansetron is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Ondansetron is combined with Cyclobarbital.]
[C03DA04, eplerenone, The metabolism of Ondansetron can be decreased when combined with Eplerenone.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Melperone.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Ondansetron.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Ondansetron.]
[S01XA18, cyclosporine, The metabolism of Ondansetron can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Ondansetron can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Ondansetron.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Ondansetron.]
[C03XA02, conivaptan, The metabolism of Ondansetron can be decreased when combined with Conivaptan.]
[J05AF10, entecavir, The metabolism of Ondansetron can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Ondansetron.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Ondansetron.]
[L01AX04, dacarbazine, The metabolism of Ondansetron can be decreased when combined with Dacarbazine.]
[G03XA01, danazol, The metabolism of Ondansetron can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Ondansetron is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Ondansetron can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Ondansetron can be increased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Ondansetron.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.]
[M01AX01, nabumetone, The metabolism of Ondansetron can be decreased when combined with Nabumetone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Ondansetron.]
[N06AX06, nefazodone, The metabolism of Ondansetron can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Niaprazine.]
[L02BB02, nilutamide, The metabolism of Ondansetron can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Tiagabine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Ondansetron.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Ondansetron.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Ondansetron is combined with Escitalopram.]
[G04BD08, solifenacin, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, The metabolism of Ondansetron can be decreased when combined with Desipramine.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Ondansetron.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ondansetron.]
[S03BA01, dexamethasone, The metabolism of Ondansetron can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Oxiracetam.]
[N04AA08, dexetimide, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Ondansetron.]
[A03AA01, oxyphencyclimine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Ondansetron can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Ondansetron can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Ondansetron.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Ondansetron.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Ondansetron.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Ondansetron can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Ondansetron can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Ondansetron is combined with Diamorphine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Ondansetron.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Ondansetron.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Ondansetron.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Ondansetron is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Ondansetron.]
[S01BC03, diclofenac, The metabolism of Ondansetron can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Ondansetron.]
[A03AA07, dicyclomine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Ondansetron.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Pipamperone.]
[A03AB14, pipenzolate, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Ondansetron.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Ondansetron is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Ondansetron can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Ondansetron can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Ondansetron can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Ondansetron.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Ondansetron.]
[C02DB01, dihydralazine, The metabolism of Ondansetron can be decreased when combined with Dihydralazine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Ondansetron.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Ondansetron.]
[J05AE08, atazanavir, The metabolism of Ondansetron can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Ondansetron.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Ondansetron can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Pridinol.]
[R06AB03, dimethindene, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Ondansetron can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Ondansetron.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Ondansetron.]
[C05CA03, diosmin, The metabolism of Ondansetron can be decreased when combined with Diosmin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Ondansetron.]
[R06AA02, diphenhydramine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Ondansetron is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Ondansetron is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Ondansetron.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Ondansetron.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Ondansetron.]
[S02AA12, rifamycin SV, The metabolism of Ondansetron can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Ondansetron can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Ondansetron.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Ondansetron.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Ondansetron.]
[J01MB01, rosoxacin, The metabolism of Ondansetron can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation and torsade de pointes can be increased when Sunitinib is combined with Ondansetron.]
[A04AD12, aprepitant, The metabolism of Ondansetron can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Ondansetron can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, The metabolism of Ondansetron can be decreased when combined with Tadalafil.]
[S01BC05, ketorolac, The metabolism of Ondansetron can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Ondansetron.]
[C01EB18, ranolazine, The serum concentration of Ondansetron can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Ondansetron.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Domperidone.]
