[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Cocaine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Oxybuprocaine is combined with Cocaine.]
[R05DB01, benzonatate, The serum concentration of Cocaine can be increased when it is combined with Benzonatate.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Cocaine.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Cocaine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Cocaine.]
[L01XK02, niraparib, The risk or severity of methemoglobinemia can be increased when Niraparib is combined with Cocaine.]
[L01EX10, midostaurin, The risk or severity of methemoglobinemia can be increased when Midostaurin is combined with Cocaine.]
[L01FF03, durvalumab, The risk or severity of methemoglobinemia can be increased when Durvalumab is combined with Cocaine.]
[L01ED04, brigatinib, The risk or severity of methemoglobinemia can be increased when Brigatinib is combined with Cocaine.]
[N04BD03, safinamide, Safinamide may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[P01AX10, fumagillin, The risk or severity of methemoglobinemia can be increased when Fumagillin is combined with Cocaine.]
[J01MA23, delafloxacin, The risk or severity of methemoglobinemia can be increased when Delafloxacin is combined with Cocaine.]
[L01BC06, capecitabine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Cocaine.]
[L01XX59, enasidenib, The risk or severity of methemoglobinemia can be increased when Enasidenib is combined with Cocaine.]
[L01EH02, neratinib, The risk or severity of methemoglobinemia can be increased when Neratinib is combined with Cocaine.]
[L01FB01, inotuzumab ozogamicin, The risk or severity of methemoglobinemia can be increased when Inotuzumab ozogamicin is combined with Cocaine.]
[L01XH01, vorinostat, The risk or severity of methemoglobinemia can be increased when Vorinostat is combined with Cocaine.]
[L01EM02, copanlisib, The risk or severity of methemoglobinemia can be increased when Copanlisib is combined with Cocaine.]
[L01EF03, abemaciclib, The risk or severity of methemoglobinemia can be increased when Abemaciclib is combined with Cocaine.]
[R03AC17, bitolterol, The risk or severity of Tachycardia can be increased when Bitolterol is combined with Cocaine.]
[J05AG03, efavirenz, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Cocaine.]
[J01DC10, cefprozil, The risk or severity of methemoglobinemia can be increased when Cefprozil is combined with Cocaine.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Cocaine.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Cocaine is combined with Bornaprine.]
[L01BA03, raltitrexed, The risk or severity of methemoglobinemia can be increased when Raltitrexed is combined with Cocaine.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01XL04, tisagenlecleucel, The risk or severity of methemoglobinemia can be increased when Tisagenlecleucel is combined with Cocaine.]
[L01XL03, axicabtagene ciloleucel, The risk or severity of methemoglobinemia can be increased when Axicabtagene ciloleucel is combined with Cocaine.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Cocaine.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Butriptyline is combined with Cocaine.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Cocaine.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Cocaine is combined with Capsaicin.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Cocaine.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Cocaine.]
[L02BB05, apalutamide, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Cocaine.]
[N03AF01, carbamazepine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Cocaine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Cocaine.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Cocaine is combined with Camylofin.]
[J01CA03, carbenicillin, The risk or severity of methemoglobinemia can be increased when Carbenicillin is combined with Cocaine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Cocaine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Cocaine.]
[N03AX24, cannabidiol, The risk or severity of methemoglobinemia can be increased when Cannabidiol is combined with Cocaine.]
[J01DE01, cefepime, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Cocaine.]
[J01DD10, cefetamet, The risk or severity of methemoglobinemia can be increased when Cefetamet is combined with Cocaine.]
[J01DD09, cefodizime, The risk or severity of methemoglobinemia can be increased when Cefodizime is combined with Cocaine.]
[J01DC11, ceforanide, The risk or severity of methemoglobinemia can be increased when Ceforanide is combined with Cocaine.]
[J01DD13, cefpodoxime, The risk or severity of methemoglobinemia can be increased when Cefpodoxime is combined with Cocaine.]
[L01EC03, encorafenib, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Cocaine.]
[L01EE03, binimetinib, The risk or severity of methemoglobinemia can be increased when Binimetinib is combined with Cocaine.]
[J01DD14, ceftibuten, The risk or severity of methemoglobinemia can be increased when Ceftibuten is combined with Cocaine.]
[J01GB14, plazomicin, The risk or severity of methemoglobinemia can be increased when Plazomicin is combined with Cocaine.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Cocaine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Cocaine.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Ivosidenib.]
[P01BA07, tafenoquine, The risk or severity of methemoglobinemia can be increased when Tafenoquine is combined with Cocaine.]
[L01FX09, mogamulizumab, The risk or severity of methemoglobinemia can be increased when Mogamulizumab is combined with Cocaine.]
[N03AX17, stiripentol, The metabolism of Cocaine can be decreased when combined with Stiripentol.]
[J01AA13, eravacycline, The risk or severity of methemoglobinemia can be increased when Eravacycline is combined with Cocaine.]
[L01EM04, duvelisib, The risk or severity of methemoglobinemia can be increased when Duvelisib is combined with Cocaine.]
[L01FF06, cemiplimab, The risk or severity of methemoglobinemia can be increased when Cemiplimab is combined with Cocaine.]
[L01EB07, dacomitinib, The risk or severity of methemoglobinemia can be increased when Dacomitinib is combined with Cocaine.]
[J01AA14, sarecycline, The risk or severity of methemoglobinemia can be increased when Sarecycline is combined with Cocaine.]
[J01AA15, omadacycline, The risk or severity of methemoglobinemia can be increased when Omadacycline is combined with Cocaine.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Cocaine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Cocaine is combined with Chlorphenoxamine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Cocaine.]
[L01FB02, moxetumomab pasudotox, The risk or severity of methemoglobinemia can be increased when Moxetumomab pasudotox is combined with Cocaine.]
[L01XK04, talazoparib, The risk or severity of methemoglobinemia can be increased when Talazoparib is combined with Cocaine.]
[M03BA02, carisoprodol, Carisoprodol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Cocaine.]
[L01ED05, lorlatinib, The risk or severity of methemoglobinemia can be increased when Lorlatinib is combined with Cocaine.]
[L01AD01, carmustine, The risk or severity of methemoglobinemia can be increased when Carmustine is combined with Cocaine.]
[L01EX12, larotrectinib, The risk or severity of methemoglobinemia can be increased when Larotrectinib is combined with Cocaine.]
[L01EX13, gilteritinib, The risk or severity of methemoglobinemia can be increased when Gilteritinib is combined with Cocaine.]
[L01XJ03, glasdegib, The risk or severity of methemoglobinemia can be increased when Glasdegib is combined with Cocaine.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Cocaine is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Cocaine.]
[L01XX67, tagraxofusp, The risk or severity of methemoglobinemia can be increased when Tagraxofusp is combined with Cocaine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Cocaine.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Cocaine.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Triclabendazole is combined with Cocaine.]
[N06AX27, esketamine, Esketamine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01FA09, clarithromycin, The risk or severity of methemoglobinemia can be increased when Clarithromycin is combined with Cocaine.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Cocaine.]
[N06AX29, brexanolone, The risk or severity of methemoglobinemia can be increased when Brexanolone is combined with Cocaine.]
[L01EN01, erdafitinib, The risk or severity of methemoglobinemia can be increased when Erdafitinib is combined with Cocaine.]
[N05BA09, clobazam, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Cocaine.]
[J01AA11, clomocycline, The risk or severity of methemoglobinemia can be increased when Clomocycline is combined with Cocaine.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Cocaine.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01XX29, denileukin diftitox, The risk or severity of methemoglobinemia can be increased when Denileukin diftitox is combined with Cocaine.]
[L01EM03, alpelisib, The risk or severity of methemoglobinemia can be increased when Alpelisib is combined with Cocaine.]
[L01FX14, polatuzumab vedotin, The risk or severity of methemoglobinemia can be increased when Polatuzumab vedotin is combined with Cocaine.]
[J01DC04, cefaclor, The risk or severity of methemoglobinemia can be increased when Cefaclor is combined with Cocaine.]
[J01DB05, cefadroxil, The risk or severity of methemoglobinemia can be increased when Cefadroxil is combined with Cocaine.]
[J01DC03, cefamandole, The risk or severity of methemoglobinemia can be increased when Cefamandole is combined with Cocaine.]
[L01XX66, selinexor, The risk or severity of methemoglobinemia can be increased when Selinexor is combined with Cocaine.]
[J01DB07, cefatrizine, The risk or severity of methemoglobinemia can be increased when Cefatrizine is combined with Cocaine.]
[J01DB04, cefazolin, The risk or severity of methemoglobinemia can be increased when Cefazolin is combined with Cocaine.]
[L02BB06, darolutamide, The risk or severity of methemoglobinemia can be increased when Darolutamide is combined with Cocaine.]
[J01CF03, methicillin, The risk or severity of methemoglobinemia can be increased when Meticillin is combined with Cocaine.]
[J01DC09, cefmetazole, The risk or severity of methemoglobinemia can be increased when Cefmetazole is combined with Cocaine.]
[J01DC06, cefonicid, The risk or severity of methemoglobinemia can be increased when Cefonicid is combined with Cocaine.]
[L01EX15, pexidartinib, The risk or severity of methemoglobinemia can be increased when Pexidartinib is combined with Cocaine.]
[J01DD12, cefoperazone, The risk or severity of methemoglobinemia can be increased when Cefoperazone is combined with Cocaine.]
[J01DD01, cefotaxime, The risk or severity of methemoglobinemia can be increased when Cefotaxime is combined with Cocaine.]
[J01DC05, cefotetan, The risk or severity of methemoglobinemia can be increased when Cefotetan is combined with Cocaine.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01DC07, cefotiam, The risk or severity of methemoglobinemia can be increased when Cefotiam is combined with Cocaine.]
[J01DC01, cefoxitin, The risk or severity of methemoglobinemia can be increased when Cefoxitin is combined with Cocaine.]
[J01DD03, cefsulodin, The risk or severity of methemoglobinemia can be increased when Cefsulodin is combined with Cocaine.]
[J01DD02, ceftazidime, The risk or severity of methemoglobinemia can be increased when Ceftazidime is combined with Cocaine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Cocaine.]
[J01DD07, ceftizoxime, The risk or severity of methemoglobinemia can be increased when Ceftizoxime is combined with Cocaine.]
[J01DD04, ceftriaxone, The risk or severity of methemoglobinemia can be increased when Ceftriaxone is combined with Cocaine.]
[S01AA27, cefuroxime, The risk or severity of methemoglobinemia can be increased when Cefuroxime is combined with Cocaine.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01EJ02, fedratinib, The risk or severity of methemoglobinemia can be increased when Fedratinib is combined with Cocaine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Cocaine can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Cocaine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Cocaine.]
[G04BE04, yohimbine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Cocaine.]
[J01XX09, daptomycin, The risk or severity of methemoglobinemia can be increased when Daptomycin is combined with Cocaine.]
[J01DB01, cephalexin, The risk or severity of methemoglobinemia can be increased when Cephalexin is combined with Cocaine.]
[J01DB02, cephaloridine, The risk or severity of methemoglobinemia can be increased when Cefaloridine is combined with Cocaine.]
[J01DB03, cephalothin, The risk or severity of methemoglobinemia can be increased when Cefalotin is combined with Cocaine.]
[J01DB08, cephapirin, The risk or severity of methemoglobinemia can be increased when Cefapirin is combined with Cocaine.]
[J01DB09, cephradine, The risk or severity of methemoglobinemia can be increased when Cefradine is combined with Cocaine.]
[L01FD01, trastuzumab, The risk or severity of methemoglobinemia can be increased when Trastuzumab is combined with Cocaine.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of methemoglobinemia can be increased when Trastuzumab emtansine is combined with Cocaine.]
[L01FD04, trastuzumab deruxtecan, The risk or severity of methemoglobinemia can be increased when Trastuzumab deruxtecan is combined with Cocaine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Cocaine.]
[L01EL03, zanubrutinib, The risk or severity of methemoglobinemia can be increased when Zanubrutinib is combined with Cocaine.]
[N03AX25, cenobamate, The serum concentration of Cocaine can be decreased when it is combined with Cenobamate.]
[L01FX13, enfortumab vedotin, The risk or severity of methemoglobinemia can be increased when Enfortumab vedotin is combined with Cocaine.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Dexchlorpheniramine is combined with Cocaine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Cocaine is combined with Dezocine.]
[L01XX10, masoprocol, The risk or severity of methemoglobinemia can be increased when Masoprocol is combined with Cocaine.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01FC02, isatuximab, The risk or severity of methemoglobinemia can be increased when Isatuximab is combined with Cocaine.]
[S01AE06, gatifloxacin, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Cocaine.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Cocaine.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01EE04, selumetinib, The risk or severity of methemoglobinemia can be increased when Selumetinib is combined with Cocaine.]
[G03DB08, dienogest, The risk or severity of methemoglobinemia can be increased when Dienogest is combined with Cocaine.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Cocaine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01XF03, bexarotene, The risk or severity of methemoglobinemia can be increased when Bexarotene is combined with Cocaine.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Cocaine.]
[C01BD07, dronedarone, Cocaine may increase the QTc-prolonging activities of Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of methemoglobinemia can be increased when Valpromide is combined with Cocaine.]
[J01FA13, dirithromycin, The risk or severity of methemoglobinemia can be increased when Dirithromycin is combined with Cocaine.]
[L01AA02, chlorambucil, The risk or severity of methemoglobinemia can be increased when Chlorambucil is combined with Cocaine.]
[S03AA08, chloramphenicol, The risk or severity of methemoglobinemia can be increased when Chloramphenicol is combined with Cocaine.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Cocaine.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01EN02, pemigatinib, The risk or severity of methemoglobinemia can be increased when Pemigatinib is combined with Cocaine.]
[L01FX17, sacituzumab govitecan, The risk or severity of methemoglobinemia can be increased when Sacituzumab govitecan is combined with Cocaine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Cocaine.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Cocaine is combined with Dihexyverine.]
[L01EX17, capmatinib, The risk or severity of methemoglobinemia can be increased when Capmatinib is combined with Cocaine.]
[C01CA14, dopexamine, The risk or severity of Tachycardia can be increased when Cocaine is combined with Dopexamine.]
[P01BE01, artemisinin, The risk or severity of methemoglobinemia can be increased when Artemisinin is combined with Cocaine.]
[G04BD09, trospium, The risk or severity of adverse effects can be increased when Trospium is combined with Cocaine.]
[L01EX19, ripretinib, The risk or severity of methemoglobinemia can be increased when Ripretinib is combined with Cocaine.]
[L01EX22, selpercatinib, The risk or severity of methemoglobinemia can be increased when Selpercatinib is combined with Cocaine.]
[N05CM02, chlormethiazole, The risk or severity of methemoglobinemia can be increased when Clomethiazole is combined with Cocaine.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Dyclonine is combined with Cocaine.]
[L01XX69, lurbinectedin, The risk or severity of methemoglobinemia can be increased when Lurbinectedin is combined with Cocaine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Cocaine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Cocaine.]
[P01BB01, proguanil, The risk or severity of methemoglobinemia can be increased when Proguanil is combined with Cocaine.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01FX12, tafasitamab, The risk or severity of methemoglobinemia can be increased when Tafasitamab is combined with Cocaine.]
[L01XL06, brexucabtagene autoleucel, The risk or severity of methemoglobinemia can be increased when Brexucabtagene autoleucel is combined with Cocaine.]
[L01DB04, aclarubicin, The risk or severity of methemoglobinemia can be increased when Aclarubicin is combined with Cocaine.]
[L04AC19, satralizumab, The serum concentration of Cocaine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of serotonin syndrome can be increased when Cocaine is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Cocaine.]
[L01EX23, pralsetinib, The risk or severity of methemoglobinemia can be increased when Pralsetinib is combined with Cocaine.]
[C03AA04, chlorothiazide, The serum concentration of Chlorothiazide can be increased when it is combined with Cocaine.]
[G03CA06, chlorotrianisene, The risk or severity of methemoglobinemia can be increased when Chlorotrianisene is combined with Cocaine.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Chlorpheniramine is combined with Cocaine.]
[N05AA01, chlorpromazine, The risk or severity of QTc prolongation can be increased when Chlorpromazine is combined with Cocaine.]
[N05AF03, chlorprothixene, Chlorprothixene may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[S01AA02, chlortetracycline, The risk or severity of methemoglobinemia can be increased when Chlortetracycline is combined with Cocaine.]
[C03BA04, chlorthalidone, The serum concentration of Chlorthalidone can be increased when it is combined with Cocaine.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06BX18, vinpocetine, The risk or severity of methemoglobinemia can be increased when Vinpocetine is combined with Cocaine.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Berotralstat is combined with Cocaine.]
[L01BB05, fludarabine, The risk or severity of methemoglobinemia can be increased when Fludarabine is combined with Cocaine.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Cocaine.]
[L01FD06, margetuximab, The risk or severity of methemoglobinemia can be increased when Margetuximab is combined with Cocaine.]
[P03AX07, abametapir, The serum concentration of Cocaine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The risk or severity of methemoglobinemia can be increased when Tepotinib is combined with Cocaine.]
[L01EX25, umbralisib, The risk or severity of methemoglobinemia can be increased when Umbralisib is combined with Cocaine.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N03AX10, felbamate, The risk or severity of methemoglobinemia can be increased when Felbamate is combined with Cocaine.]
[N06BA08, fenozolone, The risk or severity of Tachycardia can be increased when Cocaine is combined with Fenozolone.]
[J01DD08, cefixime, The risk or severity of methemoglobinemia can be increased when Cefixime is combined with Cocaine.]
[J01DD15, cefdinir, The risk or severity of methemoglobinemia can be increased when Cefdinir is combined with Cocaine.]
[J01MB07, flumequine, The risk or severity of methemoglobinemia can be increased when Flumequine is combined with Cocaine.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Cocaine.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Cocaine.]
[S01LA08, bevacizumab, The risk or severity of methemoglobinemia can be increased when Bevacizumab is combined with Cocaine.]
[L01EK03, tivozanib, The risk or severity of methemoglobinemia can be increased when Tivozanib is combined with Cocaine.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01XL07, idecabtagene vicleucel, The risk or severity of methemoglobinemia can be increased when Idecabtagene vicleucel is combined with Cocaine.]
[L01FF07, dostarlimab, The risk or severity of methemoglobinemia can be increased when Dostarlimab is combined with Cocaine.]
[L01FX22, loncastuximab tesirine, The risk or severity of methemoglobinemia can be increased when Loncastuximab tesirine is combined with Cocaine.]
[R02AB03, fusafungin, The risk or severity of methemoglobinemia can be increased when Fusafungine is combined with Cocaine.]
[N02BF01, gabapentin, The risk or severity of methemoglobinemia can be increased when Gabapentin is combined with Cocaine.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Cinnarizine is combined with Cocaine.]
[J01MB06, cinoxacin, The risk or severity of methemoglobinemia can be increased when Cinoxacin is combined with Cocaine.]
[L01XX73, sotorasib, The serum concentration of Cocaine can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The risk or severity of methemoglobinemia can be increased when Infigratinib is combined with Cocaine.]
[S03AA07, ciprofloxacin, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Cocaine.]
[L01XA01, cisplatin, The risk or severity of methemoglobinemia can be increased when Cisplatin is combined with Cocaine.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Citalopram is combined with Cocaine.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Cocaine is combined with Fexinidazole.]
[L01XX74, belzutifan, The risk or severity of methemoglobinemia can be increased when Belzutifan is combined with Cocaine.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Mobocertinib.]
[L01FX23, tisotumab vedotin, The risk or severity of methemoglobinemia can be increased when Tisotumab vedotin is combined with Cocaine.]
[V09AB03, ioflupane I-123, Cocaine may decrease effectiveness of Ioflupane I-123 as a diagnostic agent.]
[V09IA09, technetium Tc 99m tilmanocept, Cocaine may decrease effectiveness of Technetium Tc-99m tilmanocept as a diagnostic agent.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Clemastine is combined with Cocaine.]
[R03CC13, clenbuterol, The risk or severity of Tachycardia can be increased when Cocaine is combined with Clenbuterol.]
[J01FF01, clindamycin, The risk or severity of methemoglobinemia can be increased when Clindamycin is combined with Cocaine.]
[N06AX25, St. John's wort extract, St. John's Wort may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01EA06, asciminib, The risk or severity of methemoglobinemia can be increased when Asciminib is combined with Cocaine.]
[L02BG06, exemestane, The risk or severity of methemoglobinemia can be increased when Exemestane is combined with Cocaine.]
[L01XX75, tebentafusp, The risk or severity of methemoglobinemia can be increased when Tebentafusp is combined with Cocaine.]
[J04BA01, clofazimine, The risk or severity of methemoglobinemia can be increased when Clofazimine is combined with Cocaine.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Cocaine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Cocaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Cocaine.]
[N03AE01, clonazepam, The risk or severity of methemoglobinemia can be increased when Clonazepam is combined with Cocaine.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Cocaine.]
[C01EB24, mavacamten, The serum concentration of Cocaine can be decreased when it is combined with Mavacamten.]
[L01FX20, tremelimumab, The risk or severity of methemoglobinemia can be increased when Tremelimumab is combined with Cocaine.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Cocaine.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Cocaine.]
[J01CF02, cloxacillin, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Cocaine.]
[L01XX77, adagrasib, The risk or severity of methemoglobinemia can be increased when Adagrasib is combined with Cocaine.]
[N05AH02, clozapine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Cocaine.]
[L01EN04, futibatinib, The risk or severity of methemoglobinemia can be increased when Futibatinib is combined with Cocaine.]
[L01FE02, panitumumab, The risk or severity of methemoglobinemia can be increased when Panitumumab is combined with Cocaine.]
[J01GB12, arbekacin, The risk or severity of methemoglobinemia can be increased when Arbekacin is combined with Cocaine.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01EX11, quizartinib, The risk or severity of methemoglobinemia can be increased when Quizartinib is combined with Cocaine.]
[H01AC08, somatrogon, The metabolism of Cocaine can be increased when combined with Somatrogon.]
[S01AA13, fusidic acid, The risk or severity of methemoglobinemia can be increased when Fusidic acid is combined with Cocaine.]
[J01MB04, pipemidic acid, The risk or severity of methemoglobinemia can be increased when Pipemidic acid is combined with Cocaine.]
[L01XD01, porfimer sodium, The risk or severity of methemoglobinemia can be increased when Porfimer sodium is combined with Cocaine.]
[N07XX04, sodium oxybate, Sodium oxybate may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
