[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Erythromycin.]
[L04AA44, upadacitinib, The metabolism of Upadacitinib can be decreased when combined with Erythromycin.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Erythromycin.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Erythromycin.]
[N07XX11, pitolisant, The serum concentration of Erythromycin can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The serum concentration of Pretomanid can be increased when it is combined with Erythromycin.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Erythromycin.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Erythromycin.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Erythromycin.]
[J01XX09, daptomycin, The serum concentration of Daptomycin can be increased when it is combined with Erythromycin.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Erythromycin.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Erythromycin.]
[G03DB05, demegestone, The metabolism of Demegestone can be decreased when combined with Erythromycin.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be increased when it is combined with Erythromycin.]
[N02CC08, lasmiditan, The serum concentration of Lasmiditan can be increased when it is combined with Erythromycin.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Erythromycin.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Erythromycin.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Erythromycin.]
[N03AX25, cenobamate, The serum concentration of Erythromycin can be decreased when it is combined with Cenobamate.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Erythromycin.]
[L01FX13, enfortumab vedotin, The metabolism of Enfortumab vedotin can be decreased when combined with Erythromycin.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Erythromycin.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Dexchlorpheniramine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Erythromycin.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Erythromycin.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Erythromycin.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be increased when it is combined with Erythromycin.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Erythromycin.]
[C10AX15, bempedoic acid, The excretion of Erythromycin can be decreased when combined with Bempedoic acid.]
[J05AB16, remdesivir, The metabolism of Remdesivir can be decreased when combined with Erythromycin.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Erythromycin.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Erythromycin.]
[J05AE05, amprenavir, The metabolism of Erythromycin can be decreased when combined with Amprenavir.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Erythromycin.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Erythromycin.]
[G03DB08, dienogest, The metabolism of Dienogest can be decreased when combined with Erythromycin.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Erythromycin.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Erythromycin.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Erythromycin.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Erythromycin.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Erythromycin.]
[C01BD07, dronedarone, The serum concentration of Dronedarone can be increased when it is combined with Erythromycin.]
[S03AA08, chloramphenicol, The therapeutic efficacy of Erythromycin can be decreased when used in combination with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Erythromycin.]
[L01EN02, pemigatinib, The metabolism of Pemigatinib can be decreased when combined with Erythromycin.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Erythromycin.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be increased when it is combined with Erythromycin.]
[D07XB03, fluprednidene, The metabolism of Fluprednidene can be decreased when combined with Erythromycin.]
[L01EX19, ripretinib, The metabolism of Ripretinib can be decreased when combined with Erythromycin.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be increased when it is combined with Erythromycin.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Erythromycin is combined with Lepirudin.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Erythromycin.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Dyclonine.]
[L01XX69, lurbinectedin, The serum concentration of Lurbinectedin can be increased when it is combined with Erythromycin.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Erythromycin.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Erythromycin.]
[J05AX29, fostemsavir, The metabolism of Fostemsavir can be decreased when combined with Erythromycin.]
[L01FX15, belantamab mafodotin, Erythromycin may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Erythromycin can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Erythromycin.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Chloroquine.]
[L01EX23, pralsetinib, The serum concentration of Pralsetinib can be increased when it is combined with Erythromycin.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Erythromycin.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Erythromycin.]
[A11CC05, cholecalciferol, The metabolism of Cholecalciferol can be decreased when combined with Erythromycin.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be decreased when combined with Erythromycin.]
[N06BX18, vinpocetine, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Vinpocetine.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be decreased when combined with Erythromycin.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Erythromycin.]
[A16AX20, lonafarnib, The metabolism of Erythromycin can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Erythromycin.]
[L04AD03, voclosporin, The metabolism of Voclosporin can be decreased when combined with Erythromycin.]
[P03AX07, abametapir, The serum concentration of Erythromycin can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be increased when it is combined with Erythromycin.]
[V03AF12, trilaciclib, The serum concentration of Trilaciclib can be increased when it is combined with Erythromycin.]
[N03AX10, felbamate, The metabolism of Felbamate can be decreased when combined with Erythromycin.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Erythromycin.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Erythromycin.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Erythromycin.]
[R03BA03, flunisolide, The serum concentration of Flunisolide can be increased when it is combined with Erythromycin.]
[S01JA01, fluorescein, Erythromycin may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Erythromycin.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Erythromycin.]
[L01EK03, tivozanib, The serum concentration of Tivozanib can be increased when it is combined with Erythromycin.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be increased when it is combined with Erythromycin.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Erythromycin can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Erythromycin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Citalopram.]
[J02AX07, ibrexafungerp, The metabolism of Ibrexafungerp can be decreased when combined with Erythromycin.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Erythromycin.]
[L04AA48, belumosudil, The metabolism of Belumosudil can be decreased when combined with Erythromycin.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Erythromycin is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Mobocertinib.]
[L01FX23, tisotumab vedotin, The metabolism of Tisotumab vedotin can be decreased when combined with Erythromycin.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Erythromycin.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Erythromycin.]
[L04AA59, avacopan, The metabolism of Avacopan can be decreased when combined with Erythromycin.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Clemastine.]
[A10BB12, glimepiride, Erythromycin may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[J01FF01, clindamycin, The therapeutic efficacy of Erythromycin can be decreased when used in combination with Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Erythromycin can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Asciminib can be decreased when combined with Erythromycin.]
[L02BG06, exemestane, The metabolism of Exemestane can be decreased when combined with Erythromycin.]
[J05AX10, maribavir, The metabolism of Maribavir can be decreased when combined with Erythromycin.]
[J04BA01, clofazimine, The metabolism of Erythromycin can be decreased when combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Erythromycin is combined with Tenecteplase.]
[C10AB01, clofibrate, The metabolism of Clofibrate can be decreased when combined with Erythromycin.]
[B06AX04, mitapivat, The metabolism of Mitapivat can be decreased when combined with Erythromycin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Pacritinib can be increased when it is combined with Erythromycin.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Erythromycin.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Erythromycin.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be decreased when combined with Erythromycin.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Erythromycin.]
[J05AB17, brincidofovir, The serum concentration of Brincidofovir can be increased when it is combined with Erythromycin.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Erythromycin.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Erythromycin.]
[A05BA08, glycyrrhizic acid, Erythromycin may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be decreased when combined with Erythromycin.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Clozapine.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be increased when it is combined with Erythromycin.]
[H01AC08, somatrogon, The metabolism of Erythromycin can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Cocaine.]
[M09AX11, palovarotene, The metabolism of Palovarotene can be decreased when combined with Erythromycin.]
[L04AC21, bimekizumab, The metabolism of Erythromycin can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Erythromycin.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Erythromycin.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Erythromycin.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Erythromycin.]
[J01FA15, telithromycin, The metabolism of Erythromycin can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Erythromycin.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Desloratadine.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Erythromycin.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Erythromycin.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Erythromycin.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Erythromycin.]
[J02AC02, itraconazole, The metabolism of Erythromycin can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Erythromycin is combined with Bemiparin.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Emedastine.]
[N05BA10, ketazolam, The metabolism of Ketazolam can be decreased when combined with Erythromycin.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Erythromycin can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Erythromycin.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Lacidipine.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Erythromycin.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Erythromycin.]
[S01BA03, cortisone, The serum concentration of Cortisone can be increased when it is combined with Erythromycin.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Lomefloxacin.]
[R06AX13, loratadine, Erythromycin may decrease the excretion rate of Loratadine which could result in a higher serum level.]
[C08CA11, manidipine, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Manidipine.]
[H02AB15, meprednisone, The serum concentration of Meprednisone can be increased when it is combined with Erythromycin.]
[R06AD07, mequitazine, The risk or severity of ventricular arrhythmias and torsade de pointes can be increased when Erythromycin is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Adenosine.]
[C04AX01, cyclandelate, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Cyclandelate.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Erythromycin.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Erythromycin.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Melperone.]
[J01FA03, midecamycin, The metabolism of Midecamycin can be decreased when combined with Erythromycin.]
[J05AF07, tenofovir disoproxil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Erythromycin.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Erythromycin.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Erythromycin.]
[N06BA07, modafinil, The metabolism of Modafinil can be decreased when combined with Erythromycin.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Erythromycin.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Erythromycin.]
[C10AA07, rosuvastatin, The serum concentration of Rosuvastatin can be decreased when it is combined with Erythromycin.]
[C03XA02, conivaptan, The metabolism of Erythromycin can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The serum concentration of Vardenafil can be increased when it is combined with Erythromycin.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Erythromycin.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be increased when it is combined with Erythromycin.]
[G03XA01, danazol, The metabolism of Erythromycin can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Erythromycin.]
[L01DB02, daunorubicin, Erythromycin may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Erythromycin.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Erythromycin.]
[N06AX06, nefazodone, The metabolism of Erythromycin can be decreased when combined with Nefazodone.]
[N03AG06, tiagabine, The metabolism of Tiagabine can be decreased when combined with Erythromycin.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be decreased when combined with Erythromycin.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Erythromycin.]
[M03AC11, cisatracurium, Erythromycin may increase the neuromuscular blocking activities of Cisatracurium.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Erythromycin is combined with Fondaparinux.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Erythromycin.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Desipramine is combined with Erythromycin.]
[C01AA07, deslanoside, The serum concentration of Deslanoside can be increased when it is combined with Erythromycin.]
[C09XA02, aliskiren, The metabolism of Aliskiren can be decreased when combined with Erythromycin.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Oxaliplatin.]
[N03AF02, oxcarbazepine, The metabolism of Erythromycin can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The serum concentration of Dexamethasone can be increased when it is combined with Erythromycin.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Erythromycin.]
[L04AB04, adalimumab, The metabolism of Erythromycin can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Erythromycin.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Erythromycin.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Erythromycin.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Erythromycin.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Erythromycin.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Erythromycin.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Erythromycin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Cinchocaine.]
[S01BC03, diclofenac, Erythromycin may decrease the excretion rate of Diclofenac which could result in a higher serum level.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Erythromycin.]
[C02DG01, pinacidil, The metabolism of Pinacidil can be decreased when combined with Erythromycin.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Pinaverium.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be decreased when combined with Erythromycin.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Erythromycin.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Erythromycin.]
[L02AA01, diethylstilbestrol, Erythromycin may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[C08CA03, isradipine, Erythromycin may decrease the excretion rate of Isradipine which could result in a higher serum level.]
[D07XC04, diflucortolone, The metabolism of Difluocortolone can be decreased when combined with Erythromycin.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Erythromycin.]
[C01AA05, digoxin, The serum concentration of Digoxin can be increased when it is combined with Erythromycin.]
[C10AX09, ezetimibe, Erythromycin may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Erythromycin may increase the vasoconstricting activities of Dihydroergocristine.]
[N02CA01, dihydroergotamine, Erythromycin may increase the vasoconstricting activities of Dihydroergotamine.]
[J05AE08, atazanavir, The metabolism of Erythromycin can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Erythromycin.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of adverse effects can be increased when Erythromycin is combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Dimenhydrinate.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Erythromycin.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Erythromycin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Erythromycin.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Erythromycin.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Erythromycin is combined with Dipyridamole.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Erythromycin is combined with Drotrecogin alfa.]
[A03FA02, cisapride, The serum concentration of Cisapride can be increased when it is combined with Erythromycin.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Erythromycin.]
[C01BA03, disopyramide, Erythromycin may increase the QTc-prolonging activities of Disopyramide.]
[P03AA04, disulfiram, Erythromycin may decrease the excretion rate of Disulfiram which could result in a higher serum level.]
[S02AA12, rifamycin SV, The metabolism of Erythromycin can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Erythromycin can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The serum concentration of Rifaximin can be increased when it is combined with Erythromycin.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Erythromycin.]
[R06AE09, levocetirizine, The metabolism of Levocetirizine can be decreased when combined with Erythromycin.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Erythromycin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Erythromycin.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be decreased when combined with Erythromycin.]
[C03XA01, tolvaptan, The serum concentration of Tolvaptan can be increased when it is combined with Erythromycin.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be increased when it is combined with Erythromycin.]
[J05AE07, fosamprenavir, The metabolism of Fosamprenavir can be decreased when combined with Erythromycin.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Erythromycin.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Erythromycin.]
[C01EB18, ranolazine, The serum concentration of Ranolazine can be increased when it is combined with Erythromycin.]
[R03AC12, salmeterol, The serum concentration of Salmeterol can be increased when it is combined with Erythromycin.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Domperidone.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Dosulepin is combined with Erythromycin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Erythromycin.]
[L01DB01, doxorubicin, The serum concentration of Doxorubicin can be increased when it is combined with Erythromycin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Erythromycin.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Erythromycin.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Erythromycin.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Droperidol.]
[A08AA10, sibutramine, The metabolism of Sibutramine can be decreased when combined with Erythromycin.]
[C10AA01, simvastatin, The serum concentration of Simvastatin can be increased when it is combined with Erythromycin.]
[G03DB01, dydrogesterone, The metabolism of Dydrogesterone can be decreased when combined with Erythromycin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Sultopride.]
[N02CC01, sumatriptan, The excretion of Sumatriptan can be decreased when combined with Erythromycin.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Erythromycin.]
[H01AA01, corticotropin, The serum concentration of Corticotropin can be increased when it is combined with Erythromycin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Erythromycin.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Terodiline.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Erythromycin.]
[C09AA02, enalapril, The excretion of Enalapril can be decreased when combined with Erythromycin.]
[M01AG02, tolfenamic acid, The metabolism of Tolfenamic acid can be decreased when combined with Erythromycin.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Erythromycin.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Toremifene.]
[C03CA04, torsemide, The excretion of Torasemide can be decreased when combined with Erythromycin.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Erythromycin is combined with Triflusal.]
[H02CA01, trilostane, The serum concentration of Trilostane can be increased when it is combined with Erythromycin.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Erythromycin.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Erythromycin is combined with Troxerutin.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Erythromycin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Erythromycin.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Erythromycin.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Erythromycin.]
[S01GA03, xylometazoline, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Xylometazoline.]
[C08CA12, mepirodipine, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Barnidipine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Erythromycin.]
[M01AB04, zomepirac, The metabolism of Zomepirac can be decreased when combined with Erythromycin.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Zonisamide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Erythromycin.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Erythromycin.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Erythromycin is combined with Anistreplase.]
[C02AC02, guanfacine, The metabolism of Guanfacine can be decreased when combined with Erythromycin.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Erythromycin.]
