[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Apalutamide.]
[B02BX08, avatrombopag, The serum concentration of Avatrombopag can be decreased when it is combined with Apalutamide.]
[L04AA37, baricitinib, The serum concentration of Baricitinib can be increased when it is combined with Apalutamide.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be increased when combined with Apalutamide.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be decreased when it is combined with Apalutamide.]
[J01DD14, ceftibuten, The excretion of Ceftibuten can be decreased when combined with Apalutamide.]
[J01GB14, plazomicin, Apalutamide may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[H01CC03, elagolix, The serum concentration of Elagolix can be decreased when it is combined with Apalutamide.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be increased when combined with Apalutamide.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Apalutamide can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Lusutrombopag can be decreased when it is combined with Apalutamide.]
[J05AX24, tecovirimat, The metabolism of Apalutamide can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be increased when combined with Apalutamide.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be increased when combined with Apalutamide.]
[L01EM04, duvelisib, The serum concentration of Duvelisib can be decreased when it is combined with Apalutamide.]
[L01EB07, dacomitinib, The serum concentration of Dacomitinib can be decreased when it is combined with Apalutamide.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be decreased when it is combined with Apalutamide.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be increased when combined with Apalutamide.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Chloroxylenol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be decreased when it is combined with Apalutamide.]
[M03BA02, carisoprodol, The serum concentration of Carisoprodol can be increased when it is combined with Apalutamide.]
[R03BB08, revefenacin, The serum concentration of Revefenacin can be decreased when it is combined with Apalutamide.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be increased when combined with Apalutamide.]
[L04AA39, emapalumab, The metabolism of Apalutamide can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EX12, larotrectinib, The serum concentration of Larotrectinib can be decreased when it is combined with Apalutamide.]
[L01EX13, gilteritinib, The serum concentration of Gilteritinib can be decreased when it is combined with Apalutamide.]
[L01XJ03, glasdegib, The serum concentration of Glasdegib can be decreased when it is combined with Apalutamide.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be increased when combined with Apalutamide.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be increased when combined with Apalutamide.]
[P02BX04, triclabendazole, The serum concentration of Triclabendazole can be increased when it is combined with Apalutamide.]
[N06AX27, esketamine, The serum concentration of Esketamine can be increased when it is combined with Apalutamide.]
[L04AA42, siponimod, The therapeutic efficacy of Siponimod can be decreased when used in combination with Apalutamide.]
[J01FA09, clarithromycin, The metabolism of Apalutamide can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The serum concentration of Solriamfetol can be increased when it is combined with Apalutamide.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Apalutamide.]
[N05BA09, clobazam, The serum concentration of Clobazam can be increased when it is combined with Apalutamide.]
[C09CA06, candesartan, The metabolism of Apalutamide can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Apalutamide can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Alpelisib can be decreased when it is combined with Apalutamide.]
[L01FX14, polatuzumab vedotin, The risk or severity of adverse effects can be decreased when Apalutamide is combined with Polatuzumab vedotin.]
[J01DC04, cefaclor, The excretion of Cefaclor can be decreased when combined with Apalutamide.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01XX66, selinexor, The metabolism of Selinexor can be increased when combined with Apalutamide.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DB04, cefazolin, The excretion of Cefazolin can be decreased when combined with Apalutamide.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be decreased when it is combined with Apalutamide.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Apalutamide.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DC07, cefotiam, The excretion of Cefotiam can be decreased when combined with Apalutamide.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, The excretion of Ceftizoxime can be decreased when combined with Apalutamide.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be increased when combined with Apalutamide.]
[L04AA44, upadacitinib, The metabolism of Upadacitinib can be increased when combined with Apalutamide.]
[L01EJ02, fedratinib, The serum concentration of Fedratinib can be increased when it is combined with Apalutamide.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Apalutamide.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be increased when combined with Apalutamide.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Apalutamide.]
[J01XX12, lefamulin, The serum concentration of Lefamulin can be decreased when it is combined with Apalutamide.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be increased when combined with Apalutamide.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be increased when combined with Apalutamide.]
[J01XX09, daptomycin, The serum concentration of Daptomycin can be decreased when it is combined with Apalutamide.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Apalutamide.]
[J01DB02, cephaloridine, The excretion of Cefaloridine can be decreased when combined with Apalutamide.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be decreased when it is combined with Apalutamide.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Apalutamide.]
[N02CC08, lasmiditan, The serum concentration of Lasmiditan can be decreased when it is combined with Apalutamide.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Apalutamide.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Apalutamide.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Apalutamide.]
[N03AX25, cenobamate, The serum concentration of Cenobamate can be increased when it is combined with Apalutamide.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M09AX08, golodirsen, Apalutamide may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be decreased when it is combined with Apalutamide.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be decreased when it is combined with Apalutamide.]
[S01XA12, dexpanthenol, Dexpanthenol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be increased when combined with Apalutamide.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Apalutamide.]
[L01XX72, tazemetostat, The serum concentration of Tazemetostat can be decreased when it is combined with Apalutamide.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Apalutamide.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Apalutamide.]
[J05AB16, remdesivir, The excretion of Remdesivir can be increased when combined with Apalutamide.]
[H02CA02, osilodrostat, The serum concentration of Osilodrostat can be decreased when it is combined with Apalutamide.]
[J05AE05, amprenavir, The metabolism of Apalutamide can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Apalutamide.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be decreased when it is combined with Apalutamide.]
[R02AA03, dichlorobenzyl alcohol, Apalutamide may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Apalutamide.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be increased when combined with Apalutamide.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be increased when combined with Apalutamide.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be increased when combined with Apalutamide.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be increased when combined with Apalutamide.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be increased when combined with Apalutamide.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Apalutamide.]
[L01EN02, pemigatinib, The metabolism of Pemigatinib can be increased when combined with Apalutamide.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be increased when combined with Apalutamide.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Apalutamide.]
[D07XB03, fluprednidene, The metabolism of Fluprednidene can be increased when combined with Apalutamide.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EX19, ripretinib, The serum concentration of Ripretinib can be decreased when it is combined with Apalutamide.]
[V08CA05, mangafodipir, Mangafodipir may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Apalutamide.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be increased when combined with Apalutamide.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Dyclonine.]
[L01XX69, lurbinectedin, The serum concentration of Lurbinectedin can be decreased when it is combined with Apalutamide.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be increased when combined with Apalutamide.]
[R06AX22, ebastine, The metabolism of Ebastine can be increased when combined with Apalutamide.]
[J05AX29, fostemsavir, The serum concentration of Fostemsavir can be decreased when it is combined with Apalutamide.]
[P01BB01, proguanil, The serum concentration of Proguanil can be increased when it is combined with Apalutamide.]
[L01FX15, belantamab mafodotin, The serum concentration of Belantamab mafodotin can be decreased when it is combined with Apalutamide.]
[L04AC19, satralizumab, The serum concentration of Apalutamide can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be decreased when it is combined with Apalutamide.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be increased when combined with Apalutamide.]
[L01EX23, pralsetinib, The serum concentration of Pralsetinib can be decreased when it is combined with Apalutamide.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be increased when combined with Apalutamide.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be increased when combined with Apalutamide.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be increased when combined with Apalutamide.]
[A11CC05, cholecalciferol, The metabolism of Cholecalciferol can be increased when combined with Apalutamide.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be increased when combined with Apalutamide.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Apalutamide.]
[N06BX18, vinpocetine, The metabolism of Vinpocetine can be increased when combined with Apalutamide.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Apalutamide.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be decreased when it is combined with Apalutamide.]
[A16AX20, lonafarnib, The metabolism of Apalutamide can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The serum concentration of Relugolix can be decreased when it is combined with Apalutamide.]
[M01AX25, chondroitin sulfates, Chondroitin sulfate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L04AD03, voclosporin, The metabolism of Voclosporin can be increased when combined with Apalutamide.]
[P03AX07, abametapir, The serum concentration of Apalutamide can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be decreased when it is combined with Apalutamide.]
[V03AF12, trilaciclib, The serum concentration of Trilaciclib can be decreased when it is combined with Apalutamide.]
[N03AX10, felbamate, The metabolism of Felbamate can be increased when combined with Apalutamide.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[G04CB01, finasteride, The metabolism of Finasteride can be increased when combined with Apalutamide.]
[J01DD15, cefdinir, The excretion of Cefdinir can be decreased when combined with Apalutamide.]
[S02BA08, fluocinolone acetonide, The metabolism of Fluocinolone acetonide can be increased when combined with Apalutamide.]
[S01JA01, fluorescein, The excretion of Fluorescein can be decreased when combined with Apalutamide.]
[N02BG07, flupirtine, Flupirtine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[R03CC15, formoterol, The serum concentration of Formoterol can be increased when it is combined with Apalutamide.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be increased when combined with Apalutamide.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Apalutamide.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be decreased when it is combined with Apalutamide.]
[A02BA01, cimetidine, The excretion of Cimetidine can be decreased when combined with Apalutamide.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be increased when combined with Apalutamide.]
[L01XX73, sotorasib, The serum concentration of Sotorasib can be decreased when it is combined with Apalutamide.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Apalutamide.]
[S03AA07, ciprofloxacin, The metabolism of Apalutamide can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Apalutamide.]
[N06AB04, citalopram, The serum concentration of Citalopram can be increased when it is combined with Apalutamide.]
[V09IX16, piflufolastat F-18, Apalutamide may decrease effectiveness of Piflufolastat F 18 as a diagnostic agent.]
[J02AX07, ibrexafungerp, The serum concentration of Ibrexafungerp can be decreased when it is combined with Apalutamide.]
[C03DA05, finerenone, The therapeutic efficacy of Finerenone can be decreased when used in combination with Apalutamide.]
[L04AA48, belumosudil, The serum concentration of Belumosudil can be decreased when it is combined with Apalutamide.]
[P01CA03, fexinidazole, The serum concentration of Fexinidazole can be increased when it is combined with Apalutamide.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Apalutamide.]
[L01EB10, mobocertinib, The serum concentration of Mobocertinib can be decreased when it is combined with Apalutamide.]
[L01FX23, tisotumab vedotin, The metabolism of Tisotumab vedotin can be increased when combined with Apalutamide.]
[N02CD07, atogepant, The serum concentration of Atogepant can be decreased when it is combined with Apalutamide.]
[L04AA59, avacopan, The metabolism of Avacopan can be increased when combined with Apalutamide.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be increased when combined with Apalutamide.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be increased when combined with Apalutamide.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Apalutamide.]
[N06AX25, St. John's wort extract, The serum concentration of St. John's Wort can be increased when it is combined with Apalutamide.]
[L01EA06, asciminib, The metabolism of Asciminib can be increased when combined with Apalutamide.]
[L02BG06, exemestane, The metabolism of Exemestane can be increased when combined with Apalutamide.]
[J05AX10, maribavir, The serum concentration of Maribavir can be decreased when it is combined with Apalutamide.]
[V09IX14, gallium GA-68 gozetotide, Apalutamide may increase effectiveness of Gallium Ga-68 gozetotide as a diagnostic agent.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be increased when combined with Apalutamide.]
[C10AB01, clofibrate, The metabolism of Clofibrate can be increased when combined with Apalutamide.]
[B06AX04, mitapivat, The metabolism of Mitapivat can be increased when combined with Apalutamide.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Pacritinib can be decreased when it is combined with Apalutamide.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be decreased when it is combined with Apalutamide.]
[N06AA04, clomipramine, The serum concentration of Clomipramine can be increased when it is combined with Apalutamide.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Apalutamide.]
[S01EA04, clonidine, The metabolism of Clonidine can be increased when combined with Apalutamide.]
[J05AB17, brincidofovir, The excretion of Brincidofovir can be increased when combined with Apalutamide.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be decreased when it is combined with Apalutamide.]
[J05AH02, oseltamivir, The excretion of Oseltamivir can be decreased when combined with Apalutamide.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The therapeutic efficacy of Vonoprazan can be decreased when used in combination with Apalutamide.]
[N03AX27, ganaxolone, The metabolism of Ganaxolone can be increased when combined with Apalutamide.]
[H01CC04, linzagolix, The serum concentration of Apalutamide can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be increased when combined with Apalutamide.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be increased when combined with Apalutamide.]
[A04AA02, granisetron, The metabolism of Granisetron can be increased when combined with Apalutamide.]
[J05AX31, lenacapavir, The metabolism of Lenacapavir can be increased when combined with Apalutamide.]
[L01XX77, adagrasib, The serum concentration of Adagrasib can be decreased when it is combined with Apalutamide.]
[N05AH02, clozapine, The metabolism of Clozapine can be increased when combined with Apalutamide.]
[L01EN04, futibatinib, The metabolism of Futibatinib can be increased when combined with Apalutamide.]
[A10BK06, sotagliflozin, The serum concentration of Sotagliflozin can be decreased when it is combined with Apalutamide.]
[J01GB12, arbekacin, Apalutamide may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Apalutamide can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Cocaine.]
[M09AX11, palovarotene, The serum concentration of Palovarotene can be decreased when it is combined with Apalutamide.]
[L04AC21, bimekizumab, The metabolism of Apalutamide can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[R05DA04, codeine, The metabolism of Codeine can be increased when combined with Apalutamide.]
[M04AC01, colchicine, The serum concentration of Colchicine can be decreased when it is combined with Apalutamide.]
[J01XB01, colistin, Apalutamide may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L04AA13, leflunomide, Apalutamide may increase the excretion rate of Leflunomide which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AA03, tropisetron, Tropisetron may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be increased when combined with Apalutamide.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01FA15, telithromycin, The metabolism of Apalutamide can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be increased when combined with Apalutamide.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J05AB14, valganciclovir, Valganciclovir may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C05BB03, invert sugar, Invert sugar may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V08AB05, iopromide, Iopromide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V08AB07, ioversol, Ioversol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V08AB12, ioxilan, Ioxilan may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be increased when combined with Apalutamide.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be increased when combined with Apalutamide.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be increased when combined with Apalutamide.]
[J02AC02, itraconazole, The metabolism of Apalutamide can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The excretion of Acyclovir can be decreased when combined with Apalutamide.]
[N05BA10, ketazolam, The metabolism of Ketazolam can be increased when combined with Apalutamide.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Imatinib can be increased when combined with Apalutamide.]
[J02AC04, posaconazole, The metabolism of Apalutamide can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The serum concentration of Esomeprazole can be increased when it is combined with Apalutamide.]
[C08CA09, lacidipine, The metabolism of Lacidipine can be increased when combined with Apalutamide.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Apalutamide.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N07BC04, lofexidine, Lofexidine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[R06AX13, loratadine, The metabolism of Loratadine can be increased when combined with Apalutamide.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Magnesium carbonate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Manidipine can be increased when combined with Apalutamide.]
[H02AB15, meprednisone, The metabolism of Meprednisone can be increased when combined with Apalutamide.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C04AX01, cyclandelate, The metabolism of Cyclandelate can be increased when combined with Apalutamide.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be increased when combined with Apalutamide.]
[N05AD03, metylperon, Melperone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The metabolism of Midecamycin can be increased when combined with Apalutamide.]
[J05AF07, tenofovir disoproxil, The serum concentration of Tenofovir disoproxil can be decreased when it is combined with Apalutamide.]
[L01AA01, cyclophosphamide, The serum concentration of Cyclophosphamide can be increased when it is combined with Apalutamide.]
[S01XA18, cyclosporine, The serum concentration of Cyclosporine can be decreased when it is combined with Apalutamide.]
[N06AG02, moclobemide, The serum concentration of Moclobemide can be increased when it is combined with Apalutamide.]
[N06BA07, modafinil, The metabolism of Modafinil can be increased when combined with Apalutamide.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be increased when combined with Apalutamide.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Apalutamide can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The serum concentration of Vardenafil can be decreased when it is combined with Apalutamide.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be increased when combined with Apalutamide.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be decreased when it is combined with Apalutamide.]
[G03XA01, danazol, The metabolism of Apalutamide can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be increased when combined with Apalutamide.]
[L01DB02, daunorubicin, Apalutamide may increase the excretion rate of Daunorubicin which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AD11, nabilone, The metabolism of Nabilone can be increased when combined with Apalutamide.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N07BB05, nalmefene, Nalmefene may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C07AB12, nebivolol, The serum concentration of Nebivolol can be increased when it is combined with Apalutamide.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Apalutamide can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Nicorandil may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L02BB02, nilutamide, The serum concentration of Nilutamide can be increased when it is combined with Apalutamide.]
[N03AG06, tiagabine, The metabolism of Tiagabine can be increased when combined with Apalutamide.]
