[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Carbamazepine.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The metabolism of Carbamazepine can be decreased when combined with Fusidic acid.]
[A03AA03, camylofine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Carbinoxamine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Carbamazepine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be increased when combined with Carbamazepine.]
[B02BX09, fostamatinib, The metabolism of Carbamazepine can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, Carbamazepine may increase the Change in thyroid function activities of Cannabidiol.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Baricitinib.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be increased when combined with Carbamazepine.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be increased when combined with Carbamazepine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01GB14, plazomicin, Plazomicin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[H01CC03, elagolix, The metabolism of Elagolix can be increased when combined with Carbamazepine.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be increased when combined with Carbamazepine.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Carbamazepine can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Carbamazepine can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Carbamazepine can be decreased when combined with Doravirine.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be increased when combined with Carbamazepine.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be increased when combined with Carbamazepine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be increased when combined with Carbamazepine.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Chloroxylenol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R03DA02, oxtriphylline, The serum concentration of Oxtriphylline can be decreased when it is combined with Carbamazepine.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Carbamazepine.]
[R03BB08, revefenacin, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Carbamazepine can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Carbamazepine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Carbamazepine.]
[L01EX12, larotrectinib, The metabolism of Larotrectinib can be increased when combined with Carbamazepine.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be increased when combined with Carbamazepine.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be increased when combined with Carbamazepine.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Ravulizumab.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be increased when combined with Carbamazepine.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Carbamazepine.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Carbamazepine.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Carbamazepine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Esketamine.]
[L04AA42, siponimod, The therapeutic efficacy of Siponimod can be decreased when used in combination with Carbamazepine.]
[J01FA09, clarithromycin, The metabolism of Carbamazepine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Solriamfetol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N06AX29, brexanolone, Carbamazepine may increase the Change in thyroid function activities of Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Carbamazepine.]
[N05BA09, clobazam, Carbamazepine may increase the Change in thyroid function activities of Clobazam.]
[H02AB14, cloprednol, The metabolism of Carbamazepine can be increased when combined with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Cloxazolam.]
[L04AB01, etanercept, The metabolism of Carbamazepine can be increased when combined with Etanercept.]
[A12CC06, magnesium lactate, Magnesium lactate can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The metabolism of Carbamazepine can be increased when combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Alpelisib can be decreased when it is combined with Carbamazepine.]
[L01FX14, polatuzumab vedotin, The risk or severity of adverse effects can be decreased when Carbamazepine is combined with Polatuzumab vedotin.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01XX66, selinexor, The metabolism of Selinexor can be increased when combined with Carbamazepine.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be decreased when it is combined with Carbamazepine.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Carbamazepine.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Carbamazepine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Carbamazepine.]
[L04AA44, upadacitinib, The metabolism of Upadacitinib can be increased when combined with Carbamazepine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be increased when combined with Carbamazepine.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Carbamazepine.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be increased when combined with Carbamazepine.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Carbamazepine.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be increased when combined with Carbamazepine.]
[N04CX01, istradefylline, The metabolism of Carbamazepine can be decreased when combined with Istradefylline.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Carbamazepine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be increased when combined with Carbamazepine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Carbamazepine.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DB09, cephradine, The metabolism of Carbamazepine can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be decreased when it is combined with Carbamazepine.]
[G03DB05, demegestone, The serum concentration of Demegestone can be decreased when it is combined with Carbamazepine.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Carbamazepine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Carbamazepine.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Carbamazepine.]
[G03AC09, desogestrel, The serum concentration of Desogestrel can be decreased when it is combined with Carbamazepine.]
[B06AX03, voxelotor, The serum concentration of Carbamazepine can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Carbamazepine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M09AX08, golodirsen, Golodirsen may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be decreased when it is combined with Carbamazepine.]
[L01FX13, enfortumab vedotin, The metabolism of Enfortumab vedotin can be increased when combined with Carbamazepine.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Carbamazepine.]
[R06AB02, dexchlorpheniramine, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Dexpanthenol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be increased when combined with Carbamazepine.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Carbamazepine.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be increased when combined with Carbamazepine.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Teprotumumab.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Carbamazepine.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Carbamazepine.]
[J05AB16, remdesivir, The metabolism of Carbamazepine can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The serum concentration of Osilodrostat can be decreased when it is combined with Carbamazepine.]
[J05AE05, amprenavir, The serum concentration of Amprenavir can be decreased when it is combined with Carbamazepine.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be increased when combined with Carbamazepine.]
[G04CB02, dutasteride, The metabolism of Carbamazepine can be decreased when combined with Dutasteride.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Ozanimod.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be decreased when it is combined with Carbamazepine.]
[R02AA03, dichlorobenzyl alcohol, Dichlorobenzyl alcohol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Carbamazepine.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be increased when combined with Carbamazepine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be increased when combined with Carbamazepine.]
[M01AH02, rofecoxib, The metabolism of Carbamazepine can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Carbamazepine can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Carbamazepine can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Carbamazepine.]
[N03AG02, dipropylacetamide, Carbamazepine may increase the Change in thyroid function activities of Valpromide.]
[J01FA13, dirithromycin, The metabolism of Carbamazepine can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Carbamazepine.]
[S03AA08, chloramphenicol, The metabolism of Carbamazepine can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Carbamazepine.]
[L01EN02, pemigatinib, The metabolism of Pemigatinib can be increased when combined with Carbamazepine.]
[L01FX17, sacituzumab govitecan, The serum concentration of Sacituzumab govitecan can be decreased when it is combined with Carbamazepine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be increased when combined with Carbamazepine.]
[A03AA08, dihexyverine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Carbamazepine.]
[D07XB03, fluprednidene, The metabolism of Carbamazepine can be increased when combined with Fluprednidene.]
[G04BD09, trospium, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01EX19, ripretinib, The serum concentration of Ripretinib can be decreased when it is combined with Carbamazepine.]
[V08CA05, mangafodipir, Mangafodipir may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Carbamazepine.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Carbamazepine.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05CM02, chlormethiazole, Carbamazepine may increase the Change in thyroid function activities of Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Chlormezanone.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Carbamazepine is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Dyclonine.]
[L01XX69, lurbinectedin, The serum concentration of Lurbinectedin can be decreased when it is combined with Carbamazepine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Stepronin.]
[C08CA17, levamlodipine, The metabolism of Carbamazepine can be decreased when combined with Levamlodipine.]
[R06AX22, ebastine, The metabolism of Ebastine can be increased when combined with Carbamazepine.]
[J05AX29, fostemsavir, The serum concentration of Fostemsavir can be decreased when it is combined with Carbamazepine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Carbamazepine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Carbamazepine is combined with Remimazolam.]
[N07XX04, sodium oxybate, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Carbamazepine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Carbamazepine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Carbamazepine can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The serum concentration of Pralsetinib can be decreased when it is combined with Carbamazepine.]
[C03AA04, chlorothiazide, The risk or severity of adverse effects can be increased when Chlorothiazide is combined with Carbamazepine.]
[R06AB04, chlorpheniramine, The metabolism of Carbamazepine can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Carbamazepine can be increased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05AF03, chlorprothixene, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Carbamazepine.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be increased when combined with Carbamazepine.]
[A11CC05, cholecalciferol, The metabolism of Cholecalciferol can be increased when combined with Carbamazepine.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Etifoxine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N02BA03, choline salicylate, Choline salicylate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N06BX18, vinpocetine, Carbamazepine may increase the Change in thyroid function activities of Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Ethyl loflazepate.]
[G03DC06, ethynodiol, The serum concentration of Etynodiol can be decreased when it is combined with Carbamazepine.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[B06AC06, berotralstat, The serum concentration of Carbamazepine can be increased when it is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Carbamazepine can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Fludarabine.]
[L02BX04, relugolix, The serum concentration of Relugolix can be decreased when it is combined with Carbamazepine.]
[M01AX25, chondroitin sulfates, Chondroitin sulfate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J05AJ04, cabotegravir, The serum concentration of Cabotegravir can be decreased when it is combined with Carbamazepine.]
[L04AD03, voclosporin, The metabolism of Voclosporin can be increased when combined with Carbamazepine.]
[P03AX07, abametapir, The serum concentration of Carbamazepine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be decreased when it is combined with Carbamazepine.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Febarbamate.]
[N03AX10, felbamate, The serum concentration of Felbamate can be decreased when it is combined with Carbamazepine.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N06BA10, fenethylline, The serum concentration of Fenethylline can be decreased when it is combined with Carbamazepine.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[G04CB01, finasteride, The metabolism of Carbamazepine can be decreased when combined with Finasteride.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R03BA03, flunisolide, The metabolism of Carbamazepine can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Carbamazepine can be increased when combined with Fluocinolone acetonide.]
[N02BG07, flupirtine, Flupirtine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Carbamazepine.]
[L04AA50, ponesimod, The metabolism of Carbamazepine can be decreased when combined with Ponesimod.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Carbamazepine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Carbamazepine.]
[B03AB10, ferric maltol, The metabolism of Ferric maltol can be increased when combined with Carbamazepine.]
[A02BA01, cimetidine, The metabolism of Carbamazepine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Carbamazepine may increase the Change in thyroid function activities of Gabapentin.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be increased when combined with Carbamazepine.]
[L01XX73, sotorasib, The serum concentration of Sotorasib can be decreased when it is combined with Carbamazepine.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Carbamazepine.]
[S03AA07, ciprofloxacin, The serum concentration of Carbamazepine can be increased when it is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Carbamazepine.]
[N06AB04, citalopram, Carbamazepine may increase the QTc-prolonging activities of Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Pegcetacoplan.]
[J02AX07, ibrexafungerp, The serum concentration of Ibrexafungerp can be decreased when it is combined with Carbamazepine.]
[C03DA05, finerenone, The therapeutic efficacy of Finerenone can be decreased when used in combination with Carbamazepine.]
[L04AA48, belumosudil, The serum concentration of Belumosudil can be decreased when it is combined with Carbamazepine.]
[P01CA03, fexinidazole, The metabolism of Carbamazepine can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Carbamazepine can be decreased when it is combined with Belzutifan.]
[L01EB10, mobocertinib, The serum concentration of Mobocertinib can be decreased when it is combined with Carbamazepine.]
[L01FX23, tisotumab vedotin, The metabolism of Tisotumab vedotin can be increased when combined with Carbamazepine.]
[N02CD07, atogepant, The serum concentration of Atogepant can be decreased when it is combined with Carbamazepine.]
[L04AA59, avacopan, The metabolism of Carbamazepine can be decreased when combined with Avacopan.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Carbamazepine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be increased when combined with Carbamazepine.]
[J01FF01, clindamycin, The metabolism of Carbamazepine can be decreased when combined with Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Carbamazepine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Carbamazepine can be increased when it is combined with Asciminib.]
[L02BG06, exemestane, The metabolism of Exemestane can be increased when combined with Carbamazepine.]
[J05AX10, maribavir, The serum concentration of Maribavir can be decreased when it is combined with Carbamazepine.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Carbamazepine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Carbamazepine.]
[J04BA01, clofazimine, The metabolism of Carbamazepine can be decreased when combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Carbamazepine.]
[C10AB01, clofibrate, The metabolism of Carbamazepine can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Mitapivat can be increased when combined with Carbamazepine.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Pacritinib can be decreased when it is combined with Carbamazepine.]
[N06AA04, clomipramine, The serum concentration of Clomipramine can be increased when it is combined with Carbamazepine.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Carbamazepine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Carbamazepine.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be decreased when it is combined with Carbamazepine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Carbamazepine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The therapeutic efficacy of Vonoprazan can be decreased when used in combination with Carbamazepine.]
[N03AX27, ganaxolone, The metabolism of Ganaxolone can be increased when combined with Carbamazepine.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Deucravacitinib.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Clothiapine.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be increased when combined with Carbamazepine.]
[A04AA01, ondansetron, The metabolism of Carbamazepine can be decreased when combined with Ondansetron.]
[A04AA02, granisetron, The metabolism of Granisetron can be increased when combined with Carbamazepine.]
[J05AX31, lenacapavir, The metabolism of Lenacapavir can be increased when combined with Carbamazepine.]
[L01XX77, adagrasib, The serum concentration of Adagrasib can be decreased when it is combined with Carbamazepine.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Carbamazepine is combined with Clozapine.]
[L01EN04, futibatinib, The metabolism of Futibatinib can be increased when combined with Carbamazepine.]
[A10BK06, sotagliflozin, The serum concentration of Sotagliflozin can be decreased when it is combined with Carbamazepine.]
[J01GB12, arbekacin, Arbekacin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Carbamazepine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Cocaine.]
[M09AX11, palovarotene, The serum concentration of Palovarotene can be decreased when it is combined with Carbamazepine.]
[C02KB01, metyrosine, Carbamazepine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Carbamazepine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R05DA04, codeine, The metabolism of Codeine can be increased when combined with Carbamazepine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Hexafluronium.]
[M04AC01, colchicine, The metabolism of Colchicine can be increased when combined with Carbamazepine.]
[A03AB10, hexocyclium, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Colistin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
