[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Oxprenolol.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Oxprenolol.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Brexanolone.]
[N05BA09, clobazam, The metabolism of Oxprenolol can be decreased when combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Oxprenolol.]
[V03AE07, calcium acetate, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Calcium acetate.]
[C09CA06, candesartan, Oxprenolol may increase the hypotensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Oxprenolol can be increased when combined with Etanercept.]
[N05AA06, cyamemazine, The serum concentration of Oxprenolol can be increased when it is combined with Cyamemazine.]
[C03BX03, cicletanine, Oxprenolol may increase the arrhythmogenic activities of Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Oxprenolol.]
[L01EJ02, fedratinib, The metabolism of Oxprenolol can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Oxprenolol is combined with Entrectinib.]
[N07XX11, pitolisant, Oxprenolol may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Oxprenolol.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Oxprenolol.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Yohimbine.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Oxprenolol.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Oxprenolol.]
[A16AX16, givosiran, The serum concentration of Oxprenolol can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Oxprenolol.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Oxprenolol.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Oxprenolol.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Oxprenolol can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Oxprenolol can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Oxprenolol.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Oxprenolol.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Oxprenolol.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Oxprenolol.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Oxprenolol.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Oxprenolol.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Oxprenolol.]
[M01AH02, rofecoxib, Rofecoxib may decrease the antihypertensive activities of Oxprenolol.]
[C08CA16, clevidipine, Oxprenolol may increase the arrhythmogenic activities of Clevidipine.]
[C01BD07, dronedarone, Dronedarone may increase the bradycardic activities of Oxprenolol.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Oxprenolol.]
[C02AA06, methoserpidine, Oxprenolol may increase the hypotensive activities of Methoserpidine.]
[A03AA08, dihexyverine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Opicapone.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Oxprenolol.]
[G04BD09, trospium, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, Droxicam may decrease the antihypertensive activities of Oxprenolol.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Oxprenolol.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the antihypertensive activities of Oxprenolol.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Oxprenolol.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Oxprenolol.]
[C08CA17, levamlodipine, The risk or severity of bradycardia can be increased when Levamlodipine is combined with Oxprenolol.]
[P01BB01, proguanil, The metabolism of Oxprenolol can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Remimazolam.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Oxprenolol is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Oxprenolol can be decreased when combined with Chloroquine.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Oxprenolol.]
[N05AA01, chlorpromazine, The metabolism of Oxprenolol can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Oxprenolol.]
[N05AF03, chlorprothixene, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the hypotensive activities of Oxprenolol.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Oxprenolol.]
[A11CC05, cholecalciferol, The metabolism of Oxprenolol can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Etifoxine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the antihypertensive activities of Oxprenolol.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Oxprenolol.]
[N06BX18, vinpocetine, Oxprenolol may increase the arrhythmogenic activities of Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Oxprenolol.]
[M01AB08, etodolac, Etodolac may decrease the antihypertensive activities of Oxprenolol.]
[M02AA06, etofenamate, Etofenamate may decrease the antihypertensive activities of Oxprenolol.]
[B06AC06, berotralstat, The metabolism of Oxprenolol can be decreased when combined with Berotralstat.]
[M09AA01, hydroquinine, Oxprenolol may increase the arrhythmogenic activities of Hydroquinine.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Oxprenolol.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Vericiguat.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Oxprenolol.]
[M01AE05, fenbufen, Fenbufen may decrease the antihypertensive activities of Oxprenolol.]
[N06BA10, fenethylline, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Fenethylline.]
[C01CA19, fenoldopam, Fenoldopam may increase the hypotensive activities of Oxprenolol.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Oxprenolol.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Oxprenolol.]
[R03CC15, formoterol, Oxprenolol may decrease the bronchodilatory activities of Formoterol.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Oxprenolol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Oxprenolol.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Oxprenolol can be decreased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Oxprenolol can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Oxprenolol.]
[N07CA02, cinnarizine, Cinnarizine may increase the arrhythmogenic activities of Oxprenolol.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Oxprenolol.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Citalopram.]
[C03DA05, finerenone, The risk or severity of hyperkalemia can be increased when Oxprenolol is combined with Finerenone.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Oxprenolol is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Oxprenolol.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the antihypertensive activities of Oxprenolol.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Oxprenolol.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Oxprenolol.]
[R03CC13, clenbuterol, Oxprenolol may decrease the bronchodilatory activities of Clenbuterol.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Calcium glubionate anhydrous.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when St. John's Wort is combined with Oxprenolol.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Oxprenolol.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Oxprenolol.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Oxprenolol.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Oxprenolol.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Oxprenolol.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Oxprenolol.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Oxprenolol.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Oxprenolol.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Oxprenolol.]
[N05AH02, clozapine, The metabolism of Oxprenolol can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Oxprenolol.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Oxprenolol.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Oxprenolol.]
[S02DA02, cocaine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Oxprenolol may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Oxprenolol can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the antihypertensive activities of Oxprenolol.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Oxprenolol.]
[M03AC05, hexafluorenium, Hexafluronium may increase the bradycardic activities of Oxprenolol.]
[A03AB10, hexocyclium, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[C01BA13, hydroquinidine, Oxprenolol may increase the arrhythmogenic activities of Hydroquinidine.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Oxprenolol.]
[A04AA03, tropisetron, Oxprenolol may increase the arrhythmogenic activities of Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Ifenprodil.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Oxprenolol.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the antihypertensive activities of Oxprenolol.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Oxprenolol.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Oxprenolol.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Oxprenolol.]
[B01AC10, indobufen, Indobufen may decrease the antihypertensive activities of Oxprenolol.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Oxprenolol.]
[M01AH03, valdecoxib, Valdecoxib may decrease the antihypertensive activities of Oxprenolol.]
[H01AX01, pegvisomant, Pegvisomant may increase the bradycardic activities of Oxprenolol.]
[C01AA06, lanatoside C, Oxprenolol may increase the bradycardic activities of Lanatoside C.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Oxprenolol.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Oxprenolol.]
[M01AH04, parecoxib, Parecoxib may decrease the antihypertensive activities of Oxprenolol.]
[J02AC02, itraconazole, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Oxprenolol.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Oxprenolol is combined with Bemiparin.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the antihypertensive activities of Oxprenolol.]
[L01EA01, imatinib, The serum concentration of Oxprenolol can be increased when it is combined with Imatinib.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Oxprenolol.]
[S01EE03, bimatoprost, Bimatoprost may increase the hypotensive activities of Oxprenolol.]
[C08CA09, lacidipine, Oxprenolol may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Lamotrigine may increase the arrhythmogenic activities of Oxprenolol.]
[N07BC04, lofexidine, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, Lonazolac may decrease the antihypertensive activities of Oxprenolol.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Lormetazepam.]
[M02AA31, loxoprofen, Loxoprofen may decrease the antihypertensive activities of Oxprenolol.]
[C09AA03, lisinopril, Lisinopril may increase the hypotensive activities of Oxprenolol.]
[C08CA11, manidipine, Oxprenolol may increase the arrhythmogenic activities of Manidipine.]
[A03AA04, mebeverine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Medifoxamine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Oxprenolol.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Oxprenolol.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Oxprenolol.]
[C01EB10, adenosine, Adenosine may increase the arrhythmogenic activities of Oxprenolol.]
[N04AA03, methixene, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, Oxprenolol may increase the arrhythmogenic activities of Cyclandelate.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Oxprenolol.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the hypotensive activities of Oxprenolol.]
[N05AD03, metylperon, Oxprenolol may increase the arrhythmogenic activities of Melperone.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Oxprenolol.]
[N06AX07, minaprine, Minaprine may increase the bradycardic activities of Oxprenolol.]
[S01XA18, cyclosporine, The metabolism of Oxprenolol can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Oxprenolol.]
[R06AX02, cyproheptadine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Moexipril may increase the hypotensive activities of Oxprenolol.]
[M02AA02, mofebutazone, Mofebutazone may decrease the antihypertensive activities of Oxprenolol.]
[M01AX22, morniflumate, Morniflumate may decrease the antihypertensive activities of Oxprenolol.]
[C03XA02, conivaptan, The risk or severity of adverse effects can be increased when Conivaptan is combined with Oxprenolol.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Oxprenolol.]
[G04BE09, vardenafil, Vardenafil may increase the antihypertensive activities of Oxprenolol.]
[M01AH05, etoricoxib, Etoricoxib may decrease the antihypertensive activities of Oxprenolol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Oxprenolol.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Oxprenolol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Oxprenolol.]
[M01AX01, nabumetone, Nabumetone may decrease the antihypertensive activities of Oxprenolol.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Oxprenolol.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Nordazepam.]
[C07AB12, nebivolol, Oxprenolol may increase the arrhythmogenic activities of Nebivolol.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Oxprenolol.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Oxprenolol.]
[C01CA23, theodrenaline, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Oxprenolol.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Oxprenolol.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Normethadone.]
[N06AB10, escitalopram, The serum concentration of Oxprenolol can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, Olsalazine may decrease the antihypertensive activities of Oxprenolol.]
[N06AA01, desipramine, The metabolism of Oxprenolol can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Deslanoside may increase the arrhythmogenic activities of Oxprenolol.]
[H01BA02, desmopressin, Desmopressin may decrease the antihypertensive activities of Oxprenolol.]
[C09XA02, aliskiren, Oxprenolol may increase the hypotensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Oxprenolol.]
[M01AE12, oxaprozin, Oxaprozin may decrease the antihypertensive activities of Oxprenolol.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Oxprenolol.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Oxiracetam.]
[N04AA08, dexetimide, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Oxprenolol.]
[A03AA01, oxyphencyclimine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Oxprenolol can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Oxprenolol.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Oxprenolol.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Oxprenolol.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Oxprenolol.]
[N06AB05, paroxetine, The metabolism of Oxprenolol can be decreased when combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Oxprenolol.]
[C04AD01, pentifylline, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Pentifylline.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Oxprenolol.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Oxprenolol.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Oxprenolol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Oxprenolol.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Dibenzepin.]
[S02DA04, dibucaine, Cinchocaine may increase the bradycardic activities of Oxprenolol.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Diclofenamide is combined with Oxprenolol.]
[S01BC03, diclofenac, Diclofenac may decrease the antihypertensive activities of Oxprenolol.]
[A03AA07, dicyclomine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Oxprenolol may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, Oxprenolol may increase the arrhythmogenic activities of Pinaverium.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Oxprenolol.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Pipamperone.]
[A03AB14, pipenzolate, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Oxprenolol.]
[R03CC07, pirbuterol, Oxprenolol may decrease the bronchodilatory activities of Pirbuterol.]
[P02CB02, diethylcarbamazine, Diethylcarbamazine may increase the bradycardic activities of Oxprenolol.]
[A08AA03, diethylpropion, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Diethylpropion.]
[C08CA03, isradipine, Isradipine may increase the arrhythmogenic activities of Oxprenolol.]
[A03AB11, poldine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the antihypertensive activities of Oxprenolol.]
[C01AA04, digitoxin, Digitoxin may increase the arrhythmogenic activities of Oxprenolol.]
[C01AA05, digoxin, Digoxin may increase the arrhythmogenic activities of Oxprenolol.]
[C02DB01, dihydralazine, Oxprenolol may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Oxprenolol may increase the vasoconstricting activities of Dihydroergocristine.]
[N02CA01, dihydroergotamine, Oxprenolol may increase the vasoconstricting activities of Dihydroergotamine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Oxprenolol.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Oxprenolol.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Oxprenolol.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Pramocaine.]
[C08DB01, diltiazem, Diltiazem may increase the arrhythmogenic activities of Oxprenolol.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Oxprenolol.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Pridinol.]
[R06AB03, dimethindene, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, Oxprenolol may decrease the bronchodilatory activities of Procaterol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Oxprenolol can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Oxprenolol.]
[N06BC02, propentofylline, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Propentofylline.]
[N02BB04, propyphenazone, Propyphenazone may decrease the antihypertensive activities of Oxprenolol.]
[M01AB14, proglumetacin, Proglumetacin may decrease the antihypertensive activities of Oxprenolol.]
[R03DA03, proxyphylline, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Proxyphylline.]
[R06AA02, diphenhydramine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Oxprenolol.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Quazepam.]
[C09AA06, quinapril, Quinapril may increase the hypotensive activities of Oxprenolol.]
[B01AC07, dipyridamole, Dipyridamole may increase the bradycardic activities of Oxprenolol.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Oxprenolol.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Oxprenolol can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Ramipril may increase the hypotensive activities of Oxprenolol.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Oxprenolol.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Oxprenolol.]
[C01BA03, disopyramide, Disopyramide may increase the bradycardic activities of Oxprenolol.]
[N07AA03, distigmine, Distigmine may increase the bradycardic activities of Oxprenolol.]
[S02AA12, rifamycin SV, The metabolism of Oxprenolol can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Oxprenolol can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The metabolism of Oxprenolol can be increased when combined with Rifaximin.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Oxprenolol.]
[N05AX08, risperidone, Oxprenolol may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Oxprenolol.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Oxprenolol.]
[C03XA01, tolvaptan, The risk or severity of hyperkalemia can be increased when Oxprenolol is combined with Tolvaptan.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Oxprenolol.]
[G04BE08, tadalafil, Tadalafil may increase the hypotensive activities of Oxprenolol.]
[S01BC05, ketorolac, Ketorolac may decrease the antihypertensive activities of Oxprenolol.]
[C02KX02, ambrisentan, Oxprenolol may increase the hypotensive activities of Ambrisentan.]
