[S02DA03, antipyrine, The metabolism of Cabazitaxel can be decreased when combined with Antipyrine.]
[N07XX11, pitolisant, The serum concentration of Cabazitaxel can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Cabazitaxel can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, The serum concentration of Cabazitaxel can be increased when it is combined with Lefamulin.]
[N04CX01, istradefylline, The serum concentration of Cabazitaxel can be increased when it is combined with Istradefylline.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Cabazitaxel.]
[J01XX09, daptomycin, The serum concentration of Cabazitaxel can be increased when it is combined with Daptomycin.]
[J01DB01, cephalexin, The metabolism of Cabazitaxel can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The metabolism of Cabazitaxel can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Cabazitaxel can be increased when combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Cabazitaxel.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Cabazitaxel can be decreased when combined with Trastuzumab emtansine.]
[N02CC08, lasmiditan, The serum concentration of Cabazitaxel can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Diroximel fumarate.]
[B06AX03, voxelotor, The serum concentration of Cabazitaxel can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Cabazitaxel can be decreased when it is combined with Cenobamate.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Cabazitaxel.]
[L01FX13, enfortumab vedotin, The serum concentration of Cabazitaxel can be increased when it is combined with Enfortumab vedotin.]
[N05CM21, lemborexant, The metabolism of Cabazitaxel can be decreased when combined with Lemborexant.]
[L01XX72, tazemetostat, The metabolism of Cabazitaxel can be decreased when combined with Tazemetostat.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Teprotumumab is combined with Cabazitaxel.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Cabazitaxel.]
[C10AX15, bempedoic acid, The excretion of Bempedoic acid can be decreased when combined with Cabazitaxel.]
[J05AB16, remdesivir, The metabolism of Cabazitaxel can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Cabazitaxel can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Cabazitaxel can be decreased when combined with Amprenavir.]
[G04CB02, dutasteride, The metabolism of Cabazitaxel can be decreased when combined with Dutasteride.]
[L04AA38, ozanimod, Cabazitaxel may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EE04, selumetinib, The metabolism of Cabazitaxel can be decreased when combined with Selumetinib.]
[M01AH02, rofecoxib, The metabolism of Cabazitaxel can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Cabazitaxel can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Cabazitaxel can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The serum concentration of Cabazitaxel can be increased when it is combined with Dronedarone.]
[J01FA13, dirithromycin, The metabolism of Cabazitaxel can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Cabazitaxel.]
[S03AA08, chloramphenicol, The metabolism of Cabazitaxel can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, Tucatinib may decrease the excretion rate of Cabazitaxel which could result in a higher serum level.]
[L01EX17, capmatinib, The serum concentration of Cabazitaxel can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The metabolism of Cabazitaxel can be increased when combined with Fluprednidene.]
[L01EX19, ripretinib, The serum concentration of Cabazitaxel can be increased when it is combined with Ripretinib.]
[L01EX22, selpercatinib, The serum concentration of Cabazitaxel can be increased when it is combined with Selpercatinib.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Cabazitaxel.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Cabazitaxel is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Cabazitaxel.]
[C08CA17, levamlodipine, The metabolism of Cabazitaxel can be decreased when combined with Levamlodipine.]
[R06AX22, ebastine, The metabolism of Cabazitaxel can be decreased when combined with Ebastine.]
[J05AX29, fostemsavir, Cabazitaxel may decrease the excretion rate of Fostemsavir which could result in a higher serum level.]
[L01FX15, belantamab mafodotin, The serum concentration of Cabazitaxel can be increased when it is combined with Belantamab mafodotin.]
[L04AC19, satralizumab, The serum concentration of Cabazitaxel can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Cabazitaxel can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The serum concentration of Cabazitaxel can be increased when it is combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Cabazitaxel.]
[R06AB04, chlorpheniramine, The metabolism of Cabazitaxel can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Cabazitaxel can be increased when combined with Chlorpromazine.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be decreased when combined with Cabazitaxel.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Cabazitaxel.]
[A16AX20, lonafarnib, The metabolism of Cabazitaxel can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Cabazitaxel.]
[L02BX04, relugolix, The metabolism of Cabazitaxel can be decreased when combined with Relugolix.]
[L04AD03, voclosporin, The serum concentration of Cabazitaxel can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Cabazitaxel can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Cabazitaxel can be increased when it is combined with Tepotinib.]
[L01EX25, umbralisib, The serum concentration of Cabazitaxel can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, Cabazitaxel may decrease the excretion rate of Trilaciclib which could result in a higher serum level.]
[N03AX10, felbamate, The metabolism of Cabazitaxel can be increased when combined with Felbamate.]
[G04CB01, finasteride, The metabolism of Cabazitaxel can be decreased when combined with Finasteride.]
[R03BA03, flunisolide, The metabolism of Cabazitaxel can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Cabazitaxel can be increased when combined with Fluocinolone acetonide.]
[L04AA50, ponesimod, The metabolism of Cabazitaxel can be decreased when combined with Ponesimod.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Cabazitaxel.]
[L01EK03, tivozanib, The serum concentration of Cabazitaxel can be increased when it is combined with Tivozanib.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Cabazitaxel.]
[L01FX22, loncastuximab tesirine, The serum concentration of Cabazitaxel can be increased when it is combined with Loncastuximab tesirine.]
[A02BA01, cimetidine, The metabolism of Cabazitaxel can be decreased when combined with Cimetidine.]
[L01XX73, sotorasib, The serum concentration of Cabazitaxel can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Cabazitaxel can be decreased when combined with Infigratinib.]
[S03AA07, ciprofloxacin, The metabolism of Cabazitaxel can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Cabazitaxel.]
[N06AB04, citalopram, The metabolism of Cabazitaxel can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Pegcetacoplan.]
[C03DA05, finerenone, The metabolism of Cabazitaxel can be decreased when combined with Finerenone.]
[L04AA48, belumosudil, The serum concentration of Cabazitaxel can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Cabazitaxel can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Cabazitaxel can be decreased when it is combined with Belzutifan.]
[L01EB10, mobocertinib, The serum concentration of Cabazitaxel can be decreased when it is combined with Mobocertinib.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Cabazitaxel.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Cabazitaxel can be increased when it is combined with Technetium Tc-99m sestamibi.]
[L04AA59, avacopan, The metabolism of Cabazitaxel can be decreased when combined with Avacopan.]
[J01FF01, clindamycin, The metabolism of Cabazitaxel can be decreased when combined with Clindamycin.]
[N06AX25, St. John's wort extract, The serum concentration of Cabazitaxel can be decreased when it is combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Cabazitaxel can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Cabazitaxel can be increased when it is combined with Maribavir.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The serum concentration of Cabazitaxel can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Cabazitaxel can be increased when it is combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Cabazitaxel.]
[C10AB01, clofibrate, The metabolism of Cabazitaxel can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Cabazitaxel can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Cabazitaxel can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Cabazitaxel can be increased when it is combined with Clomifene.]
[S01EA04, clonidine, The metabolism of Cabazitaxel can be decreased when combined with Clonidine.]
[J05AB17, brincidofovir, The serum concentration of Brincidofovir can be increased when it is combined with Cabazitaxel.]
[C01EB24, mavacamten, The serum concentration of Cabazitaxel can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Cabazitaxel can be decreased when combined with Vonoprazan.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Deucravacitinib.]
[H01CC04, linzagolix, The serum concentration of Cabazitaxel can be increased when it is combined with Linzagolix.]
[A04AA01, ondansetron, The metabolism of Cabazitaxel can be decreased when combined with Ondansetron.]
[J05AX31, lenacapavir, The metabolism of Cabazitaxel can be decreased when combined with Lenacapavir.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Cabazitaxel is combined with Clozapine.]
[L01EN04, futibatinib, The serum concentration of Cabazitaxel can be increased when it is combined with Futibatinib.]
[A10BK06, sotagliflozin, The serum concentration of Cabazitaxel can be increased when it is combined with Sotagliflozin.]
[H01AC08, somatrogon, The metabolism of Cabazitaxel can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Cabazitaxel can be increased when combined with Bimekizumab.]
[M04AC01, colchicine, The serum concentration of Cabazitaxel can be increased when it is combined with Colchicine.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Leflunomide.]
[A10BX03, nateglinide, The metabolism of Cabazitaxel can be decreased when combined with Nateglinide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Cabazitaxel.]
[J01FA15, telithromycin, The metabolism of Cabazitaxel can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Cabazitaxel.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Cabazitaxel.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Cabazitaxel.]
[N02CC05, almotriptan, The metabolism of Cabazitaxel can be decreased when combined with Almotriptan.]
[J02AC02, itraconazole, The metabolism of Cabazitaxel can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Cabazitaxel.]
[N05BA10, ketazolam, The metabolism of Cabazitaxel can be decreased when combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Cabazitaxel can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Cabazitaxel can be decreased when combined with Posaconazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Cabazitaxel.]
[S01BA03, cortisone, The metabolism of Cabazitaxel can be increased when combined with Cortisone.]
[R06AX13, loratadine, The metabolism of Cabazitaxel can be decreased when combined with Loratadine.]
[C08CA11, manidipine, The metabolism of Cabazitaxel can be decreased when combined with Manidipine.]
[H02AB15, meprednisone, The metabolism of Cabazitaxel can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Cabazitaxel can be decreased when combined with Mequitazine.]
[C03DA04, eplerenone, The metabolism of Cabazitaxel can be decreased when combined with Eplerenone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Cabazitaxel.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Cabazitaxel.]
[J01FA03, midecamycin, The metabolism of Cabazitaxel can be decreased when combined with Midecamycin.]
[J05AF07, tenofovir disoproxil, The serum concentration of Cabazitaxel can be increased when it is combined with Tenofovir disoproxil.]
[L01AA01, cyclophosphamide, The metabolism of Cabazitaxel can be increased when combined with Cyclophosphamide.]
[S01XA18, cyclosporine, Cabazitaxel may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Cabazitaxel can be increased when combined with Modafinil.]
[C10AA07, rosuvastatin, The metabolism of Cabazitaxel can be decreased when combined with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Cabazitaxel can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Cabazitaxel.]
[G04BE09, vardenafil, The serum concentration of Cabazitaxel can be increased when it is combined with Vardenafil.]
[M01AH05, etoricoxib, The metabolism of Cabazitaxel can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Cabazitaxel.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Cabazitaxel.]
[G03XA01, danazol, The metabolism of Cabazitaxel can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Cabazitaxel can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Cabazitaxel can be decreased when combined with Daunorubicin.]
[N06AX06, nefazodone, The metabolism of Cabazitaxel can be decreased when combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Cabazitaxel can be decreased when combined with Nilutamide.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Cabazitaxel.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Cabazitaxel.]
[N06AA01, desipramine, The metabolism of Cabazitaxel can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Deslanoside may decrease the cardiotoxic activities of Cabazitaxel.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Cabazitaxel.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Cabazitaxel.]
[N03AF02, oxcarbazepine, The metabolism of Cabazitaxel can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Cabazitaxel can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Cabazitaxel can be decreased when combined with Oxybutynin.]
[L04AB04, adalimumab, The metabolism of Cabazitaxel can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Cabazitaxel can be decreased when combined with Gefitinib.]
[R05DA09, dextromethorphan, The metabolism of Cabazitaxel can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, The metabolism of Cabazitaxel can be decreased when combined with Paramethadione.]
[B01AC04, clopidogrel, The metabolism of Cabazitaxel can be decreased when combined with Clopidogrel.]
[N05BA01, diazepam, The metabolism of Cabazitaxel can be decreased when combined with Diazepam.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Cabazitaxel can be decreased when combined with Diclofenac.]
[J01CF01, dicloxacillin, The metabolism of Cabazitaxel can be increased when combined with Dicloxacillin.]
[A10BG03, pioglitazone, The metabolism of Cabazitaxel can be decreased when combined with Pioglitazone.]
[L01DC04, ixabepilone, The serum concentration of Cabazitaxel can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Cabazitaxel can be decreased when combined with Erlotinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, The metabolism of Cabazitaxel can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Cabazitaxel can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Cabazitaxel can be increased when combined with Difluocortolone.]
[C01AA04, digitoxin, The serum concentration of Cabazitaxel can be increased when it is combined with Digitoxin.]
[C01AA05, digoxin, The serum concentration of Cabazitaxel can be increased when it is combined with Digoxin.]
[C10AX09, ezetimibe, Cabazitaxel may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Cabazitaxel.]
[C04AE04, dihydroergocristine, The metabolism of Cabazitaxel can be decreased when combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Cabazitaxel can be decreased when combined with Dihydroergotamine.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Cabazitaxel.]
[J05AE08, atazanavir, The metabolism of Cabazitaxel can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Cabazitaxel can be decreased when combined with Treprostinil.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Cabazitaxel can be decreased when combined with Diltiazem.]
[M02AX03, dimethyl sulfoxide, The metabolism of Cabazitaxel can be decreased when combined with Dimethyl sulfoxide.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Cabazitaxel.]
[C05CA03, diosmin, The serum concentration of Cabazitaxel can be increased when it is combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Cabazitaxel.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Cabazitaxel.]
[A03FA02, cisapride, The metabolism of Cabazitaxel can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Cabazitaxel can be decreased when combined with Sirolimus.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Natalizumab.]
[P03AA04, disulfiram, The metabolism of Cabazitaxel can be decreased when combined with Disulfiram.]
[S02AA12, rifamycin SV, The serum concentration of Cabazitaxel can be increased when it is combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Cabazitaxel can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Cabazitaxel may decrease the excretion rate of Riluzole which could result in a higher serum level.]
[N05AX08, risperidone, The metabolism of Cabazitaxel can be decreased when combined with Risperidone.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Cabazitaxel.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Cabazitaxel can be decreased when combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Cabazitaxel can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The serum concentration of Cabazitaxel can be increased when it is combined with Tolvaptan.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Cabazitaxel.]
[J05AE07, fosamprenavir, The metabolism of Cabazitaxel can be decreased when combined with Fosamprenavir.]
[G04BE08, tadalafil, The metabolism of Cabazitaxel can be decreased when combined with Tadalafil.]
[S01BC05, ketorolac, The metabolism of Cabazitaxel can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, The metabolism of Cabazitaxel can be decreased when combined with Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Cabazitaxel can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The metabolism of Cabazitaxel can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Cabazitaxel can be decreased when combined with Domperidone.]
[L01DB01, doxorubicin, The serum concentration of Doxorubicin can be increased when it is combined with Cabazitaxel.]
[C10AA01, simvastatin, The serum concentration of Cabazitaxel can be increased when it is combined with Simvastatin.]
[N02CC01, sumatriptan, Cabazitaxel may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[C07AB13, talinolol, The serum concentration of Cabazitaxel can be increased when it is combined with Talinolol.]
[H01AA01, corticotropin, The metabolism of Cabazitaxel can be increased when combined with Corticotropin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Cabazitaxel.]
[D01BA02, terbinafine, The metabolism of Cabazitaxel can be increased when combined with Terbinafine.]
[C09AA02, enalapril, The excretion of Enalapril can be decreased when combined with Cabazitaxel.]
[N03AX11, topiramate, The metabolism of Cabazitaxel can be increased when combined with Topiramate.]
[L02BA02, toremifene, The serum concentration of Cabazitaxel can be increased when it is combined with Toremifene.]
[C03CA04, torsemide, The metabolism of Cabazitaxel can be decreased when combined with Torasemide.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Cabazitaxel.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Cabazitaxel.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Cabazitaxel.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Cabazitaxel.]
[C08CA12, mepirodipine, The metabolism of Cabazitaxel can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Cabazitaxel can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Cabazitaxel.]
[N03AX15, zonisamide, The serum concentration of Cabazitaxel can be increased when it is combined with Zonisamide.]
[N05CF01, zopiclone, The metabolism of Cabazitaxel can be decreased when combined with Zopiclone.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Cabazitaxel.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Cabazitaxel.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Cabazitaxel.]
[N02CA02, ergotamine, The metabolism of Cabazitaxel can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Cabazitaxel can be decreased when combined with Valproic acid.]
[S01AA17, erythromycin, The serum concentration of Cabazitaxel can be increased when it is combined with Erythromycin.]
[G03CA03, estradiol, The metabolism of Cabazitaxel can be decreased when combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Cabazitaxel.]
[G03CA57, estrogens, conjugated (USP), Cabazitaxel may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Cabazitaxel can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Cabazitaxel can be increased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Cabazitaxel can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Cabazitaxel can be decreased when combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The metabolism of Cabazitaxel can be decreased when combined with Ethinylestradiol.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Etidocaine.]
[L01CB01, etoposide, The metabolism of Cabazitaxel can be decreased when combined with Etoposide.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Cabazitaxel.]
[R06AX11, astemizole, The metabolism of Cabazitaxel can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Cabazitaxel can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Cabazitaxel can be decreased when combined with Fluvoxamine.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Cabazitaxel.]
[C10AA03, pravastatin, Cabazitaxel may decrease the excretion rate of Pravastatin which could result in a higher serum level.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Cabazitaxel.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Cabazitaxel.]
[P02CA03, albendazole, The metabolism of Cabazitaxel can be decreased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Cabazitaxel can be decreased when combined with Felodipine.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Cabazitaxel.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Cabazitaxel.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Cabazitaxel.]
[J01CF05, floxacillin, The metabolism of Cabazitaxel can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The serum concentration of Cabazitaxel can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Cabazitaxel.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Cabazitaxel.]
[D07AC08, fluocinonide, The metabolism of Cabazitaxel can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Cabazitaxel can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Cabazitaxel can be increased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Cabazitaxel.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Cabazitaxel.]
[L01BC02, fluorouracil, The metabolism of Cabazitaxel can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The metabolism of Cabazitaxel can be decreased when combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Cabazitaxel.]
[L02BB01, flutamide, The metabolism of Cabazitaxel can be decreased when combined with Flutamide.]
[V04CX02, folic acid, Cabazitaxel may decrease the excretion rate of Folic acid which could result in a higher serum level.]
