[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Mometasone.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Mometasone.]
[M01AX01, nabumetone, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Nabumetone.]
[C01DX16, nicorandil, The risk or severity of ulceration can be increased when Mometasone is combined with Nicorandil.]
[G03DB04, nomegestrol, The serum concentration of Mometasone can be increased when it is combined with Nomegestrol.]
[M03AC11, cisatracurium, The risk or severity of myopathy and weakness can be increased when Cisatracurium is combined with Mometasone.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Mometasone.]
[A07EC03, olsalazine, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Olsalazine.]
[C01AA07, deslanoside, The risk or severity of adverse effects can be increased when Mometasone is combined with Deslanoside.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Mometasone.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Mometasone.]
[M01AE12, oxaprozin, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be increased when combined with Mometasone.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Mometasone.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be increased when combined with Mometasone.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be increased when combined with Mometasone.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Mometasone.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be increased when combined with Mometasone.]
[N05BA01, diazepam, The metabolism of Diazepam can be increased when combined with Mometasone.]
[S02DA04, dibucaine, The therapeutic efficacy of Cinchocaine can be decreased when used in combination with Mometasone.]
[S01BC03, diclofenac, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Diclofenac.]
[A10BG03, pioglitazone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Pioglitazone.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be increased when combined with Mometasone.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Mometasone.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Mometasone is combined with Pirarubicin.]
[R03CC07, pirbuterol, The risk or severity of hypokalemia can be increased when Mometasone is combined with Pirbuterol.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Mometasone.]
[L02AA01, diethylstilbestrol, The serum concentration of Mometasone can be increased when it is combined with Diethylstilbestrol.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Mometasone is combined with Difluocortolone.]
[N02BA11, diflunisal, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of adverse effects can be increased when Mometasone is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of adverse effects can be increased when Mometasone is combined with Digoxin.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Mometasone.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be increased when combined with Mometasone.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Mometasone.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Mometasone.]
[A11CC02, dihydrotachysterol, The therapeutic efficacy of Dihydrotachysterol can be decreased when used in combination with Mometasone.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be increased when combined with Mometasone.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Mometasone.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be increased when combined with Mometasone.]
[R03CC08, procaterol, The risk or severity of hypokalemia can be increased when Mometasone is combined with Procaterol.]
[N02BB04, propyphenazone, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Proglumetacin.]
[A03FA02, cisapride, The metabolism of Cisapride can be increased when combined with Mometasone.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be increased when combined with Mometasone.]
[C01BA03, disopyramide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Natalizumab.]
[N07AA03, distigmine, The therapeutic efficacy of Distigmine can be decreased when used in combination with Mometasone.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be increased when combined with Mometasone.]
[N05AX08, risperidone, The metabolism of Risperidone can be increased when combined with Mometasone.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Mometasone.]
[J01MB01, rosoxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be increased when combined with Mometasone.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Mometasone.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Mometasone.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be increased when combined with Mometasone.]
[S01BC05, ketorolac, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Ketorolac.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be increased when combined with Mometasone.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Mometasone.]
[N02BA06, salsalate, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypokalemia can be increased when Mometasone is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of hypokalemia can be increased when Mometasone is combined with Dobutamine.]
[A03FA03, domperidone, The metabolism of Domperidone can be increased when combined with Mometasone.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Mometasone.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be increased when combined with Mometasone.]
[V04CX07, edrophonium, The therapeutic efficacy of Edrophonium can be decreased when used in combination with Mometasone.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Mometasone is combined with Corticotropin.]
[J01MA05, temafloxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Mometasone is combined with Temozolomide.]
[M01AC02, tenoxicam, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Mometasone.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Mometasone.]
[M01AG02, tolfenamic acid, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Tolfenamic acid.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Mometasone.]
[H02CA01, trilostane, The risk or severity of edema formation can be increased when Trilostane is combined with Mometasone.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Mometasone is combined with Trofosfamide.]
[J01MA04, enoxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Enoxacin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Mometasone.]
[S01FB02, ephedrine, Ephedrine may increase the excretion rate of Mometasone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EA01, epinephrine, The risk or severity of hypokalemia can be increased when Mometasone is combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Mometasone.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be increased when combined with Mometasone.]
[M01AB04, zomepirac, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Zomepirac.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be increased when combined with Mometasone.]
[A10AB06, insulin glulisine, human, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Mometasone.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Mometasone is combined with Carboplatin.]
[A11CC01, ergocalciferol, The therapeutic efficacy of Ergocalciferol can be decreased when used in combination with Mometasone.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be increased when combined with Mometasone.]
[S01AA17, erythromycin, The metabolism of Erythromycin can be increased when combined with Mometasone.]
[G03CA03, estradiol, The serum concentration of Mometasone can be increased when it is combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Mometasone is combined with Estramustine.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Mometasone is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be increased when combined with Mometasone.]
[L02AA03, ethinyl estradiol, The serum concentration of Mometasone can be increased when it is combined with Ethinylestradiol.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Mometasone.]
[M01AC06, meloxicam, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Meloxicam.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Mometasone.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Mometasone.]
[A02BA04, nizatidine, The therapeutic efficacy of Nizatidine can be decreased when used in combination with Mometasone.]
[J01MA08, fleroxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Mometasone.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be increased when combined with Mometasone.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Mometasone.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Mometasone.]
[P02CA03, albendazole, The metabolism of Albendazole can be increased when combined with Mometasone.]
[C08CA02, felodipine, The metabolism of Felodipine can be increased when combined with Mometasone.]
[M01AE04, fenoprofen, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypokalemia can be increased when Mometasone is combined with Fenoterol.]
[R03CC02, albuterol, The risk or severity of hypokalemia can be increased when Mometasone is combined with Salbutamol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Mometasone.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Mometasone.]
[N02BG04, floctafenine, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Floctafenine.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Mometasone is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Mometasone.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Mometasone is combined with Fluocinonide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Mometasone is combined with Fluocortolone.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Mometasone.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Mometasone.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Mometasone.]
[G03BA01, fluoxymesterone, The risk or severity of fluid retention can be increased when Mometasone is combined with Fluoxymesterone.]
[S01BC04, flurbiprofen, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Flurbiprofen.]
[L02BB01, flutamide, The metabolism of Flutamide can be increased when combined with Mometasone.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Mometasone.]
[M03AA01, alcuronium, The risk or severity of myopathy and weakness can be increased when Alcuronium is combined with Mometasone.]
[N05CF04, eszopiclone, The serum concentration of Eszopiclone can be decreased when it is combined with Mometasone.]
[N06DA04, galantamine, The therapeutic efficacy of Galantamine can be decreased when used in combination with Mometasone.]
[M03AC02, gallamine, The risk or severity of myopathy and weakness can be increased when Gallamine is combined with Mometasone.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Mometasone.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Mometasone.]
[A10BJ02, liraglutide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Liraglutide.]
[G03XA02, gestrinone, The serum concentration of Mometasone can be increased when it is combined with Gestrinone.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be increased when combined with Mometasone.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be increased when combined with Mometasone.]
[A10BB01, glyburide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Glyburide.]
[A10BB09, gliclazide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Glipizide.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Mometasone.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be increased when combined with Mometasone.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Mometasone.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Mometasone.]
[B01AA12, fluindione, Mometasone may increase the anticoagulant activities of Fluindione.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be increased when combined with Mometasone.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Mometasone.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be increased when combined with Mometasone.]
[A10AD05, insulin aspart, human, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Insulin aspart.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Mometasone.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Mometasone.]
[A07EC02, mesalamine, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Mesalazine.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Mometasone.]
[R03CC05, hexoprenaline, The risk or severity of hypokalemia can be increased when Mometasone is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be increased when combined with Mometasone.]
[M02AA26, nimesulide, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Nimesulide.]
[C03AA03, hydrochlorothiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone is combined with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be increased when combined with Mometasone.]
[C03AA02, hydroflumethiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone is combined with Hydroflumethiazide.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Mometasone is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Mometasone is combined with Hydroxyurea.]
[N05BB01, hydroxyzine, The metabolism of Hydroxyzine can be increased when combined with Mometasone.]
[R02AX02, ibuprofen, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Ibuprofen.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Mometasone is combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Mometasone.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Mometasone.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Mometasone is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Mometasone is combined with Topotecan.]
[C03BA11, indapamide, Mometasone may increase the hypokalemic activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Indomethacin.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Mometasone.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Mometasone.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Mometasone.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Eculizumab.]
[A10BH01, sitagliptin, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Sitagliptin.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be increased when combined with Mometasone.]
[A10BH02, vildagliptin, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be increased when combined with Mometasone.]
[C03BA02, quinethazone, Mometasone may increase the hypokalemic activities of Quinethazone.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Mometasone.]
[R03CC06, isoetharine, The risk or severity of hypokalemia can be increased when Mometasone is combined with Isoetharine.]
[S01EB07, isoflurophate, The therapeutic efficacy of Isoflurophate can be decreased when used in combination with Mometasone.]
[J04AC01, isoniazid, The serum concentration of Isoniazid can be decreased when it is combined with Mometasone.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Mometasone.]
[A10BJ01, exenatide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Exenatide.]
[H01AC01, somatropin, The therapeutic efficacy of Somatotropin can be decreased when used in combination with Mometasone.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Tocilizumab.]
[N01AX03, ketamine, The therapeutic efficacy of Ketamine can be decreased when used in combination with Mometasone.]
[M02AA10, ketoprofen, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Ketoprofen.]
[V03AC03, deferasirox, The risk or severity of gastrointestinal ulceration and gastrointestinal irritation can be increased when Mometasone is combined with Deferasirox.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Mometasone is combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypokalemia can be increased when Mometasone is combined with Arbutamine.]
[J01MB02, nalidixic acid, The risk or severity of tendinopathy can be increased when Mometasone is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Tiaprofenic acid.]
[N07AA30, ambenonium, The therapeutic efficacy of Ambenonium can be decreased when used in combination with Mometasone.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be increased when combined with Mometasone.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Mometasone.]
[G03AD01, levonorgestrel, The serum concentration of Mometasone can be increased when it is combined with Levonorgestrel.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be increased when combined with Mometasone.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be increased when combined with Mometasone.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Mometasone is combined with Lomustine.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Mometasone.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be increased when combined with Mometasone.]
[G03DC03, lynestrenol, The serum concentration of Mometasone can be increased when it is combined with Lynestrenol.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be increased when combined with Mometasone.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Mometasone is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be increased when combined with Mometasone.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Mechlorethamine can be decreased when used in combination with Mometasone.]
[M02AA18, meclofenamic acid, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Meclofenamic acid.]
[C01AA08, medigoxin, The risk or severity of adverse effects can be increased when Mometasone is combined with Metildigoxin.]
[P01BC02, mefloquine, The therapeutic efficacy of Mefloquine can be decreased when used in combination with Mometasone.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Mometasone is combined with Melphalan.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Mometasone.]
[N02AB02, meperidine, The metabolism of Meperidine can be increased when combined with Mometasone.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Mometasone.]
[L02BG01, aminoglutethimide, The therapeutic efficacy of Mometasone can be decreased when used in combination with Aminoglutethimide.]
[G03BB01, mesterolone, The risk or severity of edema formation can be increased when Mesterolone is combined with Mometasone.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be increased when combined with Mometasone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Mometasone.]
[A14AA04, methenolone, The risk or severity of edema formation can be increased when Metenolone is combined with Mometasone.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Mometasone.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Mometasone.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Mometasone.]
[C03AA08, methyclothiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone is combined with Methyclothiazide.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Mometasone.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Mometasone is combined with Methylprednisolone.]
[G03EK01, methyltestosterone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Mometasone.]
[N02CA04, methysergide, The metabolism of Methysergide can be increased when combined with Mometasone.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Mometasone.]
[C03BA08, metolazone, Mometasone may increase the hypokalemic activities of Metolazone.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be increased when combined with Mometasone.]
[N02BB03, aminopyrine, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Aminophenazone.]
[N05CD08, midazolam, The metabolism of Midazolam can be increased when combined with Mometasone.]
[G03XB01, mifepristone, The therapeutic efficacy of Mometasone can be decreased when used in combination with Mifepristone.]
[L01XX23, mitotane, The serum concentration of Mometasone can be decreased when it is combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mometasone is combined with Mitoxantrone.]
[L03AC01, aldesleukin, The therapeutic efficacy of Aldesleukin can be decreased when used in combination with Mometasone.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be increased when combined with Mometasone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be increased when combined with Mometasone.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Mometasone.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Mometasone is combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Mometasone.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Mometasone.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mometasone is combined with Mycophenolic acid.]
[M03AC03, vecuronium, The risk or severity of myopathy and weakness can be increased when Vecuronium is combined with Mometasone.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Mometasone.]
[N03AB05, fosphenytoin, The serum concentration of Mometasone can be decreased when it is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Mometasone.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Mometasone.]
[S01XA11, nandrolone, The risk or severity of edema formation can be increased when Nandrolone phenpropionate is combined with Mometasone.]
[M02AA12, naproxen, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Naproxen.]
[A10BG01, troglitazone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Troglitazone.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Mometasone.]
[A10BX02, repaglinide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Repaglinide.]
[S01EB06, neostigmine, The therapeutic efficacy of Neostigmine can be decreased when used in combination with Mometasone.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be increased when combined with Mometasone.]
[J02AA01, amphotericin B, The risk or severity of hypokalemia can be increased when Mometasone is combined with Amphotericin B.]
[H05BX02, paricalcitol, The therapeutic efficacy of Paricalcitol can be decreased when used in combination with Mometasone.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Mometasone.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be decreased when combined with Mometasone.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be increased when combined with Mometasone.]
[M02AA17, niflumic acid, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Niflumic acid.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be increased when combined with Mometasone.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be increased when combined with Mometasone.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be increased when combined with Mometasone.]
[C01CA03, norepinephrine, The risk or severity of hypokalemia can be increased when Mometasone is combined with Norepinephrine.]
[G03DC02, norethindrone, The serum concentration of Mometasone can be increased when it is combined with Norethisterone.]
[S01AE02, norfloxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Norfloxacin.]
[G03AC07, norgestrienone, The serum concentration of Mometasone can be increased when it is combined with Norgestrienone.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be increased when combined with Mometasone.]
[S02AA16, ofloxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Ofloxacin.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Mometasone is combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Mometasone.]
[R03CB03, metaproterenol, The risk or severity of hypokalemia can be increased when Mometasone is combined with Orciprenaline.]
[A14AA08, oxandrolone, The risk or severity of fluid retention can be increased when Mometasone is combined with Oxandrolone.]
[J01MB05, oxolinic acid, The risk or severity of tendinopathy can be increased when Mometasone is combined with Oxolinic acid.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be increased when combined with Mometasone.]
[S01GA04, oxymetazoline, The absorption of Mometasone can be decreased when combined with Oxymetazoline.]
[A14AA05, oxymetholone, The risk or severity of fluid retention can be increased when Mometasone is combined with Oxymetholone.]
[S01BC02, oxyphenbutazone, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Oxyphenbutazone.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be decreased when used in combination with Mometasone.]
[G03DB06, chlormadinone, The serum concentration of Mometasone can be increased when it is combined with Chlormadinone.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Paramethasone.]
[J01MA03, pefloxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Pefloxacin.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Mometasone is combined with Penicillamine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Mometasone.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Mometasone.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Mometasone.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Mometasone.]
[A10BA01, phenformin, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Phenformin.]
[B01AA02, phenindione, Mometasone may increase the anticoagulant activities of Phenindione.]
[B01AA04, phenprocoumon, Mometasone may increase the anticoagulant activities of Phenprocoumon.]
