[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Cyproterone acetate.]
[V09IX16, piflufolastat F-18, Cyproterone acetate may decrease effectiveness of Piflufolastat F 18 as a diagnostic agent.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Cyproterone acetate.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be increased when combined with Cyproterone acetate.]
[L01XX74, belzutifan, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Belzutifan.]
[L01EB10, mobocertinib, The serum concentration of Cyproterone acetate can be decreased when it is combined with Mobocertinib.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be increased when combined with Cyproterone acetate.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Cyproterone acetate.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Cyproterone acetate.]
[N06AX25, St. John's wort extract, The metabolism of Cyproterone acetate can be increased when combined with St. John's Wort.]
[V09IX14, gallium GA-68 gozetotide, Cyproterone acetate may increase effectiveness of Gallium Ga-68 gozetotide as a diagnostic agent.]
[B01AD11, tenecteplase, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Tenecteplase.]
[C10AB01, clofibrate, The metabolism of Cyproterone acetate can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Cyproterone acetate can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be increased when combined with Cyproterone acetate.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be increased when combined with Cyproterone acetate.]
[N03AE01, clonazepam, The metabolism of Cyproterone acetate can be increased when combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Cyproterone acetate is combined with Clonidine.]
[C01EB24, mavacamten, The serum concentration of Cyproterone acetate can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, Tirzepatide can cause a decrease in the absorption of Cyproterone acetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be increased when combined with Cyproterone acetate.]
[J01CF02, cloxacillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Cloxacillin.]
[N05AH02, clozapine, The metabolism of Clozapine can be increased when combined with Cyproterone acetate.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Cyproterone acetate.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Cyproterone acetate.]
[H01AC08, somatrogon, The metabolism of Cyproterone acetate can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Cocaine.]
[M09AX11, palovarotene, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Palovarotene.]
[J01CA18, hetacillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Hetacillin.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Cyproterone acetate.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Cyproterone acetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be increased when combined with Cyproterone acetate.]
[C04AX28, ifenprodil, The metabolism of Cyproterone acetate can be increased when combined with Ifenprodil.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Cyproterone acetate.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Cyproterone acetate.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Cyproterone acetate.]
[J01FA15, telithromycin, The metabolism of Cyproterone acetate can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The serum concentration of Ciclesonide can be increased when it is combined with Cyproterone acetate.]
[J02AC02, itraconazole, The metabolism of Cyproterone acetate can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Bemiparin.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be increased when combined with Cyproterone acetate.]
[L01EA01, imatinib, The metabolism of Imatinib can be increased when combined with Cyproterone acetate.]
[J02AC04, posaconazole, The metabolism of Cyproterone acetate can be decreased when combined with Posaconazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Cyproterone acetate.]
[N03AX09, lamotrigine, The metabolism of Cyproterone acetate can be increased when combined with Lamotrigine.]
[S01BA03, cortisone, The serum concentration of Cortisone can be increased when it is combined with Cyproterone acetate.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be increased when combined with Cyproterone acetate.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be increased when combined with Cyproterone acetate.]
[H02AB15, meprednisone, The serum concentration of Meprednisone can be increased when it is combined with Cyproterone acetate.]
[J01CA14, methampicillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Metampicillin.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Cyproterone acetate.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Cyproterone acetate.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Cyproterone acetate.]
[N06BA07, modafinil, The metabolism of Cyproterone acetate can be increased when combined with Modafinil.]
[C10AA07, rosuvastatin, Rosuvastatin may decrease the excretion rate of Cyproterone acetate which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Cyproterone acetate can be decreased when combined with Conivaptan.]
[J05AF10, entecavir, The metabolism of Entecavir can be increased when combined with Cyproterone acetate.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Cyproterone acetate.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be increased when combined with Cyproterone acetate.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be increased when combined with Cyproterone acetate.]
[G03XA01, danazol, The metabolism of Cyproterone acetate can be decreased when combined with Danazol.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be increased when combined with Cyproterone acetate.]
[J01AA01, demeclocycline, The serum concentration of Cyproterone acetate can be decreased when it is combined with Demeclocycline.]
[N06AX06, nefazodone, The metabolism of Cyproterone acetate can be decreased when combined with Nefazodone.]
[N03AG06, tiagabine, The metabolism of Cyproterone acetate can be increased when combined with Tiagabine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be increased when combined with Cyproterone acetate.]
[B01AX05, fondaparinux, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Fondaparinux.]
[D07XC02, desoximetasone, The serum concentration of Desoximetasone can be increased when it is combined with Cyproterone acetate.]
[H02AA03, desoxycorticosterone, The serum concentration of Desoxycortone can be increased when it is combined with Cyproterone acetate.]
[N03AF02, oxcarbazepine, The metabolism of Cyproterone acetate can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The serum concentration of Dexamethasone can be increased when it is combined with Cyproterone acetate.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be increased when combined with Cyproterone acetate.]
[N03AC01, paramethadione, The metabolism of Cyproterone acetate can be increased when combined with Paramethadione.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be increased when combined with Cyproterone acetate.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be increased when combined with Cyproterone acetate.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be increased when combined with Cyproterone acetate.]
[N05BA01, diazepam, The metabolism of Cyproterone acetate can be increased when combined with Diazepam.]
[N03AX07, phenacemide, The metabolism of Cyproterone acetate can be increased when combined with Phenacemide.]
[J01CE05, phenethicillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Pheneticillin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Phenol.]
[N03AD02, phensuximide, The metabolism of Cyproterone acetate can be increased when combined with Phensuximide.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be increased when combined with Cyproterone acetate.]
[J01CF01, dicloxacillin, The metabolism of Cyproterone acetate can be increased when combined with Dicloxacillin.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Cyproterone acetate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Cyproterone acetate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be increased when combined with Cyproterone acetate.]
[C08CA03, isradipine, The metabolism of Cyproterone acetate can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The serum concentration of Difluocortolone can be increased when it is combined with Cyproterone acetate.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Cyproterone acetate.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be increased when combined with Cyproterone acetate.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Cyproterone acetate.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Cyproterone acetate.]
[J05AE08, atazanavir, The serum concentration of Cyproterone acetate can be increased when it is combined with Atazanavir.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Cyproterone acetate can be decreased when combined with Diltiazem.]
[N03AG05, progabide, The metabolism of Cyproterone acetate can be increased when combined with Progabide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be increased when combined with Cyproterone acetate.]
[J01CE03, propicillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Propicillin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be increased when combined with Cyproterone acetate.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Dipyridamole.]
[B01AD10, drotrecogin alfa, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Drotrecogin alfa.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Cyproterone acetate.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Cyproterone acetate.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be increased when combined with Cyproterone acetate.]
[S02AA12, rifamycin SV, The metabolism of Cyproterone acetate can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Cyproterone acetate can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Riluzole can be increased when combined with Cyproterone acetate.]
[N01BB09, ropivacaine, The metabolism of Ropivacaine can be increased when combined with Cyproterone acetate.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Cyproterone acetate.]
[A04AD12, aprepitant, The serum concentration of Cyproterone acetate can be decreased when it is combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Cyproterone acetate.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Cyproterone acetate.]
[A03FA03, domperidone, The metabolism of Domperidone can be increased when combined with Cyproterone acetate.]
[N06AA12, doxepin, The metabolism of Doxepin can be increased when combined with Cyproterone acetate.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Cyproterone acetate.]
[J01AA02, doxycycline, The serum concentration of Cyproterone acetate can be decreased when it is combined with Doxycycline.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Cyproterone acetate.]
[H01AA01, corticotropin, The serum concentration of Corticotropin can be increased when it is combined with Cyproterone acetate.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be increased when combined with Cyproterone acetate.]
[J01CA17, temocillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Temocillin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be increased when combined with Cyproterone acetate.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Cyproterone acetate.]
[N03AX11, topiramate, The metabolism of Cyproterone acetate can be increased when combined with Topiramate.]
[J01AA12, tigecycline, The serum concentration of Cyproterone acetate can be decreased when it is combined with Tigecycline.]
[B01AC18, triflusal, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Triflusal.]
[H02CA01, trilostane, The serum concentration of Trilostane can be increased when it is combined with Cyproterone acetate.]
[C05CA04, troxerutin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Troxerutin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Cyproterone acetate.]
[C08CA12, mepirodipine, The metabolism of Cyproterone acetate can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be increased when combined with Cyproterone acetate.]
[N03AX15, zonisamide, The metabolism of Cyproterone acetate can be increased when combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Cyproterone acetate.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Cyproterone acetate.]
[N05AX11, zotepine, The metabolism of Zotepine can be increased when combined with Cyproterone acetate.]
[B01AD03, anistreplase, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Anistreplase.]
[N02CA02, ergotamine, The metabolism of Cyproterone acetate can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Cyproterone acetate can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The metabolism of Cyproterone acetate can be increased when combined with Estazolam.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be increased when combined with Cyproterone acetate.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Cyproterone acetate.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Cyproterone acetate.]
[R03BA09, fluticasone furoate, The serum concentration of Fluticasone furoate can be increased when it is combined with Cyproterone acetate.]
[R03BA05, fluticasone, The serum concentration of Fluticasone can be increased when it is combined with Cyproterone acetate.]
[N03AD01, ethosuximide, The metabolism of Cyproterone acetate can be increased when combined with Ethosuximide.]
[N03AB01, ethotoin, The metabolism of Cyproterone acetate can be increased when combined with Ethotoin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Etidocaine.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Cyproterone acetate.]
[D05BB01, etretinate, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Etretinate.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Cyproterone acetate.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Cyproterone acetate.]
[R06AX12, terfenadine, The metabolism of Cyproterone acetate can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be increased when combined with Cyproterone acetate.]
[C01BB03, tocainide, The metabolism of Tocainide can be increased when combined with Cyproterone acetate.]
[A05AA01, chenodeoxycholic acid, The therapeutic efficacy of Chenodeoxycholic acid can be decreased when used in combination with Cyproterone acetate.]
[D11AX24, deoxycholic acid, The therapeutic efficacy of Deoxycholic acid can be decreased when used in combination with Cyproterone acetate.]
[B05AA05, dextran, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Dextran.]
[P02CA03, albendazole, The metabolism of Albendazole can be increased when combined with Cyproterone acetate.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be increased when combined with Cyproterone acetate.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Cyproterone acetate.]
[B01AD05, plasmin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Fibrinolysin.]
[C01BC04, flecainide, The metabolism of Flecainide can be increased when combined with Cyproterone acetate.]
[J01CF05, floxacillin, The metabolism of Cyproterone acetate can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The bioavailability of Cyproterone acetate can be increased when combined with Fluconazole.]
[H02AA02, fludrocortisone, The serum concentration of Fludrocortisone can be increased when it is combined with Cyproterone acetate.]
[D07XB01, flumethasone, The serum concentration of Flumethasone can be increased when it is combined with Cyproterone acetate.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be increased when combined with Cyproterone acetate.]
[D07AC08, fluocinonide, The serum concentration of Fluocinonide can be increased when it is combined with Cyproterone acetate.]
[H02AB03, fluocortolone, The serum concentration of Fluocortolone can be increased when it is combined with Cyproterone acetate.]
[V03AZ01, ethanol, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Ethanol.]
[S01CB05, fluorometholone, The serum concentration of Fluorometholone can be increased when it is combined with Cyproterone acetate.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be increased when combined with Cyproterone acetate.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be increased when combined with Cyproterone acetate.]
[L02BB01, flutamide, The metabolism of Flutamide can be increased when combined with Cyproterone acetate.]
[L01BC03, tegafur, The metabolism of Tegafur can be increased when combined with Cyproterone acetate.]
[J05AE10, darunavir, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Darunavir.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Cyproterone acetate.]
[N03AA04, barbexaclone, The metabolism of Cyproterone acetate can be increased when combined with Barbexaclone.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Cyproterone acetate.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Cyproterone acetate.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be increased when combined with Cyproterone acetate.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Cyproterone acetate.]
[J05AG04, etravirine, The metabolism of Cyproterone acetate can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The metabolism of Cyproterone acetate can be increased when combined with Methsuximide.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Cyproterone acetate.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Cyproterone acetate.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Cyproterone acetate.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Cyproterone acetate.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Cyproterone acetate.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Cyproterone acetate.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Fluindione.]
[D01BA01, griseofulvin, The metabolism of Cyproterone acetate can be increased when combined with Griseofulvin.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Cyproterone acetate.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Cyproterone acetate.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Cyproterone acetate.]
[S01XA14, heparin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Heparin.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Cyproterone acetate.]
[N05CA16, hexobarbital, The metabolism of Cyproterone acetate can be increased when combined with Hexobarbital.]
[C08CA10, nilvadipine, The metabolism of Cyproterone acetate can be decreased when combined with Nilvadipine.]
[S02BA01, hydrocortisone, The serum concentration of Hydrocortisone can be increased when it is combined with Cyproterone acetate.]
[J04AB04, rifabutin, The metabolism of Cyproterone acetate can be increased when combined with Rifabutin.]
[B05CB02, sodium citrate, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Sodium citrate.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Cyproterone acetate.]
[N06AA02, imipramine, The metabolism of Imipramine can be increased when combined with Cyproterone acetate.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Cyproterone acetate.]
[R01AD07, tixocortol, The serum concentration of Tixocortol can be increased when it is combined with Cyproterone acetate.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be increased when combined with Cyproterone acetate.]
[N06AX17, milnacipran, The metabolism of Cyproterone acetate can be decreased when combined with Milnacipran.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Cyproterone acetate.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Cyproterone acetate.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be increased when combined with Cyproterone acetate.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Cyproterone acetate.]
[C10AA06, cerivastatin, The metabolism of Cyproterone acetate can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be increased when combined with Cyproterone acetate.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be increased when combined with Cyproterone acetate.]
[J04AC01, isoniazid, The metabolism of Cyproterone acetate can be decreased when combined with Isoniazid.]
[A10BJ01, exenatide, Exenatide can cause a decrease in the absorption of Cyproterone acetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[D10BA01, isotretinoin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Isotretinoin.]
[B01AE06, bivalirudin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Bivalirudin.]
[L04AC07, tocilizumab, The metabolism of Cyproterone acetate can be increased when combined with Tocilizumab.]
[B01AC22, prasugrel, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Cyproterone acetate can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Cyproterone acetate can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be increased when combined with Cyproterone acetate.]
[V03AC03, deferasirox, The metabolism of Cyproterone acetate can be increased when combined with Deferasirox.]
[N03AX18, lacosamide, The metabolism of Cyproterone acetate can be increased when combined with Lacosamide.]
[J01CA11, amdinocillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Pivmecillinam.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be increased when combined with Cyproterone acetate.]
[N06BA13, armodafinil, The metabolism of Cyproterone acetate can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Cyproterone acetate.]
[N05BA06, lorazepam, The metabolism of Cyproterone acetate can be increased when combined with Lorazepam.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Cyproterone acetate.]
[J01AA04, lymecycline, The serum concentration of Cyproterone acetate can be decreased when it is combined with Lymecycline.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Cyproterone acetate.]
[V04CC02, magnesium sulfate, The metabolism of Cyproterone acetate can be increased when combined with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Cyproterone acetate can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be increased when combined with Cyproterone acetate.]
[N05BA03, medazepam, The metabolism of Cyproterone acetate can be increased when combined with Medazepam.]
[B01AB06, nadroparin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Dalteparin.]
[N05CH01, melatonin, The metabolism of Melatonin can be increased when combined with Cyproterone acetate.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Cyproterone acetate.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be increased when combined with Cyproterone acetate.]
[N03AA01, mephobarbital, The metabolism of Cyproterone acetate can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Mepivacaine.]
[L02BG01, aminoglutethimide, The metabolism of Cyproterone acetate can be increased when combined with Aminoglutethimide.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Cyproterone acetate.]
[J01AA05, methacycline, The serum concentration of Cyproterone acetate can be decreased when it is combined with Metacycline.]
[N03AA30, metharbital, The metabolism of Cyproterone acetate can be increased when combined with Metharbital.]
[H03BB02, methimazole, The metabolism of Cyproterone acetate can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be increased when combined with Cyproterone acetate.]
[N05CA15, methohexital, The metabolism of Cyproterone acetate can be increased when combined with Methohexital.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Cyproterone acetate.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be increased when combined with Cyproterone acetate.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Cyproterone acetate.]
[H02AB04, methylprednisolone, The serum concentration of Methylprednisolone can be increased when it is combined with Cyproterone acetate.]
[D07AC14, methylprednisolone aceponate, The serum concentration of Methylprednisolone aceponate can be increased when it is combined with Cyproterone acetate.]
[N03AF03, rufinamide, The metabolism of Cyproterone acetate can be increased when combined with Rufinamide.]
[N02CA04, methysergide, The metabolism of Methysergide can be decreased when combined with Cyproterone acetate.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be increased when combined with Cyproterone acetate.]
[V04CD01, metyrapone, The metabolism of Cyproterone acetate can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be increased when combined with Cyproterone acetate.]
[J01CA10, mezlocillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Mezlocillin.]
[N06AX03, mianserin, The metabolism of Mianserin can be increased when combined with Cyproterone acetate.]
[S02AA13, miconazole, The metabolism of Cyproterone acetate can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be increased when combined with Cyproterone acetate.]
[B01AB07, parnaparin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Parnaparin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Cyproterone acetate.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Cyproterone acetate.]
[B01AB10, tinzaparin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Tinzaparin.]
[J01AA08, minocycline, The serum concentration of Cyproterone acetate can be decreased when it is combined with Minocycline.]
[L01XX23, mitotane, The metabolism of Cyproterone acetate can be increased when combined with Mitotane.]
[C01BD01, amiodarone, The metabolism of Cyproterone acetate can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be increased when combined with Cyproterone acetate.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be increased when combined with Cyproterone acetate.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Cyproterone acetate.]
[L04AA06, mycophenolic acid, The serum concentration of Cyproterone acetate can be decreased when it is combined with Mycophenolic acid.]
[N05CA02, amobarbital, The metabolism of Cyproterone acetate can be increased when combined with Amobarbital.]
[N03AB05, fosphenytoin, The metabolism of Cyproterone acetate can be increased when combined with Fosphenytoin.]
[J01CA04, amoxicillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Amoxicillin.]
