[P02BB01, trichlorfon, The therapeutic efficacy of Tramadol can be decreased when used in combination with Metrifonate.]
[B05XA15, potassium lactate, The therapeutic efficacy of Potassium lactate can be decreased when used in combination with Tramadol.]
[N05BA16, nordazepam, The risk or severity of CNS depression can be increased when Nordazepam is combined with Tramadol.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Tramadol.]
[S01GX04, nedocromil, Tramadol may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The risk or severity of serotonin syndrome can be increased when Nefazodone is combined with Tramadol.]
[N05CM16, niaprazine, The risk or severity of CNS depression can be increased when Niaprazine is combined with Tramadol.]
[C01DX16, nicorandil, Tramadol may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Tramadol may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N03AG06, tiagabine, The risk or severity of CNS depression can be increased when Tiagabine is combined with Tramadol.]
[M03AC11, cisatracurium, The risk or severity of CNS depression can be increased when Cisatracurium is combined with Tramadol.]
[C01CA05, norfenefrine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of serotonin syndrome can be increased when Normethadone is combined with Tramadol.]
[B01AX05, fondaparinux, Tramadol may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Escitalopram is combined with Tramadol.]
[G04BD08, solifenacin, The risk or severity of adverse effects can be increased when Solifenacin is combined with Tramadol.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N06AA01, desipramine, The risk or severity of serotonin syndrome can be increased when Desipramine is combined with Tramadol.]
[H01BA02, desmopressin, The risk or severity of hyponatremia can be increased when Tramadol is combined with Desmopressin.]
[V04CH02, indigo carmine, Tramadol may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Tramadol may decrease the excretion rate of Ertapenem which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The metabolism of Tramadol can be decreased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Tramadol can be decreased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of CNS depression can be increased when Oxiracetam is combined with Tramadol.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Dexetimide is combined with Tramadol.]
[G04BD04, oxybutynin, The metabolism of Tramadol can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Dexfenfluramine is combined with Tramadol.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Oxyphencyclimine is combined with Tramadol.]
[L04AB04, adalimumab, The metabolism of Tramadol can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Tramadol can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Tramadol.]
[R05DA09, dextromethorphan, The risk or severity of serotonin syndrome can be increased when Dextromethorphan is combined with Tramadol.]
[N03AC01, paramethadione, The risk or severity of CNS depression can be increased when Paramethadione is combined with Tramadol.]
[N02AC01, dextromoramide, The risk or severity of serotonin syndrome can be increased when Dextromoramide is combined with Tramadol.]
[N06AB05, paroxetine, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Tramadol.]
[B01AC04, clopidogrel, Tramadol can cause a decrease in the absorption of Clopidogrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N07BC06, heroin, The risk or severity of CNS depression can be increased when Diamorphine is combined with Tramadol.]
[C01DA05, pentaerythritol tetranitrate, Tramadol may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[A03AX15, peppermint oil, The metabolism of Tramadol can be decreased when combined with Peppermint oil.]
[P03AC04, permethrin, Tramadol may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Tramadol can be decreased when combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of CNS depression can be increased when Phenacemide is combined with Tramadol.]
[N03AD02, phensuximide, The risk or severity of CNS depression can be increased when Phensuximide is combined with Tramadol.]
[N06AA08, dibenzepin, The risk or severity of serotonin syndrome can be increased when Dibenzepin is combined with Tramadol.]
[S02DA04, dibucaine, The risk or severity of CNS depression can be increased when Cinchocaine is combined with Tramadol.]
[R05DA08, pholcodine, Tramadol may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CF01, dicloxacillin, The metabolism of Tramadol can be increased when combined with Dicloxacillin.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Dicyclomine is combined with Tramadol.]
[J05AF02, didanosine, Tramadol may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[N05AD05, pipamperone, The risk or severity of serotonin syndrome can be increased when Pipamperone is combined with Tramadol.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Pipenzolate is combined with Tramadol.]
[L01EB02, erlotinib, The metabolism of Tramadol can be decreased when combined with Erlotinib.]
[R03CC07, pirbuterol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Pirbuterol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Tramadol can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, The risk or severity of serotonin syndrome can be increased when Diethylpropion is combined with Tramadol.]
[L02AA01, diethylstilbestrol, The metabolism of Tramadol can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Tramadol can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, Tramadol may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Poldine is combined with Tramadol.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[C01AA05, digoxin, The risk or severity of adverse effects can be increased when Tramadol is combined with Digoxin.]
[N02CA01, dihydroergotamine, The risk or severity of serotonin syndrome can be increased when Dihydroergotamine is combined with Tramadol.]
[N02AA03, hydromorphone, The risk or severity of serotonin syndrome can be increased when Hydromorphone is combined with Tramadol.]
[L04AX04, lenalidomide, Tramadol may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Tramadol can be decreased when combined with Atazanavir.]
[H03BC01, potassium perchlorate, Tramadol may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Tramadol may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of CNS depression can be increased when Pramocaine is combined with Tramadol.]
[C08DB01, diltiazem, The metabolism of Tramadol can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of CNS depression can be increased when Dimenhydrinate is combined with Tramadol.]
[V03AB09, dimercaprol, Tramadol may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of CNS depression can be increased when Pridinol is combined with Tramadol.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Dimetindene is combined with Tramadol.]
[R03CC08, procaterol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Tramadol can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of CNS depression can be increased when Progabide is combined with Tramadol.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[R06AA02, diphenhydramine, The risk or severity of serotonin syndrome can be increased when Diphenhydramine is combined with Tramadol.]
[A07DA01, diphenoxylate, The risk or severity of serotonin syndrome can be increased when Diphenoxylate is combined with Tramadol.]
[N05CD10, quazepam, The risk or severity of CNS depression can be increased when Quazepam is combined with Tramadol.]
[N06BA11, dexmethylphenidate, The risk or severity of serotonin syndrome can be increased when Dexmethylphenidate is combined with Tramadol.]
[N06AA23, quinupramine, The risk or severity of serotonin syndrome can be increased when Quinupramine is combined with Tramadol.]
[A03FA02, cisapride, The risk or severity of serotonin syndrome can be increased when Cisapride is combined with Tramadol.]
[N05AL04, remoxipride, The risk or severity of CNS depression can be increased when Remoxipride is combined with Tramadol.]
[R03CC14, reproterol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Reproterol.]
[S01AX06, resorcinol, Tramadol may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of adverse effects can be increased when Disopyramide is combined with Tramadol.]
[N07AA03, distigmine, The therapeutic efficacy of Tramadol can be decreased when used in combination with Distigmine.]
[S02AA12, rifamycin SV, The metabolism of Tramadol can be decreased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Tramadol can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The metabolism of Tramadol can be increased when combined with Rifaximin.]
[N07XX02, riluzole, The risk or severity of CNS depression can be increased when Riluzole is combined with Tramadol.]
[N05AX08, risperidone, The risk or severity of serotonin syndrome can be increased when Risperidone is combined with Tramadol.]
[R06AE09, levocetirizine, The risk or severity of CNS depression can be increased when Levocetirizine is combined with Tramadol.]
[N01BB09, ropivacaine, The risk or severity of CNS depression can be increased when Ropivacaine is combined with Tramadol.]
[L01EX01, sunitinib, The metabolism of Tramadol can be decreased when combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Tramadol can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Tramadol can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Tramadol may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C01EB18, ranolazine, The serum concentration of Tramadol can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[R03AC12, salmeterol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[C01CA07, dobutamine, Tramadol may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Tramadol.]
[C01CA04, dopamine, Tramadol may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The risk or severity of serotonin syndrome can be increased when Dosulepin is combined with Tramadol.]
[N06AA12, doxepin, The risk or severity of serotonin syndrome can be increased when Doxepin is combined with Tramadol.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Tramadol.]
[L01DB01, doxorubicin, The metabolism of Tramadol can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Tramadol may decrease the excretion rate of Doxycycline which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Tramadol.]
[N06AB06, sertraline, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Tramadol.]
[N01AB08, sevoflurane, The risk or severity of CNS depression can be increased when Sevoflurane is combined with Tramadol.]
[N05AD08, droperidol, The risk or severity of CNS depression can be increased when Droperidol is combined with Tramadol.]
[A08AA10, sibutramine, The risk or severity of serotonin syndrome can be increased when Sibutramine is combined with Tramadol.]
[C10AA01, simvastatin, The metabolism of Tramadol can be increased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Tramadol.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Tramadol.]
[R03DA01, dyphylline, Tramadol may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of CNS depression can be increased when Sultopride is combined with Tramadol.]
[N02CC01, sumatriptan, The risk or severity of serotonin syndrome can be increased when Sumatriptan is combined with Tramadol.]
[G01AF05, econazole, The metabolism of Tramadol can be decreased when combined with Econazole.]
[V04CX07, edrophonium, The therapeutic efficacy of Tramadol can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Tramadol.]
[H01AA01, corticotropin, The metabolism of Tramadol can be increased when combined with Corticotropin.]
[L01AX03, temozolomide, Tramadol may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Tramadol can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Tramadol.]
[S01GA02, tetrahydrozoline, The risk or severity of Tachycardia can be increased when Tramadol is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of CNS depression can be increased when Tetrazepam is combined with Tramadol.]
[M03BX05, thiocolchicoside, The risk or severity of CNS depression can be increased when Thiocolchicoside is combined with Tramadol.]
[N05AB05, thiopropazate, The risk or severity of CNS depression can be increased when Thiopropazate is combined with Tramadol.]
[G04BD01, emepronium, The risk or severity of CNS depression can be increased when Emepronium is combined with Tramadol.]
[N06AX14, tianeptine, The risk or severity of serotonin syndrome can be increased when Tianeptine is combined with Tramadol.]
[G01AF08, tioconazole, The metabolism of Tramadol can be decreased when combined with Tioconazole.]
[N05BA23, tofisopam, The metabolism of Tramadol can be decreased when combined with Tofisopam.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N06AG03, toloxatone, The risk or severity of serotonin syndrome and seizure can be increased when Toloxatone is combined with Tramadol.]
[N06BA09, atomoxetine, Tramadol may decrease the excretion rate of Atomoxetine which could result in a higher serum level.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Tramadol is combined with Topiramate.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, The risk or severity of Tachycardia can be increased when Tramadol is combined with Tramazoline.]
[N05CD11, triazulenone, The risk or severity of CNS depression can be increased when Loprazolam is combined with Tramadol.]
[N05CC01, chloral hydrate, The risk or severity of CNS depression can be increased when Chloral hydrate is combined with Tramadol.]
[N05CM07, triclofos, The risk or severity of CNS depression can be increased when Triclofos is combined with Tramadol.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Tramadol.]
[R06AA10, trimethobenzamide, The risk or severity of CNS depression can be increased when Trimethobenzamide is combined with Tramadol.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Tropatepine is combined with Tramadol.]
[R03CC11, tulobuterol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of CNS depression can be increased when Enflurane is combined with Tramadol.]
[C02CA06, urapidil, The risk or severity of CNS depression can be increased when Urapidil is combined with Tramadol.]
[N05AL06, veralipride, The risk or severity of CNS depression can be increased when Veralipride is combined with Tramadol.]
[L01CA04, vinorelbine, The metabolism of Tramadol can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Ephedrine.]
[S01GX10, epinastine, The metabolism of Tramadol can be decreased when combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Venlafaxine is combined with Tramadol.]
[C01CX07, xamoterol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of Tachycardia can be increased when Tramadol is combined with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Tramadol can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Tramadol can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Tramadol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N03AX15, zonisamide, The risk or severity of CNS depression can be increased when Zonisamide is combined with Tramadol.]
[N05CF01, zopiclone, The risk or severity of CNS depression can be increased when Zopiclone is combined with Tramadol.]
[N05AX11, zotepine, The risk or severity of serotonin syndrome can be increased when Zotepine is combined with Tramadol.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of CNS depression can be increased when Guanfacine is combined with Tramadol.]
[C01BG01, moricizine, The risk or severity of CNS depression can be increased when Moricizine is combined with Tramadol.]
[G02AB03, ergonovine, The risk or severity of serotonin syndrome can be increased when Ergometrine is combined with Tramadol.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of serotonin syndrome can be increased when Ergoloid mesylate is combined with Tramadol.]
[N02CA02, ergotamine, The risk or severity of serotonin syndrome can be increased when Ergotamine is combined with Tramadol.]
[N03AG01, valproic acid, The risk or severity of serotonin syndrome can be increased when Valproic acid is combined with Tramadol.]
[L03AX05, pidotimod, Tramadol may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Tramadol can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of CNS depression can be increased when Estazolam is combined with Tramadol.]
[A02BC02, pantoprazole, Tramadol may decrease the excretion rate of Pantoprazole which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Tramadol can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, Tramadol may decrease the excretion rate of Estradiol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Tramadol may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[J04AK02, ethambutol, Tramadol may decrease the excretion rate of Ethambutol which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Tramadol can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Tramadol can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Tramadol can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Tramadol may decrease the excretion rate of Gadodiamide which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Gepefrine is combined with Tramadol.]
[N05CM08, ethchlorvynol, The risk or severity of CNS depression can be increased when Ethchlorvynol is combined with Tramadol.]
[L02AA03, ethinyl estradiol, The metabolism of Tramadol can be increased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, Tramadol may decrease the excretion rate of Ibutilide which could result in a higher serum level.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Tramadol.]
[N03AD01, ethosuximide, The risk or severity of CNS depression can be increased when Ethosuximide is combined with Tramadol.]
[N03AB01, ethotoin, The metabolism of Tramadol can be increased when combined with Ethotoin.]
[N01BX01, ethyl chloride, The risk or severity of CNS depression can be increased when Ethyl chloride is combined with Tramadol.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[S01XA06, ethylmorphine, The risk or severity of serotonin syndrome can be increased when Ethylmorphine is combined with Tramadol.]
[C01CA01, etilefrine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of CNS depression can be increased when Etomidate is combined with Tramadol.]
[L01CB01, etoposide, The metabolism of Tramadol can be decreased when combined with Etoposide.]
[N05AE03, sertindole, The risk or severity of serotonin syndrome can be increased when Sertindole is combined with Tramadol.]
[L04AD02, tacrolimus, The metabolism of Tramadol can be decreased when combined with Tacrolimus.]
[A02BA04, nizatidine, The therapeutic efficacy of Tramadol can be decreased when used in combination with Nizatidine.]
[R06AX11, astemizole, The metabolism of Tramadol can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Tramadol can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Tramadol may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Tramadol.]
[N06AB08, fluvoxamine, The risk or severity of serotonin syndrome can be increased when Fluvoxamine is combined with Tramadol.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Tramadol.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, The metabolism of Tramadol can be decreased when combined with Sodium aurothiomalate.]
[B05AA05, dextran, Tramadol may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Tramadol may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.]
[A16AA01, levocarnitine, Tramadol may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[C08CA02, felodipine, The metabolism of Tramadol can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Fenfluramine is combined with Tramadol.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Fenoterol is combined with Tramadol.]
[N02AB03, fentanyl, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Tramadol.]
[R03CC02, albuterol, Tramadol may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Tramadol may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[G04BD02, flavoxate, The risk or severity of adverse effects can be increased when Flavoxate is combined with Tramadol.]
[C01BC04, flecainide, The metabolism of Tramadol can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[J01CF05, floxacillin, The metabolism of Tramadol can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Tramadol can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Tramadol may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Tramadol may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of CNS depression can be increased when Flunarizine is combined with Tramadol.]
[N05CD03, flunitrazepam, The risk or severity of CNS depression can be increased when Flunitrazepam is combined with Tramadol.]
[N06AA14, melitracen, The risk or severity of serotonin syndrome can be increased when Melitracen is combined with Tramadol.]
[V03AZ01, ethanol, Tramadol may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Tramadol may decrease the excretion rate of Floxuridine which could result in a higher serum level.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Fluoxetine is combined with Tramadol.]
[N05AF01, flupenthixol, The risk or severity of serotonin syndrome can be increased when Flupentixol is combined with Tramadol.]
[N05AB02, fluphenazine, The metabolism of Tramadol can be decreased when combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of CNS depression can be increased when Flurazepam is combined with Tramadol.]
[S01BC04, flurbiprofen, The metabolism of Tramadol can be decreased when combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of serotonin syndrome can be increased when Fluspirilene is combined with Tramadol.]
[L02BB01, flutamide, Tramadol may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[S02AA17, fosfomycin, Tramadol may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[L01BC03, tegafur, Tramadol may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, The risk or severity of Tachycardia can be increased when Tramadol is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of CNS depression can be increased when Alcuronium is combined with Tramadol.]
[G01AX06, furazolidone, The risk or severity of serotonin syndrome and seizure can be increased when Furazolidone is combined with Tramadol.]
[J05AE10, darunavir, The metabolism of Tramadol can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Tramadol is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of CNS depression can be increased when Amisulpride is combined with Tramadol.]
[N06DA04, galantamine, The therapeutic efficacy of Tramadol can be decreased when used in combination with Galantamine.]
[M03AC02, gallamine, The risk or severity of CNS depression can be increased when Gallamine is combined with Tramadol.]
[S01AD09, ganciclovir, Tramadol may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, The metabolism of Tramadol can be increased when combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of serotonin syndrome can be increased when Bifemelane is combined with Tramadol.]
[C10AB04, gemfibrozil, The metabolism of Tramadol can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Tramadol may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Tramadol can be decreased when combined with Dasatinib.]
[N04BC06, cabergoline, The risk or severity of serotonin syndrome can be increased when Cabergoline is combined with Tramadol.]
[J05AG04, etravirine, The metabolism of Tramadol can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of CNS depression can be increased when Methsuximide is combined with Tramadol.]
[N01AH02, alfentanil, The risk or severity of serotonin syndrome can be increased when Alfentanil is combined with Tramadol.]
[L01EH01, lapatinib, The metabolism of Tramadol can be decreased when combined with Lapatinib.]
[A06AH02, alvimopan, The risk or severity of adverse effects can be increased when Tramadol is combined with Alvimopan.]
[A10BB01, glyburide, The metabolism of Tramadol can be decreased when combined with Glyburide.]
[A10BB07, glipizide, Tramadol may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[H04AA01, glucagon, Tramadol may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, The metabolism of Tramadol can be decreased when combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of CNS depression can be increased when Glutethimide is combined with Tramadol.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Tramadol.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Tramadol.]
[L01EX02, sorafenib, The metabolism of Tramadol can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The metabolism of Tramadol can be decreased when combined with Esmolol.]
[M01CB04, aurothioglucose, Tramadol may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Tramadol may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Tramadol is combined with Fluindione.]
[C09AA09, fosinopril, Tramadol may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[D01BA01, griseofulvin, The metabolism of Tramadol can be increased when combined with Griseofulvin.]
[S01EX01, guanethidine, Tramadol may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Tramadol can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The metabolism of Tramadol can be decreased when combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of CNS depression can be increased when Halothane is combined with Tramadol.]
