[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Pentoxifylline.]
[J01GB14, plazomicin, Pentoxifylline may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Pentoxifylline may increase the hypotensive activities of Celiprolol.]
[A16AX14, migalastat, Pentoxifylline may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Stiripentol may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[D08AE05, chloroxylenol, Pentoxifylline may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The risk or severity of bleeding can be increased when Lornoxicam is combined with Pentoxifylline.]
[R03DA02, oxtriphylline, The serum concentration of Oxtriphylline can be increased when it is combined with Pentoxifylline.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L04AA39, emapalumab, The metabolism of Pentoxifylline can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Pentoxifylline can be decreased when combined with Carmustine.]
[A06AX05, prucalopride, Pentoxifylline may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, Pentoxifylline may increase the hypotensive activities of Cilazapril.]
[B01AX07, caplacizumab, Pentoxifylline may increase the antiplatelet activities of Caplacizumab.]
[B01AC23, cilostazol, Pentoxifylline may increase the antiplatelet activities of Cilostazol.]
[P02BX04, triclabendazole, The metabolism of Pentoxifylline can be decreased when combined with Triclabendazole.]
[J01FA09, clarithromycin, The metabolism of Pentoxifylline can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Pentoxifylline may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N06AX29, brexanolone, Brexanolone may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA09, clobazam, The therapeutic efficacy of Clobazam can be decreased when used in combination with Pentoxifylline.]
[N05BA22, cloxazolam, The therapeutic efficacy of Cloxazolam can be decreased when used in combination with Pentoxifylline.]
[C09CA06, candesartan, Pentoxifylline may increase the hypotensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Pentoxifylline can be increased when combined with Etanercept.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C03BX03, cicletanine, Pentoxifylline may increase the hypotensive activities of Cicletanine.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Pentoxifylline.]
[N07XX11, pitolisant, The metabolism of Pentoxifylline can be increased when combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Pentoxifylline.]
[C03AA09, cyclothiazide, Pentoxifylline may increase the hypotensive activities of Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Pentoxifylline is combined with Insulin pork.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Trastuzumab emtansine.]
[N03AX25, cenobamate, Cenobamate may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX16, givosiran, The serum concentration of Pentoxifylline can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Pentoxifylline may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Pentoxifylline may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[M01AX21, diacetylrhein, The metabolism of Pentoxifylline can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Pentoxifylline can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Pentoxifylline can be decreased when combined with Osilodrostat.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Pentoxifylline.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Pentoxifylline.]
[R02AA03, dichlorobenzyl alcohol, Pentoxifylline may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Pentoxifylline may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[M01AH02, rofecoxib, The serum concentration of Pentoxifylline can be increased when it is combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Bexarotene.]
[C08CA16, clevidipine, Pentoxifylline may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[S01EA02, dipivefrin, The risk or severity of hypokalemia can be increased when Pentoxifylline is combined with Dipivefrin.]
[N03AG02, dipropylacetamide, Valpromide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA13, dirithromycin, The metabolism of Pentoxifylline can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Chlorambucil.]
[S03AA08, chloramphenicol, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The therapeutic efficacy of Chlordiazepoxide can be decreased when used in combination with Pentoxifylline.]
[C02AA06, methoserpidine, Pentoxifylline may increase the hypotensive activities of Methoserpidine.]
[L01EX17, capmatinib, The metabolism of Pentoxifylline can be decreased when combined with Capmatinib.]
[M01AC04, droxicam, The risk or severity of bleeding can be increased when Droxicam is combined with Pentoxifylline.]
[V08CA05, mangafodipir, Pentoxifylline may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[B01AE02, lepirudin, The therapeutic efficacy of Lepirudin can be increased when used in combination with Pentoxifylline.]
[M02AA27, dexketoprofen, The risk or severity of bleeding can be increased when Dexketoprofen is combined with Pentoxifylline.]
[N05CM02, chlormethiazole, Clomethiazole may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA17, levamlodipine, Pentoxifylline may increase the hypotensive activities of Levamlodipine.]
[N05CD14, remimazolam, The therapeutic efficacy of Remimazolam can be decreased when used in combination with Pentoxifylline.]
[L04AC19, satralizumab, The serum concentration of Pentoxifylline can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C03AA04, chlorothiazide, Pentoxifylline may increase the hypotensive activities of Chlorothiazide.]
[N05AA01, chlorpromazine, The metabolism of Pentoxifylline can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C03BA04, chlorthalidone, Pentoxifylline may increase the hypotensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The metabolism of Pentoxifylline can be decreased when combined with Chlorzoxazone.]
[N02BA07, ethenzamide, The risk or severity of bleeding can be increased when Ethenzamide is combined with Pentoxifylline.]
[N02BA03, choline salicylate, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Choline salicylate.]
[N06BX18, vinpocetine, Vinpocetine may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA18, ethyl loflazepate, The therapeutic efficacy of Ethyl loflazepate can be decreased when used in combination with Pentoxifylline.]
[M01AB08, etodolac, The risk or severity of bleeding can be increased when Etodolac is combined with Pentoxifylline.]
[M02AA06, etofenamate, The risk or severity of bleeding can be increased when Etofenamate is combined with Pentoxifylline.]
[L01BB05, fludarabine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Fludarabine.]
[M01AX25, chondroitin sulfates, Pentoxifylline may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Pentoxifylline can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Pentoxifylline can be increased when combined with Trilaciclib.]
[N03AX10, felbamate, Felbamate may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AE05, fenbufen, The risk or severity of bleeding can be increased when Fenbufen is combined with Pentoxifylline.]
[N06BA10, fenethylline, The serum concentration of Fenethylline can be increased when it is combined with Pentoxifylline.]
[C01CA19, fenoldopam, Pentoxifylline may increase the hypotensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of adverse effects can be increased when Fenozolone is combined with Pentoxifylline.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01MB07, flumequine, The metabolism of Pentoxifylline can be decreased when combined with Flumequine.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N02BG07, flupirtine, Pentoxifylline may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of hypokalemia can be increased when Pentoxifylline is combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Pentoxifylline is combined with Insulin human.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Pentoxifylline can be increased when it is combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Pentoxifylline may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The serum concentration of Pentoxifylline can be increased when it is combined with Cimetidine.]
[N02BF01, gabapentin, Gabapentin may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Pentoxifylline can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Pentoxifylline can be decreased when combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The serum concentration of Pentoxifylline can be increased when it is combined with Ciprofloxacin.]
[L01XA01, cisplatin, Pentoxifylline may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of hemorrhage can be increased when Citalopram is combined with Pentoxifylline.]
[H01AC07, somapacitan, The metabolism of Pentoxifylline can be increased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Pentoxifylline can be decreased when combined with Fexinidazole.]
[H01AC09, lonapegsomatropin, The metabolism of Pentoxifylline can be increased when combined with Lonapegsomatropin.]
[V09AB03, ioflupane I-123, Pentoxifylline may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Pentoxifylline may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Pentoxifylline may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, The risk or severity of bleeding can be increased when Mefenamic acid is combined with Pentoxifylline.]
[R03CC13, clenbuterol, The risk or severity of adverse effects can be increased when Clenbuterol is combined with Pentoxifylline.]
[J01FF01, clindamycin, The metabolism of Pentoxifylline can be decreased when combined with Clindamycin.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Pentoxifylline can be decreased when combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The risk or severity of bleeding and thrombocytopenia can be increased when Pentoxifylline is combined with Abrocitinib.]
[B01AD11, tenecteplase, The therapeutic efficacy of Tenecteplase can be increased when used in combination with Pentoxifylline.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Pentoxifylline.]
[L01EJ03, pacritinib, The metabolism of Pentoxifylline can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Pentoxifylline.]
[N03AE01, clonazepam, The therapeutic efficacy of Clonazepam can be decreased when used in combination with Pentoxifylline.]
[S01EA04, clonidine, Pentoxifylline may increase the hypotensive activities of Clonidine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA21, clotiazepam, The therapeutic efficacy of Clotiazepam can be decreased when used in combination with Pentoxifylline.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Pentoxifylline.]
[N05AH02, clozapine, The metabolism of Pentoxifylline can be decreased when combined with Clozapine.]
[J01GB12, arbekacin, Pentoxifylline may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The therapeutic efficacy of Halazepam can be decreased when used in combination with Pentoxifylline.]
[H01AC08, somatrogon, The metabolism of Pentoxifylline can be increased when combined with Somatrogon.]
[C02KB01, metyrosine, Pentoxifylline may increase the hypotensive activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Pentoxifylline can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of bleeding can be increased when Proquazone is combined with Pentoxifylline.]
[M04AC01, colchicine, Pentoxifylline may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Pentoxifylline may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L04AA13, leflunomide, The serum concentration of Pentoxifylline can be decreased when it is combined with Leflunomide.]
[A04AA03, tropisetron, Pentoxifylline may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[C04AX28, ifenprodil, Ifenprodil may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of bleeding can be increased when Imidazole salicylate is combined with Pentoxifylline.]
[L01BB07, nelarabine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Nelarabine.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Pentoxifylline is combined with Insulin glargine.]
[B01AC10, indobufen, Pentoxifylline may increase the antiplatelet activities of Indobufen.]
[J05AB14, valganciclovir, Pentoxifylline may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Pentoxifylline may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Pentoxifylline may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Pentoxifylline may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Pentoxifylline may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Pentoxifylline may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of bleeding can be increased when Valdecoxib is combined with Pentoxifylline.]
[N02CC05, almotriptan, Pentoxifylline may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AH04, parecoxib, The risk or severity of bleeding can be increased when Parecoxib is combined with Pentoxifylline.]
[B01AB12, bemiparin, The therapeutic efficacy of Bemiparin can be increased when used in combination with Pentoxifylline.]
[S01AD03, acyclovir, The metabolism of Pentoxifylline can be decreased when combined with Acyclovir.]
[N05BA10, ketazolam, The therapeutic efficacy of Ketazolam can be decreased when used in combination with Pentoxifylline.]
[M01AA06, kebuzone, The risk or severity of bleeding can be increased when Kebuzone is combined with Pentoxifylline.]
[L01EA01, imatinib, The metabolism of Pentoxifylline can be decreased when combined with Imatinib.]
[C08CA09, lacidipine, Pentoxifylline may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Lamotrigine may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N07BC04, lofexidine, Pentoxifylline may increase the hypotensive activities of Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Pentoxifylline can be decreased when combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of bleeding can be increased when Lonazolac is combined with Pentoxifylline.]
[N05CD06, lormetazepam, The therapeutic efficacy of Lormetazepam can be decreased when used in combination with Pentoxifylline.]
[M02AA31, loxoprofen, The risk or severity of bleeding can be increased when Loxoprofen is combined with Pentoxifylline.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C09AA03, lisinopril, Pentoxifylline may increase the hypotensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, Pentoxifylline may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, Pentoxifylline may increase the hypotensive activities of Manidipine.]
[A08AA09, mefenorex, The risk or severity of adverse effects can be increased when Mefenorex is combined with Pentoxifylline.]
[C07AA14, mepindolol, The risk or severity of adverse effects can be increased when Mepindolol is combined with Pentoxifylline.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C01EB10, adenosine, The therapeutic efficacy of Adenosine can be decreased when used in combination with Pentoxifylline.]
[R03CB02, methoxyphenamine, The risk or severity of adverse effects can be increased when Methoxyphenamine is combined with Pentoxifylline.]
[C03DA04, eplerenone, Pentoxifylline may increase the hypotensive activities of Eplerenone.]
[N05AD03, metylperon, Pentoxifylline may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Pentoxifylline may increase the hypotensive activities of Cyclopenthiazide.]
[J01FA03, midecamycin, The metabolism of Pentoxifylline can be decreased when combined with Midecamycin.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Cyclophosphamide.]
[N06AX07, minaprine, The risk or severity of bleeding and hemorrhage can be increased when Minaprine is combined with Pentoxifylline.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N06AG02, moclobemide, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Pentoxifylline.]
[N06BA07, modafinil, The metabolism of Pentoxifylline can be increased when combined with Armodafinil.]
[C09AA13, moexipril, Pentoxifylline may increase the hypotensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of bleeding can be increased when Mofebutazone is combined with Pentoxifylline.]
[M01AX22, morniflumate, The risk or severity of bleeding can be increased when Morniflumate is combined with Pentoxifylline.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC05, moxonidine, Pentoxifylline may increase the hypotensive activities of Moxonidine.]
[L01BC01, cytarabine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Pentoxifylline can be decreased when combined with Entecavir.]
[M01AH05, etoricoxib, The risk or severity of bleeding can be increased when Etoricoxib is combined with Pentoxifylline.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Pentoxifylline.]
[L01DA01, dactinomycin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Dactinomycin.]
[L01DB02, daunorubicin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Daunorubicin.]
[C02CC04, debrisoquin, Pentoxifylline may increase the hypotensive activities of Debrisoquine.]
[M01AX01, nabumetone, The risk or severity of gastrointestinal irritation can be increased when Pentoxifylline is combined with Nabumetone.]
[N07BB05, nalmefene, Pentoxifylline may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The therapeutic efficacy of Nordazepam can be decreased when used in combination with Pentoxifylline.]
[C07AB12, nebivolol, Pentoxifylline may increase the hypotensive activities of Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N06AX06, nefazodone, The risk or severity of hemorrhage can be increased when Nefazodone is combined with Pentoxifylline.]
[C01DX16, nicorandil, Pentoxifylline may increase the hypotensive activities of Nicorandil.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N03AG06, tiagabine, Tiagabine may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA23, theodrenaline, The serum concentration of Theodrenaline can be increased when it is combined with Pentoxifylline.]
[B01AX05, fondaparinux, The therapeutic efficacy of Fondaparinux can be increased when used in combination with Pentoxifylline.]
[N06AB10, escitalopram, The risk or severity of bleeding can be increased when Escitalopram is combined with Pentoxifylline.]
[A07EC03, olsalazine, The risk or severity of bleeding can be increased when Olsalazine is combined with Pentoxifylline.]
[N06AA01, desipramine, Pentoxifylline may decrease the excretion rate of Desipramine which could result in a higher serum level.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[V04CH02, indigo carmine, Pentoxifylline may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C09XA02, aliskiren, Pentoxifylline may increase the hypotensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The risk or severity of bleeding can be increased when Oxaprozin is combined with Pentoxifylline.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Pentoxifylline.]
[L04AB04, adalimumab, The serum concentration of Pentoxifylline can be decreased when it is combined with Adalimumab.]
[N06BA02, dextroamphetamine, The risk or severity of adverse effects can be increased when Amphetamine is combined with Pentoxifylline.]
[N03AC01, paramethadione, Paramethadione may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB05, paroxetine, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Pentoxifylline.]
[B01AC04, clopidogrel, Pentoxifylline may increase the antiplatelet activities of Clopidogrel.]
[C01DA05, pentaerythritol tetranitrate, Pentoxifylline may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The serum concentration of Pentifylline can be increased when it is combined with Pentoxifylline.]
[P03AC04, permethrin, Pentoxifylline may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The therapeutic efficacy of Diazepam can be decreased when used in combination with Pentoxifylline.]
[N03AX07, phenacemide, Phenacemide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AH01, diazoxide, Pentoxifylline may increase the hypotensive activities of Diazoxide.]
[N03AD02, phensuximide, Phensuximide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA08, pholcodine, Pentoxifylline may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of bleeding can be increased when Diclofenac is combined with Pentoxifylline.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J05AF02, didanosine, Pentoxifylline may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, Pentoxifylline may increase the hypotensive activities of Pinacidil.]
[L01DC04, ixabepilone, The metabolism of Pentoxifylline can be decreased when combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Pentoxifylline can be decreased when combined with Erlotinib.]
[R03CC07, pirbuterol, The risk or severity of hypokalemia can be increased when Pentoxifylline is combined with Pirbuterol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Pentoxifylline.]
[C08CA03, isradipine, Pentoxifylline may increase the hypotensive activities of Isradipine.]
[D07XC04, diflucortolone, Pentoxifylline may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, The risk or severity of bleeding can be increased when Diflunisal is combined with Pentoxifylline.]
[C01AA05, digoxin, Pentoxifylline may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Pentoxifylline may increase the hypotensive activities of Dihydralazine.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L04AX04, lenalidomide, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Lenalidomide.]
[J05AE08, atazanavir, The metabolism of Pentoxifylline can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Pentoxifylline may increase the hypotensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, Potassium perchlorate may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C08DB01, diltiazem, Pentoxifylline may increase the hypotensive activities of Diltiazem.]
[V03AB09, dimercaprol, Pentoxifylline may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R03CC08, procaterol, The risk or severity of adverse effects can be increased when Procaterol is combined with Pentoxifylline.]
[M02AX03, dimethyl sulfoxide, Pentoxifylline may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
