[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Gemfibrozil.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Gemfibrozil.]
[N05BA09, clobazam, The metabolism of Clobazam can be decreased when combined with Gemfibrozil.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Gemfibrozil is combined with Ubidecarenone.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Gemfibrozil.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Gemfibrozil resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01DC04, cefaclor, The excretion of Cefaclor can be decreased when combined with Gemfibrozil.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DB04, cefazolin, The excretion of Cefazolin can be decreased when combined with Gemfibrozil.]
[L02BB06, darolutamide, The metabolism of Darolutamide can be decreased when combined with Gemfibrozil.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Gemfibrozil can be decreased when combined with Pexidartinib.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DC07, cefotiam, The excretion of Cefotiam can be decreased when combined with Gemfibrozil.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, The excretion of Ceftizoxime can be decreased when combined with Gemfibrozil.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Gemfibrozil.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Gemfibrozil.]
[N07XX11, pitolisant, The serum concentration of Gemfibrozil can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Gemfibrozil.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Gemfibrozil is combined with Insulin pork.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Gemfibrozil.]
[J01DB01, cephalexin, The excretion of Cephalexin can be decreased when combined with Gemfibrozil.]
[J01DB02, cephaloridine, The excretion of Cefaloridine can be decreased when combined with Gemfibrozil.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Gemfibrozil.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Gemfibrozil.]
[N03AX25, cenobamate, The serum concentration of Gemfibrozil can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M09AX08, golodirsen, Gemfibrozil may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Gemfibrozil may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Gemfibrozil.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be increased when it is combined with Gemfibrozil.]
[C10AX15, bempedoic acid, The excretion of Bempedoic acid can be decreased when combined with Gemfibrozil.]
[J05AE05, amprenavir, The metabolism of Gemfibrozil can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Gemfibrozil.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Gemfibrozil.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Gemfibrozil.]
[R02AA03, dichlorobenzyl alcohol, Gemfibrozil may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Gemfibrozil may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Gemfibrozil.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Gemfibrozil.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Gemfibrozil.]
[C08CA16, clevidipine, Gemfibrozil may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[C01BD07, dronedarone, The metabolism of Gemfibrozil can be decreased when combined with Dronedarone.]
[L01FX17, sacituzumab govitecan, The serum concentration of Sacituzumab govitecan can be increased when it is combined with Gemfibrozil.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Gemfibrozil.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[V08CA05, mangafodipir, Gemfibrozil may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Gemfibrozil.]
[L01FX15, belantamab mafodotin, The excretion of Belantamab mafodotin can be decreased when combined with Gemfibrozil.]
[L04AC19, satralizumab, The serum concentration of Gemfibrozil can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Gemfibrozil.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Gemfibrozil.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Gemfibrozil.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Gemfibrozil.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be decreased when combined with Gemfibrozil.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Gemfibrozil resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA03, choline salicylate, Gemfibrozil may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Gemfibrozil.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C10AB09, etofibrate, The risk or severity of adverse effects can be increased when Gemfibrozil is combined with Etofibrate.]
[B06AC06, berotralstat, The metabolism of Gemfibrozil can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Gemfibrozil can be decreased when combined with Lonafarnib.]
[M01AX25, chondroitin sulfates, Gemfibrozil may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[J05AJ04, cabotegravir, The metabolism of Cabotegravir can be decreased when combined with Gemfibrozil.]
[P03AX07, abametapir, The serum concentration of Gemfibrozil can be increased when it is combined with Abametapir.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Gemfibrozil.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DD15, cefdinir, The excretion of Cefdinir can be decreased when combined with Gemfibrozil.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01JA01, fluorescein, The excretion of Fluorescein can be decreased when combined with Gemfibrozil.]
[N02BG07, flupirtine, Gemfibrozil may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Gemfibrozil.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Gemfibrozil is combined with Insulin human.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Gemfibrozil.]
[A02BA01, cimetidine, The excretion of Cimetidine can be decreased when combined with Gemfibrozil.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Gemfibrozil.]
[L01XX73, sotorasib, The serum concentration of Gemfibrozil can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Gemfibrozil can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Gemfibrozil may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The serum concentration of Citalopram can be increased when it is combined with Gemfibrozil.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Gemfibrozil.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Gemfibrozil.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Gemfibrozil.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Gemfibrozil.]
[V09AB03, ioflupane I-123, Gemfibrozil may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Gemfibrozil may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Gemfibrozil may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Gemfibrozil.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Gemfibrozil.]
[N06AX25, St. John's wort extract, The metabolism of Gemfibrozil can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Gemfibrozil can be decreased when combined with Asciminib.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Gemfibrozil.]
[C10AB01, clofibrate, The risk or severity of adverse effects can be increased when Clofibrate is combined with Gemfibrozil.]
[B06AX04, mitapivat, The metabolism of Gemfibrozil can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Gemfibrozil.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Gemfibrozil.]
[N03AE01, clonazepam, Clonazepam may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Gemfibrozil.]
[J05AB17, brincidofovir, The serum concentration of Brincidofovir can be increased when it is combined with Gemfibrozil.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Gemfibrozil.]
[J05AH02, oseltamivir, The excretion of Oseltamivir can be decreased when combined with Gemfibrozil.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Gemfibrozil.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Gemfibrozil.]
[J01GB12, arbekacin, Gemfibrozil may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Gemfibrozil can be increased when combined with Somatrogon.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M04AC01, colchicine, The risk or severity of myopathy can be increased when Gemfibrozil is combined with Colchicine.]
[C10AC02, colestipol, Gemfibrozil can cause a decrease in the absorption of Colestipol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01XB01, colistin, Gemfibrozil may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Gemfibrozil.]
[A04AA03, tropisetron, Gemfibrozil may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Gemfibrozil.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Gemfibrozil is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Gemfibrozil can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J05AB14, valganciclovir, Gemfibrozil may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Gemfibrozil may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Gemfibrozil may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Gemfibrozil may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Gemfibrozil may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Gemfibrozil may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Gemfibrozil.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Gemfibrozil.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Gemfibrozil.]
[J02AC02, itraconazole, The metabolism of Gemfibrozil can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The excretion of Acyclovir can be decreased when combined with Gemfibrozil.]
[N05BA10, ketazolam, Gemfibrozil may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L02BA03, fulvestrant, The metabolism of Fulvestrant can be decreased when combined with Gemfibrozil.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Gemfibrozil.]
[J02AC04, posaconazole, The metabolism of Gemfibrozil can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Gemfibrozil.]
[N03AX09, lamotrigine, The metabolism of Gemfibrozil can be increased when combined with Lamotrigine.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nafarelin is combined with Gemfibrozil.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Gemfibrozil.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Gemfibrozil.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Gemfibrozil may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Gemfibrozil is combined with Mebeverine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Gemfibrozil may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, The excretion of Tenofovir disoproxil can be decreased when combined with Gemfibrozil.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Gemfibrozil.]
[S01XA18, cyclosporine, The risk or severity of renal failure can be increased when Cyclosporine is combined with Gemfibrozil.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Gemfibrozil.]
[R06AX02, cyproheptadine, The metabolism of Cyproheptadine can be decreased when combined with Gemfibrozil.]
[C10AA07, rosuvastatin, The serum concentration of Rosuvastatin can be increased when it is combined with Gemfibrozil.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Gemfibrozil can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cytarabine is combined with Gemfibrozil.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Gemfibrozil.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Gemfibrozil.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Gemfibrozil.]
[G03XA01, danazol, The metabolism of Gemfibrozil can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Gemfibrozil.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Gemfibrozil.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Gemfibrozil.]
[N07BB05, nalmefene, Gemfibrozil may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Gemfibrozil.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Gemfibrozil can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Gemfibrozil may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Gemfibrozil.]
[N03AG06, tiagabine, The metabolism of Tiagabine can be decreased when combined with Gemfibrozil.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Gemfibrozil.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Gemfibrozil.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N06AA01, desipramine, Desipramine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[V04CH02, indigo carmine, Gemfibrozil may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S03BA01, dexamethasone, The metabolism of Gemfibrozil can be increased when combined with Dexamethasone.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Gemfibrozil.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Gemfibrozil.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Gemfibrozil.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Gemfibrozil.]
[B01AC04, clopidogrel, The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Gemfibrozil resulting in a loss in efficacy.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Gemfibrozil.]
[P03AC04, permethrin, Gemfibrozil may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Gemfibrozil.]
[R05DA08, pholcodine, Gemfibrozil may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Gemfibrozil.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A10BG03, pioglitazone, The serum concentration of Pioglitazone can be increased when it is combined with Gemfibrozil.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Gemfibrozil.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Gemfibrozil.]
[C08CA03, isradipine, The metabolism of Gemfibrozil can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, Gemfibrozil may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, The metabolism of Gemfibrozil can be decreased when combined with Diflunisal.]
[C01AA05, digoxin, Gemfibrozil may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Gemfibrozil.]
[C10AX09, ezetimibe, The risk or severity of adverse effects can be increased when Gemfibrozil is combined with Ezetimibe.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Gemfibrozil.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Gemfibrozil can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The serum concentration of Treprostinil can be increased when it is combined with Gemfibrozil.]
[H03BC01, potassium perchlorate, Gemfibrozil may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Gemfibrozil.]
[V03AB09, dimercaprol, Gemfibrozil may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Gemfibrozil.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Gemfibrozil.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Gemfibrozil.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Gemfibrozil.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Gemfibrozil.]
[C09AA06, quinapril, The excretion of Quinapril can be decreased when combined with Gemfibrozil.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Gemfibrozil.]
[S01AX06, resorcinol, Gemfibrozil may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be decreased when combined with Gemfibrozil.]
[S02AA12, rifamycin SV, The metabolism of Gemfibrozil can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Gemfibrozil can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Gemfibrozil.]
[R06AE09, levocetirizine, Gemfibrozil may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The metabolism of Ropivacaine can be decreased when combined with Gemfibrozil.]
[A04AD12, aprepitant, The metabolism of Gemfibrozil can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Gemfibrozil.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Gemfibrozil.]
[C02KX02, ambrisentan, The excretion of Ambrisentan can be decreased when combined with Gemfibrozil.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[R03AC12, salmeterol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Gemfibrozil.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Gemfibrozil.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Gemfibrozil.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Gemfibrozil.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C10AA01, simvastatin, The risk or severity of rhabdomyolysis, myoglobinuria, and elevated creatine kinase (CPK) can be increased when Gemfibrozil is combined with Simvastatin.]
[A12CA02, sodium sulfate, Gemfibrozil may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N02CC01, sumatriptan, The excretion of Sumatriptan can be decreased when combined with Gemfibrozil.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Gemfibrozil.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be decreased when combined with Gemfibrozil.]
