[S02DA03, antipyrine, The metabolism of Bendamustine can be decreased when combined with Antipyrine.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Bendamustine can be increased when it is combined with Peginterferon alfa-2b.]
[L01FX22, loncastuximab tesirine, The serum concentration of Bendamustine can be increased when it is combined with Loncastuximab tesirine.]
[A02BA01, cimetidine, The metabolism of Bendamustine can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The metabolism of Bendamustine can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Bendamustine can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Bendamustine can be increased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The serum concentration of Bendamustine can be increased when it is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Bendamustine.]
[N06AB04, citalopram, The metabolism of Bendamustine can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Bendamustine is combined with Pegcetacoplan.]
[H01AC07, somapacitan, The metabolism of Bendamustine can be increased when combined with Somapacitan.]
[L04AA48, belumosudil, The serum concentration of Bendamustine can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Bendamustine can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Bendamustine is combined with Anifrolumab.]
[H01AC09, lonapegsomatropin, The metabolism of Bendamustine can be increased when combined with Lonapegsomatropin.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Bendamustine can be increased when it is combined with Technetium Tc-99m sestamibi.]
[M01AG01, mefenamic acid, The metabolism of Bendamustine can be decreased when combined with Mefenamic acid.]
[N06AX25, St. John's wort extract, The serum concentration of Bendamustine can be decreased when it is combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Bendamustine can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Bendamustine can be increased when it is combined with Maribavir.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Bendamustine is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The serum concentration of Bendamustine can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Bendamustine can be increased when it is combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Bendamustine.]
[B06AX04, mitapivat, The serum concentration of Bendamustine can be increased when it is combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Bendamustine can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Bendamustine can be increased when it is combined with Clomifene.]
[N06AA04, clomipramine, The metabolism of Bendamustine can be decreased when combined with Clomipramine.]
[S01EA04, clonidine, The metabolism of Bendamustine can be decreased when combined with Clonidine.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Bendamustine is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Bendamustine is combined with Deucravacitinib.]
[A04AA01, ondansetron, The metabolism of Bendamustine can be decreased when combined with Ondansetron.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Bendamustine is combined with Clozapine.]
[L01EN04, futibatinib, The serum concentration of Bendamustine can be increased when it is combined with Futibatinib.]
[A10BK06, sotagliflozin, The serum concentration of Bendamustine can be increased when it is combined with Sotagliflozin.]
[H01AC08, somatrogon, The metabolism of Bendamustine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Bendamustine can be increased when combined with Bimekizumab.]
[M04AC01, colchicine, The serum concentration of Bendamustine can be increased when it is combined with Colchicine.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Bendamustine is combined with Leflunomide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Bendamustine.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Bendamustine.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Bendamustine.]
[J02AC02, itraconazole, The serum concentration of Bendamustine can be increased when it is combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Bendamustine.]
[S01AD03, acyclovir, The metabolism of Bendamustine can be decreased when combined with Acyclovir.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Bendamustine.]
[J02AC04, posaconazole, The serum concentration of Bendamustine can be increased when it is combined with Posaconazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Bendamustine.]
[N07BC04, lofexidine, The metabolism of Bendamustine can be decreased when combined with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Bendamustine can be decreased when combined with Lomefloxacin.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Bendamustine is combined with Meprednisone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Bendamustine.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Bendamustine.]
[J05AF07, tenofovir disoproxil, The serum concentration of Bendamustine can be increased when it is combined with Tenofovir disoproxil.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Bendamustine.]
[S01XA18, cyclosporine, Bendamustine may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Bendamustine can be increased when combined with Armodafinil.]
[C03XA02, conivaptan, The serum concentration of Bendamustine can be increased when it is combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Bendamustine.]
[J05AF10, entecavir, The metabolism of Bendamustine can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The serum concentration of Bendamustine can be increased when it is combined with Vardenafil.]
[M01AH05, etoricoxib, The metabolism of Bendamustine can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Bendamustine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Bendamustine.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Bendamustine.]
[M01AX01, nabumetone, The metabolism of Bendamustine can be decreased when combined with Nabumetone.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Bendamustine.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Bendamustine.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Bendamustine.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Bendamustine.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Bendamustine.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Dexamethasone is combined with Bendamustine.]
[A08AA04, dexfenfluramine, The metabolism of Bendamustine can be decreased when combined with Dexfenfluramine.]
[L04AB04, adalimumab, The metabolism of Bendamustine can be increased when combined with Adalimumab.]
[N06AB05, paroxetine, The metabolism of Bendamustine can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Bendamustine can be decreased when combined with Clopidogrel.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Bendamustine.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Bendamustine can be decreased when combined with Diclofenac.]
[L01DC04, ixabepilone, The serum concentration of Bendamustine can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Bendamustine can be decreased when combined with Erlotinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Bendamustine is combined with Pirarubicin.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Bendamustine is combined with Difluocortolone.]
[C01AA04, digitoxin, The serum concentration of Bendamustine can be increased when it is combined with Digitoxin.]
[C01AA05, digoxin, The serum concentration of Bendamustine can be increased when it is combined with Digoxin.]
[C02DB01, dihydralazine, The metabolism of Bendamustine can be decreased when combined with Dihydralazine.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Bendamustine.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Bendamustine.]
[J05AE08, atazanavir, The metabolism of Bendamustine can be decreased when combined with Atazanavir.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Pramocaine.]
[N06BC02, propentofylline, The metabolism of Bendamustine can be decreased when combined with Propentofylline.]
[C05CA03, diosmin, The serum concentration of Bendamustine can be increased when it is combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Bendamustine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Bendamustine.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Bendamustine.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Bendamustine.]
[C01BA03, disopyramide, The metabolism of Bendamustine can be decreased when combined with Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Bendamustine is combined with Natalizumab.]
[S02AA12, rifamycin SV, The serum concentration of Bendamustine can be increased when it is combined with Rifamycin.]
[N07XX02, riluzole, The metabolism of Bendamustine can be decreased when combined with Riluzole.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Bendamustine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Bendamustine can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Sunitinib is combined with Bendamustine.]
[C03XA01, tolvaptan, The serum concentration of Bendamustine can be increased when it is combined with Tolvaptan.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Bendamustine.]
[C02KX02, ambrisentan, The serum concentration of Bendamustine can be increased when it is combined with Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Bendamustine can be increased when it is combined with Ranolazine.]
[A03FA03, domperidone, The metabolism of Bendamustine can be decreased when combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Bendamustine can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Bendamustine can be decreased when combined with Doxepin.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Doxorubicin is combined with Bendamustine.]
[C10AA01, simvastatin, The serum concentration of Bendamustine can be increased when it is combined with Simvastatin.]
[C07AB13, talinolol, The serum concentration of Bendamustine can be increased when it is combined with Talinolol.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Corticotropin is combined with Bendamustine.]
[J01MA05, temafloxacin, The metabolism of Bendamustine can be decreased when combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Bendamustine.]
[D01BA02, terbinafine, The metabolism of Bendamustine can be decreased when combined with Terbinafine.]
[L02BA02, toremifene, The serum concentration of Bendamustine can be increased when it is combined with Toremifene.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Bendamustine.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Bendamustine.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Bendamustine is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Bendamustine.]
[J01MA04, enoxacin, The serum concentration of Bendamustine can be increased when it is combined with Enoxacin.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Bendamustine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Bendamustine.]
[N05CF02, zolpidem, The metabolism of Bendamustine can be decreased when combined with Zolpidem.]
[N03AX15, zonisamide, The serum concentration of Bendamustine can be increased when it is combined with Zonisamide.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Bendamustine.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Bendamustine.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Bendamustine.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Bendamustine.]
[S01AA17, erythromycin, The serum concentration of Bendamustine can be increased when it is combined with Erythromycin.]
[H05BX01, cinacalcet, The metabolism of Bendamustine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Bendamustine can be decreased when combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Bendamustine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Bendamustine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Bendamustine can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Bendamustine is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Bendamustine is combined with Fluticasone.]
[L02AA03, ethinyl estradiol, The metabolism of Bendamustine can be decreased when combined with Ethinylestradiol.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Etoposide is combined with Bendamustine.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Bendamustine.]
[N06AB08, fluvoxamine, The serum concentration of Bendamustine can be increased when it is combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Bendamustine can be decreased when combined with Tocainide.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Bendamustine.]
[C10AA03, pravastatin, The serum concentration of Bendamustine can be increased when it is combined with Pravastatin.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Bendamustine.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Bendamustine.]
[A02BA03, famotidine, The metabolism of Bendamustine can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The serum concentration of Bendamustine can be increased when it is combined with Albendazole.]
[N03AX26, fenfluramine, The metabolism of Bendamustine can be decreased when combined with Fenfluramine.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Bendamustine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Bendamustine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Bendamustine.]
[C01BC04, flecainide, The metabolism of Bendamustine can be decreased when combined with Flecainide.]
[J02AC01, fluconazole, The serum concentration of Bendamustine can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Bendamustine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Bendamustine.]
[N07CA03, flunarizine, The metabolism of Bendamustine can be decreased when combined with Flunarizine.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Bendamustine.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Bendamustine is combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Bendamustine can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Bendamustine.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Bendamustine.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Bendamustine.]
[N06AB03, fluoxetine, The metabolism of Bendamustine can be decreased when combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Bendamustine.]
[L02BB01, flutamide, The metabolism of Bendamustine can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Bendamustine.]
[J05AE10, darunavir, The serum concentration of Bendamustine can be increased when it is combined with Darunavir.]
[C10AB04, gemfibrozil, The metabolism of Bendamustine can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Dasatinib is combined with Bendamustine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Bendamustine.]
[L01EH01, lapatinib, The serum concentration of Bendamustine can be increased when it is combined with Lapatinib.]
[N05CM18, dexmedetomidine, The metabolism of Bendamustine can be decreased when combined with Dexmedetomidine.]
[L01EX02, sorafenib, The serum concentration of Bendamustine can be increased when it is combined with Sorafenib.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Bendamustine.]
[N05AD01, haloperidol, The metabolism of Bendamustine can be decreased when combined with Haloperidol.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Bendamustine.]
[M04AA01, allopurinol, The risk or severity of rash, hypersensitivity reaction, Stevens-Johnson syndrome, and Cutaneous drug reaction can be increased when Allopurinol is combined with Bendamustine.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Bendamustine.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Bendamustine.]
[J05AG01, nevirapine, The metabolism of Bendamustine can be decreased when combined with Nevirapine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Bendamustine.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Bendamustine.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Bendamustine.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Bendamustine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Bendamustine.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Bendamustine.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Bendamustine.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Bendamustine.]
[H01AC02, somatrem, The metabolism of Bendamustine can be increased when combined with Somatrem.]
[N06AA02, imipramine, The metabolism of Bendamustine can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Paclitaxel is combined with Bendamustine.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Bendamustine is combined with Tixocortol.]
[M03BX02, tizanidine, The metabolism of Bendamustine can be decreased when combined with Tizanidine.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Bendamustine.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Bendamustine.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Bendamustine.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Bendamustine.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Bendamustine.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Articaine.]
[A10BH01, sitagliptin, The serum concentration of Bendamustine can be increased when it is combined with Sitagliptin.]
[N05CH02, ramelteon, The metabolism of Bendamustine can be decreased when combined with Ramelteon.]
[L01XX35, anagrelide, The metabolism of Bendamustine can be decreased when combined with Anagrelide.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Bendamustine.]
[J05AB13, penciclovir, The metabolism of Bendamustine can be decreased when combined with Penciclovir.]
[J04AC01, isoniazid, The metabolism of Bendamustine can be decreased when combined with Isoniazid.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Bendamustine.]
[H01AC01, somatropin, The metabolism of Bendamustine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Bendamustine can be increased when combined with Tocilizumab.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Bendamustine.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Bendamustine.]
[J02AB02, ketoconazole, The serum concentration of Bendamustine can be increased when it is combined with Ketoconazole.]
[H02CA04, levoketoconazole, The serum concentration of Bendamustine can be increased when it is combined with Levoketoconazole.]
[N05AH03, olanzapine, The metabolism of Bendamustine can be decreased when combined with Olanzapine.]
[V03AC03, deferasirox, The serum concentration of Bendamustine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Bendamustine can be increased when combined with Abatacept.]
[J01MB02, nalidixic acid, The metabolism of Bendamustine can be decreased when combined with Nalidixic acid.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Bendamustine.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Bendamustine can be increased when combined with Armodafinil.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Bendamustine.]
[A07DA03, loperamide, The serum concentration of Bendamustine can be increased when it is combined with Loperamide.]
[N05AH01, loxapine, The serum concentration of Bendamustine can be increased when it is combined with Loxapine.]
[L01EG01, temsirolimus, The serum concentration of Bendamustine can be increased when it is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Bendamustine is combined with Pralatrexate.]
[L01EA03, nilotinib, The serum concentration of Bendamustine can be increased when it is combined with Nilotinib.]
[V04CX04, mannitol, The serum concentration of Bendamustine can be increased when it is combined with Mannitol.]
[N06AA21, maprotiline, The metabolism of Bendamustine can be decreased when combined with Maprotiline.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Bendamustine.]
[P01BC02, mefloquine, The serum concentration of Bendamustine can be increased when it is combined with Mefloquine.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Bendamustine.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Bendamustine.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Bendamustine.]
[N05CH01, melatonin, The metabolism of Bendamustine can be decreased when combined with Melatonin.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Bendamustine.]
[N03AB04, mephenytoin, The metabolism of Bendamustine can be decreased when combined with Mephenytoin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Mepivacaine.]
[N05AX13, paliperidone, The serum concentration of Bendamustine can be increased when it is combined with Paliperidone.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Bendamustine.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Bendamustine.]
[L04AX03, methotrexate, The excretion of Methotrexate can be decreased when combined with Bendamustine.]
[D05BA02, methoxsalen, The metabolism of Bendamustine can be decreased when combined with Methoxsalen.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Bendamustine.]
[V04CG05, methylene blue, The serum concentration of Bendamustine can be increased when it is combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Bendamustine can be decreased when combined with Aminophylline.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Bendamustine.]
[A03FA01, metoclopramide, The metabolism of Bendamustine can be decreased when combined with Metoclopramide.]
[C01BB02, mexiletine, The metabolism of Bendamustine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Bendamustine can be decreased when combined with Mianserin.]
[N02BB03, aminopyrine, The metabolism of Bendamustine can be decreased when combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Bendamustine.]
[G03XB01, mifepristone, The serum concentration of Bendamustine can be decreased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Bendamustine.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Bendamustine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Bendamustine.]
[C01BD01, amiodarone, The serum concentration of Bendamustine can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Bendamustine can be decreased when combined with Amitriptyline.]
[N02AA01, morphine, The serum concentration of Bendamustine can be increased when it is combined with Morphine.]
[L04AB05, certolizumab pegol, The metabolism of Bendamustine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Bendamustine can be decreased when combined with Eltrombopag.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ofatumumab is combined with Bendamustine.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Pazopanib is combined with Bendamustine.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Bendamustine.]
[G04CA04, silodosin, The serum concentration of Bendamustine can be increased when it is combined with Silodosin.]
[N03AB05, fosphenytoin, The metabolism of Bendamustine can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Bendamustine.]
[J01CF06, nafcillin, The metabolism of Bendamustine can be increased when combined with Nafcillin.]
[L04AC03, anakinra, The metabolism of Bendamustine can be increased when combined with Anakinra.]
[M02AA12, naproxen, The metabolism of Bendamustine can be decreased when combined with Naproxen.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Bendamustine.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Docetaxel is combined with Bendamustine.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Bendamustine.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Bendamustine.]
[P02DA01, niclosamide, The metabolism of Bendamustine can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The metabolism of Bendamustine can be decreased when combined with Nifedipine.]
[S01AE02, norfloxacin, The metabolism of Bendamustine can be decreased when combined with Norfloxacin.]
[A16AX07, sapropterin, The serum concentration of Bendamustine can be increased when it is combined with Sapropterin.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Bendamustine.]
[L03AB07, interferon beta-1a, The metabolism of Bendamustine can be decreased when combined with Interferon beta-1a.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Bendamustine.]
[L04AC04, rilonacept, The metabolism of Bendamustine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Bendamustine can be increased when combined with Omeprazole.]
