[S02DA03, antipyrine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Antipyrine.]
[A03AA04, mebeverine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Medifoxamine.]
[C07AA14, mepindolol, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Mepindolol.]
[H02AB15, meprednisone, The therapeutic efficacy of Dantrolene can be increased when used in combination with Meprednisone.]
[N04AA03, methixene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Cyclandelate.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Dantrolene.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Dantrolene is combined with Cyclobarbital.]
[C03DA04, eplerenone, The risk or severity of hyperkalemia can be increased when Eplerenone is combined with Dantrolene.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Dantrolene is combined with Melperone.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Dantrolene.]
[S01XA18, cyclosporine, The risk or severity of hyperkalemia can be increased when Cyclosporine is combined with Dantrolene.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Dantrolene.]
[R06AX02, cyproheptadine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of hyperkalemia can be increased when Moexipril is combined with Dantrolene.]
[M02AA02, mofebutazone, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Morniflumate.]
[M01AH05, etoricoxib, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Etoricoxib.]
[G03XA01, danazol, The therapeutic efficacy of Dantrolene can be increased when used in combination with Danazol.]
[N07XX04, sodium oxybate, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The risk or severity of hyperkalemia can be increased when Mefenamic acid is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Dantrolene is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[M01AX01, nabumetone, The risk or severity of hyperkalemia can be increased when Nabumetone is combined with Dantrolene.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Dantrolene.]
[J01AA01, demeclocycline, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Dantrolene.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Nordazepam.]
[C07AB12, nebivolol, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Nebivolol.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Niaprazine.]
[C01DX16, nicorandil, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Nicorandil.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Dantrolene.]
[M03AC11, cisatracurium, The therapeutic efficacy of Cisatracurium can be increased when used in combination with Dantrolene.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Dantrolene is combined with Escitalopram.]
[G04BD08, solifenacin, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Olsalazine.]
[N06AA01, desipramine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[C09XA02, aliskiren, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hyperkalemia can be increased when Oxaprozin is combined with Dantrolene.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Dantrolene.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Oxiracetam.]
[N04AA08, dexetimide, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Dantrolene.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Dantrolene.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dantrolene is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Paroxetine.]
[N07BC06, heroin, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Dantrolene.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Dantrolene.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Dantrolene.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Dantrolene is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Dantrolene.]
[S01BC03, diclofenac, The risk or severity of hyperkalemia can be increased when Diclofenac is combined with Dantrolene.]
[A03AA07, dicyclomine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[A03AX04, pinaverium, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Pipamperone.]
[A03AB14, pipenzolate, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Dantrolene.]
[L02AA01, diethylstilbestrol, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Isradipine.]
[A03AB11, poldine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Dantrolene.]
[C01AA05, digoxin, The risk or severity of hyperkalemia can be increased when Digoxin is combined with Dantrolene.]
[L01XX24, pegaspargase, The therapeutic efficacy of Dantrolene can be increased when used in combination with Pegaspargase.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Dantrolene.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Dantrolene.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Dantrolene.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Dantrolene.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Dantrolene is combined with Pridinol.]
[R06AB03, dimethindene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Dantrolene.]
[N02BB04, propyphenazone, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Proglumetacin.]
[R06AA02, diphenhydramine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Dantrolene.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Quazepam.]
[C09AA06, quinapril, The risk or severity of hyperkalemia can be increased when Quinapril is combined with Dantrolene.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dantrolene is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Dantrolene.]
[C09AA05, ramipril, The risk or severity of hyperkalemia can be increased when Ramipril is combined with Dantrolene.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Dantrolene.]
[C01BA03, disopyramide, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Dantrolene.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Dantrolene.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Dantrolene.]
[C03XA01, tolvaptan, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Tolvaptan.]
[S01BC05, ketorolac, The risk or severity of hyperkalemia can be increased when Ketorolac is combined with Dantrolene.]
[N02BA06, salsalate, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Salsalate.]
[N06AA16, dothiepin, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J01AA02, doxycycline, The risk or severity of neuromuscular blockade can be increased when Doxycycline is combined with Dantrolene.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Dantrolene is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Dantrolene is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Sibutramine.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Dantrolene.]
[C09AA11, spirapril, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Dantrolene is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Dantrolene.]
[C07AB13, talinolol, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Talinolol.]
[M01AC02, tenoxicam, The risk or severity of hyperkalemia can be increased when Tenoxicam is combined with Dantrolene.]
[G04BD05, terodiline, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Terodiline.]
[C07AA16, tertatolol, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Tertatolol.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Dantrolene is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Dantrolene is combined with Thiopropazate.]
[G04BD01, emepronium, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Tianeptine.]
[C09AA02, enalapril, The risk or severity of hyperkalemia can be increased when Enalapril is combined with Dantrolene.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Toloxatone.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Dantrolene.]
[J01AA12, tigecycline, The risk or severity of neuromuscular blockade can be increased when Tigecycline is combined with Dantrolene.]
[C09AA10, trandolapril, The risk or severity of hyperkalemia can be increased when Trandolapril is combined with Dantrolene.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Loprazolam.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Dantrolene is combined with Triclofos.]
[A03AB08, tridihexethyl, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Dantrolene.]
[N04AA12, tropatepine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Dantrolene.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Dantrolene is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Dantrolene is combined with Veralipride.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Dantrolene.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Dantrolene.]
[S01GA03, xylometazoline, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Xylometazoline.]
[C08CA12, mepirodipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Barnidipine.]
[C09AA15, zofenopril, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Zofenopril.]
[N05CF02, zolpidem, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Dantrolene.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Dantrolene.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Dantrolene.]
[N02CA02, ergotamine, The risk or severity of adverse effects can be increased when Ergotamine is combined with Dantrolene.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Dantrolene.]
[G03CA03, estradiol, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Estradiol.]
[G03CC06, estriol, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Estriol.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Dantrolene can be decreased when used in combination with Conjugated estrogens.]
[R03BA09, fluticasone furoate, The therapeutic efficacy of Dantrolene can be increased when used in combination with Fluticasone furoate.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Dantrolene.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Ethinylestradiol.]
[N04AA05, profenamine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Dantrolene.]
[M01AC06, meloxicam, The risk or severity of hyperkalemia can be increased when Meloxicam is combined with Dantrolene.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Dantrolene.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Dantrolene is combined with Sertindole.]
[L04AD02, tacrolimus, The risk or severity of hyperkalemia can be increased when Tacrolimus is combined with Dantrolene.]
[R06AX12, terfenadine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Dantrolene.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Fluvoxamine.]
[C08CA02, felodipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Fendiline.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Dantrolene.]
[M01AE04, fenoprofen, The risk or severity of hyperkalemia can be increased when Fenoprofen is combined with Dantrolene.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Dantrolene.]
[G04BD02, flavoxate, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02BG04, floctafenine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Floctafenine.]
[J02AC01, fluconazole, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Dantrolene.]
[N07CA03, flunarizine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The therapeutic efficacy of Dantrolene can be increased when used in combination with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Dantrolene is combined with Melitracen.]
[V03AZ01, ethanol, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Floxuridine.]
[L01BC02, fluorouracil, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Fluorouracil.]
[N06AB03, fluoxetine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Dantrolene.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Dantrolene.]
[S01BC04, flurbiprofen, The risk or severity of hyperkalemia can be increased when Flurbiprofen is combined with Dantrolene.]
[N05AG01, fluspirilene, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Fluspirilene.]
[S01AA07, framycetin, The risk or severity of neuromuscular blockade can be increased when Framycetin is combined with Dantrolene.]
[L01BC03, tegafur, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Tegafur.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be increased when used in combination with Dantrolene.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Dantrolene.]
[C03CA01, furosemide, The therapeutic efficacy of Dantrolene can be increased when used in combination with Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Dantrolene is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Dantrolene is combined with Amisulpride.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be increased when used in combination with Dantrolene.]
[C08DA02, gallopamil, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Gallopamil.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Dantrolene is combined with Bifemelane.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Dantrolene.]
[N03AD03, methsuximide, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Dantrolene.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dantrolene.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Dantrolene is combined with Glutethimide.]
[C07AB09, esmolol, The risk or severity of hyperkalemia can be increased when Esmolol is combined with Dantrolene.]
[C09AA09, fosinopril, The risk or severity of hyperkalemia can be increased when Fosinopril is combined with Dantrolene.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Dantrolene.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Dantrolene.]
[N05AH04, quetiapine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Dantrolene is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Dantrolene is combined with Allobarbital.]
[C09CA01, losartan, The risk or severity of hyperkalemia can be increased when Losartan is combined with Dantrolene.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Heparin is combined with Dantrolene.]
[B05CB03, magnesium citrate, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Magnesium citrate.]
[A12CC03, magnesium gluconate, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Magnesium gluconate.]
[A07EC02, mesalamine, The risk or severity of hyperkalemia can be increased when Mesalazine is combined with Dantrolene.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Dantrolene is combined with Hexobarbital.]
[C08CA10, nilvadipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Nimesulide.]
[C09AA04, perindopril, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Dantrolene.]
[R05DA03, hydrocodone, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Dantrolene.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Dantrolene.]
[A12BA02, potassium citrate, Potassium citrate may increase the hyperkalemic activities of Dantrolene.]
[G04BD06, propiverine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Dantrolene is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[R02AX02, ibuprofen, The risk or severity of hyperkalemia can be increased when Ibuprofen is combined with Dantrolene.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Dantrolene.]
[N06AA02, imipramine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Dantrolene.]
[S01BC01, indomethacin, The risk or severity of hyperkalemia can be increased when Indomethacin is combined with Dantrolene.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Dantrolene is combined with Milnacipran.]
[A03AA30, piperidolate, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[R01AA02, cyclopentamine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Cyclopentamine.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Dantrolene.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Dantrolene.]
[R06AE01, buclizine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Dantrolene.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Dantrolene is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Dantrolene is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Dantrolene is combined with Isocarboxazid.]
[C09AA16, imidapril, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dantrolene.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Dantrolene.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Dantrolene.]
[S01AA24, kanamycin, The risk or severity of neuromuscular blockade can be increased when Kanamycin is combined with Dantrolene.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Dantrolene is combined with Ketanserin.]
[J02AB02, ketoconazole, The risk or severity of hyperkalemia can be increased when Ketoconazole is combined with Dantrolene.]
[N05AH03, olanzapine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of adverse effects can be increased when Ketoprofen is combined with Dantrolene.]
[N04BC09, rotigotine, Dantrolene may increase the sedative activities of Rotigotine.]
[M01AE11, tiaprofenic acid, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Dantrolene.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Dantrolene is combined with Lacosamide.]
[C03CC01, ethacrynic acid, The risk or severity of neuromuscular blockade can be increased when Etacrynic acid is combined with Dantrolene.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Dantrolene is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dantrolene.]
[C08EX01, lidoflazine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Lidoflazine.]
[J01FF02, lincomycin, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Lincomycin.]
[C03DB01, amiloride, The risk or severity of hyperkalemia can be increased when Amiloride is combined with Dantrolene.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Dantrolene.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Lofepramine.]
[A07DA03, loperamide, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Dantrolene.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Dantrolene.]
[J01AA04, lymecycline, The risk or severity of neuromuscular blockade can be increased when Lymecycline is combined with Dantrolene.]
[B05XA11, magnesium chloride, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Magnesium chloride.]
[G04BX01, magnesium hydroxide, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Magnesium oxide.]
[V04CC02, magnesium sulfate, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Magnesium sulfate.]
[V04CX04, mannitol, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Dantrolene.]
[N06AA21, maprotiline, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Dantrolene.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Dantrolene.]
