[S02DA03, antipyrine, The metabolism of Fluorouracil can be decreased when combined with Antipyrine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Fluorouracil.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Fluorouracil.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Fluorouracil.]
[P02BX04, triclabendazole, The metabolism of Fluorouracil can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Fluorouracil.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Fluorouracil.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Clarithromycin.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Fluorouracil.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Fluorouracil can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Fluorouracil can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Fluorouracil can be decreased when combined with Alpelisib.]
[L02BB06, darolutamide, The serum concentration of Fluorouracil can be increased when it is combined with Darolutamide.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Fluorouracil.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Fluorouracil.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Upadacitinib.]
[L01EJ02, fedratinib, Fedratinib may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Entrectinib.]
[N07XX11, pitolisant, Fluorouracil may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Fluorouracil.]
[N04CX01, istradefylline, The metabolism of Fluorouracil can be decreased when combined with Istradefylline.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Fluorouracil.]
[A10AE03, insulin, regular, pork, The metabolism of Fluorouracil can be increased when combined with Insulin pork.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Fluorouracil.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Trastuzumab emtansine.]
[N02CC08, lasmiditan, The serum concentration of Fluorouracil can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Diroximel fumarate.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Fluorouracil.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Fluorouracil.]
[N03AX25, cenobamate, The metabolism of Fluorouracil can be increased when combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Fluorouracil can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Fluorouracil.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Dexchlorpheniramine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Fluorouracil.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Fluorouracil can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Fluorouracil can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The serum concentration of Fluorouracil can be increased when it is combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Fluorouracil.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Fluorouracil.]
[L04AA38, ozanimod, The metabolism of Fluorouracil can be decreased when combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Fluorouracil can be decreased when combined with Selumetinib.]
[N02CC06, eletriptan, The metabolism of Fluorouracil can be increased when combined with Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Fluorouracil can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Fluorouracil can be decreased when combined with Bexarotene.]
[C01BD07, dronedarone, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Dronedarone.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Fluorouracil.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Fluorouracil.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Fluorouracil.]
[L01EH03, tucatinib, The metabolism of Fluorouracil can be decreased when combined with Tucatinib.]
[L01EX17, capmatinib, The serum concentration of Fluorouracil can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Fluprednidene.]
[L01EX19, ripretinib, Ripretinib may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Fluorouracil can be increased when it is combined with Selpercatinib.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Fluorouracil.]
[N05CM02, chlormethiazole, The metabolism of Fluorouracil can be decreased when combined with Clomethiazole.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Fluorouracil is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Stepronin.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Fluorouracil.]
[J05AX29, fostemsavir, Fostemsavir may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Fluorouracil.]
[L04AC19, satralizumab, The serum concentration of Fluorouracil can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Fluorouracil can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Fluorouracil can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Fluorouracil.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of QTc prolongation can be increased when Chlorpromazine is combined with Fluorouracil.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Fluorouracil.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Fluorouracil.]
[M03BB03, chlorzoxazone, The metabolism of Fluorouracil can be decreased when combined with Chlorzoxazone.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Fluorouracil.]
[M02AA06, etofenamate, The therapeutic efficacy of Etofenamate can be decreased when used in combination with Fluorouracil.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Fluorouracil.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Fludarabine.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Fluorouracil.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Fluorouracil can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, Tepotinib may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[V03AF12, trilaciclib, The metabolism of Fluorouracil can be increased when combined with Trilaciclib.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Fluorouracil.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Fluorouracil.]
[J01MB07, flumequine, The metabolism of Fluorouracil can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Fluorouracil.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Fluocinolone acetonide.]
[R03CC15, formoterol, The metabolism of Fluorouracil can be decreased when combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Fluorouracil.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Fluorouracil.]
[L01EK03, tivozanib, Tivozanib may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Fluorouracil can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The serum concentration of Fluorouracil can be increased when it is combined with Cimetidine.]
[N07CA02, cinnarizine, The metabolism of Fluorouracil can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Fluorouracil can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Fluorouracil can be increased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Fluorouracil can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Fluorouracil.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Pegcetacoplan.]
[H01AC07, somapacitan, The metabolism of Fluorouracil can be increased when combined with Somapacitan.]
[C03DA05, finerenone, The metabolism of Fluorouracil can be decreased when combined with Finerenone.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Belumosudil.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Anifrolumab.]
[H01AC09, lonapegsomatropin, The metabolism of Fluorouracil can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Clemastine.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Fluorouracil.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Fluorouracil.]
[J05AX10, maribavir, Maribavir may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Fluorouracil.]
[J04BA01, clofazimine, Clofazimine may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Fluorouracil.]
[C10AB01, clofibrate, The metabolism of Fluorouracil can be decreased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Fluorouracil can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Fluorouracil can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Fluorouracil.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Fluorouracil.]
[C01EB24, mavacamten, The metabolism of Mavacamten can be decreased when combined with Fluorouracil.]
[J02AC06, oteseconazole, The serum concentration of Fluorouracil can be increased when it is combined with Oteseconazole.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Deucravacitinib.]
[H01CC04, linzagolix, The serum concentration of Fluorouracil can be increased when it is combined with Linzagolix.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Fluorouracil is combined with Clozapine.]
[A10BK06, sotagliflozin, Sotagliflozin may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Fluorouracil can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Fluorouracil can be increased when combined with Bimekizumab.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Fluorouracil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Fluorouracil.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Nelarabine.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Fluorouracil.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Desloratadine.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Fluorouracil.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Fluorouracil.]
[N02CC05, almotriptan, The metabolism of Fluorouracil can be decreased when combined with Almotriptan.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Fluorouracil.]
[J02AC02, itraconazole, Itraconazole may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Fluorouracil.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Fluorouracil.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Emedastine.]
[L01EA01, imatinib, The metabolism of Fluorouracil can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Posaconazole is combined with Fluorouracil.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Fluorouracil.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Fluorouracil.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Fluorouracil.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Fluorouracil.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Lomefloxacin.]
[R06AX13, loratadine, The metabolism of Fluorouracil can be decreased when combined with Loratadine.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Meprednisone.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Fluorouracil.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Adenosine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Fluorouracil.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Melperone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Fluorouracil.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Fluorouracil.]
[L01AA01, cyclophosphamide, The metabolism of Fluorouracil can be increased when combined with Cyclophosphamide.]
[S01XA18, cyclosporine, Fluorouracil may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Fluorouracil can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Fluorouracil.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Fluorouracil.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Fluorouracil.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Fluorouracil can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Fluorouracil.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Fluorouracil.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Dactinomycin.]
[M03CA01, dantrolene, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Fluorouracil.]
[J04BA02, dapsone, The metabolism of Fluorouracil can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Daunorubicin.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Fluorouracil.]
[M01AX01, nabumetone, The metabolism of Fluorouracil can be decreased when combined with Nabumetone.]
[L02BB02, nilutamide, The metabolism of Fluorouracil can be decreased when combined with Nilutamide.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Fluorouracil.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Fluorouracil.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Fluorouracil.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Solifenacin is combined with Fluorouracil.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Desipramine is combined with Fluorouracil.]
[C01AA07, deslanoside, Deslanoside may decrease the cardiotoxic activities of Fluorouracil.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Desoximetasone.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Fluorouracil.]
[S03BA01, dexamethasone, The metabolism of Fluorouracil can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Fluorouracil can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Fluorouracil.]
[L04AB04, adalimumab, The metabolism of Fluorouracil can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, Gefitinib may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[N06BA02, dextroamphetamine, The metabolism of Fluorouracil can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Fluorouracil.]
[N03AC01, paramethadione, The metabolism of Fluorouracil can be decreased when combined with Paramethadione.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Fluorouracil.]
[B01AC04, clopidogrel, The metabolism of Fluorouracil can be decreased when combined with Clopidogrel.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Fluorouracil.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Fluorouracil.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Fluorouracil can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Fluorouracil.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Fluorouracil.]
[A10BG03, pioglitazone, The metabolism of Fluorouracil can be decreased when combined with Pioglitazone.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Fluorouracil can be decreased when combined with Erlotinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, The metabolism of Fluorouracil can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Fluorouracil.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Difluocortolone.]
[C01AA04, digitoxin, Digitoxin may decrease the cardiotoxic activities of Fluorouracil.]
[C01AA05, digoxin, Digoxin may decrease the cardiotoxic activities of Fluorouracil.]
[C02DB01, dihydralazine, The metabolism of Fluorouracil can be decreased when combined with Dihydralazine.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Fluorouracil.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Fluorouracil.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Fluorouracil.]
[J05AE08, atazanavir, The metabolism of Fluorouracil can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Fluorouracil can be decreased when combined with Treprostinil.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Fluorouracil can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Dimenhydrinate.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Fluorouracil.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Fluorouracil.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Fluorouracil.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Fluorouracil.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Fluorouracil.]
[A03FA02, cisapride, The metabolism of Fluorouracil can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Sirolimus.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Natalizumab.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Fluorouracil.]
[S02AA12, rifamycin SV, The metabolism of Fluorouracil can be decreased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Fluorouracil can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Fluorouracil.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Fluorouracil.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Fluorouracil.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Fluorouracil.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Fluorouracil can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Sunitinib.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Fluorouracil.]
[S01BC05, ketorolac, The metabolism of Fluorouracil can be decreased when combined with Ketorolac.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Fluorouracil.]
[R03AC12, salmeterol, The metabolism of Fluorouracil can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Fluorouracil can be decreased when combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Fluorouracil can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Fluorouracil.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Doxorubicin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Fluorouracil.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Fluorouracil.]
[N01AB08, sevoflurane, The metabolism of Fluorouracil can be decreased when combined with Sevoflurane.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Fluorouracil.]
[C10AA01, simvastatin, The metabolism of Fluorouracil can be decreased when combined with Simvastatin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Sultopride.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Talinolol is combined with Fluorouracil.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Corticotropin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Temozolomide.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Fluorouracil.]
[D01BA02, terbinafine, The metabolism of Fluorouracil can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Terodiline.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Fluorouracil.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Toremifene.]
[C03CA04, torsemide, The metabolism of Fluorouracil can be decreased when combined with Torasemide.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Fluorouracil.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Trilostane.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Fluorouracil.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Fluorouracil.]
[J01MA04, enoxacin, The metabolism of Fluorouracil can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Fluorouracil.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Fluorouracil.]
[N06AX16, venlafaxine, Venlafaxine may increase the excretion rate of Fluorouracil which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Fluorouracil.]
[N05CF02, zolpidem, The metabolism of Fluorouracil can be decreased when combined with Zolpidem.]
