[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluconazole.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Fluconazole.]
[N04BD03, safinamide, The metabolism of Safinamide can be decreased when combined with Fluconazole.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Delafloxacin.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Fluconazole.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Fluconazole.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Fluconazole.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Fluconazole.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Fluconazole.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Vorinostat.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Fluconazole.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Fluconazole.]
[C07AB07, bisoprolol, The metabolism of Bisoprolol can be decreased when combined with Fluconazole.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be decreased when combined with Fluconazole.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[C07AA17, bopindolol, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Bopindolol.]
[N05CD09, brotizolam, The metabolism of Brotizolam can be decreased when combined with Fluconazole.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Budesonide can be decreased when combined with Fluconazole.]
[M01AB07, bumadizone, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Fluconazole.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Butriptyline.]
[C01AA02, acetyldigoxins, Fluconazole may decrease the excretion rate of Acetyldigoxin which could result in a higher serum level.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Semaglutide is combined with Fluconazole.]
[A10BK04, ertugliflozin, The risk or severity of hypoglycemia can be increased when Ertugliflozin is combined with Fluconazole.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Acrivastine.]
[C09AA01, captopril, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Captopril.]
[V04CD06, macimorelin, The metabolism of Macimorelin can be decreased when combined with Fluconazole.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Fluconazole.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Fluconazole.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Fluconazole.]
[B02BX09, fostamatinib, The metabolism of Fostamatinib can be decreased when combined with Fluconazole.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Fluconazole.]
[B02BX08, avatrombopag, The serum concentration of Avatrombopag can be increased when it is combined with Fluconazole.]
[L04AA37, baricitinib, The metabolism of Baricitinib can be decreased when combined with Fluconazole.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Fluconazole.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Fluconazole.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01GB14, plazomicin, Fluconazole may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Celiprolol.]
[H01CC03, elagolix, The serum concentration of Elagolix can be increased when it is combined with Fluconazole.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Fluconazole.]
[A16AX14, migalastat, Fluconazole may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be decreased when combined with Fluconazole.]
[B02BX07, lusutrombopag, The serum concentration of Lusutrombopag can be increased when it is combined with Fluconazole.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Fluconazole.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Fluconazole.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Fluconazole.]
[L01EB07, dacomitinib, The serum concentration of Dacomitinib can be increased when it is combined with Fluconazole.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Fluconazole.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Cetirizine.]
[A10BB06, carbutamide, The serum concentration of Carbutamide can be increased when it is combined with Fluconazole.]
[D08AE05, chloroxylenol, Fluconazole may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Fluconazole.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Inotersen.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Fluconazole.]
[M03BA02, carisoprodol, The metabolism of Carisoprodol can be decreased when combined with Fluconazole.]
[R03BB08, revefenacin, The serum concentration of Revefenacin can be increased when it is combined with Fluconazole.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Fluconazole.]
[L01AD01, carmustine, Fluconazole may decrease the excretion rate of Carmustine which could result in a higher serum level.]
[L01EX12, larotrectinib, The metabolism of Larotrectinib can be decreased when combined with Fluconazole.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Fluconazole.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Fluconazole.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Amifampridine.]
[A06AX05, prucalopride, The serum concentration of Prucalopride can be increased when it is combined with Fluconazole.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Cibenzoline.]
[C09AA08, cilazapril, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Cilazapril.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Fluconazole.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Fluconazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Fluconazole.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Fluconazole is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Clarithromycin can be decreased when combined with Fluconazole.]
[N06BA14, solriamfetol, Fluconazole may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Fluconazole.]
[N05BA09, clobazam, The metabolism of Clobazam can be decreased when combined with Fluconazole.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Fluconazole.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Fluconazole.]
[L01FX14, polatuzumab vedotin, The metabolism of Polatuzumab vedotin can be decreased when combined with Fluconazole.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[L01XX66, selinexor, The metabolism of Selinexor can be decreased when combined with Fluconazole.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[L02BB06, darolutamide, The metabolism of Darolutamide can be decreased when combined with Fluconazole.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Fluconazole.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Cicletanine.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Fluconazole.]
[L04AA44, upadacitinib, The metabolism of Upadacitinib can be decreased when combined with Fluconazole.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Fluconazole.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Fluconazole.]
[N07XX11, pitolisant, Fluconazole may increase the QTc-prolonging activities of Pitolisant.]
[J04AK08, pretomanid, The serum concentration of Pretomanid can be increased when it is combined with Fluconazole.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Fluconazole.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Fluconazole.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Fluconazole.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Insulin pork is combined with Fluconazole.]
[J01XX09, daptomycin, The serum concentration of Daptomycin can be increased when it is combined with Fluconazole.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Fluconazole.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Fluconazole.]
[G03DB05, demegestone, The bioavailability of Demegestone can be increased when combined with Fluconazole.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be increased when it is combined with Fluconazole.]
[N02CC08, lasmiditan, The serum concentration of Lasmiditan can be increased when it is combined with Fluconazole.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Fluconazole.]
[G03AC09, desogestrel, The bioavailability of Desogestrel can be increased when combined with Fluconazole.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Fluconazole.]
[N03AX25, cenobamate, The metabolism of Cenobamate can be decreased when combined with Fluconazole.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[M09AX08, golodirsen, Fluconazole may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Fluconazole.]
[L01FX13, enfortumab vedotin, The metabolism of Enfortumab vedotin can be decreased when combined with Fluconazole.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Dexbrompheniramine.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Fluconazole may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Fluconazole.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be decreased when combined with Fluconazole.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Fluconazole.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be increased when it is combined with Fluconazole.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Fluconazole.]
[J05AB16, remdesivir, The metabolism of Remdesivir can be decreased when combined with Fluconazole.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Fluconazole.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Fluconazole.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Fluconazole.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Fluconazole.]
[R02AA03, dichlorobenzyl alcohol, Fluconazole may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The bioavailability of Dienogest can be increased when combined with Fluconazole.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Fluconazole.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Fluconazole.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Fluconazole.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Fluconazole.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Fluconazole.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Fluconazole.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Chlorcyclizine.]
[L01EN02, pemigatinib, The metabolism of Pemigatinib can be decreased when combined with Fluconazole.]
[L01EH03, tucatinib, The serum concentration of Tucatinib can be increased when it is combined with Fluconazole.]
[L01EX17, capmatinib, The metabolism of Capmatinib can be decreased when combined with Fluconazole.]
[D07XB03, fluprednidene, The metabolism of Fluprednidene can be decreased when combined with Fluconazole.]
[M01AC04, droxicam, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Droxicam.]
[L01EX19, ripretinib, The metabolism of Ripretinib can be decreased when combined with Fluconazole.]
[V08CA05, mangafodipir, Fluconazole may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The metabolism of Selpercatinib can be decreased when combined with Fluconazole.]
[M02AA27, dexketoprofen, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Fluconazole.]
[L01XX69, lurbinectedin, The serum concentration of Lurbinectedin can be increased when it is combined with Fluconazole.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Fluconazole.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Fluconazole.]
[J05AX29, fostemsavir, The metabolism of Fostemsavir can be decreased when combined with Fluconazole.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Fluconazole.]
[L01FX15, belantamab mafodotin, The serum concentration of Belantamab mafodotin can be increased when it is combined with Fluconazole.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Fluconazole.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Fluconazole.]
[L01EX23, pralsetinib, The serum concentration of Pralsetinib can be increased when it is combined with Fluconazole.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Fluconazole.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Fluconazole.]
[A10BB02, chlorpropamide, The serum concentration of Chlorpropamide can be increased when it is combined with Fluconazole.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Fluconazole.]
[A11CC05, cholecalciferol, The metabolism of Cholecalciferol can be decreased when combined with Fluconazole.]
[N02BA07, ethenzamide, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Ethenzamide.]
[N02BA03, choline salicylate, Fluconazole may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The metabolism of Vinpocetine can be decreased when combined with Fluconazole.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be decreased when combined with Fluconazole.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Fluconazole.]
[M02AA06, etofenamate, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Etofenamate.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Fluconazole.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Fluconazole.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Fluconazole.]
[M01AX25, chondroitin sulfates, Fluconazole may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The metabolism of Voclosporin can be decreased when combined with Fluconazole.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be increased when it is combined with Fluconazole.]
[V03AF12, trilaciclib, The serum concentration of Trilaciclib can be increased when it is combined with Fluconazole.]
[N03AX10, felbamate, The metabolism of Felbamate can be decreased when combined with Fluconazole.]
[M01AE05, fenbufen, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Fenbufen.]
[C01CA19, fenoldopam, Fluconazole may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Fluconazole.]
[J01DD15, cefdinir, Fluconazole may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Flumequine.]
[N02BG07, flupirtine, Fluconazole may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Fluconazole.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Insulin human is combined with Fluconazole.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Fluconazole.]
[L01EK03, tivozanib, The serum concentration of Tivozanib can be increased when it is combined with Fluconazole.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be increased when it is combined with Fluconazole.]
[A02BA01, cimetidine, The bioavailability of Fluconazole can be decreased when combined with Cimetidine.]
[V08CA04, gadoteridol, Fluconazole may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Fluconazole.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Cinoxacin.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Fluconazole.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Ciprofloxacin.]
[L01XA01, cisplatin, Fluconazole may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of QTc prolongation and serotonin syndrome can be increased when Fluconazole is combined with Citalopram.]
[J02AX07, ibrexafungerp, The metabolism of Ibrexafungerp can be decreased when combined with Fluconazole.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Fluconazole.]
[L04AA48, belumosudil, The metabolism of Belumosudil can be decreased when combined with Fluconazole.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Fluconazole is combined with Fexinidazole.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Fluconazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Mobocertinib.]
[L01FX23, tisotumab vedotin, The metabolism of Tisotumab vedotin can be decreased when combined with Fluconazole.]
[N02CD07, atogepant, The metabolism of Atogepant can be decreased when combined with Fluconazole.]
[V09AB03, ioflupane I-123, Fluconazole may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Fluconazole.]
[V09AA01, technetium Tc 99m exametazime, Fluconazole may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Fluconazole may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[L04AA59, avacopan, The metabolism of Avacopan can be decreased when combined with Fluconazole.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Clemastine.]
[A10BB12, glimepiride, The serum concentration of Glimepiride can be increased when it is combined with Fluconazole.]
[A10BB08, gliquidone, The serum concentration of Gliquidone can be increased when it is combined with Fluconazole.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Fluconazole.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be decreased when combined with Fluconazole.]
[L01EA06, asciminib, The metabolism of Asciminib can be decreased when combined with Fluconazole.]
[L02BG06, exemestane, The metabolism of Exemestane can be decreased when combined with Fluconazole.]
[J05AX10, maribavir, The metabolism of Maribavir can be decreased when combined with Fluconazole.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Fluconazole.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Clofazimine.]
[C10AB01, clofibrate, The metabolism of Clofibrate can be decreased when combined with Fluconazole.]
[B06AX04, mitapivat, The metabolism of Mitapivat can be decreased when combined with Fluconazole.]
[N01BB10, levobupivacaine, Fluconazole may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[L01EJ03, pacritinib, The serum concentration of Pacritinib can be increased when it is combined with Fluconazole.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Fluconazole.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Fluconazole.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be decreased when combined with Fluconazole.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Fluconazole.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Fluconazole.]
[J05AH02, oseltamivir, Fluconazole may decrease the excretion rate of Oseltamivir which could result in a higher serum level.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Tirzepatide is combined with Fluconazole.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Fluconazole.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be decreased when combined with Fluconazole.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Fluconazole.]
[A04AA02, granisetron, The metabolism of Granisetron can be decreased when combined with Fluconazole.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Fluconazole.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be increased when it is combined with Fluconazole.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Guar gum is combined with Fluconazole.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Sotagliflozin is combined with Fluconazole.]
[J01GB12, arbekacin, Fluconazole may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Cocaine.]
[M09AX11, palovarotene, The metabolism of Palovarotene can be decreased when combined with Fluconazole.]
[M01AX13, proquazone, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Proquazone.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Fluconazole.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Fluconazole.]
[J01XB01, colistin, Fluconazole may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Fluconazole.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Desflurane.]
[A04AA03, tropisetron, Fluconazole may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Nateglinide is combined with Fluconazole.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Mecasermin is combined with Fluconazole.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Insulin glargine is combined with Fluconazole.]
[J01FA15, telithromycin, The metabolism of Telithromycin can be decreased when combined with Fluconazole.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Fluconazole.]
[B01AC10, indobufen, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Desloratadine.]
[J05AB14, valganciclovir, Fluconazole may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Fluconazole may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Fluconazole may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Fluconazole may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Fluconazole may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Fluconazole may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Fluconazole.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Fluconazole.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Fluconazole.]
[J02AC02, itraconazole, The metabolism of Itraconazole can be decreased when combined with Fluconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Bemiparin.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Emedastine.]
[N05BA10, ketazolam, The metabolism of Ketazolam can be decreased when combined with Fluconazole.]
[M01AA06, kebuzone, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Kebuzone.]
