[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Famotidine.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Famotidine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Famotidine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Famotidine.]
[S01BC03, diclofenac, The excretion of Famotidine can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Famotidine.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Pinaverium.]
[L01EB02, erlotinib, Famotidine can cause a decrease in the absorption of Erlotinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A08AA03, diethylpropion, Diethylpropion may decrease the sedative and stimulatory activities of Famotidine.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Famotidine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Famotidine.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Famotidine.]
[J05AE08, atazanavir, Famotidine can cause a decrease in the absorption of Atazanavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Famotidine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Dimenhydrinate.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Famotidine.]
[G02AD02, dinoprostone, The excretion of Famotidine can be decreased when combined with Dinoprostone.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Famotidine.]
[R06AA02, diphenhydramine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Diphenhydramine.]
[C09AA06, quinapril, The excretion of Quinapril can be decreased when combined with Famotidine.]
[N06BA11, dexmethylphenidate, The therapeutic efficacy of Dexmethylphenidate can be decreased when used in combination with Famotidine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Cisapride.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Famotidine.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Famotidine.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Famotidine.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The metabolism of Ropivacaine can be decreased when combined with Famotidine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Famotidine.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Sunitinib.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Famotidine.]
[J05AE07, fosamprenavir, Famotidine can cause a decrease in the absorption of Fosamprenavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ranolazine.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Salmeterol.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Domperidone.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Famotidine.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Doxepin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Famotidine.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Sevoflurane.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Droperidol.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Sultopride.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Talinolol.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Famotidine.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Temafloxacin.]
[M01AC02, tenoxicam, The excretion of Famotidine can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Famotidine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Terodiline.]
[C09AA02, enalapril, The excretion of Famotidine can be decreased when combined with Enalapril.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Famotidine.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Toremifene.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Triptorelin.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Famotidine.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Famotidine.]
[S01EA01, epinephrine, The serum concentration of Epinephrine can be increased when it is combined with Famotidine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Famotidine.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Famotidine.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Famotidine.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Famotidine.]
[N03AG01, valproic acid, The excretion of Valproic acid can be decreased when combined with Famotidine.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Erythromycin.]
[A02BC02, pantoprazole, The excretion of Famotidine can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Famotidine.]
[G03CA03, estradiol, The excretion of Estradiol can be decreased when combined with Famotidine.]
[G03CA57, estrogens, conjugated (USP), The excretion of Famotidine can be decreased when combined with Conjugated estrogens.]
[C01CA15, gepefrine, Gepefrine may decrease the sedative and stimulatory activities of Famotidine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Famotidine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Famotidine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Famotidine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Famotidine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Fleroxacin.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Astemizole.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Famotidine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Famotidine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Leuprolide.]
[C10AA03, pravastatin, The excretion of Famotidine can be decreased when combined with Pravastatin.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Pipemidic acid.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, The excretion of Levocarnitine can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Famotidine.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Fendiline.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Famotidine.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Salbutamol.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Famotidine.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Flecainide.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Famotidine.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Famotidine.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Famotidine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Famotidine.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Famotidine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Flupentixol.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Famotidine.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Famotidine.]
[J05AE10, darunavir, Famotidine can cause a decrease in the absorption of Darunavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C03CA01, furosemide, The excretion of Famotidine can be decreased when combined with Furosemide.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Famotidine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Gallopamil.]
[S01AD09, ganciclovir, The excretion of Famotidine can be decreased when combined with Ganciclovir.]
[C10AB04, gemfibrozil, The excretion of Famotidine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Degarelix.]
[L01EA02, dasatinib, Famotidine can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Famotidine.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Methsuximide.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Lapatinib.]
[C01BD04, dofetilide, The serum concentration of Dofetilide can be increased when it is combined with Famotidine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Famotidine.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Famotidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Histrelin.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Quetiapine.]
[M04AA01, allopurinol, The excretion of Allopurinol can be decreased when combined with Famotidine.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Famotidine.]
[A07EC02, mesalamine, Famotidine can cause a decrease in the absorption of Mesalazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Nilvadipine.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The excretion of Hydrochlorothiazide can be decreased when combined with Famotidine.]
[S02BA01, hydrocortisone, The excretion of Hydrocortisone can be decreased when combined with Famotidine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Hydroxychloroquine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Hydroxyzine.]
[M05BA07, risedronic acid, Famotidine can cause an increase in the absorption of Risedronic acid resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Famotidine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Terlipressin.]
[M03BX02, tizanidine, The serum concentration of Tizanidine can be increased when it is combined with Famotidine.]
[L01CE01, topotecan, The excretion of Topotecan can be decreased when combined with Famotidine.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Famotidine.]
[S01BC01, indomethacin, The excretion of Famotidine can be decreased when combined with Indomethacin.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Famotidine.]
[A10BH01, sitagliptin, The excretion of Sitagliptin can be decreased when combined with Famotidine.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Famotidine.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Famotidine.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Famotidine.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Famotidine.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Famotidine.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Famotidine.]
[J02AB02, ketoconazole, Famotidine can cause a decrease in the absorption of Ketoconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Famotidine.]
[M02AA10, ketoprofen, The excretion of Famotidine can be decreased when combined with Ketoprofen.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Mizolastine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Nalidixic acid.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Famotidine.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Famotidine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Lidoflazine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Loperamide.]
[L01EA03, nilotinib, Famotidine can cause a decrease in the absorption of Nilotinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Maprotiline.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Famotidine.]
[N05CH01, melatonin, The excretion of Famotidine can be decreased when combined with Melatonin.]
[N06DX01, memantine, Famotidine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C01CA11, mephentermine, Mephentermine may decrease the sedative and stimulatory activities of Famotidine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Famotidine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Paliperidone.]
[A10BA02, metformin, The serum concentration of Metformin can be increased when it is combined with Famotidine.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Methadone.]
[N06BA03, methamphetamine, Metamfetamine may decrease the sedative and stimulatory activities of Famotidine.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Famotidine.]
[J01XX05, methenamine, The therapeutic efficacy of Methenamine can be decreased when used in combination with Famotidine.]
[L01BA04, pemetrexed, Famotidine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[L04AX03, methotrexate, The excretion of Famotidine can be decreased when combined with Methotrexate.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Methotrimeprazine.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Famotidine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Famotidine.]
[N06BA04, methylphenidate, The therapeutic efficacy of Methylphenidate can be decreased when used in combination with Famotidine.]
[G03EK01, methyltestosterone, The excretion of Famotidine can be increased when combined with Methyltestosterone.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Metoclopramide.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Famotidine.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Famotidine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Famotidine.]
[S02AA13, miconazole, Famotidine can cause a decrease in the absorption of Miconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Famotidine.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Mifepristone.]
[J01AA08, minocycline, The excretion of Famotidine can be decreased when combined with Minocycline.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the sedative and stimulatory activities of Famotidine.]
[C01BD01, amiodarone, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Amitriptyline.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Famotidine.]
[L01EX03, pazopanib, Famotidine can cause a decrease in the absorption of Pazopanib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA06, mycophenolic acid, Famotidine can cause a decrease in the absorption of Mycophenolic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AJ01, raltegravir, Famotidine can cause an increase in the absorption of Raltegravir resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Famotidine.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Famotidine.]
[C07AA12, nadolol, The excretion of Nadolol can be decreased when combined with Famotidine.]
[N04BC04, ropinirole, The metabolism of Ropinirole can be decreased when combined with Famotidine.]
[N06BA01, amphetamine, Amphetamine may decrease the sedative and stimulatory activities of Famotidine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Famotidine.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Levosimendan.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Iloperidone.]
[J05AB11, valacyclovir, The excretion of Valaciclovir can be decreased when combined with Famotidine.]
[C08CA04, nicardipine, The risk or severity of QTc prolongation can be increased when Nicardipine is combined with Famotidine.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Nifedipine.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Nimodipine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Nitrendipine.]
[N04BC05, pramipexole, The serum concentration of Pramipexole can be increased when it is combined with Famotidine.]
[C01CA03, norepinephrine, The serum concentration of Norepinephrine can be increased when it is combined with Famotidine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Norfloxacin.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Famotidine.]
[H01CB02, octreotide, Famotidine can cause a decrease in the absorption of Octreotide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ofloxacin.]
[C01AC01, ouabain, The excretion of Famotidine can be decreased when combined with Ouabain.]
[V08CB01, ferumoxsil, Famotidine can cause a decrease in the absorption of Ferumoxsil resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Oxolinic acid.]
[S01AA04, oxytetracycline, The excretion of Famotidine can be decreased when combined with Oxytetracycline.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Famotidine.]
[V04CH30, 4-aminohippuric acid, The excretion of Famotidine can be decreased when combined with Aminohippuric acid.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Asenapine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Papaverine.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Famotidine.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Penfluridol.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Famotidine.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Famotidine.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Famotidine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Famotidine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Pheniramine.]
[A08AA01, phentermine, Phentermine may decrease the sedative and stimulatory activities of Famotidine.]
[M02AA01, phenylbutazone, The excretion of Famotidine can be decreased when combined with Phenylbutazone.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Levofloxacin.]
[N07BB03, acamprosate, The excretion of Acamprosate can be decreased when combined with Famotidine.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Famotidine.]
[J01CA12, piperacillin, The excretion of Piperacillin can be decreased when combined with Famotidine.]
[J05AE01, saquinavir, Famotidine can cause an increase in the absorption of Saquinavir resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[S01BC06, piroxicam, The excretion of Famotidine can be decreased when combined with Piroxicam.]
[J01DD16, cefditoren, The serum concentration of Cefditoren can be decreased when it is combined with Famotidine.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Grepafloxacin.]
[J05AG02, delavirdine, Famotidine can cause a decrease in the absorption of Delavirdine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Famotidine.]
[C03AA05, polythiazide, The excretion of Polythiazide can be decreased when combined with Famotidine.]
[J05AE03, ritonavir, The risk or severity of QTc prolongation can be increased when Ritonavir is combined with Famotidine.]
[A10BH03, saxagliptin, The excretion of Saxagliptin can be decreased when combined with Famotidine.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Prajmaline.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Famotidine.]
[C02CA01, prazosin, The serum concentration of Prazosin can be increased when it is combined with Famotidine.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Prenylamine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Primaquine.]
[M04AB01, probenecid, The excretion of Famotidine can be decreased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Probucol.]
[C01BA02, procainamide, The excretion of Procainamide can be decreased when combined with Famotidine.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Prochlorperazine.]
[N05AA03, promazine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Promazine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Promethazine.]
[C01BC03, propafenone, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Propafenone.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Famotidine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Famotidine.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Famotidine.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Famotidine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the sedative and stimulatory activities of Famotidine.]
[N05AX12, aripiprazole, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Aripiprazole.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Famotidine.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Mepyramine.]
[C01BA01, quinidine, The excretion of Famotidine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Quinine.]
[A02BA02, ranitidine, The excretion of Ranitidine can be decreased when combined with Famotidine.]
[C02AA02, reserpine, The serum concentration of Reserpine can be increased when it is combined with Famotidine.]
[J04AB02, rifampin, Famotidine can cause a decrease in the absorption of Rifampicin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Roxithromycin.]
[S01BC08, salicylic acid, The excretion of Famotidine can be decreased when combined with Salicylic acid.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Famotidine.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Sotalol.]
[H02CA04, levoketoconazole, Famotidine can cause a decrease in the absorption of Levoketoconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
