[S02DA03, antipyrine, Potassium chloride may increase the hyperkalemic activities of Antipyrine.]
[A04AA03, tropisetron, Potassium chloride may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Potassium chloride may increase the hyperkalemic activities of Imidazole salicylate.]
[B01AC10, indobufen, Potassium chloride may increase the hyperkalemic activities of Indobufen.]
[J05AB14, valganciclovir, Potassium chloride may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Potassium chloride may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Potassium chloride may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Potassium chloride may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Potassium chloride may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Potassium chloride may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Potassium chloride may increase the hyperkalemic activities of Valdecoxib.]
[N02CC05, almotriptan, Potassium chloride may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AH04, parecoxib, Potassium chloride may increase the hyperkalemic activities of Parecoxib.]
[J02AC02, itraconazole, Potassium chloride may increase the hyperkalemic activities of Itraconazole.]
[B01AB12, bemiparin, Potassium chloride may increase the hyperkalemic activities of Bemiparin.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N05BA10, ketazolam, Potassium chloride may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Potassium chloride may increase the hyperkalemic activities of Kebuzone.]
[C08CA09, lacidipine, Potassium chloride may increase the hyperkalemic activities of Lacidipine.]
[N03AX09, lamotrigine, The risk or severity of gastrointestinal ulceration can be increased when Lamotrigine is combined with Potassium chloride.]
[N07BC04, lofexidine, Potassium chloride may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[M01AB09, lonazolac, Potassium chloride may increase the hyperkalemic activities of Lonazolac.]
[M02AA31, loxoprofen, Potassium chloride may increase the hyperkalemic activities of Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C09AA03, lisinopril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Lisinopril.]
[A06AD01, magnesium carbonate, Potassium chloride may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, Potassium chloride may increase the hyperkalemic activities of Manidipine.]
[A03AA04, mebeverine, The risk or severity of gastrointestinal ulceration can be increased when Mebeverine is combined with Potassium chloride.]
[C07AA14, mepindolol, Potassium chloride may increase the hyperkalemic activities of Mepindolol.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N04AA03, methixene, The risk or severity of gastrointestinal ulceration can be increased when Metixene is combined with Potassium chloride.]
[C04AX01, cyclandelate, Potassium chloride may increase the hyperkalemic activities of Cyclandelate.]
[C03DA04, eplerenone, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Eplerenone.]
[N05AD03, metylperon, Potassium chloride may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[S01XA18, cyclosporine, Potassium chloride may increase the hyperkalemic activities of Cyclosporine.]
[R06AX02, cyproheptadine, The risk or severity of gastrointestinal ulceration can be increased when Cyproheptadine is combined with Potassium chloride.]
[C09AA13, moexipril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Moexipril.]
[M02AA02, mofebutazone, Potassium chloride may increase the hyperkalemic activities of Mofebutazone.]
[M01AX22, morniflumate, Potassium chloride may increase the hyperkalemic activities of Morniflumate.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH05, etoricoxib, Potassium chloride may increase the hyperkalemic activities of Etoricoxib.]
[L01AX04, dacarbazine, Potassium chloride may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M03CA01, dantrolene, Potassium chloride may increase the hyperkalemic activities of Dantrolene.]
[M01AX01, nabumetone, Potassium chloride may increase the hyperkalemic activities of Nabumetone.]
[N07BB05, nalmefene, Potassium chloride may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, Potassium chloride may increase the hyperkalemic activities of Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N06AX06, nefazodone, Potassium chloride may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Potassium chloride may increase the hyperkalemic activities of Nicorandil.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of gastrointestinal ulceration can be increased when Escitalopram is combined with Potassium chloride.]
[G04BD08, solifenacin, The risk or severity of gastrointestinal ulceration can be increased when Solifenacin is combined with Potassium chloride.]
[A07EC03, olsalazine, Potassium chloride may increase the hyperkalemic activities of Olsalazine.]
[N06AA01, desipramine, The risk or severity of gastrointestinal ulceration can be increased when Desipramine is combined with Potassium chloride.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[V04CH02, indigo carmine, Potassium chloride may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C09XA02, aliskiren, Potassium chloride may increase the hyperkalemic activities of Aliskiren.]
[M01AE12, oxaprozin, Potassium chloride may increase the hyperkalemic activities of Oxaprozin.]
[N04AA08, dexetimide, The risk or severity of gastrointestinal ulceration can be increased when Dexetimide is combined with Potassium chloride.]
[G04BD04, oxybutynin, The risk or severity of gastrointestinal ulceration can be increased when Oxybutynin is combined with Potassium chloride.]
[A03AA01, oxyphencyclimine, The risk or severity of gastrointestinal ulceration can be increased when Oxyphencyclimine is combined with Potassium chloride.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N06AB05, paroxetine, The risk or severity of gastrointestinal ulceration can be increased when Paroxetine is combined with Potassium chloride.]
[C01DA05, pentaerythritol tetranitrate, Potassium chloride may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Potassium chloride may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Potassium chloride may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R05DA08, pholcodine, Potassium chloride may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Potassium chloride may increase the hyperkalemic activities of Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[A03AA07, dicyclomine, The risk or severity of gastrointestinal ulceration can be increased when Dicyclomine is combined with Potassium chloride.]
[J05AF02, didanosine, Potassium chloride may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[A03AX04, pinaverium, Potassium chloride may increase the hyperkalemic activities of Pinaverium.]
[A03AB14, pipenzolate, The risk or severity of gastrointestinal ulceration can be increased when Pipenzolate is combined with Potassium chloride.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA03, isradipine, Potassium chloride may increase the hyperkalemic activities of Isradipine.]
[D07XC04, diflucortolone, Potassium chloride may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, The risk or severity of gastrointestinal ulceration can be increased when Poldine is combined with Potassium chloride.]
[N02BA11, diflunisal, Potassium chloride may increase the hyperkalemic activities of Diflunisal.]
[C01AA05, digoxin, Potassium chloride may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Potassium chloride.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C08DB01, diltiazem, Potassium chloride may increase the hyperkalemic activities of Diltiazem.]
[V03AB09, dimercaprol, Potassium chloride may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R06AB03, dimethindene, The risk or severity of gastrointestinal ulceration can be increased when Dimetindene is combined with Potassium chloride.]
[M02AX03, dimethyl sulfoxide, Potassium chloride may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, Potassium chloride may increase the hyperkalemic activities of Propyphenazone.]
[M01AB14, proglumetacin, Potassium chloride may increase the hyperkalemic activities of Proglumetacin.]
[R06AA02, diphenhydramine, The risk or severity of gastrointestinal ulceration can be increased when Diphenhydramine is combined with Potassium chloride.]
[C09AA06, quinapril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Quinapril.]
[C09AA05, ramipril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Ramipril.]
[S01AX06, resorcinol, Potassium chloride may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of gastrointestinal ulceration can be increased when Disopyramide is combined with Potassium chloride.]
[R06AE09, levocetirizine, Potassium chloride may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Potassium chloride may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, Potassium chloride may increase the hyperkalemic activities of Ketorolac.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N02BA06, salsalate, Potassium chloride may increase the hyperkalemic activities of Salsalate.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C01CA07, dobutamine, Potassium chloride may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CA04, dopamine, Potassium chloride may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The risk or severity of gastrointestinal ulceration can be increased when Dosulepin is combined with Potassium chloride.]
[N06AA12, doxepin, The risk or severity of gastrointestinal ulceration can be increased when Doxepin is combined with Potassium chloride.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of gastrointestinal ulceration can be increased when Doxylamine is combined with Potassium chloride.]
[A08AA10, sibutramine, Potassium chloride may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C09AA11, spirapril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Spirapril.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[V04CX07, edrophonium, Potassium chloride may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, Potassium chloride may increase the hyperkalemic activities of Talinolol.]
[L01AX03, temozolomide, Potassium chloride may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Potassium chloride may increase the hyperkalemic activities of Tenoxicam.]
[G04BD05, terodiline, Potassium chloride may increase the hyperkalemic activities of Terodiline.]
[C07AA16, tertatolol, Potassium chloride may increase the hyperkalemic activities of Tertatolol.]
[G04BD01, emepronium, The risk or severity of gastrointestinal ulceration can be increased when Emepronium is combined with Potassium chloride.]
[C09AA02, enalapril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Enalapril.]
[M01AG02, tolfenamic acid, Potassium chloride may increase the hyperkalemic activities of Tolfenamic acid.]
[N06AG03, toloxatone, Potassium chloride may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA10, trandolapril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Trandolapril.]
[N05CC01, chloral hydrate, Potassium chloride may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[A03AB08, tridihexethyl, The risk or severity of gastrointestinal ulceration can be increased when Tridihexethyl is combined with Potassium chloride.]
[N04AA12, tropatepine, The risk or severity of gastrointestinal ulceration can be increased when Tropatepine is combined with Potassium chloride.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C08CA12, mepirodipine, Potassium chloride may increase the hyperkalemic activities of Barnidipine.]
[C09AA15, zofenopril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Zofenopril.]
[M01AB04, zomepirac, Potassium chloride may increase the hyperkalemic activities of Zomepirac.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C02AC02, guanfacine, Potassium chloride may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L03AX05, pidotimod, Potassium chloride may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Potassium chloride may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[G03CA03, estradiol, Potassium chloride may decrease the excretion rate of Estradiol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N04AA05, profenamine, The risk or severity of gastrointestinal ulceration can be increased when Profenamine is combined with Potassium chloride.]
[N03AD01, ethosuximide, Potassium chloride may increase the hyperkalemic activities of Ethosuximide.]
[M01AC06, meloxicam, Potassium chloride may increase the hyperkalemic activities of Meloxicam.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[L04AD02, tacrolimus, Potassium chloride may increase the hyperkalemic activities of Tacrolimus.]
[R06AX12, terfenadine, The risk or severity of gastrointestinal ulceration can be increased when Terfenadine is combined with Potassium chloride.]
[P01AX07, trimetrexate, Potassium chloride may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Potassium chloride may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Potassium chloride may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Potassium chloride may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C08CA02, felodipine, Potassium chloride may increase the hyperkalemic activities of Felodipine.]
[C08EA01, fendiline, Potassium chloride may increase the hyperkalemic activities of Fendiline.]
[M01AE04, fenoprofen, Potassium chloride may increase the hyperkalemic activities of Fenoprofen.]
[N02AB03, fentanyl, Potassium chloride may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Potassium chloride may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[G04BD02, flavoxate, The risk or severity of gastrointestinal ulceration can be increased when Flavoxate is combined with Potassium chloride.]
[N02BG04, floctafenine, Potassium chloride may increase the hyperkalemic activities of Floctafenine.]
[J02AC01, fluconazole, Potassium chloride may increase the hyperkalemic activities of Fluconazole.]
[J02AX01, flucytosine, Potassium chloride may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Potassium chloride may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, Potassium chloride may increase the hyperkalemic activities of Flunarizine.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N05AF01, flupenthixol, The risk or severity of gastrointestinal ulceration can be increased when Flupentixol is combined with Potassium chloride.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[S01BC04, flurbiprofen, Potassium chloride may increase the hyperkalemic activities of Flurbiprofen.]
[N05AG01, fluspirilene, Potassium chloride may increase the hyperkalemic activities of Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[S02AA17, fosfomycin, Potassium chloride may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[L01BC03, tegafur, Potassium chloride may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C08DA02, gallopamil, Potassium chloride may increase the hyperkalemic activities of Gallopamil.]
[S01AD09, ganciclovir, Potassium chloride may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, Potassium chloride may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Potassium chloride may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N03AD03, methsuximide, Potassium chloride may increase the hyperkalemic activities of Methsuximide.]
[A10BB07, glipizide, Potassium chloride may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C07AB09, esmolol, Potassium chloride may increase the hyperkalemic activities of Esmolol.]
[M01CB04, aurothioglucose, Potassium chloride may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Potassium chloride may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Fosinopril.]
[S01EX01, guanethidine, Potassium chloride may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N05AD01, haloperidol, Haloperidol may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N05AH04, quetiapine, The risk or severity of gastrointestinal ulceration can be increased when Quetiapine is combined with Potassium chloride.]
[N06BX13, idebenone, Potassium chloride may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C09CA01, losartan, Potassium chloride may increase the hyperkalemic activities of Losartan.]
[S01XA14, heparin, Potassium chloride may increase the hyperkalemic activities of Heparin.]
[G03DC01, allylestrenol, Potassium chloride may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Potassium chloride may increase the hyperkalemic activities of Mesalazine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C08CA10, nilvadipine, Potassium chloride may increase the hyperkalemic activities of Nilvadipine.]
[M02AA26, nimesulide, Potassium chloride may increase the hyperkalemic activities of Nimesulide.]
[C09AA04, perindopril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Perindopril.]
[C02DB02, hydralazine, Potassium chloride may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Potassium chloride.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[G04BD06, propiverine, The risk or severity of gastrointestinal ulceration can be increased when Propiverine is combined with Potassium chloride.]
[R02AX02, ibuprofen, Potassium chloride may increase the hyperkalemic activities of Ibuprofen.]
[L01AA06, ifosfamide, Potassium chloride may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AA02, imipramine, The risk or severity of gastrointestinal ulceration can be increased when Imipramine is combined with Potassium chloride.]
[R01AD07, tixocortol, Potassium chloride may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CE01, topotecan, Potassium chloride may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Potassium chloride may increase the hyperkalemic activities of Indomethacin.]
[N06AX17, milnacipran, Potassium chloride may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[A03AA30, piperidolate, The risk or severity of gastrointestinal ulceration can be increased when Piperidolate is combined with Potassium chloride.]
[S01XA28, varenicline, Potassium chloride may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, Potassium chloride may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N05CH02, ramelteon, Potassium chloride may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[R06AE01, buclizine, The risk or severity of gastrointestinal ulceration can be increased when Buclizine is combined with Potassium chloride.]
[C07AA01, alprenolol, Potassium chloride may increase the hyperkalemic activities of Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Potassium chloride may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[C09AA16, imidapril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Imidapril.]
[J04AC01, isoniazid, Potassium chloride may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Potassium chloride may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Potassium chloride may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Potassium chloride may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[S01AA24, kanamycin, Potassium chloride may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Potassium chloride may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Potassium chloride may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, Potassium chloride may increase the hyperkalemic activities of Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of gastrointestinal ulceration can be increased when Olanzapine is combined with Potassium chloride.]
[M02AA10, ketoprofen, Potassium chloride may increase the hyperkalemic activities of Ketoprofen.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Potassium chloride may increase the hyperkalemic activities of Tiaprofenic acid.]
[C07AG01, labetalol, Potassium chloride may increase the hyperkalemic activities of Labetalol.]
[N04BB01, amantadine, Potassium chloride may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Potassium chloride may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[C08EX01, lidoflazine, Potassium chloride may increase the hyperkalemic activities of Lidoflazine.]
[S01AA21, amikacin, Potassium chloride may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Amiloride.]
[A07DA03, loperamide, Potassium chloride may increase the hyperkalemic activities of Loperamide.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[L01BA05, pralatrexate, Potassium chloride may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[N06AA21, maprotiline, The risk or severity of gastrointestinal ulceration can be increased when Maprotiline is combined with Potassium chloride.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Potassium chloride may increase the hyperkalemic activities of Meclofenamic acid.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, Potassium chloride may increase the hyperkalemic activities of Nadroparin.]
[B01AB05, enoxaparin, Potassium chloride may increase the hyperkalemic activities of Enoxaparin.]
[B01AB04, dalteparin, Potassium chloride may increase the hyperkalemic activities of Dalteparin.]
[N06DX01, memantine, Potassium chloride may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N01BB03, mepivacaine, Potassium chloride may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Potassium chloride may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Potassium chloride may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N06BA03, methamphetamine, Potassium chloride may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
