[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Flurazepam.]
[B01AC23, cilostazol, Flurazepam may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Flurazepam is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Flurazepam can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Esketamine.]
[J01FA09, clarithromycin, The metabolism of Flurazepam can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Flurazepam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Cloxazolam.]
[L04AB01, etanercept, The metabolism of Flurazepam can be increased when combined with Etanercept.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Flurazepam.]
[N07XX11, pitolisant, The serum concentration of Flurazepam can be decreased when it is combined with Pitolisant.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The therapeutic efficacy of Flurazepam can be increased when used in combination with Yohimbine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Flurazepam.]
[N03AX25, cenobamate, The serum concentration of Flurazepam can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[M09AX08, golodirsen, Flurazepam may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Flurazepam.]
[S01XA12, dexpanthenol, Flurazepam may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Flurazepam.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Flurazepam is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Lumateperone.]
[J05AE05, amprenavir, The metabolism of Flurazepam can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Flurazepam is combined with Frovatriptan.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Flurazepam.]
[R02AA03, dichlorobenzyl alcohol, Flurazepam may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Flurazepam may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Flurazepam is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Flurazepam.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Flurazepam.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C08CA16, clevidipine, Flurazepam may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[C01BD07, dronedarone, The metabolism of Flurazepam can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Flurazepam.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Flurazepam.]
[A03AA08, dihexyverine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[G04BD09, trospium, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[V08CA05, mangafodipir, Flurazepam may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Flurazepam is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Flurazepam.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Flurazepam can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Flurazepam is combined with Oliceridine.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05AF03, chlorprothixene, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Flurazepam.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Etifoxine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Flurazepam.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ethyl loflazepate.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[B06AC06, berotralstat, The metabolism of Flurazepam can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Flurazepam can be decreased when combined with Lonafarnib.]
[M01AX25, chondroitin sulfates, Flurazepam may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Flurazepam can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Flurazepam is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Flurazepam is combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N06BA10, fenethylline, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Fenethylline.]
[C01CA19, fenoldopam, Flurazepam may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N02BG07, flupirtine, Flurazepam may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Flurazepam.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Flurazepam is combined with Trichloroethylene.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Flurazepam is combined with Gabapentin.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Flurazepam can be decreased when combined with Cinnarizine.]
[L01XX73, sotorasib, The serum concentration of Flurazepam can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Flurazepam can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Flurazepam.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Flurazepam is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Flurazepam may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Flurazepam may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Flurazepam may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Flurazepam.]
[N06AX25, St. John's wort extract, The metabolism of Flurazepam can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Flurazepam.]
[C10AB01, clofibrate, The metabolism of Flurazepam can be decreased when combined with Clofibrate.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Levobupivacaine.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Flurazepam.]
[C01EB24, mavacamten, The serum concentration of Flurazepam can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Flurazepam is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Clozapine.]
[J01GB12, arbekacin, Flurazepam may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Flurazepam can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Flurazepam may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Flurazepam can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Flurazepam.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Flurazepam is combined with Hexafluronium.]
[M04AC01, colchicine, Flurazepam may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Flurazepam may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Flurazepam is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Flurazepam is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ifenprodil.]
[A10BX03, nateglinide, Flurazepam may decrease the excretion rate of Nateglinide which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01FA15, telithromycin, The metabolism of Flurazepam can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Desloratadine.]
[J05AB14, valganciclovir, Flurazepam may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Flurazepam may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Flurazepam may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Flurazepam may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Flurazepam may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Flurazepam may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Flurazepam is combined with Almotriptan.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Flurazepam can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J02AC04, posaconazole, The metabolism of Flurazepam can be decreased when combined with Posaconazole.]
[N03AX09, lamotrigine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Flurazepam can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Lormetazepam.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C09AA03, lisinopril, Flurazepam may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Flurazepam may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[A03AA04, mebeverine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Medifoxamine.]
[J01DH02, meropenem, Flurazepam may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[N04AA03, methixene, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Flurazepam is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Flurazepam is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Flurazepam.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Minaprine.]
[S01XA18, cyclosporine, The metabolism of Flurazepam can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Moclobemide.]
[R06AX02, cyproheptadine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Flurazepam can be decreased when combined with Conivaptan.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[L01AX04, dacarbazine, Flurazepam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Flurazepam can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Flurazepam is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N07BB05, nalmefene, Flurazepam may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Nordazepam.]
[S01GX04, nedocromil, Flurazepam may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Flurazepam can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Niaprazine.]
[C01DX16, nicorandil, Flurazepam may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Tiagabine.]
[C01CA23, theodrenaline, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Flurazepam.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Normethadone is combined with Flurazepam.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Flurazepam is combined with Escitalopram.]
[G04BD08, solifenacin, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N06AA01, desipramine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[V04CH02, indigo carmine, Flurazepam may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Flurazepam.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Flurazepam can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Oxiracetam.]
[N04AA08, dexetimide, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Flurazepam can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Flurazepam.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Flurazepam.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Flurazepam.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Flurazepam.]
[C04AD01, pentifylline, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Pentifylline.]
[P03AC04, permethrin, Flurazepam may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Flurazepam is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Flurazepam.]
[R05DA08, pholcodine, Flurazepam may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[A03AA07, dicyclomine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Flurazepam may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Pipamperone.]
[A03AB14, pipenzolate, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Flurazepam is combined with Diethylpropion.]
[C08CA03, isradipine, The metabolism of Flurazepam can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, Flurazepam may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C01AA05, digoxin, Flurazepam may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Flurazepam.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Flurazepam.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Flurazepam can be decreased when combined with Atazanavir.]
[H03BC01, potassium perchlorate, Flurazepam may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Flurazepam may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Flurazepam can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Flurazepam is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Flurazepam may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Pridinol.]
[R06AB03, dimethindene, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, Flurazepam may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Progabide.]
[N06BC02, propentofylline, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Propentofylline.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[R03DA03, proxyphylline, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Proxyphylline.]
[R06AA02, diphenhydramine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Flurazepam.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Flurazepam is combined with Dexmethylphenidate.]
