[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Apomorphine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Apomorphine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Entrectinib.]
[N07XX11, pitolisant, Apomorphine may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Apomorphine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Apomorphine.]
[C03AA09, cyclothiazide, Apomorphine may increase the hypotensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Yohimbine.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Apomorphine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Apomorphine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Apomorphine.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Apomorphine.]
[N03AX25, cenobamate, The serum concentration of Apomorphine can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Apomorphine.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Dezocine.]
[N05CM21, lemborexant, The serum concentration of Apomorphine can be decreased when it is combined with Lemborexant.]
[N05AD10, lumateperone, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Lumateperone.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Apomorphine.]
[J05AE05, amprenavir, The metabolism of Apomorphine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Apomorphine is combined with Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Apomorphine.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Apomorphine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Apomorphine is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Apomorphine.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Apomorphine.]
[M01AH02, rofecoxib, The metabolism of Apomorphine can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Apomorphine can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Apomorphine.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Valpromide.]
[S03AA08, chloramphenicol, The metabolism of Apomorphine can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Chlorcyclizine.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Apomorphine.]
[C02AA06, methoserpidine, Apomorphine may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Apomorphine.]
[A03AA08, dihexyverine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The metabolism of Apomorphine can be decreased when combined with Opicapone.]
[C01CA14, dopexamine, The risk or severity of adverse effects can be decreased when Apomorphine is combined with Dopexamine.]
[D07XB03, fluprednidene, The metabolism of Apomorphine can be increased when combined with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Apomorphine.]
[G04BD09, trospium, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01EX22, selpercatinib, The serum concentration of Apomorphine can be increased when it is combined with Selpercatinib.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Apomorphine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Apomorphine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Apomorphine.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Apomorphine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Fostemsavir.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Remimazolam.]
[N07XX04, sodium oxybate, The risk or severity of adverse effects can be increased when Apomorphine is combined with Sodium oxybate.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Apomorphine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Apomorphine can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Apomorphine can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Chlorpromazine.]
[N05AF03, chlorprothixene, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Chlorprothixene.]
[C03BA04, chlorthalidone, The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Apomorphine.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Apomorphine.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Apomorphine is combined with Ethyl loflazepate.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Apomorphine can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Relugolix.]
[P03AX07, abametapir, The serum concentration of Apomorphine can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Apomorphine is combined with Vericiguat.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Apomorphine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Apomorphine is combined with Felbamate.]
[C01CA19, fenoldopam, The risk or severity of adverse effects can be decreased when Apomorphine is combined with Fenoldopam.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Apomorphine.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Flumequine.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Apomorphine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Apomorphine is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, Apomorphine may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Apomorphine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Apomorphine can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The metabolism of Apomorphine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The metabolism of Apomorphine can be decreased when combined with Cisplatin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Apomorphine is combined with Citalopram.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Apomorphine.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Apomorphine is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Clemastine.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Apomorphine.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Apomorphine is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Apomorphine.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Clofazimine.]
[B06AX04, mitapivat, The metabolism of Apomorphine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Apomorphine.]
[C01EB24, mavacamten, The metabolism of Apomorphine can be increased when combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Apomorphine.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Clothiapine.]
[H01CC04, linzagolix, The serum concentration of Apomorphine can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Apomorphine.]
[A04AA02, granisetron, The risk or severity of hypotension can be increased when Granisetron is combined with Apomorphine.]
[N05AH02, clozapine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Halazepam.]
[S02DA02, cocaine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Apomorphine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Apomorphine can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Apomorphine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Apomorphine is combined with Hexafluronium.]
[A03AB10, hexocyclium, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Apomorphine is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of hypotension can be increased when Tropisetron is combined with Apomorphine.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Apomorphine is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Apomorphine.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Telithromycin.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Desloratadine.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Apomorphine is combined with Almotriptan.]
[J02AC02, itraconazole, The metabolism of Apomorphine can be decreased when combined with Itraconazole.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Emedastine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Ketazolam.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Posaconazole.]
[C08CA09, lacidipine, Apomorphine may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Levocabastine.]
[S01BA03, cortisone, The metabolism of Apomorphine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Apomorphine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Lomefloxacin.]
[R06AX13, loratadine, The metabolism of Apomorphine can be decreased when combined with Loratadine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Lormetazepam.]
[C09AA03, lisinopril, The risk or severity of adverse effects can be increased when Apomorphine is combined with Lisinopril.]
[C08CA11, manidipine, The metabolism of Apomorphine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Medifoxamine.]
[H02AB15, meprednisone, The metabolism of Apomorphine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Adenosine.]
[N04AA03, methixene, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Apomorphine is combined with Cyclobarbital.]
[C03DA04, eplerenone, The risk or severity of adverse effects can be increased when Eplerenone is combined with Apomorphine.]
[N05AD03, metylperon, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Melperone.]
[C03AA07, cyclopenthiazide, Apomorphine may increase the hypotensive activities of Cyclopenthiazide.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Apomorphine.]
[N06AX07, minaprine, Minaprine may increase the orthostatic hypotensive activities of Apomorphine.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Apomorphine.]
[N06AG02, moclobemide, Moclobemide may increase the orthostatic hypotensive activities of Apomorphine.]
[N06BA07, modafinil, The metabolism of Apomorphine can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Apomorphine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Apomorphine.]
[C03XA02, conivaptan, The risk or severity of adverse effects can be increased when Apomorphine is combined with Conivaptan.]
[C02AC05, moxonidine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Moxonidine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Vardenafil.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Apomorphine is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Apomorphine can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Apomorphine can be increased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Deanol.]
[C02CC04, debrisoquin, Apomorphine may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Apomorphine.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Nordazepam.]
[C07AB12, nebivolol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Nebivolol.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Apomorphine is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Apomorphine.]
[L02BB02, nilutamide, The metabolism of Apomorphine can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Tiagabine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Apomorphine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Apomorphine is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Escitalopram.]
[G04BD08, solifenacin, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[C09XA02, aliskiren, The risk or severity of adverse effects can be increased when Apomorphine is combined with Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Oxaliplatin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Apomorphine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Oxiracetam.]
[N04AA08, dexetimide, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Apomorphine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Apomorphine can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Apomorphine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Apomorphine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Apomorphine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Apomorphine can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Phenacemide.]
[V03AH01, diazoxide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Apomorphine.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Apomorphine can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Apomorphine.]
[A03AA07, dicyclomine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Apomorphine may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Pinaverium.]
[A10BG03, pioglitazone, The metabolism of Apomorphine can be decreased when combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Apomorphine is combined with Pipamperone.]
[A03AB14, pipenzolate, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Apomorphine.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Apomorphine is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Apomorphine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Apomorphine.]
[D07XC04, diflucortolone, The metabolism of Apomorphine can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Apomorphine.]
[C02DB01, dihydralazine, Apomorphine may increase the hypotensive activities of Dihydralazine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be decreased when Dihydroergotamine is combined with Apomorphine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Apomorphine.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Apomorphine.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Apomorphine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Apomorphine is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Pridinol.]
[R06AB03, dimethindene, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Progabide.]
[R06AA02, diphenhydramine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Apomorphine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Quazepam.]
[C09AA06, quinapril, The risk or severity of adverse effects can be increased when Apomorphine is combined with Quinapril.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Apomorphine is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dexmethylphenidate is combined with Apomorphine.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Cisapride.]
[C09AA05, ramipril, The risk or severity of adverse effects can be increased when Ramipril is combined with Apomorphine.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Apomorphine.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Apomorphine.]
[C01BA03, disopyramide, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Apomorphine can be decreased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Apomorphine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Apomorphine is combined with Riluzole.]
[N05AX08, risperidone, Apomorphine may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Apomorphine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Apomorphine.]
[A04AD12, aprepitant, The metabolism of Apomorphine can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Apomorphine.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Apomorphine.]
[S01BC05, ketorolac, The metabolism of Apomorphine can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Apomorphine.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Ranolazine.]
[R03AC12, salmeterol, The metabolism of Apomorphine can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Apomorphine.]
[N06AA12, doxepin, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Apomorphine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Apomorphine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Apomorphine is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Apomorphine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Apomorphine can be decreased when combined with Simvastatin.]
[C09AA11, spirapril, Apomorphine may increase the hypotensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Apomorphine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Apomorphine.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Temafloxacin.]
[G04CA03, terazosin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Terazosin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Apomorphine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Terodiline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Apomorphine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Apomorphine is combined with Thiopropazate.]
[G04BD01, emepronium, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Tianeptine.]
[C09AA02, enalapril, The risk or severity of adverse effects can be increased when Enalapril is combined with Apomorphine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Tofisopam.]
[N06AG03, toloxatone, Toloxatone may increase the orthostatic hypotensive activities of Apomorphine.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Apomorphine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Apomorphine.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Toremifene.]
