[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Pindolol.]
[L04AB02, infliximab, The metabolism of Pindolol can be increased when combined with Infliximab.]
[A12AA01, calcium phosphate, The therapeutic efficacy of Pindolol can be decreased when used in combination with Calcium Phosphate.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Pindolol.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Pindolol is combined with Bethanechol.]
[J01MA23, delafloxacin, Pindolol may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Pindolol is combined with Acetylcholine.]
[L01BC06, capecitabine, Pindolol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Pindolol.]
[C07AB07, bisoprolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Pindolol.]
[R03AC17, bitolterol, Pindolol may decrease the bronchodilatory activities of Bitolterol.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Pindolol.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C07AA17, bopindolol, Pindolol may increase the bradycardic activities of Bopindolol.]
[N04AA11, bornaprine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Pindolol is combined with Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Pindolol is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Pindolol is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Pindolol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Pindolol.]
[M01AB07, bumadizone, Bumadizone may decrease the antihypertensive activities of Pindolol.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Pindolol is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Pindolol.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Pindolol is combined with Butriptyline.]
[C01AA02, acetyldigoxins, Pindolol may increase the bradycardic activities of Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Pindolol.]
[N01BX04, capsaicin, Capsaicin may increase the bradycardic activities of Pindolol.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Pindolol.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Pindolol is combined with Vinylbital.]
[R06AX18, acrivastine, Pindolol may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Pindolol may increase the hypotensive activities of Captopril.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Pindolol is combined with Carbamoylcholine.]
[L02BB05, apalutamide, Pindolol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Pindolol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Pindolol can be decreased when used in combination with Calcium polycarbophil.]
[A03AA03, camylofine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Pindolol.]
[C07AG02, carvedilol, The risk or severity of bradycardia can be increased when Carvedilol is combined with Pindolol.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Pindolol.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Pindolol.]
[L04AA37, baricitinib, Pindolol may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Pindolol.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01GB14, plazomicin, Pindolol may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Pindolol may decrease the bronchodilatory activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Pindolol.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Pindolol.]
[A16AX14, migalastat, Pindolol may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Pindolol can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Pindolol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Pindolol.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Pindolol is combined with Carbromal.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Pindolol.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Pindolol is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Pindolol may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the antihypertensive activities of Pindolol.]
[R03DA02, oxtriphylline, The risk or severity of adverse effects can be increased when Pindolol is combined with Oxtriphylline.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Pindolol.]
[R03BB08, revefenacin, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Pindolol can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[L01EX13, gilteritinib, The therapeutic efficacy of Pindolol can be decreased when used in combination with Gilteritinib.]
[A06AX05, prucalopride, Pindolol may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, Pindolol may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, Pindolol may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Pindolol is combined with Cinitapride.]
[S01ED05, carteolol, Carteolol may increase the hypotensive activities of Pindolol.]
[P02BX04, triclabendazole, The metabolism of Pindolol can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Pindolol is combined with Esketamine.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Pindolol.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Pindolol is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Pindolol is combined with Brexanolone.]
[N05BA09, clobazam, The metabolism of Pindolol can be decreased when combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Pindolol is combined with Cloxazolam.]
[V03AE07, calcium acetate, The therapeutic efficacy of Pindolol can be decreased when used in combination with Calcium acetate.]
[C09CA06, candesartan, Pindolol may increase the hypotensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Pindolol can be increased when combined with Etanercept.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N05AA06, cyamemazine, The serum concentration of Pindolol can be increased when it is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pindolol.]
[L01EJ02, fedratinib, The metabolism of Pindolol can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The metabolism of Pindolol can be decreased when combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Pindolol.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Pindolol can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Pindolol is combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Pindolol.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Pindolol.]
[A16AX16, givosiran, The serum concentration of Pindolol can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Pindolol may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Pindolol.]
[R06AB02, dexchlorpheniramine, The metabolism of Pindolol can be decreased when combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Pindolol may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Pindolol is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Pindolol is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Pindolol is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Pindolol can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Pindolol can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Pindolol.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Pindolol is combined with Frovatriptan.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Pindolol.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Pindolol is combined with Dichloralphenazone.]
[R02AA03, dichlorobenzyl alcohol, Pindolol may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Pindolol may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Pindolol is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Pindolol is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Pindolol.]
[M01AH02, rofecoxib, Rofecoxib may decrease the antihypertensive activities of Pindolol.]
[C08CA16, clevidipine, The risk or severity of bradycardia can be increased when Clevidipine is combined with Pindolol.]
[C01BD07, dronedarone, Dronedarone may increase the bradycardic activities of Pindolol.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Pindolol is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Pindolol.]
[C02AA06, methoserpidine, Pindolol may increase the hypotensive activities of Methoserpidine.]
[A03AA08, dihexyverine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Pindolol is combined with Opicapone.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Pindolol.]
[G04BD09, trospium, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, Droxicam may decrease the antihypertensive activities of Pindolol.]
[V08CA05, mangafodipir, Pindolol may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Pindolol.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the antihypertensive activities of Pindolol.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Pindolol is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Pindolol is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Pindolol.]
[C08CA17, levamlodipine, The risk or severity of bradycardia can be increased when Levamlodipine is combined with Pindolol.]
[P01BB01, proguanil, The metabolism of Pindolol can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Pindolol is combined with Remimazolam.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Pindolol is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Pindolol can be decreased when combined with Chloroquine.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Pindolol can be increased when used in combination with Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Pindolol is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Pindolol can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Pindolol.]
[N05AF03, chlorprothixene, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Pindolol.]
[A11CC05, cholecalciferol, The metabolism of Pindolol can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Pindolol is combined with Etifoxine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the antihypertensive activities of Pindolol.]
[N02BA03, choline salicylate, Pindolol may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of bradycardia can be increased when Vinpocetine is combined with Pindolol.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Pindolol is combined with Ethyl loflazepate.]
[M01AB08, etodolac, Etodolac may decrease the antihypertensive activities of Pindolol.]
[M02AA06, etofenamate, Etofenamate may decrease the antihypertensive activities of Pindolol.]
[B06AC06, berotralstat, The metabolism of Pindolol can be decreased when combined with Berotralstat.]
[M01AX25, chondroitin sulfates, Pindolol may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Pindolol.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Pindolol is combined with Vericiguat.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Pindolol is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Pindolol.]
[M01AE05, fenbufen, Fenbufen may decrease the antihypertensive activities of Pindolol.]
[N06BA10, fenethylline, The risk or severity of adverse effects can be increased when Pindolol is combined with Fenethylline.]
[C01CA19, fenoldopam, Fenoldopam may increase the hypotensive activities of Pindolol.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Pindolol.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Pindolol.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N02BG07, flupirtine, Pindolol may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, Pindolol may decrease the bronchodilatory activities of Formoterol.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Pindolol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Pindolol.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Pindolol is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Pindolol can be decreased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, The therapeutic efficacy of Pindolol can be decreased when used in combination with Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Pindolol can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Pindolol is combined with Gabapentin.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of bradycardia can be increased when Cinnarizine is combined with Pindolol.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[L01XA01, cisplatin, Pindolol may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Pindolol is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Pindolol is combined with Fexinidazole.]
[V09AB03, ioflupane I-123, Pindolol may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Pindolol may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Pindolol may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Pindolol.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the antihypertensive activities of Pindolol.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Pindolol.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Pindolol.]
[R03CC13, clenbuterol, Pindolol may decrease the bronchodilatory activities of Clenbuterol.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Pindolol can be decreased when used in combination with Calcium glubionate anhydrous.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Pindolol is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Pindolol.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Pindolol is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Pindolol.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Pindolol is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Pindolol.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Pindolol.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Pindolol is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Pindolol is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Pindolol.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Pindolol.]
[N05AH02, clozapine, The metabolism of Pindolol can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Pindolol.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Pindolol.]
[J01GB12, arbekacin, Pindolol may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Pindolol.]
[S02DA02, cocaine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Pindolol may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Pindolol can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the antihypertensive activities of Pindolol.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Pindolol.]
[M03AC05, hexafluorenium, Hexafluronium may increase the bradycardic activities of Pindolol.]
[M04AC01, colchicine, Pindolol may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Pindolol may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Pindolol is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Pindolol is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Pindolol is combined with Ifenprodil.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Pindolol.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the antihypertensive activities of Pindolol.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Pindolol.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Pindolol.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Pindolol.]
[B01AC10, indobufen, Indobufen may decrease the antihypertensive activities of Pindolol.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Pindolol is combined with Desloratadine.]
[J05AB14, valganciclovir, Pindolol may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Pindolol may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Pindolol may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Pindolol may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Pindolol may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Pindolol may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the antihypertensive activities of Pindolol.]
[H01AX01, pegvisomant, Pegvisomant may increase the bradycardic activities of Pindolol.]
[C01AA06, lanatoside C, Pindolol may increase the bradycardic activities of Lanatoside C.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Pindolol.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Pindolol.]
[M01AH04, parecoxib, Parecoxib may decrease the antihypertensive activities of Pindolol.]
[J02AC02, itraconazole, The risk or severity of hyperkalemia can be increased when Pindolol is combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Pindolol is combined with Bemiparin.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Pindolol is combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the antihypertensive activities of Pindolol.]
[L01EA01, imatinib, The serum concentration of Pindolol can be increased when it is combined with Imatinib.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Pindolol.]
[S01EE03, bimatoprost, Bimatoprost may increase the hypotensive activities of Pindolol.]
[C08CA09, lacidipine, Pindolol may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Pindolol can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, Lonazolac may decrease the antihypertensive activities of Pindolol.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Pindolol is combined with Lormetazepam.]
[M02AA31, loxoprofen, Loxoprofen may decrease the antihypertensive activities of Pindolol.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may increase the hypotensive activities of Pindolol.]
[A06AD01, magnesium carbonate, Pindolol may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The risk or severity of bradycardia can be increased when Manidipine is combined with Pindolol.]
[A03AA04, mebeverine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Pindolol is combined with Medifoxamine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Pindolol.]
[C07AA14, mepindolol, Pindolol may increase the bradycardic activities of Mepindolol.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Pindolol.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N04AA03, methixene, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, The risk or severity of bradycardia can be increased when Cyclandelate is combined with Pindolol.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Pindolol can be decreased when used in combination with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Pindolol is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Pindolol is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Pindolol is combined with Melperone.]
