[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ethinylestradiol.]
[N03AX24, cannabidiol, The metabolism of Ethinylestradiol can be increased when combined with Cannabidiol.]
[N02CD01, erenumab, Ethinylestradiol may increase the thrombogenic activities of Erenumab.]
[B02BX08, avatrombopag, The metabolism of Ethinylestradiol can be increased when combined with Avatrombopag.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be increased when combined with Ethinylestradiol.]
[H01CC03, elagolix, The metabolism of Elagolix can be increased when combined with Ethinylestradiol.]
[L01XX62, ivosidenib, The metabolism of Ethinylestradiol can be increased when combined with Ivosidenib.]
[L04AC17, tildrakizumab, Ethinylestradiol may increase the thrombogenic activities of Tildrakizumab.]
[L01FX09, mogamulizumab, Ethinylestradiol may increase the thrombogenic activities of Mogamulizumab.]
[A16AX14, migalastat, The metabolism of Migalastat can be increased when combined with Ethinylestradiol.]
[N03AX17, stiripentol, The metabolism of Ethinylestradiol can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Ethinylestradiol can be increased when combined with Tecovirimat.]
[B06AC05, lanadelumab, Ethinylestradiol may increase the thrombogenic activities of Lanadelumab.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Ethinylestradiol.]
[J01AA13, eravacycline, The serum concentration of Ethinylestradiol can be decreased when it is combined with Eravacycline.]
[N02CD03, fremanezumab, Ethinylestradiol may increase the thrombogenic activities of Fremanezumab.]
[L01FF06, cemiplimab, Ethinylestradiol may increase the thrombogenic activities of Cemiplimab.]
[N02CD02, galcanezumab, Ethinylestradiol may increase the thrombogenic activities of Galcanezumab.]
[L01EB07, dacomitinib, The metabolism of Ethinylestradiol can be decreased when combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Ethinylestradiol can be decreased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Ethinylestradiol can be decreased when it is combined with Omadacycline.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Ethinylestradiol.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Ethinylestradiol.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Ethinylestradiol.]
[M03BA02, carisoprodol, The metabolism of Carisoprodol can be decreased when combined with Ethinylestradiol.]
[L01ED05, lorlatinib, The metabolism of Ethinylestradiol can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Ethinylestradiol can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Ethinylestradiol can be decreased when combined with Carmustine.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Ethinylestradiol.]
[L04AA43, ravulizumab, Ethinylestradiol may increase the thrombogenic activities of Ravulizumab.]
[A06AX05, prucalopride, The serum concentration of Ethinylestradiol can be decreased when it is combined with Prucalopride.]
[B01AX07, caplacizumab, Ethinylestradiol may increase the thrombogenic activities of Caplacizumab.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Ethinylestradiol.]
[P02BX04, triclabendazole, The metabolism of Ethinylestradiol can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Ethinylestradiol can be increased when combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Ethinylestradiol.]
[J01FA09, clarithromycin, The metabolism of Ethinylestradiol can be decreased when combined with Clarithromycin.]
[N06AX29, brexanolone, The metabolism of Ethinylestradiol can be increased when combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Ethinylestradiol.]
[M05BX06, romosozumab, Ethinylestradiol may increase the thrombogenic activities of Romosozumab.]
[N05BA09, clobazam, The serum concentration of Ethinylestradiol can be decreased when it is combined with Clobazam.]
[J01AA11, clomocycline, The serum concentration of Ethinylestradiol can be decreased when it is combined with Clomocycline.]
[H02AB14, cloprednol, The serum concentration of Cloprednol can be increased when it is combined with Ethinylestradiol.]
[C09CA06, candesartan, The metabolism of Ethinylestradiol can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Ethinylestradiol can be increased when combined with Etanercept.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Ethinylestradiol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The serum concentration of Cortivazol can be increased when it is combined with Ethinylestradiol.]
[L04AC18, risankizumab, Ethinylestradiol may increase the thrombogenic activities of Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Ethinylestradiol can be decreased when it is combined with Alpelisib.]
[L01FX14, polatuzumab vedotin, Ethinylestradiol may increase the thrombogenic activities of Polatuzumab vedotin.]
[J01DC04, cefaclor, Ethinylestradiol may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[L02BB06, darolutamide, The metabolism of Darolutamide can be increased when combined with Ethinylestradiol.]
[J01CF03, methicillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Meticillin.]
[L01EX15, pexidartinib, The metabolism of Ethinylestradiol can be decreased when combined with Pexidartinib.]
[M03BX08, cyclobenzaprine, The metabolism of Ethinylestradiol can be decreased when combined with Cyclobenzaprine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Ethinylestradiol.]
[N07XX11, pitolisant, The serum concentration of Ethinylestradiol can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Ethinylestradiol.]
[S01LA06, brolucizumab, Ethinylestradiol may increase the thrombogenic activities of Brolucizumab.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Ethinylestradiol.]
[J01DB09, cephradine, The metabolism of Ethinylestradiol can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Ethinylestradiol.]
[L01FD01, trastuzumab, Ethinylestradiol may increase the thrombogenic activities of Trastuzumab.]
[L01FD04, trastuzumab deruxtecan, Ethinylestradiol may increase the thrombogenic activities of Trastuzumab deruxtecan.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Ethinylestradiol.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Ethinylestradiol.]
[N03AX25, cenobamate, The serum concentration of Ethinylestradiol can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Ethinylestradiol can be increased when it is combined with Givosiran.]
[L01EX18, avapritinib, The metabolism of Ethinylestradiol can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be decreased when combined with Ethinylestradiol.]
[N05AD10, lumateperone, The metabolism of Lumateperone can be increased when combined with Ethinylestradiol.]
[M01AX21, diacetylrhein, The metabolism of Ethinylestradiol can be decreased when combined with Diacerein.]
[L01FC02, isatuximab, Ethinylestradiol may increase the thrombogenic activities of Isatuximab.]
[N02CD05, eptinezumab, Ethinylestradiol may increase the thrombogenic activities of Eptinezumab.]
[S01AE06, gatifloxacin, The metabolism of Ethinylestradiol can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Ethinylestradiol can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Ethinylestradiol can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Ethinylestradiol.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Ethinylestradiol.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Ethinylestradiol.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be increased when combined with Ethinylestradiol.]
[N02CC06, eletriptan, The metabolism of Ethinylestradiol can be decreased when combined with Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Ethinylestradiol can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Ethinylestradiol can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Ethinylestradiol.]
[N03AG02, dipropylacetamide, The metabolism of Ethinylestradiol can be increased when combined with Valpromide.]
[S03AA08, chloramphenicol, The metabolism of Ethinylestradiol can be decreased when combined with Chloramphenicol.]
[L01FX17, sacituzumab govitecan, The serum concentration of Sacituzumab govitecan can be decreased when it is combined with Ethinylestradiol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Ethinylestradiol.]
[L01EX17, capmatinib, The metabolism of Ethinylestradiol can be decreased when combined with Capmatinib.]
[N04BX04, opicapone, The metabolism of Ethinylestradiol can be decreased when combined with Opicapone.]
[D07XB03, fluprednidene, The serum concentration of Fluprednidene can be increased when it is combined with Ethinylestradiol.]
[L01EX22, selpercatinib, The serum concentration of Ethinylestradiol can be increased when it is combined with Selpercatinib.]
[B01AE02, lepirudin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Lepirudin.]
[N05CM02, chlormethiazole, The metabolism of Ethinylestradiol can be increased when combined with Clomethiazole.]
[L04AA47, inebilizumab, Ethinylestradiol may increase the thrombogenic activities of Inebilizumab.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Ethinylestradiol.]
[J05AX29, fostemsavir, The serum concentration of Ethinylestradiol can be increased when it is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Ethinylestradiol.]
[L01FX12, tafasitamab, Ethinylestradiol may increase the thrombogenic activities of Tafasitamab.]
[L01FX15, belantamab mafodotin, Ethinylestradiol may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Ethinylestradiol can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Ethinylestradiol.]
[L01EX23, pralsetinib, The risk or severity of liver damage can be increased when Ethinylestradiol is combined with Pralsetinib.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Ethinylestradiol.]
[N05AA01, chlorpromazine, The risk or severity of liver damage can be increased when Chlorpromazine is combined with Ethinylestradiol.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Ethinylestradiol.]
[M03BB03, chlorzoxazone, The metabolism of Ethinylestradiol can be decreased when combined with Chlorzoxazone.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Ethinylestradiol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06BX18, vinpocetine, The metabolism of Ethinylestradiol can be increased when combined with Vinpocetine.]
[M01AB08, etodolac, Etodolac may increase the thrombogenic activities of Ethinylestradiol.]
[M02AA06, etofenamate, The therapeutic efficacy of Etofenamate can be decreased when used in combination with Ethinylestradiol.]
[B06AC06, berotralstat, The metabolism of Ethinylestradiol can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Ethinylestradiol can be decreased when combined with Lonafarnib.]
[J06BD04, ansuvimab, Ethinylestradiol may increase the thrombogenic activities of Ansuvimab.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Ethinylestradiol.]
[L01FD06, margetuximab, Ethinylestradiol may increase the thrombogenic activities of Margetuximab.]
[J05AJ04, cabotegravir, The metabolism of Cabotegravir can be increased when combined with Ethinylestradiol.]
[P03AX07, abametapir, The serum concentration of Ethinylestradiol can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Ethinylestradiol can be decreased when combined with Tepotinib.]
[V03AF12, trilaciclib, The metabolism of Ethinylestradiol can be increased when combined with Trilaciclib.]
[N03AX10, felbamate, The metabolism of Ethinylestradiol can be increased when combined with Felbamate.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Ethinylestradiol.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Ethinylestradiol.]
[J01MB07, flumequine, The metabolism of Ethinylestradiol can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The serum concentration of Flunisolide can be increased when it is combined with Ethinylestradiol.]
[S01JA01, fluorescein, Ethinylestradiol may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Ethinylestradiol.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Ethinylestradiol.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be increased when combined with Ethinylestradiol.]
[S01LA08, bevacizumab, Ethinylestradiol may increase the thrombogenic activities of Bevacizumab.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Ethinylestradiol can be increased when it is combined with Peginterferon alfa-2b.]
[L01FF07, dostarlimab, Ethinylestradiol may increase the thrombogenic activities of Dostarlimab.]
[L01FX22, loncastuximab tesirine, Ethinylestradiol may increase the thrombogenic activities of Loncastuximab tesirine.]
[A02BA01, cimetidine, The risk or severity of liver damage can be increased when Cimetidine is combined with Ethinylestradiol.]
[N02BF01, gabapentin, The metabolism of Ethinylestradiol can be increased when combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Ethinylestradiol can be decreased when combined with Cinnarizine.]
[L01FX18, amivantamab, Ethinylestradiol may increase the thrombogenic activities of Amivantamab.]
[J01MB06, cinoxacin, The metabolism of Ethinylestradiol can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Ethinylestradiol can be decreased when it is combined with Sotorasib.]
[J06BD05, sotrovimab, Ethinylestradiol may increase the thrombogenic activities of Sotrovimab.]
[S03AA07, ciprofloxacin, The metabolism of Ethinylestradiol can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, Ethinylestradiol may increase the QTc-prolonging activities of Citalopram.]
[N06DX03, aducanumab, Ethinylestradiol may increase the thrombogenic activities of Aducanumab.]
[H01AC07, somapacitan, The therapeutic efficacy of Somapacitan can be decreased when used in combination with Ethinylestradiol.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Ethinylestradiol.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Ethinylestradiol.]
[L04AA51, anifrolumab, Ethinylestradiol may increase the thrombogenic activities of Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Ethinylestradiol.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Lonapegsomatropin can be decreased when used in combination with Ethinylestradiol.]
[L01EB10, mobocertinib, The serum concentration of Ethinylestradiol can be decreased when it is combined with Mobocertinib.]
[L01FX23, tisotumab vedotin, Ethinylestradiol may increase the thrombogenic activities of Tisotumab vedotin.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Ethinylestradiol.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Ethinylestradiol.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Ethinylestradiol.]
[N06AX25, St. John's wort extract, The metabolism of Ethinylestradiol can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Ethinylestradiol can be decreased when combined with Asciminib.]
[L02BG06, exemestane, The therapeutic efficacy of Exemestane can be decreased when used in combination with Ethinylestradiol.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Ethinylestradiol can be decreased when combined with Ropeginterferon alfa-2b.]
[R03DX11, tezepelumab, Ethinylestradiol may increase the thrombogenic activities of Tezepelumab.]
[D11AH07, tralokinumab, Ethinylestradiol may increase the thrombogenic activities of Tralokinumab.]
[L04AA55, sutimlimab, Ethinylestradiol may increase the thrombogenic activities of Sutimlimab.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Ethinylestradiol.]
[J04BA01, clofazimine, The metabolism of Ethinylestradiol can be decreased when combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Tenecteplase.]
[C10AB01, clofibrate, The serum concentration of Clofibrate can be decreased when it is combined with Ethinylestradiol.]
[B06AX04, mitapivat, The metabolism of Ethinylestradiol can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Ethinylestradiol.]
[L01EJ03, pacritinib, The metabolism of Ethinylestradiol can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Ethinylestradiol.]
[N03AE01, clonazepam, The metabolism of Ethinylestradiol can be increased when combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Ethinylestradiol is combined with Clonidine.]
[C01EB24, mavacamten, The serum concentration of Ethinylestradiol can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, Tirzepatide can cause a decrease in the absorption of Ethinylestradiol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Ethinylestradiol.]
[L04AC22, spesolimab, Ethinylestradiol may increase the thrombogenic activities of Spesolimab.]
[A05BA08, glycyrrhizic acid, Ethinylestradiol may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[L01FX20, tremelimumab, Ethinylestradiol may increase the thrombogenic activities of Tremelimumab.]
[H01CC04, linzagolix, The serum concentration of Ethinylestradiol can be increased when it is combined with Linzagolix.]
[A04AA01, ondansetron, The metabolism of Ethinylestradiol can be decreased when combined with Ondansetron.]
[J01CF02, cloxacillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Cloxacillin.]
[J05AX31, lenacapavir, The metabolism of Lenacapavir can be increased when combined with Ethinylestradiol.]
[N05AH02, clozapine, The metabolism of Ethinylestradiol can be decreased when combined with Clozapine.]
[L04AA57, ublituximab, Ethinylestradiol may increase the thrombogenic activities of Ublituximab.]
[L01FE02, panitumumab, Ethinylestradiol may increase the thrombogenic activities of Panitumumab.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Ethinylestradiol.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Ethinylestradiol.]
[H01AC08, somatrogon, The metabolism of Ethinylestradiol can be increased when combined with Somatrogon.]
[M09AX11, palovarotene, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Palovarotene.]
[L04AC21, bimekizumab, The metabolism of Ethinylestradiol can be increased when combined with Bimekizumab.]
[J06BB04, hepatitis B immune globulin, Ethinylestradiol may increase the thrombogenic activities of Hepatitis B immune globulin.]
[J01CA18, hetacillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Hetacillin.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Ethinylestradiol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA13, leflunomide, The serum concentration of Ethinylestradiol can be decreased when it is combined with Leflunomide.]
[C04AX28, ifenprodil, The metabolism of Ethinylestradiol can be increased when combined with Ifenprodil.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Ethinylestradiol.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Ethinylestradiol.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Ethinylestradiol.]
[J01FA15, telithromycin, The metabolism of Ethinylestradiol can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The serum concentration of Ciclesonide can be increased when it is combined with Ethinylestradiol.]
[M01AH03, valdecoxib, Valdecoxib may increase the thrombogenic activities of Ethinylestradiol.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Ethinylestradiol.]
[M01AH04, parecoxib, Parecoxib may increase the thrombogenic activities of Ethinylestradiol.]
[J02AC02, itraconazole, The metabolism of Ethinylestradiol can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Bemiparin.]
[S01AD03, acyclovir, The metabolism of Ethinylestradiol can be decreased when combined with Acyclovir.]
[L02BA03, fulvestrant, The metabolism of Fulvestrant can be increased when combined with Ethinylestradiol.]
[L01EA01, imatinib, Ethinylestradiol may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[J02AC04, posaconazole, The metabolism of Ethinylestradiol can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Ethinylestradiol.]
[N03AX09, lamotrigine, Ethinylestradiol may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BA03, cortisone, The serum concentration of Cortisone can be increased when it is combined with Ethinylestradiol.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Ethinylestradiol.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Ethinylestradiol.]
[R06AX13, loratadine, Ethinylestradiol may decrease the excretion rate of Loratadine which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Ethinylestradiol can be decreased when combined with Manidipine.]
[H02AB15, meprednisone, The serum concentration of Meprednisone can be increased when it is combined with Ethinylestradiol.]
[J01CA14, methampicillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Metampicillin.]
[R06AE03, cyclizine, The metabolism of Ethinylestradiol can be decreased when combined with Cyclizine.]
[C03DA04, eplerenone, The metabolism of Ethinylestradiol can be decreased when combined with Eplerenone.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Ethinylestradiol.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Ethinylestradiol.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Ethinylestradiol.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Ethinylestradiol.]
[N06BA07, modafinil, The metabolism of Ethinylestradiol can be increased when combined with Modafinil.]
[C10AA07, rosuvastatin, Rosuvastatin may decrease the excretion rate of Ethinylestradiol which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Ethinylestradiol can be decreased when combined with Conivaptan.]
[R03DX05, omalizumab, Ethinylestradiol may increase the thrombogenic activities of Omalizumab.]
[J05AF10, entecavir, The metabolism of Ethinylestradiol can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The metabolism of Ethinylestradiol can be decreased when combined with Vardenafil.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Ethinylestradiol.]
[L01AX04, dacarbazine, The metabolism of Ethinylestradiol can be decreased when combined with Dacarbazine.]
[G03XA01, danazol, The metabolism of Ethinylestradiol can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Ethinylestradiol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Ethinylestradiol.]
[L01DB02, daunorubicin, Ethinylestradiol may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[G03XX01, prasterone, The risk or severity of adverse effects can be increased when Prasterone is combined with Ethinylestradiol.]
[A04AD11, nabilone, The metabolism of Ethinylestradiol can be decreased when combined with Nabilone.]
[M01AX01, nabumetone, The metabolism of Ethinylestradiol can be decreased when combined with Nabumetone.]
[J01AA01, demeclocycline, The serum concentration of Ethinylestradiol can be decreased when it is combined with Demeclocycline.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Ethinylestradiol.]
[N06AX06, nefazodone, The metabolism of Ethinylestradiol can be decreased when combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Ethinylestradiol can be decreased when combined with Nilutamide.]
[L01FE01, cetuximab, Ethinylestradiol may increase the thrombogenic activities of Cetuximab.]
[N03AG06, tiagabine, The metabolism of Ethinylestradiol can be increased when combined with Tiagabine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Ethinylestradiol.]
[B01AX05, fondaparinux, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Fondaparinux.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Ethinylestradiol.]
[N06AA01, desipramine, The serum concentration of Desipramine can be increased when it is combined with Ethinylestradiol.]
[D07XC02, desoximetasone, The serum concentration of Desoximetasone can be increased when it is combined with Ethinylestradiol.]
[H02AA03, desoxycorticosterone, The serum concentration of Desoxycortone can be increased when it is combined with Ethinylestradiol.]
[N03AF02, oxcarbazepine, The serum concentration of Ethinylestradiol can be decreased when it is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The serum concentration of Dexamethasone can be increased when it is combined with Ethinylestradiol.]
[G04BD04, oxybutynin, The metabolism of Ethinylestradiol can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Ethinylestradiol.]
[L04AB04, adalimumab, The metabolism of Ethinylestradiol can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Ethinylestradiol can be decreased when combined with Gefitinib.]
[R05DA09, dextromethorphan, The metabolism of Ethinylestradiol can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, The metabolism of Ethinylestradiol can be increased when combined with Paramethadione.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Ethinylestradiol.]
[B01AC04, clopidogrel, The metabolism of Ethinylestradiol can be decreased when combined with Clopidogrel.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Ethinylestradiol.]
[N05BA01, diazepam, The metabolism of Ethinylestradiol can be increased when combined with Diazepam.]
[N03AX07, phenacemide, The metabolism of Ethinylestradiol can be increased when combined with Phenacemide.]
[J01CE05, phenethicillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Pheneticillin.]
[N03AD02, phensuximide, The metabolism of Ethinylestradiol can be increased when combined with Phensuximide.]
[N06AA08, dibenzepin, The serum concentration of Dibenzepin can be increased when it is combined with Ethinylestradiol.]
[S01BC03, diclofenac, Ethinylestradiol may decrease the excretion rate of Diclofenac which could result in a higher serum level.]
[J01CF01, dicloxacillin, The metabolism of Ethinylestradiol can be increased when combined with Dicloxacillin.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Ethinylestradiol.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Ethinylestradiol.]
[L02AA01, diethylstilbestrol, Ethinylestradiol may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[C08CA03, isradipine, Ethinylestradiol may decrease the excretion rate of Isradipine which could result in a higher serum level.]
[D07XC04, diflucortolone, The serum concentration of Difluocortolone can be increased when it is combined with Ethinylestradiol.]
[N02BA11, diflunisal, The metabolism of Ethinylestradiol can be decreased when combined with Diflunisal.]
[C01AA05, digoxin, Ethinylestradiol may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Ethinylestradiol can be decreased when combined with Dihydralazine.]
[C10AX09, ezetimibe, Ethinylestradiol may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Ethinylestradiol may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[N02AA03, hydromorphone, The metabolism of Ethinylestradiol can be decreased when combined with Hydromorphone.]
[L04AX04, lenalidomide, Ethinylestradiol may increase the thrombogenic activities of Lenalidomide.]
[J05AE08, atazanavir, The metabolism of Ethinylestradiol can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Ethinylestradiol.]
[C08DB01, diltiazem, The metabolism of Ethinylestradiol can be decreased when combined with Diltiazem.]
[N03AG05, progabide, The metabolism of Ethinylestradiol can be increased when combined with Progabide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Ethinylestradiol.]
[J01CE03, propicillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Propicillin.]
