[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nilutamide.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Nilutamide.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N02BA03, choline salicylate, Nilutamide may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Nilutamide.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Nilutamide.]
[M01AX25, chondroitin sulfates, Nilutamide may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[N03AX10, felbamate, The metabolism of Nilutamide can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C01CA19, fenoldopam, Nilutamide may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N02BG07, flupirtine, Nilutamide may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Nilutamide.]
[A02BA01, cimetidine, The metabolism of Nilutamide can be decreased when combined with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Nilutamide.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L01XA01, cisplatin, Nilutamide may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Nilutamide is combined with Citalopram.]
[V09IX16, piflufolastat F-18, Nilutamide may decrease effectiveness of Piflufolastat F 18 as a diagnostic agent.]
[H01AC07, somapacitan, The metabolism of Nilutamide can be decreased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Nilutamide.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Nilutamide.]
[V09AB03, ioflupane I-123, Nilutamide may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Nilutamide may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Nilutamide may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Nilutamide.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Nilutamide.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be decreased when combined with Nilutamide.]
[L01EA06, asciminib, The metabolism of Nilutamide can be decreased when combined with Asciminib.]
[V09IX14, gallium GA-68 gozetotide, Nilutamide may increase effectiveness of Gallium Ga-68 gozetotide as a diagnostic agent.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Nilutamide.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Nilutamide can be decreased when combined with Clomipramine.]
[N03AE01, clonazepam, Nilutamide may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Nilutamide.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Nilutamide can be decreased when combined with Vonoprazan.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Nilutamide.]
[N05AH02, clozapine, The metabolism of Nilutamide can be decreased when combined with Clozapine.]
[J01GB12, arbekacin, Nilutamide may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Nilutamide can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M04AC01, colchicine, Nilutamide may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Nilutamide may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Nilutamide.]
[A04AA03, tropisetron, Nilutamide may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Nilutamide.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J05AB14, valganciclovir, Nilutamide may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Nilutamide may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Nilutamide may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Nilutamide may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Nilutamide may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Nilutamide may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Nilutamide.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Nilutamide.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Nilutamide.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N05BA10, ketazolam, Nilutamide may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Nilutamide.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Nilutamide.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Nilutamide.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N07BC04, lofexidine, Nilutamide may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C09AA03, lisinopril, Nilutamide may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Nilutamide may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Nilutamide can be decreased when combined with Manidipine.]
[J01DH02, meropenem, Nilutamide may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Nilutamide may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Nilutamide.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Nilutamide.]
[N06BA07, modafinil, The metabolism of Nilutamide can be decreased when combined with Armodafinil.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Nilutamide.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH05, etoricoxib, The metabolism of Nilutamide can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, Nilutamide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Nilutamide.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Nilutamide.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Nilutamide.]
[N07BB05, nalmefene, Nilutamide may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Nilutamide.]
[S01GX04, nedocromil, Nilutamide may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, Nilutamide may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Nilutamide may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Nilutamide.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Nilutamide.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N06AA01, desipramine, Nilutamide may decrease the excretion rate of Desipramine which could result in a higher serum level.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The metabolism of Nilutamide can be decreased when combined with Oxcarbazepine.]
[L04AB04, adalimumab, The metabolism of Nilutamide can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Nilutamide.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Nilutamide.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Nilutamide.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Nilutamide.]
[C01DA05, pentaerythritol tetranitrate, Nilutamide may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Nilutamide may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Nilutamide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Cinchocaine.]
[R05DA08, pholcodine, Nilutamide may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Nilutamide.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[A03AA07, dicyclomine, Nilutamide may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Nilutamide may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be decreased when combined with Nilutamide.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Nilutamide.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Nilutamide.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[D07XC04, diflucortolone, Nilutamide may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C01AA05, digoxin, Nilutamide may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Nilutamide.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be decreased when combined with Nilutamide.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Nilutamide.]
[H03BC01, potassium perchlorate, Nilutamide may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Nilutamide may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Nilutamide.]
[V03AB09, dimercaprol, Nilutamide may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, The metabolism of Nilutamide can be decreased when combined with Dimethyl sulfoxide.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Nilutamide.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Nilutamide.]
[S01AX06, resorcinol, Nilutamide may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[S02AA12, rifamycin SV, The metabolism of Nilutamide can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Nilutamide can be increased when combined with Rifapentine.]
[R06AE09, levocetirizine, Nilutamide may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Ropivacaine.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Nilutamide can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Nilutamide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Nilutamide.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C01CA07, dobutamine, Nilutamide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Nilutamide.]
[C01CA04, dopamine, Nilutamide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Nilutamide can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Nilutamide.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Nilutamide.]
[A08AA10, sibutramine, Nilutamide may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Nilutamide.]
[A12CA02, sodium sulfate, Nilutamide may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N02CC01, sumatriptan, Nilutamide may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Nilutamide may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[L01AX03, temozolomide, Nilutamide may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Nilutamide.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Nilutamide.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N06AG03, toloxatone, Nilutamide may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N03AX11, topiramate, The metabolism of Nilutamide can be decreased when combined with Topiramate.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Nilutamide.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Nilutamide.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C02AC02, guanfacine, Nilutamide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L03AX05, pidotimod, Nilutamide may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Nilutamide may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, The metabolism of Nilutamide can be decreased when combined with Pantoprazole.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Nilutamide.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Nilutamide can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Nilutamide.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Nilutamide.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[P01AX07, trimetrexate, Nilutamide may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Nilutamide.]
[N06AB08, fluvoxamine, The metabolism of Nilutamide can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Nilutamide may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Nilutamide may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Nilutamide.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N02AB03, fentanyl, Nilutamide may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Nilutamide may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[G04BD02, flavoxate, Nilutamide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Nilutamide can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Nilutamide may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Nilutamide may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Nilutamide.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Nilutamide.]
[V03AZ01, ethanol, The metabolism of Nilutamide can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Nilutamide.]
[N06AB03, fluoxetine, The metabolism of Nilutamide can be decreased when combined with Fluoxetine.]
[N05CD01, flurazepam, Nilutamide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Nilutamide.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[S02AA17, fosfomycin, Nilutamide may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Nilutamide.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Nilutamide.]
[S01AD09, ganciclovir, Nilutamide may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, The metabolism of Nilutamide can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Nilutamide may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Nilutamide.]
[N03AD03, methsuximide, The metabolism of Methsuximide can be decreased when combined with Nilutamide.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Nilutamide.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Nilutamide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Nilutamide.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Nilutamide.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Nilutamide.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Nilutamide.]
[M01CB04, aurothioglucose, Nilutamide may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Nilutamide may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Nilutamide.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[S01EX01, guanethidine, Nilutamide may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Nilutamide.]
[N05AD01, haloperidol, The metabolism of Haloperidol can be decreased when combined with Nilutamide.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Nilutamide.]
[N05AH04, quetiapine, Nilutamide may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Nilutamide may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Nilutamide can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, Nilutamide may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Nilutamide.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Nilutamide.]
[C08CA10, nilvadipine, The metabolism of Nilutamide can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C09AA04, perindopril, Nilutamide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Nilutamide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Nilutamide may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[G04BD06, propiverine, Nilutamide may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Nilutamide.]
