[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Mitomycin.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Tocilizumab.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Mitomycin.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Mitomycin.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Mitomycin is combined with Abatacept.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Antilymphocyte immunoglobulin (horse).]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Mitomycin is combined with Fluticasone furoate.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Lidocaine.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Lomustine.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Mitomycin is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Mitomycin is combined with Pralatrexate.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Nilotinib.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Mechlorethamine.]
[C01AA08, medigoxin, Metildigoxin may decrease the cardiotoxic activities of Mitomycin.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Mitomycin.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Mitomycin.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Mitomycin.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Mitomycin is combined with Melphalan.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Mepivacaine.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Mitomycin is combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Mitomycin is combined with Pemetrexed.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Mitomycin is combined with Methotrexate.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Mitomycin.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Methylprednisolone.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Mitomycin.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Mitomycin.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Mitoxantrone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Mitomycin.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Mitomycin is combined with Certolizumab pegol.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mitomycin is combined with Mycophenolic acid.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Mitomycin.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Mitomycin.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Mitomycin.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Mitomycin is combined with Docetaxel.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Mitomycin.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Mitomycin.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Mitomycin.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Mitomycin.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Mitomycin is combined with Rilonacept.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Mitomycin.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Mitomycin.]
[C01AC01, ouabain, Ouabain may decrease the cardiotoxic activities of Mitomycin.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Mitomycin.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Paramethasone.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Penicillamine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Mitomycin.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Mitomycin.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Pentostatin.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Mitomycin.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Mitomycin.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Mitomycin.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Phenprocoumon is combined with Mitomycin.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Golimumab.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Mitomycin.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Mitomycin.]
[L02BG03, anastrozole, The risk or severity of cardiotoxicity can be increased when Mitomycin is combined with Anastrozole.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Mitomycin.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Prednisone.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Prilocaine.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Procarbazine.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Mitomycin is combined with Propylthiouracil.]
[C01AB01, proscillaridin, Proscillaridin may decrease the cardiotoxic activities of Mitomycin.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Mitomycin.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Mitomycin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Sulfasalazine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Mitomycin.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Mitomycin is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Mitomycin.]
