[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Levetiracetam.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Levetiracetam.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Levetiracetam.]
[C01BA03, disopyramide, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Disulfiram.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Levetiracetam.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Levetiracetam.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Ropivacaine.]
[N06AA16, dothiepin, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Sibutramine.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Sodium phosphate, monobasic.]
[R03DA01, dyphylline, Levetiracetam may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Levetiracetam.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Levetiracetam resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Thiopropazate.]
[G04BD01, emepronium, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Toloxatone.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Topiramate.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Triclofos.]
[A03AB08, tridihexethyl, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Levetiracetam.]
[N04AA12, tropatepine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Levetiracetam.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Veralipride.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Levetiracetam.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Levetiracetam.]
[N05CF02, zolpidem, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Levetiracetam.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Levetiracetam.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Levetiracetam.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Levetiracetam.]
[N02CA02, ergotamine, The risk or severity of adverse effects can be increased when Ergotamine is combined with Levetiracetam.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Estazolam.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Levetiracetam.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Levetiracetam.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Levetiracetam.]
[N04AA05, profenamine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Levetiracetam.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Levetiracetam.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Ethylmorphine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Levetiracetam.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Sertindole.]
[R06AX12, terfenadine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Levetiracetam.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Fluvoxamine.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Levetiracetam.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Levetiracetam.]
[G04BD02, flavoxate, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Melitracen.]
[V03AZ01, ethanol, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[N06AB03, fluoxetine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Levetiracetam.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Levetiracetam.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Fluspirilene.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Levetiracetam.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Levetiracetam is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Gallamine.]
[S01AD09, ganciclovir, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Ganciclovir.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Bifemelane.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Levetiracetam.]
[C01CA21, cafedrine, Levetiracetam may increase the excretion rate of Cafedrine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Methsuximide.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Levetiracetam.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Levetiracetam.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Levetiracetam.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Glutethimide.]
[P01BX01, halofantrine, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Levetiracetam.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Levetiracetam.]
[N05AH04, quetiapine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Allobarbital.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Hexobarbital.]
[R05DA03, hydrocodone, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[G04BD06, propiverine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Levetiracetam.]
[N06AA02, imipramine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Levetiracetam.]
[L01CE01, topotecan, Levetiracetam may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Milnacipran.]
[A03AA30, piperidolate, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Articaine.]
[V08AB02, iohexol, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Levetiracetam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Levetiracetam.]
[R06AE01, buclizine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Levetiracetam.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Isocarboxazid.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Levetiracetam.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Levetiracetam.]
[J04AC01, isoniazid, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Isoniazid.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Levetiracetam.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Ketanserin.]
[N05AH03, olanzapine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N04BC09, rotigotine, Levetiracetam may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Nalidixic acid.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Gamolenic acid.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Lacosamide.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Levetiracetam.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Lidocaine.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Levetiracetam.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Levetiracetam.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Levetiracetam.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Levetiracetam.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Levetiracetam can be increased when used in combination with Magnesium sulfate.]
[N06AA21, maprotiline, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Levetiracetam.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Levetiracetam.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Medazepam.]
[P01BC02, mefloquine, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Mefloquine.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Levetiracetam.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Levetiracetam.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Levetiracetam.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Levetiracetam.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Levetiracetam.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Levetiracetam.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Levetiracetam.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Levetiracetam.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Metamfetamine.]
[A03AB07, methantheline, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Levetiracetam.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Metergoline.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Levetiracetam.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Levetiracetam.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Levetiracetam is combined with Ziconotide.]
[L04AX03, methotrexate, Levetiracetam may decrease the excretion rate of Methotrexate which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Levetiracetam.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Methylene blue.]
[R03DA05, aminophylline, Levetiracetam may increase the excretion rate of Aminophylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA04, methylphenidate, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Levetiracetam.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Levetiracetam.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Levetiracetam.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Levetiracetam.]
[P01AB01, metronidazole, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Metronidazole.]
[N06AX03, mianserin, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Mianserin.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Levetiracetam.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Levetiracetam.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Molindone.]
[N06AA09, amitriptyline, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Levetiracetam.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Levetiracetam.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Amobarbital.]
[R03BB01, ipratropium bromide, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Fosphenytoin.]
[N04BC04, ropinirole, Levetiracetam may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Levetiracetam.]
[N06BA01, amphetamine, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Amphetamine.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Levetiracetam.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Levetiracetam.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Iloperidone.]
[J02AA01, amphotericin B, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Amphotericin B.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Desvenlafaxine.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Nialamide.]
[C08CA04, nicardipine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Nitrazepam.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Levetiracetam.]
[N04BC05, pramipexole, Levetiracetam may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Nomifensine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Levetiracetam.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Levetiracetam.]
[N06AA10, nortriptyline, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Opium.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Levetiracetam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Levetiracetam.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Levetiracetam.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Oxypertine.]
[A03AB03, oxyphenonium, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[M03AC01, pancuronium, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Levetiracetam.]
[N05CC05, paraldehyde, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Pargyline.]
[G04BD11, fesoterodine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Levetiracetam.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Levetiracetam.]
[C04AD03, pentoxifylline, Levetiracetam may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Pergolide is combined with Levetiracetam.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Levetiracetam.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Levetiracetam.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Phenobarbital is combined with Levetiracetam.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Phenoperidine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The risk or severity of adverse effects can be increased when Phenytoin is combined with Levetiracetam.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Pimozide is combined with Levetiracetam.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Levetiracetam.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Pipotiazine.]
[A02BX03, pirenzepine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Piritramide.]
[N02CX01, pizotyline, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Proxibarbal.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Levetiracetam.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Prazepam.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Prilocaine.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Primidone is combined with Levetiracetam.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Levetiracetam.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Levetiracetam.]
[N04AA04, procyclidine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Levetiracetam.]
[N05AA03, promazine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Propanidid.]
[A03AB05, propantheline, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Periciazine.]
[N05CM06, propiomazine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Levetiracetam.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Levetiracetam.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Levetiracetam.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Levetiracetam.]
[N05AX12, aripiprazole, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Levetiracetam.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Styramate.]
