[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Oxaliplatin.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Fluprednidene.]
[L01EX19, ripretinib, Ripretinib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Oxaliplatin.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Oxaliplatin is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Stepronin.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Oxaliplatin.]
[J05AX29, fostemsavir, Fostemsavir may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Satralizumab.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Chloroquine.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Oxaliplatin.]
[R06AB04, chlorpheniramine, The serum concentration of Oxaliplatin can be increased when it is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of QTc prolongation can be increased when Chlorpromazine is combined with Oxaliplatin.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Oxaliplatin.]
[N02BA03, choline salicylate, The serum concentration of Oxaliplatin can be increased when it is combined with Choline salicylate.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Berotralstat.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Fludarabine.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Oxaliplatin.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Voclosporin.]
[L01EX21, tepotinib, Tepotinib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[V03AF12, trilaciclib, The serum concentration of Oxaliplatin can be increased when it is combined with Trilaciclib.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Oxaliplatin.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Oxaliplatin.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Oxaliplatin.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Oxaliplatin.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Oxaliplatin.]
[L01EK03, tivozanib, Tivozanib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Oxaliplatin.]
[A02BA01, cimetidine, The serum concentration of Oxaliplatin can be increased when it is combined with Cimetidine.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Oxaliplatin can be increased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Oxaliplatin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Belumosudil.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Anifrolumab.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Clemastine.]
[J05AX10, maribavir, Maribavir may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, Clofazimine may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Oxaliplatin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Oxaliplatin can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Clomipramine.]
[J02AC06, oteseconazole, The serum concentration of Oxaliplatin can be increased when it is combined with Oteseconazole.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Deucravacitinib.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Oxaliplatin is combined with Clozapine.]
[A10BK06, sotagliflozin, Sotagliflozin may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Cocaine.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Bimekizumab.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Oxaliplatin.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Nelarabine.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Oxaliplatin.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Desloratadine.]
[J02AC02, itraconazole, Itraconazole may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Oxaliplatin.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Emedastine.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Posaconazole is combined with Oxaliplatin.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Oxaliplatin.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Oxaliplatin.]
[N03AX09, lamotrigine, The serum concentration of Oxaliplatin can be increased when it is combined with Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Oxaliplatin.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Lomefloxacin.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Meprednisone.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Oxaliplatin.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Adenosine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Oxaliplatin.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Melperone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Oxaliplatin.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Oxaliplatin.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Cyclophosphamide.]
[S01XA18, cyclosporine, Oxaliplatin may increase the immunosuppressive activities of Cyclosporine.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Oxaliplatin.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Oxaliplatin.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Cytarabine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Oxaliplatin.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Dactinomycin.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Daunorubicin.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Oxaliplatin.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Oxaliplatin.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Solifenacin is combined with Oxaliplatin.]
[N06AA01, desipramine, The serum concentration of Oxaliplatin can be increased when it is combined with Desipramine.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Desoximetasone.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Oxaliplatin.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Fluocinolone acetonide.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Dexamethasone.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Oxaliplatin.]
[L01EB01, gefitinib, Gefitinib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[B01AC04, clopidogrel, The serum concentration of Oxaliplatin can be increased when it is combined with Clopidogrel.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Cinchocaine.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Oxaliplatin.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Oxaliplatin.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ixabepilone.]
[L01EB02, erlotinib, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Erlotinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Oxaliplatin.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Difluocortolone.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Oxaliplatin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Oxaliplatin.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Oxaliplatin.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Oxaliplatin.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Atazanavir is combined with Oxaliplatin.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Oxaliplatin.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Diltiazem is combined with Oxaliplatin.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Dimenhydrinate.]
[G02AD02, dinoprostone, The serum concentration of Oxaliplatin can be increased when it is combined with Dinoprostone.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Oxaliplatin.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Oxaliplatin.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Cisapride.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Sirolimus.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Natalizumab.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Oxaliplatin.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Oxaliplatin.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Oxaliplatin.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Oxaliplatin.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Oxaliplatin.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Sunitinib.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Oxaliplatin.]
[C01EB18, ranolazine, The serum concentration of Oxaliplatin can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The serum concentration of Oxaliplatin can be increased when it is combined with Salmeterol.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Domperidone.]
[C01CA04, dopamine, The serum concentration of Oxaliplatin can be increased when it is combined with Dopamine.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Dosulepin is combined with Oxaliplatin.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Oxaliplatin.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Doxorubicin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Oxaliplatin.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Oxaliplatin.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Oxaliplatin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Sultopride.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Talinolol is combined with Oxaliplatin.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Corticotropin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Temozolomide.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Terodiline.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Oxaliplatin.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Toremifene.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Oxaliplatin.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Trilostane.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Oxaliplatin.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Oxaliplatin.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Oxaliplatin.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Oxaliplatin.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Oxaliplatin.]
[N06AX16, venlafaxine, Venlafaxine may increase the excretion rate of Oxaliplatin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EA01, epinephrine, The serum concentration of Oxaliplatin can be increased when it is combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Oxaliplatin.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Oxaliplatin.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Oxaliplatin.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Carboplatin.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Oxaliplatin.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Oxaliplatin.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Oxaliplatin.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[G03CA03, estradiol, The serum concentration of Oxaliplatin can be increased when it is combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Estramustine.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Fluticasone.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Oxaliplatin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Etoposide.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Oxaliplatin.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Oxaliplatin.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Oxaliplatin.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Astemizole.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Terfenadine.]
[N06AX12, bupropion, The excretion of Oxaliplatin can be decreased when combined with Bupropion.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Oxaliplatin.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Oxaliplatin.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Oxaliplatin.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Oxaliplatin.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Oxaliplatin.]
[A02BA03, famotidine, The serum concentration of Oxaliplatin can be increased when it is combined with Famotidine.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Oxaliplatin.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Fendiline.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Oxaliplatin.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Oxaliplatin.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Oxaliplatin.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Flecainide.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Oxaliplatin.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Fludrocortisone.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Fluocinonide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Fluocortolone.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Oxaliplatin.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Oxaliplatin.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Oxaliplatin.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Flupentixol.]
[N05CD01, flurazepam, The serum concentration of Oxaliplatin can be increased when it is combined with Flurazepam.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Fluspirilene.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Oxaliplatin.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Oxaliplatin.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Oxaliplatin.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Dasatinib.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Oxaliplatin.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Oxaliplatin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Dofetilide.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Sorafenib is combined with Oxaliplatin.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Oxaliplatin.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Oxaliplatin.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Oxaliplatin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Oxaliplatin.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Quetiapine.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Irinotecan.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Oxaliplatin.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Oxaliplatin.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Oxaliplatin.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Oxaliplatin.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Oxaliplatin.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Oxaliplatin.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Oxaliplatin.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Hydroxyurea.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Hydroxyzine.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Oxaliplatin.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Idarubicin.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ifosfamide.]
[N06AA02, imipramine, The serum concentration of Oxaliplatin can be increased when it is combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Tixocortol.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Oxaliplatin.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Topotecan.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Oxaliplatin.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Oxaliplatin.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Oxaliplatin.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Oxaliplatin.]
[S01XA28, varenicline, The serum concentration of Oxaliplatin can be increased when it is combined with Varenicline.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Eculizumab.]
