[P02BB01, trichlorfon, The therapeutic efficacy of Amantadine can be decreased when used in combination with Metrifonate.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Amantadine is combined with Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Inotersen.]
[R03BB08, revefenacin, The risk or severity of adverse effects can be increased when Amantadine is combined with Revefenacin.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L01EX13, gilteritinib, The risk or severity of adverse effects can be increased when Gilteritinib is combined with Amantadine.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Amifampridine.]
[A06AX05, prucalopride, Amantadine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Cibenzoline.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Cilostazol.]
[A03FA08, cinitapride, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Cinitapride.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Triclabendazole.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Clarithromycin.]
[N06BA14, solriamfetol, The serum concentration of Solriamfetol can be increased when it is combined with Amantadine.]
[L01EN01, erdafitinib, The serum concentration of Amantadine can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Amantadine.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Cicletanine.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Cyclobenzaprine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Entrectinib.]
[N07XX11, pitolisant, Amantadine may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Amantadine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Yohimbine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Amantadine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Amantadine.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[M09AX08, golodirsen, Amantadine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Amantadine.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Amantadine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Amantadine is combined with Dezocine.]
[N05AD10, lumateperone, The therapeutic efficacy of Amantadine can be decreased when used in combination with Lumateperone.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Gatifloxacin.]
[N02CC07, frovatriptan, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Frovatriptan.]
[R02AA03, dichlorobenzyl alcohol, Amantadine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Amantadine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Amantadine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Amantadine.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C08CA16, clevidipine, Amantadine may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[C01BD07, dronedarone, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Dronedarone.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Chlorcyclizine.]
[L01EH03, tucatinib, The serum concentration of Amantadine can be increased when it is combined with Tucatinib.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Amantadine is combined with Dihexyverine.]
[G04BD09, trospium, The risk or severity of adverse effects can be increased when Trospium is combined with Amantadine.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[V08CA05, mangafodipir, Amantadine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Fostemsavir.]
[N02AX07, oliceridine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Chloroquine.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The serum concentration of Amantadine can be increased when it is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05AF03, chlorprothixene, The therapeutic efficacy of Amantadine can be decreased when used in combination with Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Amantadine.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Berotralstat.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Relugolix.]
[M01AX25, chondroitin sulfates, Amantadine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[V03AF12, trilaciclib, The serum concentration of Amantadine can be increased when it is combined with Trilaciclib.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Flumequine.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N02BG07, flupirtine, Amantadine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Amantadine.]
[A02BA01, cimetidine, The serum concentration of Amantadine can be increased when it is combined with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Amantadine.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Amantadine is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Amantadine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Amantadine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Amantadine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Clemastine.]
[N06AX25, St. John's wort extract, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with St. John's Wort.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Amantadine.]
[N01BB10, levobupivacaine, Amantadine may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[L01EJ03, pacritinib, The serum concentration of Amantadine can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Clomipramine.]
[N03AE01, clonazepam, Amantadine may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AA01, ondansetron, The risk or severity of serotonin syndrome can be increased when Ondansetron is combined with Amantadine.]
[A04AA02, granisetron, The risk or severity of serotonin syndrome can be increased when Granisetron is combined with Amantadine.]
[N05AH02, clozapine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Clozapine.]
[J01GB12, arbekacin, Amantadine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Cocaine.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Amantadine is combined with Codeine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Amantadine is combined with Hexafluronium.]
[M04AC01, colchicine, Amantadine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Amantadine is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Homatropine methylbromide is combined with Amantadine.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Amantadine is combined with Homatropine.]
[J01XB01, colistin, Amantadine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Desflurane.]
[A04AA03, tropisetron, Amantadine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Telithromycin.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Amantadine is combined with Desloratadine.]
[J05AB14, valganciclovir, Amantadine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Amantadine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Amantadine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Amantadine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Amantadine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Amantadine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[H01AX01, pegvisomant, The therapeutic efficacy of Amantadine can be decreased when used in combination with Pegvisomant.]
[N02CC05, almotriptan, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Almotriptan.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Itraconazole.]
[S01AD03, acyclovir, The risk or severity of adverse effects can be increased when Acyclovir is combined with Amantadine.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Emedastine.]
[N05BA10, ketazolam, Amantadine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Amantadine.]
[N03AX09, lamotrigine, The serum concentration of Amantadine can be increased when it is combined with Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Levocabastine.]
[N07BC04, lofexidine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Lomefloxacin.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[R06AX13, loratadine, Amantadine may increase the anticholinergic activities of Loratadine.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Amantadine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Amantadine is combined with Mebeverine.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Mequitazine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Adenosine.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Metixene is combined with Amantadine.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Cyclizine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The therapeutic efficacy of Amantadine can be decreased when used in combination with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Amantadine is combined with Cyclopentolate.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N06AX07, minaprine, The risk or severity of serotonin syndrome can be increased when Minaprine is combined with Amantadine.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N06AG02, moclobemide, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Moclobemide.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Amantadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Amantadine.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Amantadine is combined with Cytarabine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Amantadine.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N07BB05, nalmefene, Amantadine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N06AX06, nefazodone, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Nefazodone.]
[C01DX16, nicorandil, Amantadine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Amantadine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Amantadine is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Solifenacin.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N06AA01, desipramine, The serum concentration of Amantadine can be increased when it is combined with Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[V04CH02, indigo carmine, Amantadine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Amantadine.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Amantadine is combined with Dexetimide.]
[G04BD04, oxybutynin, The risk or severity of adverse effects can be increased when Amantadine is combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Oxyphencyclimine is combined with Amantadine.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Amantadine.]
[R05DA09, dextromethorphan, The risk or severity of serotonin syndrome can be increased when Dextromethorphan is combined with Amantadine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Amantadine is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Amantadine.]
[B01AC04, clopidogrel, The serum concentration of Amantadine can be increased when it is combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Amantadine is combined with Diamorphine.]
[P03AC04, permethrin, Amantadine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N06AA08, dibenzepin, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Dibenzepin.]
[S02DA04, dibucaine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Cinchocaine.]
[R05DA08, pholcodine, Amantadine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Amantadine.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Dicyclomine is combined with Amantadine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Pinaverium.]
[N05AD05, pipamperone, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Pipamperone.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Amantadine is combined with Pipenzolate.]
[L01EB02, erlotinib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Erlotinib.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Diethylpropion.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Amantadine.]
[D07XC04, diflucortolone, Amantadine may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Amantadine is combined with Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Digitoxin.]
[C01AA05, digoxin, Amantadine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The risk or severity of serotonin syndrome can be increased when Dihydroergotamine is combined with Amantadine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Amantadine is combined with Hydromorphone.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Amantadine.]
[H03BC01, potassium perchlorate, Amantadine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Amantadine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Amantadine is combined with Dimetindene.]
[M02AX03, dimethyl sulfoxide, Amantadine may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[G02AD02, dinoprostone, The serum concentration of Amantadine can be increased when it is combined with Dinoprostone.]
[R06AA02, diphenhydramine, The serum concentration of Amantadine can be increased when it is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Amantadine is combined with Diphenoxylate.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dexmethylphenidate is combined with Amantadine.]
[N06AA23, quinupramine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Cisapride.]
[S01AX06, resorcinol, Amantadine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Disopyramide.]
[N07AA03, distigmine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Distigmine.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Amantadine.]
[N05AX08, risperidone, The therapeutic efficacy of Amantadine can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Levocetirizine.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Amantadine.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Sunitinib.]
