[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Oxcarbazepine.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Dyclonine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Oxcarbazepine.]
[R06AX22, ebastine, The metabolism of Ebastine can be increased when combined with Oxcarbazepine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Oxcarbazepine.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Remimazolam.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Oxcarbazepine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be increased when combined with Oxcarbazepine.]
[C03AA04, chlorothiazide, The risk or severity of hyponatremia can be increased when Chlorothiazide is combined with Oxcarbazepine.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[N05AF03, chlorprothixene, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, The risk or severity of hyponatremia can be increased when Chlorthalidone is combined with Oxcarbazepine.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Oxcarbazepine.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ethyl loflazepate.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Oxcarbazepine.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be increased when combined with Oxcarbazepine.]
[L02BX04, relugolix, The metabolism of Relugolix can be increased when combined with Oxcarbazepine.]
[J05AJ04, cabotegravir, The serum concentration of Cabotegravir can be decreased when it is combined with Oxcarbazepine.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Felbamate.]
[N06BA10, fenethylline, Oxcarbazepine may increase the excretion rate of Fenethylline which could result in a lower serum level and potentially a reduction in efficacy.]
[G04CB01, finasteride, The metabolism of Finasteride can be increased when combined with Oxcarbazepine.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Oxcarbazepine.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be increased when combined with Oxcarbazepine.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Oxcarbazepine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Trichloroethylene.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Gabapentin.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Oxcarbazepine.]
[N06AB04, citalopram, Oxcarbazepine may increase the QTc-prolonging activities of Citalopram.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Oxcarbazepine.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be increased when combined with Oxcarbazepine.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Oxcarbazepine.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be increased when combined with Oxcarbazepine.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Oxcarbazepine.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Oxcarbazepine.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Oxcarbazepine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Oxcarbazepine.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be increased when combined with Oxcarbazepine.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Oxcarbazepine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Oxcarbazepine.]
[C01EB24, mavacamten, The metabolism of Mavacamten can be decreased when combined with Oxcarbazepine.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be increased when combined with Oxcarbazepine.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Granisetron.]
[N05AH02, clozapine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Halazepam.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Cocaine.]
[C02KB01, metyrosine, Oxcarbazepine may increase the sedative activities of Metyrosine.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Oxcarbazepine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Hexafluronium.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Oxcarbazepine.]
[A03AB10, hexocyclium, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be increased when combined with Oxcarbazepine.]
[J01FA15, telithromycin, The metabolism of Telithromycin can be increased when combined with Oxcarbazepine.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Desloratadine.]
[J05AB14, valganciclovir, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Valganciclovir.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Almotriptan.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ketazolam.]
[L01EA01, imatinib, The metabolism of Imatinib can be increased when combined with Oxcarbazepine.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Oxcarbazepine.]
[N03AX09, lamotrigine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Oxcarbazepine can be increased when used in combination with Lofexidine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Oxcarbazepine.]
[A03AA04, mebeverine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Medifoxamine.]
[R06AD04, methdilazine, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Cyclobarbital.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be increased when combined with Oxcarbazepine.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Melperone.]
[C03AA07, cyclopenthiazide, The risk or severity of hyponatremia can be increased when Cyclopenthiazide is combined with Oxcarbazepine.]
[J05AF07, tenofovir disoproxil, The serum concentration of Tenofovir disoproxil can be decreased when it is combined with Oxcarbazepine.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be increased when combined with Oxcarbazepine.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Minaprine.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be increased when combined with Oxcarbazepine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Modafinil can be increased when combined with Oxcarbazepine.]
[R06AX02, cyproheptadine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be increased when combined with Oxcarbazepine.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be increased when combined with Oxcarbazepine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Oxcarbazepine.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Dapsone can be increased when combined with Oxcarbazepine.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Oxcarbazepine.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Oxcarbazepine.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Niaprazine.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Oxcarbazepine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Tiagabine.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Oxcarbazepine.]
[C01CA23, theodrenaline, Oxcarbazepine may increase the excretion rate of Theodrenaline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Oxcarbazepine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Escitalopram.]
[G04BD08, solifenacin, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[N07XX04, sodium oxybate, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[S03BA01, dexamethasone, The metabolism of Dexamethasone can be increased when combined with Oxcarbazepine.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Oxiracetam.]
[N04AA08, dexetimide, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be increased when combined with Oxcarbazepine.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Oxcarbazepine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Oxcarbazepine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be increased when combined with Oxcarbazepine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Diamorphine.]
[C04AD01, pentifylline, Oxcarbazepine may increase the excretion rate of Pentifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Phenacemide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Cinchocaine.]
[A03AA07, dicyclomine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Pipamperone.]
[A03AB14, pipenzolate, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be increased when combined with Oxcarbazepine.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Oxcarbazepine.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Oxcarbazepine.]
[A03AB11, poldine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be increased when combined with Oxcarbazepine.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be increased when combined with Oxcarbazepine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Oxcarbazepine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Oxcarbazepine.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be increased when combined with Oxcarbazepine.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be increased when combined with Oxcarbazepine.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Pridinol.]
[R06AB03, dimethindene, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Progabide.]
[N06BC02, propentofylline, Oxcarbazepine may increase the excretion rate of Propentofylline which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Proparacaine.]
[R03DA03, proxyphylline, Oxcarbazepine may increase the excretion rate of Proxyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Oxcarbazepine.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be increased when combined with Oxcarbazepine.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Oxcarbazepine.]
[C01BA03, disopyramide, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be increased when combined with Oxcarbazepine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Oxcarbazepine.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Oxcarbazepine.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Oxcarbazepine.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be increased when combined with Oxcarbazepine.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Oxcarbazepine.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Oxcarbazepine.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be increased when combined with Oxcarbazepine.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be increased when combined with Oxcarbazepine.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Oxcarbazepine.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be increased when combined with Oxcarbazepine.]
[A03FA03, domperidone, The metabolism of Domperidone can be increased when combined with Oxcarbazepine.]
[N06AA16, dothiepin, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Oxcarbazepine.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Oxcarbazepine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxcarbazepine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be increased when combined with Oxcarbazepine.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Sodium phosphate, monobasic.]
[R03DA01, dyphylline, Oxcarbazepine may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Oxcarbazepine.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Oxcarbazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Thiopropazate.]
[G04BD01, emepronium, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Oxcarbazepine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Toloxatone.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Oxcarbazepine.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Loprazolam.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Triclofos.]
[A03AB08, tridihexethyl, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Oxcarbazepine.]
[N04AA12, tropatepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Oxcarbazepine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Oxcarbazepine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Oxcarbazepine.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Oxcarbazepine.]
[N05CF02, zolpidem, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Zonisamide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Oxcarbazepine.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Oxcarbazepine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be increased when combined with Oxcarbazepine.]
[S01AA17, erythromycin, The metabolism of Erythromycin can be increased when combined with Oxcarbazepine.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Estazolam.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Oxcarbazepine.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Oxcarbazepine.]
[R03BA09, fluticasone furoate, The metabolism of Fluticasone furoate can be increased when combined with Oxcarbazepine.]
[R03BA05, fluticasone, The metabolism of Fluticasone can be increased when combined with Oxcarbazepine.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be increased when combined with Oxcarbazepine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Oxcarbazepine.]
[L02AA03, ethinyl estradiol, The serum concentration of Ethinylestradiol can be decreased when it is combined with Oxcarbazepine.]
[N04AA05, profenamine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Oxcarbazepine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Oxcarbazepine.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ethylmorphine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Oxcarbazepine.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Oxcarbazepine.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Sertindole.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Oxcarbazepine.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Oxcarbazepine.]
[R06AX12, terfenadine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Fluvoxamine.]
[P02CA03, albendazole, The metabolism of Albendazole can be increased when combined with Oxcarbazepine.]
[C08CA02, felodipine, The serum concentration of Felodipine can be decreased when it is combined with Oxcarbazepine.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Oxcarbazepine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Oxcarbazepine.]
[G04BD02, flavoxate, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Melitracen.]
[V03AZ01, ethanol, Ethanol may increase the sedative activities of Oxcarbazepine.]
[N06AB03, fluoxetine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Oxcarbazepine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Oxcarbazepine.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flutamide can be increased when combined with Oxcarbazepine.]
[L01BC03, tegafur, The metabolism of Tegafur can be increased when combined with Oxcarbazepine.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Oxcarbazepine.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Oxcarbazepine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Gallamine.]
[S01AD09, ganciclovir, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Ganciclovir.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Bifemelane.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Oxcarbazepine.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Oxcarbazepine.]
[C01CA21, cafedrine, Oxcarbazepine may increase the excretion rate of Cafedrine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Oxcarbazepine.]
