[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ciprofloxacin.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Ciprofloxacin.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Ciprofloxacin.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Ciprofloxacin.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be decreased when combined with Ciprofloxacin.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Ciprofloxacin.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Ciprofloxacin.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Ciprofloxacin.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Ciprofloxacin.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Ciprofloxacin.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Ciprofloxacin.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Artemether.]
[M02AA03, clofezone, Ciprofloxacin may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Ciprofloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Ciprofloxacin.]
[J01CE04, azidocillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Azidocillin.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Ciprofloxacin.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Ciprofloxacin.]
[J01CA06, bacampicillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Bacampicillin.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Ciprofloxacin.]
[A07EC04, balsalazide, Balsalazide may increase the neuroexcitatory activities of Ciprofloxacin.]
[R03DA08, bamifylline, The serum concentration of Bamifylline can be increased when it is combined with Ciprofloxacin.]
[A06AH05, naldemedine, Ciprofloxacin may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Ciprofloxacin.]
[N06BC01, caffeine, The serum concentration of Caffeine can be increased when it is combined with Ciprofloxacin.]
[C09AA07, benazepril, The risk or severity of hyperkalemia can be increased when Benazepril is combined with Ciprofloxacin.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Ciprofloxacin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Calcitriol can be decreased when combined with Ciprofloxacin.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[P01CA02, benznidazole, Ciprofloxacin may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Ciprofloxacin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Ciprofloxacin.]
[D11AX03, calcium gluconate, Calcium gluconate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Ciprofloxacin.]
[L04AB02, infliximab, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Infliximab is combined with Ciprofloxacin.]
[A12AA01, calcium phosphate, Calcium Phosphate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Ciprofloxacin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Ciprofloxacin.]
[N04BD03, safinamide, The metabolism of Safinamide can be decreased when combined with Ciprofloxacin.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Ciprofloxacin.]
[L01BC06, capecitabine, Ciprofloxacin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Ciprofloxacin.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Ciprofloxacin.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Ciprofloxacin.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Ciprofloxacin.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Ciprofloxacin.]
[A02BX12, bismuth subnitrate, Bismuth subnitrate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C07AB07, bisoprolol, The metabolism of Bisoprolol can be decreased when combined with Ciprofloxacin.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be decreased when combined with Ciprofloxacin.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[N05CD09, brotizolam, The metabolism of Brotizolam can be decreased when combined with Ciprofloxacin.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of tendinopathy can be increased when Budesonide is combined with Ciprofloxacin.]
[M01AB07, bumadizone, Bumadizone may increase the neuroexcitatory activities of Ciprofloxacin.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Ciprofloxacin.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Ciprofloxacin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Ciprofloxacin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Ciprofloxacin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Ciprofloxacin.]
[C09AA01, captopril, The risk or severity of hyperkalemia can be increased when Captopril is combined with Ciprofloxacin.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Ciprofloxacin.]
[N03AF01, carbamazepine, The serum concentration of Carbamazepine can be increased when it is combined with Ciprofloxacin.]
[A06AC08, calcium polycarbophil, Calcium polycarbophil can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA03, carbenicillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Carbenicillin.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Ciprofloxacin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Ciprofloxacin.]
[B02BX09, fostamatinib, The metabolism of Fostamatinib can be decreased when combined with Ciprofloxacin.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Ciprofloxacin.]
[L04AA37, baricitinib, The metabolism of Baricitinib can be decreased when combined with Ciprofloxacin.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Ciprofloxacin.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01GB14, plazomicin, Ciprofloxacin may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Ciprofloxacin.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Ciprofloxacin.]
[P01BA07, tafenoquine, The excretion of Ciprofloxacin can be decreased when combined with Tafenoquine.]
[A16AX14, migalastat, Ciprofloxacin may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be decreased when combined with Ciprofloxacin.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Ciprofloxacin.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Ciprofloxacin.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Ciprofloxacin.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Ciprofloxacin.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Ciprofloxacin.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Ciprofloxacin.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Ciprofloxacin may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may increase the neuroexcitatory activities of Ciprofloxacin.]
[R03DA02, oxtriphylline, The serum concentration of Oxtriphylline can be increased when it is combined with Ciprofloxacin.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Ciprofloxacin.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Ciprofloxacin.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Ciprofloxacin.]
[L01EX12, larotrectinib, The metabolism of Larotrectinib can be decreased when combined with Ciprofloxacin.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Amifampridine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Ciprofloxacin.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Ciprofloxacin.]
[C09AA08, cilazapril, The risk or severity of hyperkalemia can be increased when Cilazapril is combined with Ciprofloxacin.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Ciprofloxacin.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Ciprofibrate.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Ciprofloxacin.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Ciprofloxacin.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Ciprofloxacin is combined with Siponimod.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Clarithromycin.]
[N06BA14, solriamfetol, Ciprofloxacin may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Ciprofloxacin.]
[N05BA09, clobazam, The metabolism of Clobazam can be decreased when combined with Ciprofloxacin.]
[H02AB14, cloprednol, The risk or severity of tendinopathy can be increased when Cloprednol is combined with Ciprofloxacin.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Ubidecarenone.]
[V03AE07, calcium acetate, Calcium acetate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C09CA06, candesartan, The risk or severity of hyperkalemia can be increased when Candesartan is combined with Ciprofloxacin.]
[A12CC06, magnesium lactate, Magnesium lactate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of tendinopathy can be increased when Cortivazol is combined with Ciprofloxacin.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Ciprofloxacin.]
[L01FX14, polatuzumab vedotin, The metabolism of Polatuzumab vedotin can be decreased when combined with Ciprofloxacin.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01XX66, selinexor, The metabolism of Selinexor can be decreased when combined with Ciprofloxacin.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L02BB06, darolutamide, The metabolism of Darolutamide can be decreased when combined with Ciprofloxacin.]
[J01CF03, methicillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Meticillin.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Ciprofloxacin.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Ciprofloxacin.]
[L04AA44, upadacitinib, The metabolism of Upadacitinib can be decreased when combined with Ciprofloxacin.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Ciprofloxacin.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Ciprofloxacin.]
[N07XX11, pitolisant, Ciprofloxacin may increase the QTc-prolonging activities of Pitolisant.]
[J04AK08, pretomanid, The serum concentration of Pretomanid can be increased when it is combined with Ciprofloxacin.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Ciprofloxacin.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Ciprofloxacin.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Ciprofloxacin.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Ciprofloxacin.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Ciprofloxacin.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Ciprofloxacin.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Ciprofloxacin.]
[G03DB05, demegestone, The metabolism of Demegestone can be decreased when combined with Ciprofloxacin.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Ciprofloxacin.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Ciprofloxacin.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Ciprofloxacin.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Ciprofloxacin.]
[N03AX25, cenobamate, The metabolism of Cenobamate can be decreased when combined with Ciprofloxacin.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[M09AX08, golodirsen, Ciprofloxacin may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Ciprofloxacin.]
[L01FX13, enfortumab vedotin, The metabolism of Enfortumab vedotin can be decreased when combined with Ciprofloxacin.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Ciprofloxacin.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Ciprofloxacin may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Ciprofloxacin.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Ciprofloxacin.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Ciprofloxacin.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be increased when it is combined with Ciprofloxacin.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be decreased when combined with Ciprofloxacin.]
[J05AB16, remdesivir, The metabolism of Remdesivir can be decreased when combined with Ciprofloxacin.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ciprofloxacin.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Ciprofloxacin.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Ciprofloxacin.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Ciprofloxacin.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Ciprofloxacin.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Ciprofloxacin.]
[R02AA03, dichlorobenzyl alcohol, Ciprofloxacin may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The metabolism of Dienogest can be decreased when combined with Ciprofloxacin.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Ciprofloxacin.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Ciprofloxacin.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Ciprofloxacin.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Ciprofloxacin.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Ciprofloxacin.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Ciprofloxacin.]
[V03AE03, lanthanum carbonate, Lanthanum carbonate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Ciprofloxacin.]
[L01EN02, pemigatinib, The metabolism of Pemigatinib can be decreased when combined with Ciprofloxacin.]
[L01EH03, tucatinib, The excretion of Ciprofloxacin can be decreased when combined with Tucatinib.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be increased when it is combined with Ciprofloxacin.]
[D07XB03, fluprednidene, The risk or severity of tendinopathy can be increased when Fluprednidene is combined with Ciprofloxacin.]
[M01AC04, droxicam, Droxicam may increase the neuroexcitatory activities of Ciprofloxacin.]
[L01EX19, ripretinib, The metabolism of Ripretinib can be decreased when combined with Ciprofloxacin.]
[V08CA05, mangafodipir, Ciprofloxacin may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be increased when it is combined with Ciprofloxacin.]
[M02AA27, dexketoprofen, Dexketoprofen may increase the neuroexcitatory activities of Ciprofloxacin.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Ciprofloxacin.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Dyclonine.]
[L01XX69, lurbinectedin, The serum concentration of Lurbinectedin can be increased when it is combined with Ciprofloxacin.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Ciprofloxacin.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Ciprofloxacin.]
[J05AX29, fostemsavir, The metabolism of Fostemsavir can be decreased when combined with Ciprofloxacin.]
[M09AX10, risdiplam, The serum concentration of Ciprofloxacin can be increased when it is combined with Risdiplam.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Ciprofloxacin.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Pralsetinib can be decreased when combined with Ciprofloxacin.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Ciprofloxacin.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Ciprofloxacin.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Ciprofloxacin.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Ciprofloxacin.]
[A11CC05, cholecalciferol, The metabolism of Cholecalciferol can be decreased when combined with Ciprofloxacin.]
[N02BA07, ethenzamide, Ethenzamide may increase the neuroexcitatory activities of Ciprofloxacin.]
[N02BA03, choline salicylate, Ciprofloxacin may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The metabolism of Vinpocetine can be decreased when combined with Ciprofloxacin.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be decreased when combined with Ciprofloxacin.]
[M01AB08, etodolac, Etodolac may increase the neuroexcitatory activities of Ciprofloxacin.]
[M02AA06, etofenamate, Etofenamate may increase the neuroexcitatory activities of Ciprofloxacin.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Etofibrate.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Ciprofloxacin.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Ciprofloxacin.]
[M01AX25, chondroitin sulfates, Ciprofloxacin may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The metabolism of Voclosporin can be decreased when combined with Ciprofloxacin.]
[L01EX21, tepotinib, The metabolism of Tepotinib can be decreased when combined with Ciprofloxacin.]
[V03AF12, trilaciclib, The excretion of Ciprofloxacin can be decreased when combined with Trilaciclib.]
[N03AX10, felbamate, The metabolism of Felbamate can be decreased when combined with Ciprofloxacin.]
[M01AE05, fenbufen, Fenbufen may increase the neuroexcitatory activities of Ciprofloxacin.]
[N06BA10, fenethylline, The serum concentration of Fenethylline can be increased when it is combined with Ciprofloxacin.]
[C01CA19, fenoldopam, Ciprofloxacin may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[V08CA07, ferric ammonium citrate, Ferric ammonium citrate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Prussian blue can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Iron sucrose can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA05, ferrous chloride, Ferrous chloride can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Ferrous fumarate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Ferrous gluconate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Ferrous succinate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Ferrous sulfate anhydrous can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Ciprofloxacin.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Ciprofloxacin.]
