[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Felodipine.]
[V03AE07, calcium acetate, The therapeutic efficacy of Felodipine can be decreased when used in combination with Calcium acetate.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Felodipine.]
[L04AB01, etanercept, The metabolism of Felodipine can be increased when combined with Etanercept.]
[A12CC06, magnesium lactate, The risk or severity of hypotension can be increased when Magnesium lactate is combined with Felodipine.]
[H02AB17, cortivazol, The metabolism of Felodipine can be increased when combined with Cortivazol.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[C03BX03, cicletanine, Felodipine may increase the arrhythmogenic activities of Cicletanine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Felodipine can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Felodipine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Felodipine.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Felodipine can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Felodipine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Insulin pork.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Felodipine.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Felodipine.]
[N02CC08, lasmiditan, Lasmiditan may increase the bradycardic activities of Felodipine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Felodipine.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Felodipine.]
[N03AX25, cenobamate, The serum concentration of Felodipine can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Felodipine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Felodipine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Felodipine.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be decreased when combined with Felodipine.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Felodipine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Felodipine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may decrease the antihypertensive activities of Felodipine.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Felodipine.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Felodipine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Felodipine.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Felodipine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Felodipine.]
[M01AH02, rofecoxib, The therapeutic efficacy of Felodipine can be decreased when used in combination with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Felodipine.]
[C08CA16, clevidipine, Felodipine may increase the arrhythmogenic activities of Clevidipine.]
[C01BD07, dronedarone, Felodipine may increase the arrhythmogenic activities of Dronedarone.]
[S03AA08, chloramphenicol, The metabolism of Felodipine can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Chlorcyclizine.]
[C02AA06, methoserpidine, Felodipine may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Felodipine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Felodipine is combined with Opicapone.]
[C01CA14, dopexamine, Dopexamine may decrease the antihypertensive activities of Felodipine.]
[D07XB03, fluprednidene, The metabolism of Felodipine can be increased when combined with Fluprednidene.]
[M01AC04, droxicam, The therapeutic efficacy of Felodipine can be decreased when used in combination with Droxicam.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Felodipine.]
[M02AA27, dexketoprofen, The therapeutic efficacy of Felodipine can be decreased when used in combination with Dexketoprofen.]
[C08CA17, levamlodipine, Felodipine may increase the hypotensive activities of Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Felodipine.]
[L01FX15, belantamab mafodotin, Felodipine may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Felodipine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Felodipine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Felodipine.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Felodipine can be increased when used in combination with Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Felodipine.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Felodipine.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the hypotensive activities of Felodipine.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Felodipine.]
[N02BA07, ethenzamide, The therapeutic efficacy of Felodipine can be decreased when used in combination with Ethenzamide.]
[N06BX18, vinpocetine, Felodipine may increase the arrhythmogenic activities of Vinpocetine.]
[M01AB08, etodolac, The therapeutic efficacy of Felodipine can be decreased when used in combination with Etodolac.]
[M02AA06, etofenamate, The therapeutic efficacy of Felodipine can be decreased when used in combination with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Felodipine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Felodipine.]
[M09AA01, hydroquinine, Felodipine may increase the arrhythmogenic activities of Hydroquinine.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Relugolix.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Felodipine.]
[P03AX07, abametapir, The serum concentration of Felodipine can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Felodipine is combined with Vericiguat.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Felodipine.]
[M01AE05, fenbufen, The therapeutic efficacy of Felodipine can be decreased when used in combination with Fenbufen.]
[C01CA19, fenoldopam, Fenoldopam may increase the hypotensive activities of Felodipine.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Felodipine.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Felodipine.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Flumequine.]
[S01JA01, fluorescein, Fluorescein may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Felodipine.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Insulin human.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Felodipine.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Felodipine.]
[H04AA02, dasiglucagon, Felodipine may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The serum concentration of Felodipine can be increased when it is combined with Cimetidine.]
[N07CA02, cinnarizine, Cinnarizine may increase the arrhythmogenic activities of Felodipine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Felodipine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Felodipine can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Citalopram.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Felodipine.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Felodipine is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Clemastine.]
[A10BB12, glimepiride, Glimepiride may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Felodipine.]
[R03CC13, clenbuterol, Clenbuterol may decrease the antihypertensive activities of Felodipine.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Felodipine can be decreased when used in combination with Calcium glubionate anhydrous.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Felodipine.]
[N06AX25, St. John's wort extract, The metabolism of Felodipine can be increased when combined with St. John's Wort.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Felodipine.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Felodipine.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Felodipine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Felodipine.]
[S01EA04, clonidine, Clonidine may increase the atrioventricular blocking (AV block) activities of Felodipine.]
[C01EB24, mavacamten, The serum concentration of Felodipine can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Tirzepatide.]
[J02AC06, oteseconazole, The therapeutic efficacy of Oteseconazole can be increased when used in combination with Felodipine.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Felodipine.]
[A05BA08, glycyrrhizic acid, Felodipine may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Felodipine.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Granisetron.]
[L01XX77, adagrasib, The serum concentration of Felodipine can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The risk or severity of hypotension can be increased when Clozapine is combined with Felodipine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Sotagliflozin.]
[H01AC08, somatrogon, The metabolism of Felodipine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Cocaine.]
[C02KB01, metyrosine, Metyrosine may increase the hypotensive activities of Felodipine.]
[L04AC21, bimekizumab, The metabolism of Felodipine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The therapeutic efficacy of Felodipine can be decreased when used in combination with Proquazone.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Felodipine.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Felodipine.]
[C01BA13, hydroquinidine, Felodipine may increase the arrhythmogenic activities of Hydroquinidine.]
[A02AD04, hydrotalcite, The risk or severity of hypotension can be increased when Hydrotalcite is combined with Felodipine.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Desflurane.]
[A04AA03, tropisetron, Felodipine may increase the arrhythmogenic activities of Tropisetron.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Felodipine.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Felodipine.]
[N02BA16, imidazole-2-hydroxybenzoate, The therapeutic efficacy of Felodipine can be decreased when used in combination with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Felodipine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Felodipine.]
[B01AC10, indobufen, The therapeutic efficacy of Felodipine can be decreased when used in combination with Indobufen.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Desloratadine.]
[M01AH03, valdecoxib, The therapeutic efficacy of Felodipine can be decreased when used in combination with Valdecoxib.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Felodipine.]
[A03AX10, isometheptene, Isometheptene may decrease the antihypertensive activities of Felodipine.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Felodipine.]
[M01AH04, parecoxib, The therapeutic efficacy of Felodipine can be decreased when used in combination with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Felodipine can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Bemiparin.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Emedastine.]
[M01AA06, kebuzone, The therapeutic efficacy of Felodipine can be decreased when used in combination with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Felodipine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Felodipine can be decreased when combined with Posaconazole.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Felodipine.]
[S01EE03, bimatoprost, Bimatoprost may increase the hypotensive activities of Felodipine.]
[C08CA09, lacidipine, Felodipine may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Felodipine.]
[N03AX09, lamotrigine, Lamotrigine may increase the arrhythmogenic activities of Felodipine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Levocabastine.]
[S01BA03, cortisone, The metabolism of Felodipine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Felodipine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Lomefloxacin.]
[M01AB09, lonazolac, The therapeutic efficacy of Felodipine can be decreased when used in combination with Lonazolac.]
[R06AX13, loratadine, Loratadine may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[M02AA31, loxoprofen, The therapeutic efficacy of Felodipine can be decreased when used in combination with Loxoprofen.]
[C09AA03, lisinopril, Lisinopril may increase the hypotensive activities of Felodipine.]
[A02AD02, magaldrate, The risk or severity of hypotension can be increased when Magaldrate is combined with Felodipine.]
[A06AD01, magnesium carbonate, The risk or severity of hypotension can be increased when Magnesium carbonate is combined with Felodipine.]
[C08CA11, manidipine, Felodipine may increase the arrhythmogenic activities of Manidipine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Felodipine.]
[C07AA14, mepindolol, The risk or severity of bradycardia can be increased when Felodipine is combined with Mepindolol.]
[H02AB15, meprednisone, The metabolism of Felodipine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Mequitazine.]
[C01EB10, adenosine, Adenosine may increase the arrhythmogenic activities of Felodipine.]
[C04AX01, cyclandelate, Felodipine may increase the arrhythmogenic activities of Cyclandelate.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the antihypertensive activities of Felodipine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Cyclizine.]
[C03DA04, eplerenone, Eplerenone may increase the hypotensive activities of Felodipine.]
[N05AD03, metylperon, Felodipine may increase the arrhythmogenic activities of Melperone.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Felodipine can be increased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Miglitol.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Felodipine.]
[N06AX07, minaprine, Minaprine may increase the hypotensive activities of Felodipine.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Felodipine.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Felodipine.]
[N06BA07, modafinil, The metabolism of Felodipine can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Felodipine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Felodipine.]
[C10AA07, rosuvastatin, Felodipine may decrease the excretion rate of Rosuvastatin which could result in a higher serum level.]
[M02AA02, mofebutazone, The therapeutic efficacy of Felodipine can be decreased when used in combination with Mofebutazone.]
[M01AX22, morniflumate, The therapeutic efficacy of Felodipine can be decreased when used in combination with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Felodipine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Moxonidine may decrease the antihypertensive activities of Felodipine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Felodipine.]
[M01AH05, etoricoxib, The therapeutic efficacy of Felodipine can be decreased when used in combination with Etoricoxib.]
[G03XA01, danazol, The metabolism of Felodipine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Felodipine.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Felodipine.]
[L01DB02, daunorubicin, Daunorubicin may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Felodipine.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Felodipine.]
[M01AX01, nabumetone, The therapeutic efficacy of Felodipine can be decreased when used in combination with Nabumetone.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Felodipine.]
[C07AB12, nebivolol, Felodipine may increase the arrhythmogenic activities of Nebivolol.]
[N06AX06, nefazodone, The metabolism of Felodipine can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Felodipine.]
[C01CA23, theodrenaline, Theodrenaline may decrease the antihypertensive activities of Felodipine.]
[M03AC11, cisatracurium, Felodipine may increase the neuromuscular blocking activities of Cisatracurium.]
[C01CA05, norfenefrine, Norfenefrine may decrease the antihypertensive activities of Felodipine.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Solifenacin.]
[A07EC03, olsalazine, The therapeutic efficacy of Felodipine can be decreased when used in combination with Olsalazine.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Felodipine.]
[C01AA07, deslanoside, Felodipine may increase the arrhythmogenic activities of Deslanoside.]
[H01BA02, desmopressin, Desmopressin may decrease the antihypertensive activities of Felodipine.]
[C09XA02, aliskiren, Felodipine may increase the hypotensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The therapeutic efficacy of Felodipine can be decreased when used in combination with Oxaprozin.]
[N03AF02, oxcarbazepine, The serum concentration of Felodipine can be decreased when it is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Felodipine can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Felodipine.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Felodipine.]
[L04AB04, adalimumab, The metabolism of Felodipine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Felodipine.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Felodipine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Felodipine.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Felodipine.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Felodipine.]
[B01AC04, clopidogrel, The therapeutic efficacy of Clopidogrel can be decreased when used in combination with Felodipine.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Felodipine.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Felodipine.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Felodipine.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Felodipine is combined with Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Felodipine.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Felodipine.]
[C02DG01, pinacidil, Felodipine may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, Felodipine may increase the arrhythmogenic activities of Pinaverium.]
[A10BG03, pioglitazone, The serum concentration of Pioglitazone can be increased when it is combined with Felodipine.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Felodipine is combined with Pipamperone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Felodipine.]
[R03CC07, pirbuterol, Pirbuterol may decrease the antihypertensive activities of Felodipine.]
[A08AA03, diethylpropion, Diethylpropion may decrease the antihypertensive activities of Felodipine.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Felodipine.]
[C08CA03, isradipine, Isradipine may increase the arrhythmogenic activities of Felodipine.]
[D07XC04, diflucortolone, The metabolism of Felodipine can be increased when combined with Difluocortolone.]
[N02BA11, diflunisal, The therapeutic efficacy of Felodipine can be decreased when used in combination with Diflunisal.]
[C01AA04, digitoxin, Felodipine may increase the arrhythmogenic activities of Digitoxin.]
[C01AA05, digoxin, Digoxin may increase the arrhythmogenic activities of Felodipine.]
[C02DB01, dihydralazine, Felodipine may increase the hypotensive activities of Dihydralazine.]
[C10AX09, ezetimibe, Ezetimibe may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Felodipine may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The risk or severity of hypotension can be increased when Dihydroergotamine is combined with Felodipine.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Felodipine.]
[J05AE08, atazanavir, The metabolism of Felodipine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The serum concentration of Treprostinil can be increased when it is combined with Felodipine.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Felodipine.]
[C08DB01, diltiazem, Diltiazem may increase the arrhythmogenic activities of Felodipine.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Dimenhydrinate.]
[R03CC08, procaterol, Procaterol may decrease the antihypertensive activities of Felodipine.]
[N02BB04, propyphenazone, The therapeutic efficacy of Felodipine can be decreased when used in combination with Propyphenazone.]
[M01AB14, proglumetacin, The therapeutic efficacy of Felodipine can be decreased when used in combination with Proglumetacin.]
[R06AA02, diphenhydramine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Felodipine.]
[C09AA06, quinapril, Quinapril may increase the hypotensive activities of Felodipine.]
[B01AC07, dipyridamole, Dipyridamole may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Felodipine.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Felodipine.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Felodipine.]
[S01XA23, sirolimus, Felodipine may increase the immunosuppressive activities of Sirolimus.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Felodipine.]
[R03CC14, reproterol, Reproterol may decrease the antihypertensive activities of Felodipine.]
[C01BA03, disopyramide, Disopyramide may increase the arrhythmogenic activities of Felodipine.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Felodipine.]
[S02AA12, rifamycin SV, The metabolism of Felodipine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Felodipine can be increased when combined with Rifapentine.]
[N05AX08, risperidone, Felodipine may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Felodipine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Felodipine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Felodipine.]
[A04AD12, aprepitant, The metabolism of Felodipine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Tolvaptan.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Felodipine.]
[G04BE08, tadalafil, Tadalafil may increase the hypotensive activities of Felodipine.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Felodipine.]
[C02KX02, ambrisentan, Felodipine may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[N02BA06, salsalate, The therapeutic efficacy of Felodipine can be decreased when used in combination with Salsalate.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Felodipine.]
[C01CA07, dobutamine, Dobutamine may decrease the antihypertensive activities of Felodipine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Felodipine.]
[C01CA04, dopamine, Dopamine may decrease the antihypertensive activities of Felodipine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Felodipine.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Felodipine.]
[N06AA12, doxepin, The risk or severity of hypotension can be increased when Doxepin is combined with Felodipine.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Felodipine.]
[L01DB01, doxorubicin, Doxorubicin may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Felodipine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Felodipine.]
[N01AB08, sevoflurane, The risk or severity of hypotension can be increased when Sevoflurane is combined with Felodipine.]
[N05AD08, droperidol, The risk or severity of hypotension can be increased when Droperidol is combined with Felodipine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Felodipine.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Felodipine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Felodipine.]
[C09AA11, spirapril, Felodipine may increase the hypotensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Sultopride.]
[N02CC01, sumatriptan, Sumatriptan may decrease the antihypertensive activities of Felodipine.]
[C07AB13, talinolol, Felodipine may increase the arrhythmogenic activities of Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Temafloxacin.]
