[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Bisoprolol.]
[L01XX59, enasidenib, The serum concentration of Bisoprolol can be increased when it is combined with Enasidenib.]
[L01EH02, neratinib, The serum concentration of Bisoprolol can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Bisoprolol.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Bisoprolol.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Bisoprolol.]
[S01AA13, fusidic acid, The metabolism of Bisoprolol can be decreased when combined with Fusidic acid.]
[R03AC17, bitolterol, The therapeutic efficacy of Bitolterol can be decreased when used in combination with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Bisoprolol can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C07AA17, bopindolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Bopindolol.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Nesiritide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Bisoprolol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Bisoprolol.]
[M01AB07, bumadizone, Bumadizone may decrease the antihypertensive activities of Bisoprolol.]
[N06AA15, butriptyline, Butriptyline may decrease the antihypertensive activities of Bisoprolol.]
[C01AA02, acetyldigoxins, The therapeutic efficacy of Acetyldigoxin can be increased when used in combination with Bisoprolol.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Bisoprolol.]
[N01BX04, capsaicin, Capsaicin may increase the bradycardic activities of Bisoprolol.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Bisoprolol.]
[R06AX18, acrivastine, Bisoprolol may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Bisoprolol may increase the hypotensive activities of Captopril.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Carbamoylcholine.]
[L02BB05, apalutamide, The serum concentration of Bisoprolol can be decreased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Bisoprolol can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Calcium polycarbophil.]
[C07AG02, carvedilol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Carvedilol.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Bisoprolol.]
[N03AX24, cannabidiol, Cannabidiol may decrease the antihypertensive activities of Bisoprolol.]
[B02BX08, avatrombopag, The serum concentration of Avatrombopag can be increased when it is combined with Bisoprolol.]
[L04AA37, baricitinib, Bisoprolol may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Bisoprolol.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01GB14, plazomicin, Bisoprolol may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Celiprolol.]
[H01CC03, elagolix, The serum concentration of Bisoprolol can be increased when it is combined with Elagolix.]
[L01XX62, ivosidenib, The metabolism of Bisoprolol can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Bisoprolol may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Bisoprolol can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Lusutrombopag can be increased when it is combined with Bisoprolol.]
[L01EM04, duvelisib, The serum concentration of Duvelisib can be increased when it is combined with Bisoprolol.]
[L01EB07, dacomitinib, The serum concentration of Bisoprolol can be increased when it is combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Bisoprolol can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Bisoprolol.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Bisoprolol.]
[D08AE05, chloroxylenol, Bisoprolol may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the antihypertensive activities of Bisoprolol.]
[R03DA02, oxtriphylline, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Oxtriphylline.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Bisoprolol.]
[R03BB08, revefenacin, The serum concentration of Revefenacin can be increased when it is combined with Bisoprolol.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L01EX12, larotrectinib, The serum concentration of Larotrectinib can be increased when it is combined with Bisoprolol.]
[L01EX13, gilteritinib, The serum concentration of Gilteritinib can be increased when it is combined with Bisoprolol.]
[L01XJ03, glasdegib, The serum concentration of Bisoprolol can be increased when it is combined with Glasdegib.]
[A06AX05, prucalopride, Bisoprolol may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C01BG07, cifenline, The therapeutic efficacy of Cibenzoline can be increased when used in combination with Bisoprolol.]
[C09AA08, cilazapril, Bisoprolol may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, Bisoprolol may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Bisoprolol.]
[S01ED05, carteolol, Bisoprolol may increase the arrhythmogenic activities of Carteolol.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Bisoprolol.]
[J01FA09, clarithromycin, The metabolism of Bisoprolol can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Solriamfetol may decrease the antihypertensive activities of Bisoprolol.]
[L01EN01, erdafitinib, The serum concentration of Bisoprolol can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The serum concentration of Bisoprolol can be increased when it is combined with Clobazam.]
[V03AE07, calcium acetate, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Calcium acetate.]
[C09CA06, candesartan, Bisoprolol may increase the hypotensive activities of Candesartan.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be increased when it is combined with Bisoprolol.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N05AA06, cyamemazine, The serum concentration of Bisoprolol can be increased when it is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C03BX03, cicletanine, The therapeutic efficacy of Cicletanine can be increased when used in combination with Bisoprolol.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L01EJ02, fedratinib, The serum concentration of Bisoprolol can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The serum concentration of Bisoprolol can be increased when it is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Bisoprolol can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, The serum concentration of Lefamulin can be increased when it is combined with Bisoprolol.]
[N04CX01, istradefylline, The serum concentration of Bisoprolol can be increased when it is combined with Istradefylline.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Bisoprolol can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may decrease the antihypertensive activities of Bisoprolol.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Bisoprolol.]
[J01XX09, daptomycin, The serum concentration of Bisoprolol can be increased when it is combined with Daptomycin.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N02CC08, lasmiditan, The serum concentration of Bisoprolol can be increased when it is combined with Lasmiditan.]
[N03AX25, cenobamate, The serum concentration of Bisoprolol can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[M09AX08, golodirsen, Bisoprolol may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Bisoprolol.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Bisoprolol.]
[S01XA12, dexpanthenol, Bisoprolol may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Bisoprolol.]
[L01XX72, tazemetostat, The serum concentration of Tazemetostat can be increased when it is combined with Bisoprolol.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Bisoprolol.]
[J05AE05, amprenavir, The metabolism of Bisoprolol can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may decrease the antihypertensive activities of Bisoprolol.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Bisoprolol.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Bisoprolol.]
[R02AA03, dichlorobenzyl alcohol, Bisoprolol may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Bisoprolol may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02CC06, eletriptan, Eletriptan may decrease the antihypertensive activities of Bisoprolol.]
[M01AH02, rofecoxib, Rofecoxib may decrease the antihypertensive activities of Bisoprolol.]
[C08CA16, clevidipine, The therapeutic efficacy of Clevidipine can be increased when used in combination with Bisoprolol.]
[C01BD07, dronedarone, Dronedarone may increase the bradycardic activities of Bisoprolol.]
[C02AA06, methoserpidine, Bisoprolol may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, Tucatinib may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L01EX17, capmatinib, The serum concentration of Bisoprolol can be increased when it is combined with Capmatinib.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Opicapone.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Bisoprolol.]
[M01AC04, droxicam, Droxicam may decrease the antihypertensive activities of Bisoprolol.]
[L01EX19, ripretinib, The serum concentration of Bisoprolol can be increased when it is combined with Ripretinib.]
[V08CA05, mangafodipir, Bisoprolol may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Bisoprolol.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the antihypertensive activities of Bisoprolol.]
[C08CA17, levamlodipine, The risk or severity of adverse effects can be increased when Levamlodipine is combined with Bisoprolol.]
[J05AX29, fostemsavir, The serum concentration of Fostemsavir can be increased when it is combined with Bisoprolol.]
[L01FX15, belantamab mafodotin, The serum concentration of Belantamab mafodotin can be increased when it is combined with Bisoprolol.]
[L04AC19, satralizumab, The serum concentration of Bisoprolol can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be decreased when Chloroquine is combined with Bisoprolol.]
[L01EX23, pralsetinib, The serum concentration of Bisoprolol can be increased when it is combined with Pralsetinib.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Bisoprolol can be increased when used in combination with Chlorothiazide.]
[N05AA01, chlorpromazine, The serum concentration of Bisoprolol can be increased when it is combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Bisoprolol.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the antihypertensive activities of Bisoprolol.]
[N02BA03, choline salicylate, Bisoprolol may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The therapeutic efficacy of Vinpocetine can be increased when used in combination with Bisoprolol.]
[M01AB08, etodolac, Etodolac may decrease the antihypertensive activities of Bisoprolol.]
[M02AA06, etofenamate, Etofenamate may decrease the antihypertensive activities of Bisoprolol.]
[B06AC06, berotralstat, The metabolism of Bisoprolol can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Bisoprolol can be decreased when combined with Lonafarnib.]
[M09AA01, hydroquinine, The therapeutic efficacy of Hydroquinine can be increased when used in combination with Bisoprolol.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Bisoprolol.]
[M01AX25, chondroitin sulfates, Bisoprolol may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Bisoprolol.]
[L04AD03, voclosporin, The serum concentration of Bisoprolol can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Bisoprolol can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Vericiguat.]
[L01EX21, tepotinib, The serum concentration of Bisoprolol can be increased when it is combined with Tepotinib.]
[L01EX25, umbralisib, The serum concentration of Bisoprolol can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The serum concentration of Trilaciclib can be increased when it is combined with Bisoprolol.]
[M01AE05, fenbufen, Fenbufen may decrease the antihypertensive activities of Bisoprolol.]
[N06BA10, fenethylline, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Fenethylline.]
[C01CA19, fenoldopam, Bisoprolol may increase the hypotensive activities of Fenoldopam.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Bisoprolol.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Bisoprolol.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N02BG07, flupirtine, Bisoprolol may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Bisoprolol.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Bisoprolol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Bisoprolol.]
[L01EK03, tivozanib, The serum concentration of Tivozanib can be increased when it is combined with Bisoprolol.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Bisoprolol.]
[H04AA02, dasiglucagon, Bisoprolol may increase the hypotensive activities of Dasiglucagon.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be increased when it is combined with Bisoprolol.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N07CA02, cinnarizine, The therapeutic efficacy of Cinnarizine can be increased when used in combination with Bisoprolol.]
[L01XX73, sotorasib, The serum concentration of Bisoprolol can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Bisoprolol can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Bisoprolol may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, The serum concentration of Bisoprolol can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Fexinidazole.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the antihypertensive activities of Bisoprolol.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Bisoprolol.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Bisoprolol.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Bisoprolol.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Calcium glubionate anhydrous.]
[N06AX25, St. John's wort extract, The metabolism of Bisoprolol can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Bisoprolol can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Bisoprolol can be increased when it is combined with Maribavir.]
[D11AH08, abrocitinib, The serum concentration of Bisoprolol can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Bisoprolol can be increased when it is combined with Clofazimine.]
[B06AX04, mitapivat, The serum concentration of Bisoprolol can be increased when it is combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Bisoprolol can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Bisoprolol.]
[N06AA04, clomipramine, Clomipramine may decrease the antihypertensive activities of Bisoprolol.]
[N03AE01, clonazepam, Bisoprolol may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Clonidine.]
[C01EB24, mavacamten, The serum concentration of Bisoprolol can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Bisoprolol.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, Bisoprolol may increase the orthostatic hypotensive activities of Clozapine.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be increased when it is combined with Bisoprolol.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Bisoprolol.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Bisoprolol.]
[J01GB12, arbekacin, Bisoprolol may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Bisoprolol can be increased when combined with Somatrogon.]
[C02KB01, metyrosine, Bisoprolol may increase the hypotensive activities of Metyrosine.]
[M01AX13, proquazone, Proquazone may decrease the antihypertensive activities of Bisoprolol.]
[M03AC05, hexafluorenium, Hexafluronium may increase the bradycardic activities of Bisoprolol.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Bisoprolol.]
[J01XB01, colistin, Bisoprolol may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C01BA13, hydroquinidine, The therapeutic efficacy of Hydroquinidine can be increased when used in combination with Bisoprolol.]
[N01AB07, desflurane, Desflurane may decrease the antihypertensive activities of Bisoprolol.]
[A04AA03, tropisetron, The therapeutic efficacy of Tropisetron can be increased when used in combination with Bisoprolol.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Bisoprolol.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Bisoprolol.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the antihypertensive activities of Bisoprolol.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Bisoprolol.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Bisoprolol.]
[J01FA15, telithromycin, The metabolism of Bisoprolol can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, Indobufen may decrease the antihypertensive activities of Bisoprolol.]
[J05AB14, valganciclovir, Bisoprolol may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Bisoprolol may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Bisoprolol may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Bisoprolol may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Bisoprolol may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Bisoprolol may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the antihypertensive activities of Bisoprolol.]
[H01AX01, pegvisomant, Pegvisomant may increase the bradycardic activities of Bisoprolol.]
[C01AA06, lanatoside C, Bisoprolol may increase the bradycardic activities of Lanatoside C.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Bisoprolol.]
[N02CC05, almotriptan, Almotriptan may decrease the antihypertensive activities of Bisoprolol.]
[M01AH04, parecoxib, Parecoxib may decrease the antihypertensive activities of Bisoprolol.]
[J02AC02, itraconazole, The metabolism of Bisoprolol can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Bisoprolol is combined with Bemiparin.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N05BA10, ketazolam, Bisoprolol may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the antihypertensive activities of Bisoprolol.]
[J02AC04, posaconazole, The metabolism of Bisoprolol can be decreased when combined with Posaconazole.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Bisoprolol.]
[S01EE03, bimatoprost, Bisoprolol may increase the hypotensive activities of Bimatoprost.]
[C08CA09, lacidipine, Bisoprolol may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, The therapeutic efficacy of Lamotrigine can be increased when used in combination with Bisoprolol.]
[N07BC04, lofexidine, The therapeutic efficacy of Lofexidine can be decreased when used in combination with Bisoprolol.]
[M01AB09, lonazolac, Lonazolac may decrease the antihypertensive activities of Bisoprolol.]
[M02AA31, loxoprofen, Loxoprofen may decrease the antihypertensive activities of Bisoprolol.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C09AA03, lisinopril, Bisoprolol may increase the hypotensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, Bisoprolol may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The therapeutic efficacy of Manidipine can be increased when used in combination with Bisoprolol.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Bisoprolol.]
[C07AA14, mepindolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Mepindolol.]
[J01DH02, meropenem, Bisoprolol may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C01EB10, adenosine, The therapeutic efficacy of Adenosine can be increased when used in combination with Bisoprolol.]
[C04AX01, cyclandelate, The therapeutic efficacy of Cyclandelate can be increased when used in combination with Bisoprolol.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Methoxyphenamine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The therapeutic efficacy of Melperone can be increased when used in combination with Bisoprolol.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Bisoprolol can be increased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Bisoprolol.]
[J05AF07, tenofovir disoproxil, The serum concentration of Bisoprolol can be increased when it is combined with Tenofovir disoproxil.]
[N06AX07, minaprine, Minaprine may increase the bradycardic activities of Bisoprolol.]
[S01XA18, cyclosporine, The metabolism of Bisoprolol can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Bisoprolol.]
[C09AA13, moexipril, Bisoprolol may increase the hypotensive activities of Moexipril.]
[M02AA02, mofebutazone, Mofebutazone may decrease the antihypertensive activities of Bisoprolol.]
[M01AX22, morniflumate, Morniflumate may decrease the antihypertensive activities of Bisoprolol.]
[C03XA02, conivaptan, The metabolism of Bisoprolol can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Bisoprolol.]
[G04BE09, vardenafil, The serum concentration of Bisoprolol can be increased when it is combined with Vardenafil.]
[M01AH05, etoricoxib, Etoricoxib may decrease the antihypertensive activities of Bisoprolol.]
[L01AX04, dacarbazine, Bisoprolol may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be increased when it is combined with Bisoprolol.]
[G03XA01, danazol, The metabolism of Bisoprolol can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Bisoprolol is combined with Dantrolene.]
[C02CC04, debrisoquin, Bisoprolol may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Nabilone is combined with Bisoprolol.]
