[J01MB04, pipemidic acid, The serum concentration of Pipemidic acid can be increased when it is combined with Ampicillin.]
[N01AX03, ketamine, Ampicillin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Ampicillin may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01MB02, nalidixic acid, The serum concentration of Nalidixic acid can be increased when it is combined with Ampicillin.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C07AG01, labetalol, Ampicillin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N04BB01, amantadine, Ampicillin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Ampicillin.]
[A06AX03, lubiprostone, Ampicillin may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Ampicillin.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Lidocaine.]
[S01AA21, amikacin, Ampicillin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01AA04, lymecycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Lymecycline.]
[G03DC03, lynestrenol, The therapeutic efficacy of Lynestrenol can be decreased when used in combination with Ampicillin.]
[B05XA11, magnesium chloride, Ampicillin may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Ampicillin may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Ampicillin may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Ampicillin may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Ampicillin may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Ampicillin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Ampicillin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Mepivacaine.]
[G04BX16, tiopronin, Ampicillin may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Ampicillin may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01AA05, methacycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Metacycline.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06BA03, methamphetamine, Ampicillin may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Ampicillin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Ampicillin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Ampicillin may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L04AX03, methotrexate, The excretion of Methotrexate can be decreased when combined with Ampicillin.]
[D05BA02, methoxsalen, Ampicillin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Ampicillin may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, Ampicillin may decrease the excretion rate of Methylene blue which could result in a higher serum level.]
[G03EK01, methyltestosterone, Ampicillin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, Ampicillin may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[V04CD01, metyrapone, Ampicillin may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N05CD08, midazolam, Ampicillin may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Ampicillin.]
[J05AH01, zanamivir, Ampicillin may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[J01AA08, minocycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Minocycline.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06AA09, amitriptyline, Amitriptyline may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Ampicillin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Ampicillin may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, The serum concentration of Mycophenolic acid can be decreased when it is combined with Ampicillin.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be increased when used in combination with Ampicillin.]
[C07AA12, nadolol, Ampicillin may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Ampicillin may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Ampicillin may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06AX21, duloxetine, Ampicillin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S03AA01, neomycin, Ampicillin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, Ampicillin may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Ampicillin may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Ampicillin may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Ampicillin may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01CE01, inamrinone, Ampicillin may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C08CA05, nifedipine, Ampicillin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[R07AX01, nitric oxide, Ampicillin may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Ampicillin may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Ampicillin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[G03DC02, norethindrone, The therapeutic efficacy of Norethisterone can be decreased when used in combination with Ampicillin.]
[S01AE02, norfloxacin, The serum concentration of Norfloxacin can be increased when it is combined with Ampicillin.]
[G03AC07, norgestrienone, The therapeutic efficacy of Norgestrienone can be decreased when used in combination with Ampicillin.]
[S02AA16, ofloxacin, The serum concentration of Ofloxacin can be increased when it is combined with Ampicillin.]
[N02AA02, opium, Ampicillin may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Ampicillin may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[J01CF04, oxacillin, Ampicillin may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, Ampicillin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01MB05, oxolinic acid, The serum concentration of Oxolinic acid can be increased when it is combined with Ampicillin.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01AA04, oxytetracycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Oxytetracycline.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be increased when used in combination with Ampicillin.]
[J04AB30, capreomycin, Ampicillin may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The therapeutic efficacy of Chlormadinone can be decreased when used in combination with Ampicillin.]
[A07AA06, paromomycin, The serum concentration of Paromomycin can be decreased when it is combined with Ampicillin.]
[J01MA03, pefloxacin, The serum concentration of Pefloxacin can be increased when it is combined with Ampicillin.]
[G04BD11, fesoterodine, Ampicillin may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Ampicillin may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[J01CE09, penicillin G procaine, Ampicillin may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L01XX08, pentostatin, Ampicillin may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Ampicillin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N06AF03, phenelzine, Ampicillin may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[B01AA02, phenindione, Ampicillin may increase the anticoagulant activities of Phenindione.]
[B01AA04, phenprocoumon, Ampicillin may increase the anticoagulant activities of Phenprocoumon.]
[V03AB36, phentolamine, Ampicillin may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01AE05, levofloxacin, The serum concentration of Levofloxacin can be increased when it is combined with Ampicillin.]
[B02BA01, vitamin K1, Ampicillin may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C07AA03, pindolol, Ampicillin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06BX03, piracetam, Ampicillin may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01MA11, grepafloxacin, The serum concentration of Grepafloxacin can be increased when it is combined with Ampicillin.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH03, saxagliptin, Ampicillin may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Ampicillin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[H02AB07, prednisone, Ampicillin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Prilocaine.]
[C01BA02, procainamide, Ampicillin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Procaine.]
[C10AB05, fenofibrate, Ampicillin may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[G03DA04, progesterone, The therapeutic efficacy of Progesterone can be decreased when used in combination with Ampicillin.]
[R06AD02, promethazine, Ampicillin may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[A03AB05, propantheline, Ampicillin may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[C07AA05, propranolol, Ampicillin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N02CC04, rizatriptan, Ampicillin may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Ampicillin may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N07XX07, dalfampridine, Ampicillin may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Ampicillin may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01BA01, quinidine, Ampicillin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A02BA02, ranitidine, Ampicillin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J05AP01, ribavirin, Ampicillin may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J01AA09, rolitetracycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Rolitetracycline.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N05CA06, secobarbital, Ampicillin may decrease the excretion rate of Secobarbital which could result in a higher serum level.]
[J01GB08, sisomicin, Ampicillin may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Ampicillin may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Ampicillin may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[G03XB02, ulipristal, The therapeutic efficacy of Ulipristal can be decreased when used in combination with Ampicillin.]
[J01GA01, streptomycin, Ampicillin may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Ampicillin may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[R03CC03, terbutaline, Ampicillin may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Ampicillin may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Ampicillin may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Tetracaine.]
[S03AA02, tetracycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Ampicillin may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[G04BE06, moxisylyte, Ampicillin may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Ampicillin may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[P01AB02, tinidazole, Ampicillin may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Ampicillin may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Ampicillin may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Ampicillin may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Ampicillin may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Ampicillin may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Ampicillin may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[A03AA05, trimebutine, Ampicillin may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, Ampicillin may decrease the excretion rate of Trimethoprim which could result in a higher serum level.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be increased when used in combination with Ampicillin.]
[R03DX07, roflumilast, Ampicillin may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Ampicillin may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Ampicillin may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[S01AA28, vancomycin, Ampicillin may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Ampicillin may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Ampicillin may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, Ampicillin may decrease the excretion rate of Verapamil which could result in a higher serum level.]
[N06AX09, viloxazine, Ampicillin may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[B01AA03, warfarin, Ampicillin may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M05BA05, tiludronic acid, Ampicillin may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Ampicillin may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[A02BC04, rabeprazole, Ampicillin may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA13, trovafloxacin, The serum concentration of Trovafloxacin can be increased when it is combined with Ampicillin.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Ampicillin may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Ampicillin may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Ampicillin may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Ampicillin may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The bioavailability of Atenolol can be decreased when combined with Ampicillin.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be increased when used in combination with Ampicillin.]
[M01CB03, auranofin, Ampicillin may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[B03XA04, peginesatide, Ampicillin may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Ampicillin may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Ampicillin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Ampicillin may decrease the excretion rate of Gemcitabine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A08AA11, lorcaserin, Ampicillin may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Ampicillin may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L02BB04, enzalutamide, Ampicillin may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[D02BA02, octinoxate, Ampicillin may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[N04BD02, rasagiline, Ampicillin may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[V09IX04, fluorodeoxyglucose F18, Ampicillin may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[V08CA11, gadofosveset, Ampicillin may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Ampicillin may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Ampicillin may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Ampicillin may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Ampicillin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MA15, gemifloxacin, The serum concentration of Gemifloxacin can be increased when it is combined with Ampicillin.]
[S01AE07, moxifloxacin, The serum concentration of Moxifloxacin can be increased when it is combined with Ampicillin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Benzocaine.]
[L03AA12, ancestim, Ampicillin may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L01EE01, trametinib, Ampicillin may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Ampicillin may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Ampicillin may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[A10BJ03, lixisenatide, Ampicillin may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Ampicillin may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, Ampicillin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, The therapeutic efficacy of Etonogestrel can be decreased when used in combination with Ampicillin.]
[J05AP08, sofosbuvir, Ampicillin may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Ampicillin may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, Ampicillin may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Ampicillin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Ampicillin may decrease the excretion rate of Formestane which could result in a higher serum level.]
[V03AB34, fomepizole, Ampicillin may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[B01AA07, acenocoumarol, Ampicillin may increase the anticoagulant activities of Acenocoumarol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, The serum concentration of Dihydrostreptomycin can be decreased when it is combined with Ampicillin.]
[S03AA06, gentamicin, Ampicillin may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AA01, dicumarol, Ampicillin may increase the anticoagulant activities of Dicoumarol.]
[B01AF03, edoxaban, Ampicillin may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[B01AA11, tioclomarol, Ampicillin may increase the anticoagulant activities of Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB37, idarucizumab, Ampicillin may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ampicillin.]
[L01XG03, ixazomib, Ampicillin may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Ampicillin may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
