[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Selegiline.]
[A03AA03, camylofine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Selegiline.]
[L03AB06, interferon alfa-n1, The metabolism of Selegiline can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, Selegiline may increase the hypotensive activities of Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Selegiline.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Selegiline.]
[B02BX08, avatrombopag, The metabolism of Selegiline can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Selegiline.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Selegiline.]
[C07AB08, celiprolol, Selegiline may increase the hypotensive activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Selegiline.]
[L01XX62, ivosidenib, The metabolism of Selegiline can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Selegiline.]
[N03AX17, stiripentol, The metabolism of Selegiline can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Selegiline can be increased when combined with Tecovirimat.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Selegiline.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Selegiline.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Selegiline.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Selegiline is combined with Carbromal.]
[A10BB06, carbutamide, Selegiline may increase the hypoglycemic activities of Carbutamide.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Selegiline is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Selegiline is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Selegiline.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Selegiline.]
[R03BB08, revefenacin, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Selegiline can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Selegiline can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The therapeutic efficacy of Selegiline can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Selegiline.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Selegiline is combined with Amifampridine.]
[C09AA08, cilazapril, Selegiline may increase the hypotensive activities of Cilazapril.]
[B01AX07, caplacizumab, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Caplacizumab.]
[B01AC23, cilostazol, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Cilostazol.]
[A03FA08, cinitapride, The metabolism of Cinitapride can be decreased when combined with Selegiline.]
[P02BX04, triclabendazole, The metabolism of Selegiline can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Selegiline.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Selegiline is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Selegiline can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Selegiline.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Selegiline is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Selegiline.]
[N05BA09, clobazam, The metabolism of Selegiline can be decreased when combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Selegiline is combined with Cloxazolam.]
[C09CA06, candesartan, Selegiline may increase the hypotensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Selegiline can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Selegiline can be decreased when it is combined with Alpelisib.]
[N05AA06, cyamemazine, The risk or severity of extrapyramidal symptoms can be increased when Selegiline is combined with Cyamemazine.]
[C03BX03, cicletanine, Selegiline may increase the hypotensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the serotonergic activities of Selegiline.]
[L01EJ02, fedratinib, The metabolism of Selegiline can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The serum concentration of Selegiline can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Selegiline.]
[C03AA09, cyclothiazide, Selegiline may increase the hypotensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Selegiline is combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Selegiline is combined with Insulin pork.]
[G03DB05, demegestone, The bioavailability of Selegiline can be increased when combined with Demegestone.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Selegiline.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Selegiline.]
[G03AC09, desogestrel, The bioavailability of Selegiline can be increased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Selegiline.]
[N03AX25, cenobamate, The serum concentration of Selegiline can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Selegiline can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Selegiline.]
[R06AB02, dexchlorpheniramine, The metabolism of Selegiline can be decreased when combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Selegiline.]
[L01EX18, avapritinib, The metabolism of Selegiline can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The serum concentration of Selegiline can be decreased when it is combined with Lemborexant.]
[N05AD10, lumateperone, The therapeutic efficacy of Selegiline can be decreased when used in combination with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Selegiline can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Selegiline can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Selegiline can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Selegiline can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Selegiline.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Selegiline is combined with Dutasteride.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Selegiline.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Selegiline is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Selegiline.]
[G03DB08, dienogest, The bioavailability of Selegiline can be increased when combined with Dienogest.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Selegiline is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Selegiline.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Selegiline.]
[M01AH02, rofecoxib, The metabolism of Selegiline can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Selegiline can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, Selegiline may increase the orthostatic hypotensive activities of Clevidipine.]
[C01BD07, dronedarone, The metabolism of Selegiline can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Selegiline is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Selegiline.]
[C02AA06, methoserpidine, Selegiline may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Selegiline.]
[A03AA08, dihexyverine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The metabolism of Selegiline can be decreased when combined with Capmatinib.]
[N04BX04, opicapone, Selegiline may increase the orthostatic hypotensive activities of Opicapone.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Selegiline is combined with Dopexamine.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Selegiline.]
[G04BD09, trospium, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Selegiline is combined with Droxicam.]
[L01EX22, selpercatinib, The serum concentration of Selegiline can be increased when it is combined with Selpercatinib.]
[B01AE02, lepirudin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Lepirudin.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Selegiline is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Selegiline is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Selegiline is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Selegiline.]
[C08CA17, levamlodipine, Selegiline may increase the hypotensive activities of Levamlodipine.]
[P01BB01, proguanil, The metabolism of Selegiline can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Selegiline is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Selegiline can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Selegiline is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Selegiline can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Selegiline can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Selegiline may increase the hypotensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Selegiline is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, Selegiline may increase the hypoglycemic activities of Chlorpropamide.]
[N05AF03, chlorprothixene, The therapeutic efficacy of Selegiline can be decreased when used in combination with Chlorprothixene.]
[C03BA04, chlorthalidone, Selegiline may increase the hypotensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Selegiline.]
[A11CC05, cholecalciferol, The metabolism of Selegiline can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Selegiline is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Selegiline is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Selegiline is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Selegiline is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Selegiline.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Selegiline is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Selegiline can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Selegiline can be decreased when combined with Lonafarnib.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Selegiline is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Selegiline can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, Selegiline may increase the orthostatic hypotensive activities of Vericiguat.]
[L01EX21, tepotinib, The metabolism of Selegiline can be decreased when combined with Tepotinib.]
[V03AF12, trilaciclib, The metabolism of Selegiline can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Selegiline is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Selegiline.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Selegiline is combined with Fenbufen.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Selegiline.]
[C01CA19, fenoldopam, Selegiline may increase the hypotensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Selegiline is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Selegiline is combined with Finasteride.]
[J01MB07, flumequine, The metabolism of Selegiline can be decreased when combined with Flumequine.]
[R03CC15, formoterol, The risk or severity of adverse effects can be increased when Selegiline is combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Selegiline is combined with Insulin human.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Trichloroethylene is combined with Selegiline.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Selegiline can be increased when it is combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Selegiline may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Selegiline can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Selegiline.]
[N07CA02, cinnarizine, The metabolism of Selegiline can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Selegiline can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Selegiline can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Selegiline can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The metabolism of Selegiline can be decreased when combined with Cisplatin.]
[N06AB04, citalopram, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Selegiline can be increased when combined with Somapacitan.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Selegiline.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Selegiline.]
[H01AC09, lonapegsomatropin, The metabolism of Selegiline can be increased when combined with Lonapegsomatropin.]
[V09AB03, ioflupane I-123, Selegiline may decrease effectiveness of Ioflupane I-123 as a diagnostic agent.]
[R06AA04, clemastine, Selegiline may increase the anticholinergic activities of Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Selegiline can be decreased when combined with Mefenamic acid.]
[A10BB12, glimepiride, Selegiline may increase the hypoglycemic activities of Glimepiride.]
[A10BB08, gliquidone, Selegiline may increase the hypoglycemic activities of Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Selegiline is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, The metabolism of Selegiline can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Selegiline can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Selegiline.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Selegiline.]
[B01AD11, tenecteplase, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Tenecteplase.]
[C10AB01, clofibrate, The metabolism of Selegiline can be decreased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Selegiline can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, Selegiline may increase the orthostatic hypotensive activities of Levobupivacaine.]
[L01EJ03, pacritinib, The metabolism of Selegiline can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, Selegiline may increase the serotonergic activities of Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Selegiline is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Selegiline.]
[C01EB24, mavacamten, The serum concentration of Selegiline can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, Selegiline may increase the hypoglycemic activities of Tirzepatide.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Selegiline is combined with Clothiapine.]
[H01CC04, linzagolix, The serum concentration of Selegiline can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Selegiline is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Selegiline.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Selegiline.]
[N05AH02, clozapine, The metabolism of Selegiline can be decreased when combined with Clozapine.]
[A10BX01, guar gum, Selegiline may increase the hypoglycemic activities of Guar gum.]
[A10BK06, sotagliflozin, Selegiline may increase the hypoglycemic activities of Sotagliflozin.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Selegiline.]
[H01AC08, somatrogon, The metabolism of Selegiline can be increased when combined with Somatrogon.]
[C02KB01, metyrosine, Selegiline may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Selegiline can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Selegiline is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Selegiline.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Selegiline.]
[A03AB10, hexocyclium, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Selegiline can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Selegiline.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Selegiline is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Selegiline is combined with Ifenprodil.]
[A10BX03, nateglinide, Selegiline may increase the hypoglycemic activities of Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Selegiline is combined with Imidazole salicylate.]
[H01AC03, mecasermin, Selegiline may increase the hypoglycemic activities of Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Selegiline is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Selegiline can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Selegiline.]
[B01AC10, indobufen, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Selegiline.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Selegiline.]
[A03AX10, isometheptene, Selegiline may increase the sympathomimetic activities of Isometheptene.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Selegiline.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Selegiline is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Selegiline can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Bemiparin.]
[S01AD03, acyclovir, The metabolism of Selegiline can be decreased when combined with Acyclovir.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Selegiline is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Selegiline is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Selegiline can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Selegiline can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Selegiline may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Selegiline can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Selegiline can be decreased when combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Selegiline is combined with Lonazolac.]
[R06AX13, loratadine, The metabolism of Selegiline can be decreased when combined with Loratadine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Selegiline is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Selegiline is combined with Loxoprofen.]
[C09AA03, lisinopril, Selegiline may increase the hypotensive activities of Lisinopril.]
[C08CA11, manidipine, The metabolism of Selegiline can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Selegiline is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Selegiline is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Selegiline.]
[R06AD07, mequitazine, Selegiline may increase the anticholinergic activities of Mequitazine.]
[N04AA03, methixene, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of adverse effects can be increased when Methoxyphenamine is combined with Selegiline.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Selegiline is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Selegiline is combined with Cyclobarbital.]
[C03DA04, eplerenone, Selegiline may increase the hypotensive activities of Eplerenone.]
[N05AD03, metylperon, The therapeutic efficacy of Selegiline can be decreased when used in combination with Melperone.]
[C03AA07, cyclopenthiazide, Selegiline may increase the hypotensive activities of Cyclopenthiazide.]
[A10BF02, miglitol, Selegiline may increase the hypoglycemic activities of Miglitol.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Selegiline.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Selegiline.]
[S01XA18, cyclosporine, The metabolism of Selegiline can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Selegiline is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Selegiline can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Selegiline may increase the anticholinergic activities of Cyproheptadine.]
[C09AA13, moexipril, Selegiline may increase the hypotensive activities of Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Selegiline.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Selegiline is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Selegiline is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Selegiline can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Selegiline may increase the hypotensive activities of Moxonidine.]
[J05AF10, entecavir, The metabolism of Selegiline can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The risk or severity of hypotension can be increased when Vardenafil is combined with Selegiline.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Selegiline.]
[L01AX04, dacarbazine, The metabolism of Selegiline can be decreased when combined with Dacarbazine.]
[G03XA01, danazol, The metabolism of Selegiline can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Selegiline is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Selegiline can be decreased when combined with Dapsone.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Selegiline is combined with Deanol.]
[C02CC04, debrisoquin, Selegiline may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Selegiline.]
[M01AX01, nabumetone, The metabolism of Selegiline can be decreased when combined with Nabumetone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Selegiline is combined with Nordazepam.]
[C07AB12, nebivolol, Selegiline may increase the hypotensive activities of Nebivolol.]
[N06AX06, nefazodone, Selegiline may increase the serotonergic activities of Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Selegiline is combined with Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Selegiline.]
[L02BB02, nilutamide, The metabolism of Selegiline can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Selegiline.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Selegiline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Selegiline.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Selegiline is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Normethadone is combined with Selegiline.]
[B01AX05, fondaparinux, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Fondaparinux.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Escitalopram.]
[G04BD08, solifenacin, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Selegiline is combined with Olsalazine.]
[N06AA01, desipramine, Selegiline may increase the serotonergic activities of Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Selegiline.]
[C09XA02, aliskiren, Selegiline may increase the hypotensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Oxaprozin is combined with Selegiline.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the serotonergic activities of Selegiline.]
[S03BA01, dexamethasone, The metabolism of Selegiline can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Selegiline is combined with Oxiracetam.]
[N04AA08, dexetimide, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Selegiline.]
[A03AA01, oxyphencyclimine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Selegiline can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Selegiline can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of adverse effects can be increased when Amphetamine is combined with Selegiline.]
[R05DA09, dextromethorphan, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Dextromethorphan.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Selegiline.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Selegiline.]
[N06AB05, paroxetine, Selegiline may increase the serotonergic activities of Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Selegiline can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Selegiline.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Selegiline.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Selegiline.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Selegiline is combined with Phenacemide.]
[V03AH01, diazoxide, Selegiline may increase the hypotensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Selegiline.]
[N06AA08, dibenzepin, Selegiline may increase the serotonergic activities of Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Selegiline.]
