[S02DA03, antipyrine, The metabolism of Olodaterol can be decreased when combined with Antipyrine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Olodaterol can be decreased when combined with Proguanil.]
[L04AC19, satralizumab, The serum concentration of Olodaterol can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Olodaterol can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Olodaterol can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Olodaterol can be decreased when combined with Chlorpropamide.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Olodaterol.]
[C03BA04, chlorthalidone, Olodaterol may decrease the antihypertensive activities of Chlorthalidone.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Olodaterol is combined with Ethenzamide.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Olodaterol.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Etofenamate is combined with Olodaterol.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Olodaterol can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Relugolix.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Olodaterol is combined with Naxitamab.]
[L01EX21, tepotinib, The metabolism of Olodaterol can be decreased when combined with Tepotinib.]
[N03AX10, felbamate, The metabolism of Olodaterol can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Fenbufen is combined with Olodaterol.]
[N06BA10, fenethylline, Fenethylline may increase the hyperkalemic activities of Olodaterol.]
[C01CA19, fenoldopam, Olodaterol may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Olodaterol is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Finasteride is combined with Olodaterol.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Olodaterol.]
[R03BA03, flunisolide, The risk or severity of hypokalemia can be increased when Flunisolide is combined with Olodaterol.]
[S02BA08, fluocinolone acetonide, The risk or severity of hypokalemia can be increased when Fluocinolone acetonide is combined with Olodaterol.]
[R03CC15, formoterol, Olodaterol may increase the sympathomimetic activities of Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Olodaterol.]
[N01AB05, trichloroethylene, The risk or severity of hypertension can be increased when Olodaterol is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Olodaterol can be increased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Olodaterol may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Olodaterol can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Citalopram.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Olodaterol.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Olodaterol is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Clemastine.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Olodaterol.]
[A10BB12, glimepiride, The metabolism of Olodaterol can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Olodaterol can be decreased when combined with Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of adverse effects can be increased when Clenbuterol is combined with Olodaterol.]
[L01EA06, asciminib, The metabolism of Olodaterol can be decreased when combined with Asciminib.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Olodaterol.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Olodaterol.]
[B06AX04, mitapivat, The metabolism of Olodaterol can be increased when combined with Mitapivat.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of hypertension can be increased when Clomipramine is combined with Olodaterol.]
[S01EA04, clonidine, Olodaterol may decrease the antihypertensive activities of Clonidine.]
[C01EB24, mavacamten, The serum concentration of Olodaterol can be decreased when it is combined with Mavacamten.]
[H01CC04, linzagolix, The serum concentration of Olodaterol can be increased when it is combined with Linzagolix.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Granisetron.]
[N05AH02, clozapine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Clozapine.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Cocaine.]
[C02KB01, metyrosine, Olodaterol may decrease the antihypertensive activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Olodaterol can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Olodaterol is combined with Proquazone.]
[A03AB10, hexocyclium, The risk or severity of Tachycardia can be increased when Hexocyclium is combined with Olodaterol.]
[A03BB06, homatropine methylbromide, The risk or severity of Tachycardia can be increased when Homatropine methylbromide is combined with Olodaterol.]
[L04AA13, leflunomide, The metabolism of Olodaterol can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Olodaterol.]
[C04AX28, ifenprodil, The risk or severity of hypertension can be increased when Ifenprodil is combined with Olodaterol.]
[A10BX03, nateglinide, The metabolism of Olodaterol can be decreased when combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Olodaterol is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of hypokalemia can be increased when Ciclesonide is combined with Olodaterol.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Olodaterol is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Desloratadine.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Olodaterol.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Isometheptene is combined with Olodaterol.]
[N02CC05, almotriptan, The metabolism of Olodaterol can be decreased when combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Parecoxib is combined with Olodaterol.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Olodaterol.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Emedastine.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Kebuzone is combined with Olodaterol.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Posaconazole is combined with Olodaterol.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Lacidipine.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Olodaterol.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Olodaterol.]
[S01BA03, cortisone, The risk or severity of hypokalemia can be increased when Cortisone is combined with Olodaterol.]
[N07BC04, lofexidine, Olodaterol may decrease the antihypertensive activities of Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Olodaterol is combined with Lonazolac.]
[R06AX13, loratadine, The metabolism of Olodaterol can be decreased when combined with Loratadine.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Olodaterol is combined with Loxoprofen.]
[C09AA03, lisinopril, Olodaterol may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, The metabolism of Olodaterol can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Mebeverine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Olodaterol is combined with Mefenorex.]
[C07AA14, mepindolol, Mepindolol may decrease the bronchodilatory activities of Olodaterol.]
[H02AB15, meprednisone, The risk or severity of hypokalemia can be increased when Meprednisone is combined with Olodaterol.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Olodaterol.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Adenosine.]
[N04AA03, methixene, The risk or severity of Tachycardia can be increased when Metixene is combined with Olodaterol.]
[R03CB02, methoxyphenamine, The risk or severity of hypertension can be increased when Olodaterol is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Olodaterol.]
[C03DA04, eplerenone, Olodaterol may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Melperone.]
[C03AA07, cyclopenthiazide, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Cyclopenthiazide.]
[L01AA01, cyclophosphamide, The metabolism of Olodaterol can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, The risk or severity of hypertension can be increased when Minaprine is combined with Olodaterol.]
[S01XA18, cyclosporine, The risk or severity of hypertension can be increased when Cyclosporine is combined with Olodaterol.]
[N06AG02, moclobemide, The risk or severity of hypertension can be increased when Moclobemide is combined with Olodaterol.]
[N06BA07, modafinil, The metabolism of Olodaterol can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Olodaterol.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Olodaterol.]
[C10AA07, rosuvastatin, The metabolism of Olodaterol can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Olodaterol is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Olodaterol is combined with Morniflumate.]
[C02AC05, moxonidine, Olodaterol may decrease the antihypertensive activities of Moxonidine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Olodaterol.]
[M01AH05, etoricoxib, The metabolism of Olodaterol can be decreased when combined with Etoricoxib.]
[J04BA02, dapsone, The metabolism of Olodaterol can be decreased when combined with Dapsone.]
[C02CC04, debrisoquin, Olodaterol may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, The metabolism of Olodaterol can be decreased when combined with Nabilone.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Olodaterol.]
[C07AB12, nebivolol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Nebivolol.]
[N06AX06, nefazodone, Nefazodone may increase the tachycardic activities of Olodaterol.]
[C01DX16, nicorandil, Olodaterol may decrease the antihypertensive activities of Nicorandil.]
[L02BB02, nilutamide, The metabolism of Olodaterol can be decreased when combined with Nilutamide.]
[C01CA23, theodrenaline, Theodrenaline may increase the hyperkalemic activities of Olodaterol.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Olodaterol is combined with Norfenefrine.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Solifenacin is combined with Olodaterol.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Olsalazine is combined with Olodaterol.]
[N06AA01, desipramine, The risk or severity of hypertension can be increased when Desipramine is combined with Olodaterol.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Olodaterol.]
[D07XC02, desoximetasone, The risk or severity of hypokalemia can be increased when Desoximetasone is combined with Olodaterol.]
[H02AA03, desoxycorticosterone, The risk or severity of hypokalemia can be increased when Desoxycortone is combined with Olodaterol.]
[C09XA02, aliskiren, Olodaterol may decrease the antihypertensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Oxaprozin is combined with Olodaterol.]
[S03BA01, dexamethasone, The risk or severity of hypokalemia can be increased when Dexamethasone is combined with Olodaterol.]
[N04AA08, dexetimide, The risk or severity of Tachycardia can be increased when Dexetimide is combined with Olodaterol.]
[G04BD04, oxybutynin, The metabolism of Olodaterol can be decreased when combined with Oxybutynin.]
[A03AA01, oxyphencyclimine, The risk or severity of Tachycardia can be increased when Oxyphencyclimine is combined with Olodaterol.]
[L04AB04, adalimumab, The metabolism of Olodaterol can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Olodaterol.]
[R05DA09, dextromethorphan, The metabolism of Olodaterol can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, The metabolism of Olodaterol can be decreased when combined with Paramethadione.]
[N06AB05, paroxetine, The metabolism of Olodaterol can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Olodaterol can be decreased when combined with Clopidogrel.]
[C04AD01, pentifylline, Pentifylline may increase the hyperkalemic activities of Olodaterol.]
[N05BA01, diazepam, The metabolism of Olodaterol can be decreased when combined with Diazepam.]
[V03AH01, diazoxide, Olodaterol may decrease the antihypertensive activities of Diazoxide.]
[N06AA08, dibenzepin, The risk or severity of hypertension can be increased when Dibenzepin is combined with Olodaterol.]
[S01BC03, diclofenac, The metabolism of Olodaterol can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Olodaterol.]
[A03AA07, dicyclomine, The risk or severity of Tachycardia can be increased when Dicyclomine is combined with Olodaterol.]
[C02DG01, pinacidil, Olodaterol may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Pinaverium.]
[A10BG03, pioglitazone, The metabolism of Olodaterol can be decreased when combined with Pioglitazone.]
[A03AB14, pipenzolate, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Olodaterol.]
[R03CC07, pirbuterol, The risk or severity of adverse effects can be increased when Pirbuterol is combined with Olodaterol.]
[C03CA03, piretanide, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Piretanide.]
[A08AA03, diethylpropion, The risk or severity of hypertension can be increased when Diethylpropion is combined with Olodaterol.]
[L02AA01, diethylstilbestrol, The metabolism of Olodaterol can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Olodaterol.]
[D07XC04, diflucortolone, The risk or severity of hypokalemia can be increased when Difluocortolone is combined with Olodaterol.]
[A03AB11, poldine, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Olodaterol.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Olodaterol.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Olodaterol.]
[C02DB01, dihydralazine, Olodaterol may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the hypertensive and vasoconstricting activities of Olodaterol.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the hypertensive and vasoconstricting activities of Olodaterol.]
[N02AA03, hydromorphone, The metabolism of Olodaterol can be decreased when combined with Hydromorphone.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Atazanavir is combined with Olodaterol.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Olodaterol.]
[C08DB01, diltiazem, The metabolism of Olodaterol can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Dimenhydrinate.]
[R06AB03, dimethindene, The risk or severity of Tachycardia can be increased when Dimetindene is combined with Olodaterol.]
[R03CC08, procaterol, The risk or severity of adverse effects can be increased when Procaterol is combined with Olodaterol.]
[N06BC02, propentofylline, Propentofylline may increase the hyperkalemic activities of Olodaterol.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Olodaterol is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Olodaterol is combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Olodaterol can be decreased when combined with Diosmin.]
[R03DA03, proxyphylline, Proxyphylline may increase the hyperkalemic activities of Olodaterol.]
[R06AA02, diphenhydramine, The risk or severity of QTc prolongation can be increased when Diphenhydramine is combined with Olodaterol.]
[N05CD10, quazepam, The metabolism of Olodaterol can be decreased when combined with Quazepam.]
[C09AA06, quinapril, Olodaterol may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of hypertension can be increased when Dexmethylphenidate is combined with Olodaterol.]
[N06AA23, quinupramine, The risk or severity of hypertension can be increased when Quinupramine is combined with Olodaterol.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Cisapride.]
[C09AA05, ramipril, Olodaterol may decrease the antihypertensive activities of Ramipril.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Olodaterol is combined with Reproterol.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Olodaterol.]
[S02AA12, rifamycin SV, The metabolism of Olodaterol can be decreased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Olodaterol can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Olodaterol.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Olodaterol.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Sunitinib is combined with Olodaterol.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Olodaterol.]
[G04BE08, tadalafil, Olodaterol may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The metabolism of Olodaterol can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, Olodaterol may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Salsalate is combined with Olodaterol.]
[R03AC12, salmeterol, The metabolism of Olodaterol can be decreased when combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of adverse effects can be increased when Dobutamine is combined with Olodaterol.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Domperidone.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Dopamine is combined with Olodaterol.]
[N06AA16, dothiepin, The risk or severity of hypertension can be increased when Dosulepin is combined with Olodaterol.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Olodaterol.]
[N06AA12, doxepin, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Doxepin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Olodaterol.]
[N06AB06, sertraline, The metabolism of Olodaterol can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Olodaterol.]
[N05AD08, droperidol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Droperidol.]
[A08AA10, sibutramine, Sibutramine may increase the tachycardic activities of Olodaterol.]
[C10AA01, simvastatin, The metabolism of Olodaterol can be decreased when combined with Simvastatin.]
[C09AA11, spirapril, Olodaterol may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, Dyphylline may increase the hyperkalemic activities of Olodaterol.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of hypertension can be increased when Sumatriptan is combined with Olodaterol.]
[C07AB13, talinolol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hypokalemia can be increased when Corticotropin is combined with Olodaterol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Olodaterol.]
[G04CA03, terazosin, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Terazosin.]
[D01BA02, terbinafine, The metabolism of Olodaterol can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Terodiline.]
[C07AA16, tertatolol, Tertatolol may decrease the bronchodilatory activities of Olodaterol.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Tetryzoline is combined with Olodaterol.]
[G04BD01, emepronium, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Emepronium.]
[N06AX14, tianeptine, The risk or severity of hypertension can be increased when Tianeptine is combined with Olodaterol.]
[C09AA02, enalapril, Olodaterol may decrease the antihypertensive activities of Enalapril.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Olodaterol is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of hypertension can be increased when Olodaterol is combined with Toloxatone.]
[N06BA09, atomoxetine, Atomoxetine may increase the tachycardic activities of Olodaterol.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Toremifene.]
[C03CA04, torsemide, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Olodaterol is combined with Tramazoline.]
[C09AA10, trandolapril, Olodaterol may decrease the antihypertensive activities of Trandolapril.]
[A03AB08, tridihexethyl, The risk or severity of Tachycardia can be increased when Tridihexethyl is combined with Olodaterol.]
[H02CA01, trilostane, The risk or severity of hypokalemia can be increased when Trilostane is combined with Olodaterol.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Olodaterol.]
[N04AA12, tropatepine, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Olodaterol is combined with Tulobuterol.]
[C02CA06, urapidil, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Olodaterol.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Ephedrine is combined with Olodaterol.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Olodaterol.]
[N06AX16, venlafaxine, Venlafaxine may increase the tachycardic activities of Olodaterol.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Olodaterol is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Xylometazoline is combined with Olodaterol.]
[S01EA01, epinephrine, The risk or severity of adverse effects can be increased when Epinephrine is combined with Olodaterol.]
[C09AA15, zofenopril, Olodaterol may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, The metabolism of Olodaterol can be decreased when combined with Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Zomepirac is combined with Olodaterol.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Olodaterol.]
[N05CF01, zopiclone, The metabolism of Olodaterol can be decreased when combined with Zopiclone.]
[C02AC02, guanfacine, Olodaterol may decrease the antihypertensive activities of Guanfacine.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Olodaterol.]
[G02AB03, ergonovine, Ergometrine may increase the hypertensive and vasoconstricting activities of Olodaterol.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the hypertensive and vasoconstricting activities of Olodaterol.]
[N02CA02, ergotamine, Ergotamine may increase the hypertensive and vasoconstricting activities of Olodaterol.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Erythromycin.]
[G03CA03, estradiol, The metabolism of Olodaterol can be decreased when combined with Estradiol.]
[J04AK02, ethambutol, The metabolism of Olodaterol can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Olodaterol can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Olodaterol can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Olodaterol can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Olodaterol is combined with Gepefrine.]
[L02AA03, ethinyl estradiol, The metabolism of Olodaterol can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ibutilide.]
[N04AA05, profenamine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Profenamine.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Olodaterol.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Olodaterol.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Etilefrine is combined with Olodaterol.]
[N01AX07, etomidate, The risk or severity of hypertension can be increased when Etomidate is combined with Olodaterol.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Olodaterol.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Olodaterol.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Olodaterol.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Astemizole.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Olodaterol can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Olodaterol can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Olodaterol.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Olodaterol.]
[C08CA02, felodipine, The metabolism of Olodaterol can be decreased when combined with Felodipine.]
