[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Ofloxacin.]
[J01DD15, cefdinir, The excretion of Cefdinir can be decreased when combined with Ofloxacin.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Ofloxacin.]
[R03BA03, flunisolide, The risk or severity of tendinopathy can be increased when Flunisolide is combined with Ofloxacin.]
[S02BA08, fluocinolone acetonide, The risk or severity of tendinopathy can be increased when Fluocinolone acetonide is combined with Ofloxacin.]
[S01JA01, fluorescein, Fluorescein may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ofloxacin.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Ofloxacin.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Ofloxacin.]
[B03AB10, ferric maltol, Ferric maltol can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Cinnarizine is combined with Ofloxacin.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Ofloxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Ofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Ofloxacin is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Clemastine.]
[M01AG01, mefenamic acid, Mefenamic acid may increase the neuroexcitatory activities of Ofloxacin.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Ofloxacin.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Ofloxacin.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Ofloxacin.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Clofibrate is combined with Ofloxacin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Ofloxacin.]
[N06AA04, clomipramine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Clomipramine.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Ofloxacin.]
[A05BA08, glycyrrhizic acid, Ofloxacin may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Ofloxacin.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Ofloxacin.]
[J01CF02, cloxacillin, The serum concentration of Ofloxacin can be increased when it is combined with Cloxacillin.]
[N05AH02, clozapine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Ofloxacin.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Ofloxacin.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Ofloxacin.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Cocaine.]
[M01AX13, proquazone, Proquazone may increase the neuroexcitatory activities of Ofloxacin.]
[J01CA18, hetacillin, The serum concentration of Ofloxacin can be increased when it is combined with Hetacillin.]
[M04AC01, colchicine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Colchicine.]
[L04AA13, leflunomide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Ofloxacin.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Ofloxacin.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Ofloxacin.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may increase the neuroexcitatory activities of Ofloxacin.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Ofloxacin.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Ofloxacin.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Telithromycin is combined with Ofloxacin.]
[R03BA08, ciclesonide, The risk or severity of tendinopathy can be increased when Ciclesonide is combined with Ofloxacin.]
[B01AC10, indobufen, Indobufen may increase the neuroexcitatory activities of Ofloxacin.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Ofloxacin.]
[M01AH03, valdecoxib, Valdecoxib may increase the neuroexcitatory activities of Ofloxacin.]
[M01AH04, parecoxib, Parecoxib may increase the neuroexcitatory activities of Ofloxacin.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Ofloxacin.]
[S01AD03, acyclovir, The excretion of Acyclovir can be decreased when combined with Ofloxacin.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Ofloxacin.]
[M01AA06, kebuzone, Kebuzone may increase the neuroexcitatory activities of Ofloxacin.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Posaconazole is combined with Ofloxacin.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Ofloxacin.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Ofloxacin.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Ofloxacin.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nafarelin is combined with Ofloxacin.]
[S01BA03, cortisone, The risk or severity of tendinopathy can be increased when Cortisone is combined with Ofloxacin.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lomefloxacin is combined with Ofloxacin.]
[M01AB09, lonazolac, Lonazolac may increase the neuroexcitatory activities of Ofloxacin.]
[R06AX13, loratadine, Loratadine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may increase the neuroexcitatory activities of Ofloxacin.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Mebeverine.]
[H02AB15, meprednisone, The risk or severity of tendinopathy can be increased when Meprednisone is combined with Ofloxacin.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Ofloxacin.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Adenosine is combined with Ofloxacin.]
[J01CA14, methampicillin, The serum concentration of Ofloxacin can be increased when it is combined with Metampicillin.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Ofloxacin.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Melperone.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Ofloxacin.]
[J05AF07, tenofovir disoproxil, The excretion of Tenofovir disoproxil can be decreased when combined with Ofloxacin.]
[S01XA18, cyclosporine, The risk or severity of nephrotoxicity can be increased when Ofloxacin is combined with Cyclosporine.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Ofloxacin.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Ofloxacin.]
[C10AA07, rosuvastatin, Rosuvastatin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[M02AA02, mofebutazone, Mofebutazone may increase the neuroexcitatory activities of Ofloxacin.]
[M01AX22, morniflumate, Morniflumate may increase the neuroexcitatory activities of Ofloxacin.]
[L01BC01, cytarabine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cytarabine is combined with Ofloxacin.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Ofloxacin.]
[M01AH05, etoricoxib, Etoricoxib may increase the neuroexcitatory activities of Ofloxacin.]
[L01DB02, daunorubicin, Daunorubicin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[M01AX01, nabumetone, Nabumetone may increase the neuroexcitatory activities of Ofloxacin.]
[N06AX06, nefazodone, Nefazodone may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Ofloxacin.]
[M03AC11, cisatracurium, Ofloxacin may increase the neuromuscular blocking activities of Cisatracurium.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Solifenacin is combined with Ofloxacin.]
[A07EC03, olsalazine, Olsalazine may increase the neuroexcitatory activities of Ofloxacin.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Desipramine is combined with Ofloxacin.]
[D07XC02, desoximetasone, The risk or severity of tendinopathy can be increased when Desoximetasone is combined with Ofloxacin.]
[H02AA03, desoxycorticosterone, The risk or severity of tendinopathy can be increased when Desoxycortone is combined with Ofloxacin.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Ofloxacin.]
[M01AE12, oxaprozin, Oxaprozin may increase the neuroexcitatory activities of Ofloxacin.]
[S03BA01, dexamethasone, The risk or severity of tendinopathy can be increased when Dexamethasone is combined with Ofloxacin.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Ofloxacin.]
[J01CE05, phenethicillin, The serum concentration of Ofloxacin can be increased when it is combined with Pheneticillin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Cinchocaine.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[J01CF01, dicloxacillin, The serum concentration of Ofloxacin can be increased when it is combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Ofloxacin.]
[J05AF03, zalcitabine, The excretion of Zalcitabine can be decreased when combined with Ofloxacin.]
[J05AF02, didanosine, Didanosine can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Ofloxacin.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Ofloxacin.]
[L01EB02, erlotinib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Erlotinib.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[D07XC04, diflucortolone, The risk or severity of tendinopathy can be increased when Difluocortolone is combined with Ofloxacin.]
[N02BA11, diflunisal, Diflunisal may increase the neuroexcitatory activities of Ofloxacin.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Ofloxacin.]
[C01AA05, digoxin, Digoxin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[C10AX09, ezetimibe, Ezetimibe may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Ofloxacin may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Ofloxacin.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Diltiazem is combined with Ofloxacin.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Ofloxacin.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Ofloxacin.]
[J01CE03, propicillin, The serum concentration of Ofloxacin can be increased when it is combined with Propicillin.]
[N02BB04, propyphenazone, Propyphenazone may increase the neuroexcitatory activities of Ofloxacin.]
[M01AB14, proglumetacin, Proglumetacin may increase the neuroexcitatory activities of Ofloxacin.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Ofloxacin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Ofloxacin.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Diphenhydramine.]
[C09AA06, quinapril, Quinapril can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AC07, dipyridamole, Dipyridamole may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Cisapride.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Disopyramide.]
[P03AA04, disulfiram, Disulfiram may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Ofloxacin.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Ofloxacin.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Ofloxacin.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Ofloxacin.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ofloxacin.]
[S01BC05, ketorolac, Ketorolac may increase the neuroexcitatory activities of Ofloxacin.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Ofloxacin.]
[N02BA06, salsalate, Salsalate may increase the neuroexcitatory activities of Ofloxacin.]
[R03AC12, salmeterol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Ofloxacin.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Domperidone.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Dosulepin is combined with Ofloxacin.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Ofloxacin.]
[L01DB01, doxorubicin, Doxorubicin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Ofloxacin.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Ofloxacin.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Ofloxacin.]
[C10AA01, simvastatin, Simvastatin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[R03DA01, dyphylline, The metabolism of Dyphylline can be decreased when combined with Ofloxacin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Sultopride.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Talinolol is combined with Ofloxacin.]
[H01AA01, corticotropin, The risk or severity of tendinopathy can be increased when Corticotropin is combined with Ofloxacin.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Ofloxacin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Temafloxacin.]
[J01CA17, temocillin, The serum concentration of Ofloxacin can be increased when it is combined with Temocillin.]
[M01AC02, tenoxicam, Tenoxicam may increase the neuroexcitatory activities of Ofloxacin.]
[D01BA02, terbinafine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Terbinafine is combined with Ofloxacin.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Terodiline.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Emetine.]
[N06AX14, tianeptine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Tianeptine.]
[C09AA02, enalapril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Enalapril is combined with Ofloxacin.]
[M01AG02, tolfenamic acid, Tolfenamic acid may increase the neuroexcitatory activities of Ofloxacin.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Ofloxacin.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Toremifene.]
[H02CA01, trilostane, The risk or severity of tendinopathy can be increased when Trilostane is combined with Ofloxacin.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Ofloxacin.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Ofloxacin.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Ofloxacin.]
[B05XA12, zinc chloride, Zinc chloride can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05XA18, zinc sulfate, Zinc sulfate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M01AB04, zomepirac, Zomepirac may increase the neuroexcitatory activities of Ofloxacin.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Ofloxacin.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Ofloxacin.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Iloprost is combined with Ofloxacin.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Ofloxacin.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Valproic acid.]
[S01AA17, erythromycin, Erythromycin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of tendinopathy can be increased when Fluticasone furoate is combined with Ofloxacin.]
[R03BA05, fluticasone, The risk or severity of tendinopathy can be increased when Fluticasone is combined with Ofloxacin.]
[C10AA04, fluvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Fluvastatin is combined with Ofloxacin.]
[L02AA03, ethinyl estradiol, Ethinylestradiol may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Ofloxacin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Etidocaine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Ofloxacin.]
[L04AD02, tacrolimus, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrolimus is combined with Ofloxacin.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nizatidine is combined with Ofloxacin.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Ofloxacin.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Astemizole.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Terfenadine.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Ofloxacin.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Ofloxacin.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Ofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ofloxacin.]
[C08CA02, felodipine, Felodipine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Fendiline.]
[M01AE04, fenoprofen, Fenoprofen may increase the neuroexcitatory activities of Ofloxacin.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Ofloxacin.]
[L04AA40, cladribine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cladribine is combined with Ofloxacin.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Flecainide.]
[N02BG04, floctafenine, Floctafenine may increase the neuroexcitatory activities of Ofloxacin.]
[J01CF05, floxacillin, Flucloxacillin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Ofloxacin.]
[H02AA02, fludrocortisone, The risk or severity of tendinopathy can be increased when Fludrocortisone is combined with Ofloxacin.]
[D07XB01, flumethasone, The risk or severity of tendinopathy can be increased when Flumethasone is combined with Ofloxacin.]
[D07AC08, fluocinonide, The risk or severity of tendinopathy can be increased when Fluocinonide is combined with Ofloxacin.]
[H02AB03, fluocortolone, The risk or severity of tendinopathy can be increased when Fluocortolone is combined with Ofloxacin.]
[V03AZ01, ethanol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ethanol is combined with Ofloxacin.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Ofloxacin.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Ofloxacin.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Flupentixol.]
[S01BC04, flurbiprofen, Flurbiprofen may increase the neuroexcitatory activities of Ofloxacin.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Fluspirilene.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Alendronic acid is combined with Ofloxacin.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Ofloxacin.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Ofloxacin.]
[S01AD09, ganciclovir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ganciclovir is combined with Ofloxacin.]
[C10AB04, gemfibrozil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Ofloxacin.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Ofloxacin.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Ofloxacin.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Ofloxacin.]
[A12AA13, calcium citrate, Calcium citrate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA10, calcium gluceptate, Calcium glucoheptonate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA05, calcium lactate, Calcium lactate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Ofloxacin.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Ofloxacin.]
[A10BB01, glyburide, Glyburide may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Ofloxacin.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Ofloxacin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Dofetilide.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Ofloxacin.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Ofloxacin.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be increased when used in combination with Ofloxacin.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Ofloxacin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Ofloxacin.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Quetiapine.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Ofloxacin.]
[C09CA01, losartan, Losartan may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[B05CB03, magnesium citrate, Magnesium citrate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC03, magnesium gluconate, Magnesium gluconate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A07EC02, mesalamine, Mesalazine may increase the neuroexcitatory activities of Ofloxacin.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may increase the neuroexcitatory activities of Ofloxacin.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Ofloxacin.]
[S02BA01, hydrocortisone, The risk or severity of tendinopathy can be increased when Hydrocortisone is combined with Ofloxacin.]
