[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Ephedrine.]
[C01AA07, deslanoside, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Deslanoside.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Ephedrine.]
[S01BA11, desonide, Ephedrine may increase the excretion rate of Desonide which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XC02, desoximetasone, Ephedrine may increase the excretion rate of Desoximetasone which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AA03, desoxycorticosterone, Ephedrine may increase the excretion rate of Desoxycortone which could result in a lower serum level and potentially a reduction in efficacy.]
[C09XA02, aliskiren, Ephedrine may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Oxaprozin is combined with Ephedrine.]
[S03BA01, dexamethasone, Ephedrine may increase the excretion rate of Dexamethasone which could result in a lower serum level and potentially a reduction in efficacy.]
[N04AA08, dexetimide, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Dexetimide.]
[G04BD04, oxybutynin, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Ephedrine.]
[A03AA01, oxyphencyclimine, The risk or severity of Tachycardia can be increased when Oxyphencyclimine is combined with Ephedrine.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Amphetamine can be increased when used in combination with Ephedrine.]
[H05AA02, teriparatide, The risk or severity of adverse effects can be increased when Ephedrine is combined with Teriparatide.]
[N06AB05, paroxetine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Ephedrine.]
[C04AD01, pentifylline, The risk or severity of adverse effects can be increased when Ephedrine is combined with Pentifylline.]
[V03AH01, diazoxide, Ephedrine may decrease the antihypertensive activities of Diazoxide.]
[R06AX04, phenindamine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Phenindamine.]
[N06AA08, dibenzepin, The risk or severity of hypertension can be increased when Dibenzepin is combined with Ephedrine.]
[S02DA04, dibucaine, Cinchocaine may increase the neuromuscular blocking activities of Ephedrine.]
[S01EC02, dichlorphenamide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Diclofenamide.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Diclofenac is combined with Ephedrine.]
[A03AA07, dicyclomine, The risk or severity of Tachycardia can be increased when Dicyclomine is combined with Ephedrine.]
[R06AX23, pimethixene, The therapeutic efficacy of Ephedrine can be increased when used in combination with Pimethixene.]
[C02DG01, pinacidil, Ephedrine may decrease the antihypertensive activities of Pinacidil.]
[A03AB14, pipenzolate, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Pipenzolate.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Pirbuterol is combined with Ephedrine.]
[C03CA03, piretanide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Piretanide.]
[P02CB02, diethylcarbamazine, Diethylcarbamazine may increase the neuromuscular blocking activities of Ephedrine.]
[A08AA03, diethylpropion, The therapeutic efficacy of Diethylpropion can be increased when used in combination with Ephedrine.]
[C08CA03, isradipine, Ephedrine may decrease the antihypertensive activities of Isradipine.]
[D07XC04, diflucortolone, Ephedrine may increase the excretion rate of Difluocortolone which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB11, poldine, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Ephedrine.]
[C01AA04, digitoxin, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Digoxin.]
[C02DB01, dihydralazine, Ephedrine may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the hypertensive and vasoconstricting activities of Ephedrine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the hypertensive and vasoconstricting activities of Ephedrine.]
[B01AC21, treprostinil, Ephedrine may decrease the antihypertensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, The risk or severity of adverse effects can be increased when Ephedrine is combined with Potassium perchlorate.]
[D07AC18, prednicarbate, Ephedrine may increase the excretion rate of Prednicarbate which could result in a lower serum level and potentially a reduction in efficacy.]
[C08DB01, diltiazem, Ephedrine may decrease the antihypertensive activities of Diltiazem.]
[R06AA11, dimenhydrinate, The therapeutic efficacy of Ephedrine can be increased when used in combination with Dimenhydrinate.]
[R06AB03, dimethindene, The therapeutic efficacy of Ephedrine can be increased when used in combination with Dimetindene.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be increased when used in combination with Ephedrine.]
[N06BC02, propentofylline, The risk or severity of adverse effects can be increased when Ephedrine is combined with Propentofylline.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Ephedrine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Ephedrine is combined with Proglumetacin.]
[R03DA03, proxyphylline, The risk or severity of adverse effects can be increased when Ephedrine is combined with Proxyphylline.]
[C09AA06, quinapril, Ephedrine may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of hypertension can be increased when Ephedrine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of hypertension can be increased when Quinupramine is combined with Ephedrine.]
[C09AA05, ramipril, Ephedrine may decrease the antihypertensive activities of Ramipril.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Ephedrine is combined with Reproterol.]
[C01BA03, disopyramide, The risk or severity of Tachycardia can be increased when Disopyramide is combined with Ephedrine.]
[N07AA03, distigmine, Distigmine may increase the neuromuscular blocking activities of Ephedrine.]
[N05AX08, risperidone, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Levocetirizine.]
[C03XA01, tolvaptan, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Tolvaptan.]
[G04BE08, tadalafil, Ephedrine may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Ephedrine.]
[C02KX02, ambrisentan, Ephedrine may decrease the antihypertensive activities of Ambrisentan.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Ephedrine is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Salmeterol is combined with Ephedrine.]
[H05BA01, salmon calcitonin, The risk or severity of adverse effects can be increased when Ephedrine is combined with Salmon calcitonin.]
[C01CA07, dobutamine, The therapeutic efficacy of Dobutamine can be increased when used in combination with Ephedrine.]
[C01CA04, dopamine, The therapeutic efficacy of Dopamine can be increased when used in combination with Ephedrine.]
[N06AA16, dothiepin, The risk or severity of hypertension can be increased when Dosulepin is combined with Ephedrine.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Ephedrine.]
[N06AA12, doxepin, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Doxepin.]
[N01AB08, sevoflurane, Ephedrine may increase the arrhythmogenic activities of Sevoflurane.]
[N05AD08, droperidol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Droperidol.]
[A08AA10, sibutramine, Sibutramine may increase the tachycardic activities of Ephedrine.]
[C09AA11, spirapril, Ephedrine may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, The risk or severity of adverse effects can be increased when Ephedrine is combined with Dyphylline.]
[N02CC01, sumatriptan, The risk or severity of hypertension can be increased when Sumatriptan is combined with Ephedrine.]
[V04CX07, edrophonium, Edrophonium may increase the neuromuscular blocking activities of Ephedrine.]
[C07AB13, talinolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Talinolol.]
[H01AA01, corticotropin, Ephedrine may increase the excretion rate of Corticotropin which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Ephedrine.]
[G04CA03, terazosin, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Terazosin.]
[C07AA16, tertatolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Tertatolol.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be increased when used in combination with Ephedrine.]
[G04BD01, emepronium, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Emepronium.]
[N06AX14, tianeptine, The risk or severity of hypertension can be increased when Tianeptine is combined with Ephedrine.]
[C09AA02, enalapril, Ephedrine may decrease the antihypertensive activities of Enalapril.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Ephedrine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of hypertension can be increased when Ephedrine is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Ephedrine.]
[C03CA04, torsemide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Torasemide.]
[R01AA09, tramazoline, The therapeutic efficacy of Tramazoline can be increased when used in combination with Ephedrine.]
[C09AA10, trandolapril, Ephedrine may decrease the antihypertensive activities of Trandolapril.]
[A03AB08, tridihexethyl, The risk or severity of Tachycardia can be increased when Tridihexethyl is combined with Ephedrine.]
[H02CA01, trilostane, Ephedrine may increase the excretion rate of Trilostane which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA10, trimethobenzamide, The therapeutic efficacy of Ephedrine can be increased when used in combination with Trimethobenzamide.]
[G03GA05, follitropin alfa, The risk or severity of adverse effects can be increased when Ephedrine is combined with Follitropin.]
[R06AX21, tritoqualine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Tritoqualine.]
[N04AA12, tropatepine, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Ephedrine is combined with Tulobuterol.]
[N01AB04, enflurane, Ephedrine may increase the arrhythmogenic activities of Enflurane.]
[C02CA06, urapidil, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Urapidil.]
[S02BA08, fluocinolone acetonide, Ephedrine may increase the excretion rate of Fluocinolone acetonide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Ephedrine.]
[N06AX16, venlafaxine, Venlafaxine may increase the tachycardic activities of Ephedrine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Ephedrine is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Ephedrine is combined with Xylometazoline.]
[C09AA15, zofenopril, Ephedrine may decrease the antihypertensive activities of Zofenopril.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Ephedrine is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Zonisamide.]
[C02AC02, guanfacine, Ephedrine may decrease the antihypertensive activities of Guanfacine.]
[G02AB03, ergonovine, Ergometrine may increase the hypertensive and vasoconstricting activities of Ephedrine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the hypertensive and vasoconstricting activities of Ephedrine.]
[N02CA02, ergotamine, Ergotamine may increase the hypertensive and vasoconstricting activities of Ephedrine.]
[R03BA09, fluticasone furoate, Ephedrine may increase the excretion rate of Fluticasone furoate which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA05, fluticasone, Ephedrine may increase the excretion rate of Fluticasone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA15, gepefrine, The therapeutic efficacy of Gepefrine can be increased when used in combination with Ephedrine.]
[N04AA05, profenamine, Profenamine may increase the neuromuscular blocking activities of Ephedrine.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Ephedrine.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be increased when used in combination with Ephedrine.]
[N01AX07, etomidate, The risk or severity of hypertension can be increased when Etomidate is combined with Ephedrine.]
[A02BA04, nizatidine, Nizatidine may increase the neuromuscular blocking activities of Ephedrine.]
[R06AX11, astemizole, The therapeutic efficacy of Ephedrine can be increased when used in combination with Astemizole.]
[R06AX12, terfenadine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Terfenadine.]
[C08CA02, felodipine, Ephedrine may decrease the antihypertensive activities of Felodipine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Ephedrine.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be increased when used in combination with Ephedrine.]
[N02AB03, fentanyl, The risk or severity of hypertension can be increased when Fentanyl is combined with Ephedrine.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Salbutamol is combined with Ephedrine.]
[G04BD02, flavoxate, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Ephedrine.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Ephedrine is combined with Floctafenine.]
[H02AA02, fludrocortisone, Ephedrine may increase the excretion rate of Fludrocortisone which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XB01, flumethasone, Ephedrine may increase the excretion rate of Flumethasone which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AC08, fluocinonide, Ephedrine may increase the excretion rate of Fluocinonide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA14, melitracen, The risk or severity of hypertension can be increased when Melitracen is combined with Ephedrine.]
[H02AB03, fluocortolone, Ephedrine may increase the excretion rate of Fluocortolone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01CB05, fluorometholone, Ephedrine may increase the excretion rate of Fluorometholone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF01, flupenthixol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Flupentixol.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Ephedrine.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Ephedrine is combined with Adrafinil.]
[G01AX06, furazolidone, The risk or severity of hypertension can be increased when Furazolidone is combined with Ephedrine.]
[C03CA01, furosemide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Furosemide.]
[N06DA04, galantamine, Galantamine may increase the neuromuscular blocking activities of Ephedrine.]
[N04BC06, cabergoline, Cabergoline may increase the hypertensive and vasoconstricting activities of Ephedrine.]
[C01CA21, cafedrine, The risk or severity of adverse effects can be increased when Ephedrine is combined with Cafedrine.]
[N01AH02, alfentanil, The risk or severity of hypertension can be increased when Alfentanil is combined with Ephedrine.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Ephedrine.]
[N05CM18, dexmedetomidine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Ephedrine.]
[C05AE01, nitroglycerin, Ephedrine may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Doxazosin.]
[H01AB01, thyrotropin alfa, The risk or severity of adverse effects can be increased when Ephedrine is combined with Thyrotropin alfa.]
[C07AB09, esmolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Esmolol.]
[C09AA09, fosinopril, Ephedrine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, The therapeutic efficacy of Guanethidine can be decreased when used in combination with Ephedrine.]
[N01AB01, halothane, Ephedrine may increase the arrhythmogenic activities of Halothane.]
[N05AH04, quetiapine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Quetiapine.]
[L01CE02, irinotecan, The serum concentration of Ephedrine can be increased when it is combined with Irinotecan.]
[C09CA01, losartan, Ephedrine may decrease the antihypertensive activities of Losartan.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Ephedrine.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Ephedrine is combined with Hexoprenaline.]
[C08CA10, nilvadipine, Ephedrine may decrease the antihypertensive activities of Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Ephedrine is combined with Nimesulide.]
[R06AE06, oxatomide, The therapeutic efficacy of Ephedrine can be increased when used in combination with Oxatomide.]
[C09AA04, perindopril, Ephedrine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Ephedrine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, Ephedrine may increase the excretion rate of Hydrocortisone which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA02, hydroflumethiazide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Hydroflumethiazide.]
[A12BA02, potassium citrate, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Potassium citrate.]
[G04BD06, propiverine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Propiverine.]
[C02AC06, rilmenidine, Ephedrine may decrease the antihypertensive activities of Rilmenidine.]
[S01BA13, rimexolone, Ephedrine may increase the excretion rate of Rimexolone which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Ibuprofen is combined with Ephedrine.]
[N01AH03, sufentanil, The risk or severity of hypertension can be increased when Sufentanil is combined with Ephedrine.]
[N06AA02, imipramine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Imipramine.]
[R01AD07, tixocortol, Ephedrine may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BX02, tizanidine, The risk or severity of Tachycardia can be increased when Tizanidine is combined with Ephedrine.]
[C03BA11, indapamide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Ephedrine.]
[C02CA02, indoramin, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Indoramin.]
[N06AX17, milnacipran, Milnacipran may increase the tachycardic activities of Ephedrine.]
[A03AA30, piperidolate, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Piperidolate.]
[R06AE01, buclizine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Buclizine.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Anagrelide is combined with Ephedrine.]
[C07AA01, alprenolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Alprenolol.]
[C03BA02, quinethazone, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Quinethazone.]
[N06AA13, iprindole, The risk or severity of hypertension can be increased when Iprindole is combined with Ephedrine.]
[N06AF05, iproniazid, The risk or severity of hypertension can be increased when Ephedrine is combined with Iproniazid.]
[N06AF01, isocarboxazid, The risk or severity of hypertension can be increased when Isocarboxazid is combined with Ephedrine.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Ephedrine.]
[C09AA16, imidapril, Ephedrine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, Ephedrine may increase the arrhythmogenic activities of Isoflurane.]
[S01EB07, isoflurophate, Isoflurophate may increase the neuromuscular blocking activities of Ephedrine.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be increased when used in combination with Ephedrine.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be increased when used in combination with Ephedrine.]
[N01AX03, ketamine, Ketamine may increase the neuromuscular blocking activities of Ephedrine.]
[C02KD01, ketanserin, Ephedrine may decrease the antihypertensive activities of Ketanserin.]
[N05AH03, olanzapine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Ketoprofen is combined with Ephedrine.]
[R06AX25, mizolastine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Mizolastine.]
[S01GX08, ketotifen, The therapeutic efficacy of Ephedrine can be increased when used in combination with Ketotifen.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Arbutamine is combined with Ephedrine.]
[N04BC09, rotigotine, The risk or severity of hypertension can be increased when Ephedrine is combined with Rotigotine.]
[C07AG01, labetalol, The therapeutic efficacy of Labetalol can be increased when used in combination with Ephedrine.]
[C02AA05, deserpidine, Ephedrine may decrease the antihypertensive activities of Deserpidine.]
[N07AA30, ambenonium, Ambenonium may increase the neuromuscular blocking activities of Ephedrine.]
[C03CC01, ethacrynic acid, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Etacrynic acid.]
[C03DB01, amiloride, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Amiloride.]
[N02CA07, lisuride, Lisuride may increase the hypertensive and vasoconstricting activities of Ephedrine.]
[N06AA07, lofepramine, The risk or severity of hypertension can be increased when Lofepramine is combined with Ephedrine.]
[V04CX04, mannitol, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Mannitol.]
[N06AA21, maprotiline, The risk or severity of Tachycardia can be increased when Maprotiline is combined with Ephedrine.]
[C02BB01, mecamylamine, Ephedrine may decrease the antihypertensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, Mechlorethamine may increase the neuromuscular blocking activities of Ephedrine.]
[R06AE05, meclizine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Meclizine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Meclofenamic acid is combined with Ephedrine.]
[C01AA08, medigoxin, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Metildigoxin.]
[P01BC02, mefloquine, Mefloquine may increase the neuromuscular blocking activities of Ephedrine.]
[C03BA05, mefruside, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Mefruside.]
[N06DX01, memantine, Memantine may increase the neuromuscular blocking activities of Ephedrine.]
[C01CA11, mephentermine, The therapeutic efficacy of Mephentermine can be increased when used in combination with Ephedrine.]
[C03BC01, mersalyl, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Mersalyl.]
[N05AX13, paliperidone, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be increased when used in combination with Ephedrine.]
[N06BA03, methamphetamine, The therapeutic efficacy of Metamfetamine can be increased when used in combination with Ephedrine.]
[A03AB07, methantheline, The risk or severity of Tachycardia can be increased when Methantheline is combined with Ephedrine.]
[R06AC05, methapyrilene, The therapeutic efficacy of Ephedrine can be increased when used in combination with Methapyrilene.]
[S01EC05, methazolamide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Methazolamide.]
[G02CB05, metergoline, Metergoline may increase the hypertensive and vasoconstricting activities of Ephedrine.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Ephedrine is combined with Methimazole.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be increased when used in combination with Ephedrine.]
[N02BG09, methoxyflurane, Ephedrine may increase the arrhythmogenic activities of Methoxyflurane.]
[C03AA08, methyclothiazide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Methyclothiazide.]
[C02AB01, methyldopa, Ephedrine may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, The risk or severity of hypertension can be increased when Ephedrine is combined with Methylene blue.]
[G02AB01, methylergonovine, Methylergometrine may increase the hypertensive and vasoconstricting activities of Ephedrine.]
[R03DA05, aminophylline, The risk or severity of adverse effects can be increased when Ephedrine is combined with Aminophylline.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Ephedrine.]
[H02AB04, methylprednisolone, Ephedrine may increase the excretion rate of Methylprednisolone which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AC14, methylprednisolone aceponate, Ephedrine may increase the excretion rate of Methylprednisolone aceponate which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA04, methysergide, Methysergide may increase the hypertensive and vasoconstricting activities of Ephedrine.]
[A03FA01, metoclopramide, Metoclopramide may increase the neuromuscular blocking activities of Ephedrine.]
[C03BA08, metolazone, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Metoprolol.]
[N06AX03, mianserin, The risk or severity of hypertension can be increased when Ephedrine is combined with Mianserin.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Ephedrine is combined with Aminophenazone.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be increased when used in combination with Ephedrine.]
[C09CA03, valsartan, Ephedrine may decrease the antihypertensive activities of Valsartan.]
[D11AX01, minoxidil, Ephedrine may decrease the antihypertensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Lisdexamfetamine can be increased when used in combination with Ephedrine.]
[N06AA09, amitriptyline, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Amitriptyline.]
[G04CA04, silodosin, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Silodosin.]
[N06AA17, amoxapine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Amoxapine.]
[C07AA12, nadolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Nadolol.]
[N06BA01, amphetamine, The therapeutic efficacy of Amphetamine can be increased when used in combination with Ephedrine.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Naproxen is combined with Ephedrine.]
[N06AX21, duloxetine, Duloxetine may increase the tachycardic activities of Ephedrine.]
[N01AH06, remifentanil, Ephedrine may increase the tachycardic activities of Remifentanil.]
[S01EB06, neostigmine, Neostigmine may increase the neuromuscular blocking activities of Ephedrine.]
[N05AX14, iloperidone, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Iloperidone.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the tachycardic activities of Ephedrine.]
[C09CA07, telmisartan, Ephedrine may decrease the antihypertensive activities of Telmisartan.]
[N06AF02, nialamide, The risk or severity of hypertension can be increased when Ephedrine is combined with Nialamide.]
[C08CA04, nicardipine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Nicardipine.]
[C04AE02, nicergoline, Nicergoline may increase the hypertensive and vasoconstricting activities of Ephedrine.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Ephedrine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Ephedrine is combined with Niflumic acid.]
[C08CA06, nimodipine, Ephedrine may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Ephedrine may decrease the antihypertensive activities of Nisoldipine.]
[C08CA08, nitrendipine, Ephedrine may decrease the antihypertensive activities of Nitrendipine.]
[C02DD01, nitroprusside, Ephedrine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Ephedrine may increase the arrhythmogenic activities of Nitrous oxide.]
[C01CA03, norepinephrine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Norepinephrine.]
[C02KX01, bosentan, Ephedrine may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Nortriptyline.]
[G02CA02, nylidrin, The therapeutic efficacy of Nylidrin can be increased when used in combination with Ephedrine.]
[N06AA05, opipramol, The risk or severity of hypertension can be increased when Opipramol is combined with Ephedrine.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be increased when used in combination with Ephedrine.]
[G04CA02, tamsulosin, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Tamsulosin.]
[C01AC01, ouabain, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Ouabain.]
[C07AA02, oxprenolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Oxprenolol.]
