[S02DA03, antipyrine, The metabolism of Procainamide can be decreased when combined with Antipyrine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Procainamide.]
[C07AG02, carvedilol, Procainamide may increase the arrhythmogenic activities of Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Procainamide can be decreased when combined with Cannabidiol.]
[L04AA37, baricitinib, The excretion of Procainamide can be decreased when combined with Baricitinib.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Procainamide can be decreased when combined with Encorafenib.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01GB14, plazomicin, The excretion of Procainamide can be decreased when combined with Plazomicin.]
[C07AB08, celiprolol, Procainamide may increase the arrhythmogenic activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Procainamide can be decreased when combined with Elagolix.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Procainamide can be decreased when combined with Tafenoquine.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Procainamide can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Procainamide can be decreased when combined with Dacomitinib.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N01BA04, chloroprocaine, Procainamide may increase the neuromuscular blocking activities of Chloroprocaine.]
[D08AE05, chloroxylenol, Chloroxylenol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, The therapeutic efficacy of Chlorphenoxamine can be decreased when used in combination with Procainamide.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R03BB08, revefenacin, The metabolism of Procainamide can be decreased when combined with Revefenacin.]
[L04AA39, emapalumab, The metabolism of Procainamide can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Gilteritinib is combined with Procainamide.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of adverse effects can be increased when Procainamide is combined with Amifampridine.]
[A06AX05, prucalopride, Prucalopride may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01BG07, cifenline, Procainamide may increase the arrhythmogenic activities of Cibenzoline.]
[B01AC23, cilostazol, The metabolism of Procainamide can be decreased when combined with Cilostazol.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Ciprofibrate.]
[S01ED05, carteolol, Procainamide may increase the arrhythmogenic activities of Carteolol.]
[P02BX04, triclabendazole, The metabolism of Procainamide can be decreased when combined with Triclabendazole.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Clarithromycin is combined with Procainamide.]
[N06BA14, solriamfetol, The excretion of Procainamide can be decreased when combined with Solriamfetol.]
[L01EN01, erdafitinib, The serum concentration of Procainamide can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The metabolism of Procainamide can be decreased when combined with Clobazam.]
[J01AA11, clomocycline, The risk or severity of neuromuscular blockade can be increased when Clomocycline is combined with Procainamide.]
[H02AB14, cloprednol, The therapeutic efficacy of Procainamide can be decreased when used in combination with Cloprednol.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Ubidecarenone.]
[L04AB01, etanercept, The metabolism of Procainamide can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The therapeutic efficacy of Procainamide can be decreased when used in combination with Cortivazol.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EX15, pexidartinib, The excretion of Procainamide can be decreased when combined with Pexidartinib.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C03BX03, cicletanine, Procainamide may increase the arrhythmogenic activities of Cicletanine.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EJ02, fedratinib, The metabolism of Procainamide can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Entrectinib.]
[N07XX11, pitolisant, Procainamide may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Procainamide.]
[N04CX01, istradefylline, The metabolism of Procainamide can be decreased when combined with Istradefylline.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Procainamide can be decreased when combined with Yohimbine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DB01, cephalexin, The excretion of Procainamide can be decreased when combined with Cephalexin.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DB09, cephradine, The excretion of Procainamide can be decreased when combined with Cefradine.]
[H02AB13, deflazacort, The therapeutic efficacy of Procainamide can be decreased when used in combination with Deflazacort.]
[A16AX16, givosiran, The serum concentration of Procainamide can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Golodirsen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Procainamide.]
[R06AB02, dexchlorpheniramine, The metabolism of Procainamide can be decreased when combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Dexpanthenol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01XX72, tazemetostat, The excretion of Procainamide can be decreased when combined with Tazemetostat.]
[M01AX21, diacetylrhein, The metabolism of Procainamide can be decreased when combined with Diacerein.]
[J05AB16, remdesivir, The excretion of Procainamide can be decreased when combined with Remdesivir.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Procainamide.]
[H02CA02, osilodrostat, The metabolism of Procainamide can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Procainamide can be decreased when combined with Amprenavir.]
[R02AA03, dichlorobenzyl alcohol, Dichlorobenzyl alcohol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[G03DB08, dienogest, Dienogest may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The metabolism of Procainamide can be decreased when combined with Dihydrocodeine.]
[N02CC06, eletriptan, The metabolism of Procainamide can be decreased when combined with Eletriptan.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C08CA16, clevidipine, Procainamide may increase the arrhythmogenic activities of Clevidipine.]
[C01BD07, dronedarone, Procainamide may increase the QTc-prolonging activities of Dronedarone.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Procainamide.]
[L01EH03, tucatinib, The excretion of Procainamide can be decreased when combined with Tucatinib.]
[A03AA08, dihexyverine, The therapeutic efficacy of Dihexyverine can be decreased when used in combination with Procainamide.]
[L01EX17, capmatinib, The serum concentration of Procainamide can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The therapeutic efficacy of Procainamide can be decreased when used in combination with Fluprednidene.]
[G04BD09, trospium, The metabolism of Procainamide can be decreased when combined with Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EX19, ripretinib, The excretion of Procainamide can be decreased when combined with Ripretinib.]
[V08CA05, mangafodipir, Mangafodipir may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EX22, selpercatinib, The excretion of Procainamide can be decreased when combined with Selpercatinib.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Procainamide.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Procainamide.]
[P01BB01, proguanil, The metabolism of Procainamide can be decreased when combined with Proguanil.]
[M09AX10, risdiplam, The serum concentration of Procainamide can be increased when it is combined with Risdiplam.]
[N02AX07, oliceridine, The metabolism of Procainamide can be decreased when combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Procainamide can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The excretion of Procainamide can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Procainamide can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Procainamide can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Procainamide.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Procainamide can be decreased when combined with Chlorzoxazone.]
[A11CC05, cholecalciferol, The metabolism of Procainamide can be decreased when combined with Cholecalciferol.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N02BA03, choline salicylate, The serum concentration of Procainamide can be increased when it is combined with Choline salicylate.]
[N06BX18, vinpocetine, Procainamide may increase the arrhythmogenic activities of Vinpocetine.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Etofibrate.]
[B06AC06, berotralstat, The serum concentration of Procainamide can be increased when it is combined with Berotralstat.]
[M09AA01, hydroquinine, Procainamide may increase the arrhythmogenic activities of Hydroquinine.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Procainamide.]
[M01AX25, chondroitin sulfates, Chondroitin sulfate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V03AF12, trilaciclib, The excretion of Procainamide can be decreased when combined with Trilaciclib.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Procainamide.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Procainamide.]
[R03BA03, flunisolide, The therapeutic efficacy of Procainamide can be decreased when used in combination with Flunisolide.]
[S02BA08, fluocinolone acetonide, The therapeutic efficacy of Procainamide can be decreased when used in combination with Fluocinolone acetonide.]
[N02BG07, flupirtine, Flupirtine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Procainamide can be decreased when combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Procainamide.]
[L03AB10, peginterferon alfa-2b, The metabolism of Procainamide can be decreased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The serum concentration of Procainamide can be increased when it is combined with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N07CA02, cinnarizine, Cinnarizine may increase the arrhythmogenic activities of Procainamide.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Procainamide.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Procainamide.]
[L01XA01, cisplatin, The serum concentration of Procainamide can be increased when it is combined with Cisplatin.]
[N06AB04, citalopram, The metabolism of Procainamide can be decreased when combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Procainamide is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Ioflupane I-123 may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Technetium Tc-99m exametazime may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Florbetaben (18F) may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R06AA04, clemastine, The metabolism of Procainamide can be decreased when combined with Clemastine.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01FF01, clindamycin, The risk or severity of neuromuscular blockade can be increased when Procainamide is combined with Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Procainamide can be decreased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Procainamide can be decreased when combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Procainamide.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Clofibrate is combined with Procainamide.]
[N01BB10, levobupivacaine, Levobupivacaine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Procainamide.]
[N06AA04, clomipramine, The metabolism of Procainamide can be decreased when combined with Clomipramine.]
[N03AE01, clonazepam, Clonazepam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01EA04, clonidine, The metabolism of Procainamide can be decreased when combined with Clonidine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AA01, ondansetron, The metabolism of Procainamide can be decreased when combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Procainamide.]
[N05AH02, clozapine, The metabolism of Procainamide can be decreased when combined with Clozapine.]
[J01GB12, arbekacin, Arbekacin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S02DA02, cocaine, The metabolism of Procainamide can be decreased when combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Procainamide can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R05DA04, codeine, The metabolism of Procainamide can be decreased when combined with Codeine.]
[M03AC05, hexafluorenium, The therapeutic efficacy of Hexafluronium can be decreased when used in combination with Procainamide.]
[M04AC01, colchicine, Colchicine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A03AB10, hexocyclium, The therapeutic efficacy of Hexocyclium can be decreased when used in combination with Procainamide.]
[A03BB06, homatropine methylbromide, The therapeutic efficacy of Homatropine methylbromide can be decreased when used in combination with Procainamide.]
[J01XB01, colistin, Colistin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Leflunomide.]
[C01BA13, hydroquinidine, Procainamide may increase the arrhythmogenic activities of Hydroquinidine.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Procainamide.]
[A04AA03, tropisetron, Procainamide may increase the arrhythmogenic activities of Tropisetron.]
[A10BX03, nateglinide, The metabolism of Procainamide can be decreased when combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Telithromycin is combined with Procainamide.]
[R03BA08, ciclesonide, The therapeutic efficacy of Procainamide can be decreased when used in combination with Ciclesonide.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Procainamide.]
[J05AB14, valganciclovir, Valganciclovir may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J05AF09, emtricitabine, The excretion of Procainamide can be decreased when combined with Emtricitabine.]
[C05BB03, invert sugar, Invert sugar may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V08AB05, iopromide, Iopromide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V08AB07, ioversol, Ioversol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V08AB12, ioxilan, Ioxilan may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N02CC05, almotriptan, The metabolism of Procainamide can be decreased when combined with Almotriptan.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Procainamide.]
[S01AD03, acyclovir, The excretion of Procainamide can be decreased when combined with Acyclovir.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Procainamide.]
[N05BA10, ketazolam, Ketazolam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EA01, imatinib, The serum concentration of Procainamide can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Posaconazole is combined with Procainamide.]
[C08CA09, lacidipine, Procainamide may increase the arrhythmogenic activities of Lacidipine.]
[N03AX09, lamotrigine, The serum concentration of Procainamide can be increased when it is combined with Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Procainamide.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nafarelin is combined with Procainamide.]
[S01BA03, cortisone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Cortisone.]
[N07BC04, lofexidine, The metabolism of Procainamide can be decreased when combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lomefloxacin is combined with Procainamide.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Magnesium carbonate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[B05XA10, magnesium phosphate, The risk or severity of neuromuscular blockade can be increased when Procainamide is combined with Magnesium phosphate.]
[C08CA11, manidipine, Procainamide may increase the arrhythmogenic activities of Manidipine.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Mebeverine.]
[C07AA14, mepindolol, The metabolism of Procainamide can be decreased when combined with Mepindolol.]
[H02AB15, meprednisone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Procainamide can be decreased when combined with Mequitazine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01EB10, adenosine, Adenosine may increase the arrhythmogenic activities of Procainamide.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Procainamide.]
[C04AX01, cyclandelate, Procainamide may increase the arrhythmogenic activities of Cyclandelate.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Procainamide.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Procainamide may increase the arrhythmogenic activities of Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AX07, minaprine, The metabolism of Procainamide can be decreased when combined with Minaprine.]
[S01XA18, cyclosporine, The metabolism of Procainamide can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Procainamide can be decreased when combined with Moclobemide.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Procainamide.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Procainamide.]
[C10AA07, rosuvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC01, cytarabine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cytarabine is combined with Procainamide.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Procainamide.]
[M01AH05, etoricoxib, The metabolism of Procainamide can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M03CA01, dantrolene, The risk or severity of neuromuscular blockade can be increased when Procainamide is combined with Dantrolene.]
[C02CC04, debrisoquin, The metabolism of Procainamide can be decreased when combined with Debrisoquine.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N07BB05, nalmefene, Nalmefene may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01AA01, demeclocycline, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Procainamide.]
[C07AB12, nebivolol, Procainamide may increase the arrhythmogenic activities of Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Procainamide can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Procainamide may increase the arrhythmogenic activities of Nicorandil.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M03AC11, cisatracurium, Procainamide may increase the neuromuscular blocking activities of Cisatracurium.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AB10, escitalopram, The serum concentration of Procainamide can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Procainamide can be decreased when combined with Solifenacin.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AA01, desipramine, The metabolism of Procainamide can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Procainamide may increase the arrhythmogenic activities of Deslanoside.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[D07XC02, desoximetasone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Desoximetasone.]
[V04CH02, indigo carmine, Indigotindisulfonic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[H02AA03, desoxycorticosterone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Desoxycortone.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Procainamide.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S03BA01, dexamethasone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Dexamethasone.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Procainamide.]
[G04BD04, oxybutynin, The metabolism of Procainamide can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Procainamide can be decreased when combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, The therapeutic efficacy of Oxyphencyclimine can be decreased when used in combination with Procainamide.]
[L04AB04, adalimumab, The metabolism of Procainamide can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Procainamide can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The metabolism of Procainamide can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Procainamide can be decreased when combined with Dextromethorphan.]
[N06AB05, paroxetine, The metabolism of Procainamide can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The serum concentration of Procainamide can be increased when it is combined with Clopidogrel.]
[C01DA05, pentaerythritol tetranitrate, Pentaerythritol tetranitrate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
