[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Bortezomib.]
[J05AX18, letermovir, The metabolism of Bortezomib can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Acetyldigoxin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Capsaicin.]
[A10BK04, ertugliflozin, The serum concentration of Bortezomib can be increased when it is combined with Ertugliflozin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Acrivastine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Bortezomib can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Bortezomib can be increased when combined with Carbamazepine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Carbinoxamine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Bortezomib.]
[C07AG02, carvedilol, The serum concentration of Bortezomib can be increased when it is combined with Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Bortezomib can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Bortezomib can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The serum concentration of Bortezomib can be increased when it is combined with Avatrombopag.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Baricitinib.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Bortezomib.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Celiprolol.]
[H01CC03, elagolix, The serum concentration of Bortezomib can be increased when it is combined with Elagolix.]
[L01XX62, ivosidenib, The metabolism of Bortezomib can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Bortezomib.]
[N03AX17, stiripentol, The metabolism of Bortezomib can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Bortezomib can be increased when it is combined with Lusutrombopag.]
[J05AX24, tecovirimat, The metabolism of Bortezomib can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Bortezomib can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The serum concentration of Bortezomib can be increased when it is combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Bortezomib can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Bortezomib can be increased when it is combined with Omadacycline.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Cetirizine.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Bortezomib.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Chloroprocaine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Bortezomib.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Bortezomib.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Inotersen.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Bortezomib.]
[M03BA02, carisoprodol, The metabolism of Carisoprodol can be decreased when combined with Bortezomib.]
[R03BB08, revefenacin, The serum concentration of Bortezomib can be increased when it is combined with Revefenacin.]
[L01ED05, lorlatinib, The serum concentration of Bortezomib can be decreased when it is combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Bortezomib can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Carmustine.]
[L01EX12, larotrectinib, The serum concentration of Bortezomib can be increased when it is combined with Larotrectinib.]
[L01EX13, gilteritinib, The metabolism of Bortezomib can be decreased when combined with Gilteritinib.]
[L01XJ03, glasdegib, The serum concentration of Bortezomib can be increased when it is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Amifampridine.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Ravulizumab.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Cibenzoline.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Bortezomib.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Bortezomib.]
[P02BX04, triclabendazole, The metabolism of Bortezomib can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Bortezomib can be increased when combined with Esketamine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Bortezomib is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Bortezomib can be decreased when combined with Clarithromycin.]
[L01EN01, erdafitinib, The serum concentration of Bortezomib can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The metabolism of Bortezomib can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Bortezomib can be increased when combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Bortezomib can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Bortezomib can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Bortezomib can be increased when combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Bortezomib can be decreased when it is combined with Alpelisib.]
[L02BB06, darolutamide, The serum concentration of Bortezomib can be increased when it is combined with Darolutamide.]
[L01EX15, pexidartinib, Bortezomib may increase the hepatotoxic activities of Pexidartinib.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Cicletanine.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Bortezomib.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Upadacitinib.]
[L01EJ02, fedratinib, The serum concentration of Bortezomib can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Bortezomib can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Bortezomib can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Bortezomib.]
[N04CX01, istradefylline, The serum concentration of Bortezomib can be increased when it is combined with Istradefylline.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Bortezomib.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Bortezomib.]
[A10AE03, insulin, regular, pork, The metabolism of Bortezomib can be increased when combined with Insulin pork.]
[J01XX09, daptomycin, The serum concentration of Bortezomib can be increased when it is combined with Daptomycin.]
[J01DB01, cephalexin, The metabolism of Bortezomib can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The metabolism of Bortezomib can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Bortezomib can be increased when combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Bortezomib.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Trastuzumab emtansine.]
[N02CC08, lasmiditan, The serum concentration of Bortezomib can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Bortezomib is combined with Diroximel fumarate.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Bortezomib.]
[B06AX03, voxelotor, The serum concentration of Bortezomib can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Bortezomib can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Bortezomib can be increased when it is combined with Givosiran.]
[N02CD04, ubrogepant, The serum concentration of Bortezomib can be increased when it is combined with Ubrogepant.]
[L01FX13, enfortumab vedotin, The serum concentration of Bortezomib can be increased when it is combined with Enfortumab vedotin.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Dexbrompheniramine.]
[R06AB02, dexchlorpheniramine, The metabolism of Bortezomib can be decreased when combined with Dexchlorpheniramine.]
[L01EX18, avapritinib, The metabolism of Bortezomib can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The serum concentration of Bortezomib can be increased when it is combined with Lemborexant.]
[L01XX72, tazemetostat, The metabolism of Bortezomib can be decreased when combined with Tazemetostat.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Bortezomib can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The serum concentration of Bortezomib can be increased when it is combined with Rimegepant.]
[J05AB16, remdesivir, The metabolism of Bortezomib can be decreased when combined with Remdesivir.]
[S01AE06, gatifloxacin, The metabolism of Bortezomib can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Bortezomib can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Bortezomib can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Bortezomib.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Bortezomib is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Bortezomib.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Bortezomib.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Bortezomib.]
[M01AH02, rofecoxib, The metabolism of Bortezomib can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Bortezomib can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Bortezomib can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Bortezomib can be decreased when combined with Dronedarone.]
[J01FA13, dirithromycin, The metabolism of Bortezomib can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Bortezomib is combined with Chlorambucil.]
[S03AA08, chloramphenicol, The metabolism of Bortezomib can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Chlorcyclizine.]
[L01EH03, tucatinib, Tucatinib may decrease the excretion rate of Bortezomib which could result in a higher serum level.]
[L01EX17, capmatinib, The serum concentration of Bortezomib can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The metabolism of Bortezomib can be increased when combined with Fluprednidene.]
[G04BD09, trospium, The metabolism of Bortezomib can be decreased when combined with Trospium.]
[L01EX19, ripretinib, The serum concentration of Bortezomib can be increased when it is combined with Ripretinib.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Bortezomib.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Bortezomib is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Stepronin.]
[R06AX22, ebastine, The metabolism of Bortezomib can be decreased when combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Bortezomib.]
[L01FX15, belantamab mafodotin, The serum concentration of Bortezomib can be increased when it is combined with Belantamab mafodotin.]
[L04AC19, satralizumab, The serum concentration of Bortezomib can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Bortezomib.]
[P01BA01, chloroquine, The metabolism of Bortezomib can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The serum concentration of Bortezomib can be increased when it is combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Bortezomib.]
[R06AB04, chlorpheniramine, The metabolism of Bortezomib can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Bortezomib can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Bortezomib.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Chlorprothixene.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Bortezomib.]
[A11CC05, cholecalciferol, The metabolism of Bortezomib can be decreased when combined with Cholecalciferol.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Bortezomib.]
[B06AC06, berotralstat, The serum concentration of Bortezomib can be increased when it is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Bortezomib can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Fludarabine.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Relugolix.]
[L04AD03, voclosporin, The serum concentration of Bortezomib can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Bortezomib can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Bortezomib can be increased when it is combined with Tepotinib.]
[L01EX25, umbralisib, The serum concentration of Bortezomib can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The metabolism of Bortezomib can be increased when combined with Trilaciclib.]
[N03AX10, felbamate, The metabolism of Bortezomib can be increased when combined with Felbamate.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Bortezomib.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Flumequine.]
[R03BA03, flunisolide, The metabolism of Bortezomib can be increased when combined with Flunisolide.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Bortezomib.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Bortezomib.]
[L01EK03, tivozanib, The serum concentration of Bortezomib can be increased when it is combined with Tivozanib.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Bortezomib can be increased when it is combined with Peginterferon alfa-2b.]
[L01FX22, loncastuximab tesirine, The serum concentration of Bortezomib can be increased when it is combined with Loncastuximab tesirine.]
[A02BA01, cimetidine, The metabolism of Bortezomib can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Bortezomib.]
[J01MB06, cinoxacin, The metabolism of Bortezomib can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Bortezomib can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Bortezomib can be decreased when combined with Infigratinib.]
[S03AA07, ciprofloxacin, The metabolism of Bortezomib can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Cisplatin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Bortezomib is combined with Pegcetacoplan.]
[H01AC07, somapacitan, The metabolism of Bortezomib can be increased when combined with Somapacitan.]
[L04AA48, belumosudil, The serum concentration of Bortezomib can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Bortezomib is combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Bortezomib can be decreased when it is combined with Belzutifan.]
[H01AC09, lonapegsomatropin, The metabolism of Bortezomib can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Mobocertinib.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Bortezomib can be increased when it is combined with Technetium Tc-99m sestamibi.]
[L04AA59, avacopan, The metabolism of Bortezomib can be decreased when combined with Avacopan.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Clemastine.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Bortezomib.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Bortezomib.]
[N06AX25, St. John's wort extract, The metabolism of Bortezomib can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Bortezomib can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Bortezomib can be increased when it is combined with Maribavir.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Bortezomib is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The serum concentration of Bortezomib can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Bortezomib can be increased when it is combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Bortezomib.]
[C10AB01, clofibrate, The metabolism of Bortezomib can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Bortezomib can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Bortezomib can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Bortezomib can be increased when it is combined with Clomifene.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Bortezomib.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Bortezomib.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Bortezomib.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Deucravacitinib.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Bortezomib.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Granisetron.]
[J05AX31, lenacapavir, The metabolism of Bortezomib can be decreased when combined with Lenacapavir.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Bortezomib is combined with Clozapine.]
[L01EN04, futibatinib, The serum concentration of Bortezomib can be increased when it is combined with Futibatinib.]
[A10BK06, sotagliflozin, The serum concentration of Bortezomib can be increased when it is combined with Sotagliflozin.]
[H01AC08, somatrogon, The metabolism of Bortezomib can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Bortezomib can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Bortezomib.]
[M04AC01, colchicine, The serum concentration of Bortezomib can be increased when it is combined with Colchicine.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Bortezomib is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Desflurane.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Bortezomib.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Nelarabine.]
[J01FA15, telithromycin, The metabolism of Bortezomib can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Bortezomib is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Bortezomib.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Desloratadine.]
[M01AH03, valdecoxib, The metabolism of Bortezomib can be decreased when combined with Valdecoxib.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Bortezomib.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Bortezomib.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Bortezomib.]
[J02AC02, itraconazole, The metabolism of Bortezomib can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Bortezomib.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Bortezomib.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Emedastine.]
[N05BA10, ketazolam, The metabolism of Bortezomib can be decreased when combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Bortezomib can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Bortezomib can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Bortezomib.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Lacidipine.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Bortezomib.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Levocabastine.]
[S01BA03, cortisone, The metabolism of Bortezomib can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Bortezomib.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Bortezomib.]
[C08CA11, manidipine, The metabolism of Bortezomib can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Bortezomib.]
[H02AB15, meprednisone, The metabolism of Bortezomib can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Bortezomib can be decreased when combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Adenosine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Cyclizine.]
[N05AD03, metylperon, The metabolism of Bortezomib can be decreased when combined with Melperone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Bortezomib.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Bortezomib.]
[J01FA03, midecamycin, The metabolism of Bortezomib can be decreased when combined with Midecamycin.]
[J05AF07, tenofovir disoproxil, The serum concentration of Bortezomib can be increased when it is combined with Tenofovir disoproxil.]
[L01AA01, cyclophosphamide, The metabolism of Bortezomib can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Bortezomib.]
[S01XA18, cyclosporine, Bortezomib may increase the immunosuppressive activities of Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Bortezomib.]
[N06BA07, modafinil, The metabolism of Bortezomib can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Bortezomib can be decreased when combined with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Bortezomib can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Bortezomib.]
[G04BE09, vardenafil, The serum concentration of Bortezomib can be increased when it is combined with Vardenafil.]
[M01AH05, etoricoxib, The metabolism of Bortezomib can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Dactinomycin.]
[G03XA01, danazol, The metabolism of Bortezomib can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Bortezomib.]
[L01DB02, daunorubicin, The metabolism of Bortezomib can be decreased when combined with Daunorubicin.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Bortezomib.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Bortezomib.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Bortezomib.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Bortezomib.]
[N06AX06, nefazodone, The metabolism of Bortezomib can be decreased when combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Bortezomib.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Bortezomib.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Bortezomib.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Bortezomib.]
[N06AB10, escitalopram, The serum concentration of Bortezomib can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Solifenacin.]
[N06AA01, desipramine, The metabolism of Bortezomib can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Deslanoside may decrease the cardiotoxic activities of Bortezomib.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Bortezomib is combined with Desoximetasone.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Oxaliplatin.]
[N03AF02, oxcarbazepine, The metabolism of Bortezomib can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Bortezomib can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Bortezomib can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Bortezomib.]
[L04AB04, adalimumab, The metabolism of Bortezomib can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Bortezomib can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The metabolism of Bortezomib can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Bortezomib.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Bortezomib.]
[N06AB05, paroxetine, The metabolism of Bortezomib can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Bortezomib.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Bortezomib.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Bortezomib.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Bortezomib.]
[J01CF01, dicloxacillin, The metabolism of Bortezomib can be increased when combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Foscarnet.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Pinaverium.]
[L01DC04, ixabepilone, The serum concentration of Bortezomib can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Bortezomib can be decreased when combined with Erlotinib.]
