[P02BB01, trichlorfon, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Metrifonate.]
[C03AA09, cyclothiazide, Isoflurane may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Yohimbine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Isoflurane.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Isoflurane.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Isoflurane.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Isoflurane.]
[N03AX25, cenobamate, The serum concentration of Isoflurane can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Isoflurane.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dezocine.]
[N05CM21, lemborexant, The serum concentration of Isoflurane can be decreased when it is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Isoflurane can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Isoflurane.]
[J05AE05, amprenavir, The metabolism of Isoflurane can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Isoflurane is combined with Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Isoflurane is combined with Dutasteride.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Isoflurane.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Isoflurane.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Isoflurane.]
[C08CA16, clevidipine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Clevidipine.]
[C01BD07, dronedarone, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Valpromide.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Chlorcyclizine.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Isoflurane.]
[C02AA06, methoserpidine, Isoflurane may decrease the antihypertensive activities of Methoserpidine.]
[A03AA08, dihexyverine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Opicapone.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Isoflurane is combined with Dopexamine.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Isoflurane.]
[G04BD09, trospium, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Isoflurane is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Isoflurane is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Isoflurane is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Isoflurane is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Isoflurane.]
[C08CA17, levamlodipine, Isoflurane may decrease the antihypertensive activities of Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Fostemsavir.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Remimazolam.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Isoflurane is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Chloroquine.]
[C03AA04, chlorothiazide, Isoflurane may decrease the antihypertensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[N05AF03, chlorprothixene, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Isoflurane may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Isoflurane.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Isoflurane is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Isoflurane.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Isoflurane is combined with Etofenamate.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Berotralstat.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Relugolix.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Isoflurane is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Isoflurane can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Isoflurane is combined with Vericiguat.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Isoflurane is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Isoflurane is combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Isoflurane is combined with Fenbufen.]
[C01CA19, fenoldopam, Isoflurane may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Isoflurane is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Isoflurane is combined with Finasteride.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Flumequine.]
[R03CC15, formoterol, Isoflurane may increase the arrhythmogenic activities of Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Isoflurane.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Isoflurane is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, Isoflurane may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Isoflurane can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Isoflurane can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The metabolism of Isoflurane can be decreased when combined with Cisplatin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Isoflurane is combined with Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Isoflurane is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Clemastine.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Isoflurane is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Isoflurane is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Isoflurane.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Clofazimine.]
[C10AB01, clofibrate, The metabolism of Isoflurane can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Isoflurane can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Isoflurane.]
[C01EB24, mavacamten, The metabolism of Isoflurane can be increased when combined with Mavacamten.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Isoflurane is combined with Granisetron.]
[N05AH02, clozapine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Halazepam.]
[S02DA02, cocaine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Isoflurane may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Isoflurane can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Isoflurane is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Codeine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Isoflurane is combined with Hexafluronium.]
[A03AB10, hexocyclium, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Homatropine.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ifenprodil.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Isoflurane is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Telithromycin.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Isoflurane is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Desloratadine.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Isoflurane.]
[H01AX01, pegvisomant, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Pegvisomant.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Isoflurane is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Isoflurane is combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Isoflurane is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Isoflurane can be decreased when combined with Itraconazole.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Emedastine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Isoflurane is combined with Kebuzone.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Posaconazole.]
[C08CA09, lacidipine, Isoflurane may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Isoflurane.]
[N03AX09, lamotrigine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Levocabastine.]
[N07BC04, lofexidine, The therapeutic efficacy of Isoflurane can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Isoflurane is combined with Lonazolac.]
[R06AX13, loratadine, Isoflurane may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Isoflurane is combined with Loxoprofen.]
[C09AA03, lisinopril, Isoflurane may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Isoflurane.]
[C08CA11, manidipine, Isoflurane may decrease the antihypertensive activities of Manidipine.]
[A03AA04, mebeverine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Isoflurane is combined with Mefenorex.]
[C07AA14, mepindolol, Isoflurane may increase the cardiodepressant activities of Mepindolol.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Adenosine.]
[N04AA03, methixene, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of hypertension can be increased when Isoflurane is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Isoflurane is combined with Cyclobarbital.]
[C03DA04, eplerenone, Isoflurane may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Isoflurane is combined with Melperone.]
[C03AA07, cyclopenthiazide, Isoflurane may decrease the antihypertensive activities of Cyclopenthiazide.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Isoflurane is combined with Cyclopentolate.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Isoflurane.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Minaprine.]
[S01XA18, cyclosporine, The risk or severity of hypertension can be increased when Cyclosporine is combined with Isoflurane.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Isoflurane can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Isoflurane.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Isoflurane is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Isoflurane is combined with Morniflumate.]
[C03XA02, conivaptan, The risk or severity of adverse effects can be increased when Isoflurane is combined with Conivaptan.]
[C02AC05, moxonidine, Isoflurane may decrease the antihypertensive activities of Moxonidine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Vardenafil.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Isoflurane is combined with Etoricoxib.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Deanol.]
[C02CC04, debrisoquin, Isoflurane may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Isoflurane.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Isoflurane.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Nordazepam.]
[C07AB12, nebivolol, Isoflurane may decrease the antihypertensive activities of Nebivolol.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Isoflurane.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tiagabine.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Isoflurane is combined with Theodrenaline.]
[M03AC11, cisatracurium, Isoflurane may increase the neuromuscular blocking activities of Cisatracurium.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Isoflurane is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Isoflurane is combined with Escitalopram.]
[G04BD08, solifenacin, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Isoflurane is combined with Olsalazine.]
[N06AA01, desipramine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Isoflurane.]
[C09XA02, aliskiren, Isoflurane may decrease the antihypertensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Isoflurane is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Isoflurane can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Oxiracetam.]
[N04AA08, dexetimide, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Isoflurane can be decreased when combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Isoflurane can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Isoflurane.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Isoflurane.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Isoflurane.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Isoflurane can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Phenacemide.]
[V03AH01, diazoxide, Isoflurane may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Isoflurane.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Isoflurane can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Isoflurane.]
[A03AA07, dicyclomine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Isoflurane may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Pipamperone.]
[A03AB14, pipenzolate, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Erlotinib.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Isoflurane is combined with Pirbuterol.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Isoflurane is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Isoflurane can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Isoflurane.]
[A03AB11, poldine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Isoflurane is combined with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Isoflurane.]
[C02DB01, dihydralazine, Isoflurane may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Isoflurane is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Isoflurane.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Hydromorphone.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Isoflurane.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Pramocaine.]
[C08DB01, diltiazem, Isoflurane may decrease the antihypertensive activities of Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Pridinol.]
[R06AB03, dimethindene, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Isoflurane is combined with Procaterol.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Progabide.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Isoflurane is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Isoflurane is combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Isoflurane can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Isoflurane is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Quazepam.]
[C09AA06, quinapril, Isoflurane may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may increase the hypertensive activities of Isoflurane.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Cisapride.]
[C09AA05, ramipril, Isoflurane may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Isoflurane.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Isoflurane is combined with Reproterol.]
[C01BA03, disopyramide, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[N07AA03, distigmine, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Distigmine.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Isoflurane can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Isoflurane.]
[N05AX08, risperidone, Isoflurane may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Isoflurane.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Sunitinib.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Isoflurane.]
[G04BE08, tadalafil, Isoflurane may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Isoflurane.]
[C02KX02, ambrisentan, Isoflurane may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Isoflurane is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Isoflurane is combined with Dobutamine.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Domperidone.]
[C01CA04, dopamine, Isoflurane may increase the arrhythmogenic activities of Dopamine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Isoflurane.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Isoflurane.]
[N06AA12, doxepin, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Isoflurane.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Isoflurane.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Isoflurane is combined with Sertraline.]
