[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Tirzepatide.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hyperglycemia can be increased when Hydrocortisone is combined with Tirzepatide.]
[D07AC16, hydrocortisone aceponate, The risk or severity of hyperglycemia can be increased when Hydrocortisone aceponate is combined with Tirzepatide.]
[D07AB11, hydrocortisone probutate, The risk or severity of hyperglycemia can be increased when Hydrocortisone probutate is combined with Tirzepatide.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Hydroflumethiazide.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Hydroxychloroquine.]
[S01BA13, rimexolone, The risk or severity of hyperglycemia can be increased when Rimexolone is combined with Tirzepatide.]
[H01AC02, somatrem, Somatrem may decrease the hypoglycemic activities of Tirzepatide.]
[N06AA02, imipramine, Imipramine may decrease the hypoglycemic activities of Tirzepatide.]
[R01AD07, tixocortol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Tirzepatide.]
[C03BA11, indapamide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypoglycemia can be increased when Indomethacin is combined with Tirzepatide.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Milnacipran is combined with Tirzepatide.]
[N01BB08, articaine, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Articaine.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Sitagliptin is combined with Tirzepatide.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Vildagliptin is combined with Tirzepatide.]
[C07AA01, alprenolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Quinethazone.]
[N06AA13, iprindole, Iprindole may decrease the hypoglycemic activities of Tirzepatide.]
[N06AF05, iproniazid, Iproniazid may increase the hypoglycemic activities of Tirzepatide.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypoglycemic activities of Tirzepatide.]
[J04AC01, isoniazid, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Isoniazid.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Exenatide is combined with Tirzepatide.]
[H01AC01, somatropin, Somatotropin may decrease the hypoglycemic activities of Tirzepatide.]
[N05AH03, olanzapine, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Olanzapine.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Tirzepatide.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Nalidixic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Labetalol.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Etacrynic acid.]
[G03AD01, levonorgestrel, Tirzepatide can cause a decrease in the absorption of Levonorgestrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08EX01, lidoflazine, The risk or severity of hypoglycemia can be increased when Lidoflazine is combined with Tirzepatide.]
[N06AA07, lofepramine, Lofepramine may decrease the hypoglycemic activities of Tirzepatide.]
[A07DA03, loperamide, The risk or severity of hypoglycemia can be increased when Loperamide is combined with Tirzepatide.]
[G03DC03, lynestrenol, Tirzepatide can cause a decrease in the absorption of Lynestrenol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EG01, temsirolimus, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Temsirolimus.]
[V04CC02, magnesium sulfate, The risk or severity of hypoglycemia can be increased when Magnesium sulfate is combined with Tirzepatide.]
[L01EA03, nilotinib, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Nilotinib.]
[C03BA05, mefruside, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Mefruside.]
[G03BB01, mesterolone, Mesterolone may increase the hypoglycemic activities of Tirzepatide.]
[N05AX13, paliperidone, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Paliperidone.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Metformin is combined with Tirzepatide.]
[H01CB03, lanreotide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Lanreotide.]
[S01EC05, methazolamide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Methazolamide.]
[N02BG08, ziconotide, The risk or severity of hypoglycemia can be increased when Ziconotide is combined with Tirzepatide.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Methotrimeprazine.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Methyclothiazide.]
[V04CG05, methylene blue, Methylene blue may increase the hypoglycemic activities of Tirzepatide.]
[H02AB04, methylprednisolone, The risk or severity of hyperglycemia can be increased when Methylprednisolone is combined with Tirzepatide.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hyperglycemia can be increased when Methylprednisolone aceponate is combined with Tirzepatide.]
[G03EK01, methyltestosterone, Methyltestosterone may increase the hypoglycemic activities of Tirzepatide.]
[C03BA08, metolazone, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Metoprolol.]
[G03XB01, mifepristone, Tirzepatide can cause a decrease in the absorption of Mifepristone resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C01BD01, amiodarone, The risk or severity of hypoglycemia can be increased when Amiodarone is combined with Tirzepatide.]
[N06AA09, amitriptyline, Amitriptyline may decrease the hypoglycemic activities of Tirzepatide.]
[N06AA17, amoxapine, Amoxapine may decrease the hypoglycemic activities of Tirzepatide.]
[C07AA12, nadolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Nadolol.]
[S01XA11, nandrolone, Nandrolone phenpropionate may increase the hypoglycemic activities of Tirzepatide.]
[A10BG01, troglitazone, The risk or severity of hypoglycemia can be increased when Troglitazone is combined with Tirzepatide.]
[N06AX21, duloxetine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Tirzepatide.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Tirzepatide.]
[N05AX14, iloperidone, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Desvenlafaxine is combined with Tirzepatide.]
[C10AD02, niacin, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypoglycemic activities of Tirzepatide.]
[C08CA04, nicardipine, The risk or severity of hypoglycemia can be increased when Nicardipine is combined with Tirzepatide.]
[C08CA05, nifedipine, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Tirzepatide.]
[C08CA06, nimodipine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Tirzepatide.]
[C08CA07, nisoldipine, The risk or severity of hypoglycemia can be increased when Nisoldipine is combined with Tirzepatide.]
[C08CA08, nitrendipine, The risk or severity of hypoglycemia can be increased when Nitrendipine is combined with Tirzepatide.]
[G03DC02, norethindrone, Tirzepatide can cause a decrease in the absorption of Norethisterone resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE02, norfloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Norfloxacin.]
[G03AC07, norgestrienone, Tirzepatide can cause a decrease in the absorption of Norgestrienone resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C02KX01, bosentan, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may decrease the hypoglycemic activities of Tirzepatide.]
[G02CA02, nylidrin, The risk or severity of hypoglycemia can be increased when Nylidrin is combined with Tirzepatide.]
[H01CB02, octreotide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Ofloxacin.]
[N06AA05, opipramol, Opipramol may decrease the hypoglycemic activities of Tirzepatide.]
[G04CA02, tamsulosin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Tamsulosin.]
[A14AA08, oxandrolone, Oxandrolone may increase the hypoglycemic activities of Tirzepatide.]
[J01MB05, oxolinic acid, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Oxolinic acid.]
[C07AA02, oxprenolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Oxprenolol.]
[A14AA05, oxymetholone, Oxymetholone may increase the hypoglycemic activities of Tirzepatide.]
[J04AA01, aminosalicylic acid, Aminosalicylic acid may increase the hypoglycemic activities of Tirzepatide.]
[N05AH05, asenapine, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Asenapine.]
[G03DB06, chlormadinone, Tirzepatide can cause a decrease in the absorption of Chlormadinone resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB05, paramethasone, The risk or severity of hyperglycemia can be increased when Paramethasone is combined with Tirzepatide.]
[C02KC01, pargyline, Pargyline may increase the hypoglycemic activities of Tirzepatide.]
[J01MA03, pefloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Pefloxacin.]
[C07AA23, penbutolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypoglycemia can be increased when Penfluridol is combined with Tirzepatide.]
[C08EX02, perhexiline, The risk or severity of hypoglycemia can be increased when Perhexiline is combined with Tirzepatide.]
[N06AF03, phenelzine, Phenelzine may increase the hypoglycemic activities of Tirzepatide.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Phenformin is combined with Tirzepatide.]
[A08AA01, phentermine, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Phentermine.]
[N03AB02, phenytoin, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Phenytoin.]
[S01AE05, levofloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of hypoglycemia can be increased when Mibefradil is combined with Tirzepatide.]
[C07AA03, pindolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Pindolol.]
[J05AE01, saquinavir, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Saquinavir.]
[P02CB01, piperazine, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Piperazine.]
[N05AC04, pipothiazine, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Pipotiazine.]
[J01MA11, grepafloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Grepafloxacin.]
[A10BG02, rosiglitazone, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Tirzepatide.]
[C03AA05, polythiazide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Saxagliptin is combined with Tirzepatide.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Insulin lispro is combined with Tirzepatide.]
[C07AB01, practolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Practolol.]
[S03BA02, prednisolone, The risk or severity of hyperglycemia can be increased when Prednisolone is combined with Tirzepatide.]
[H02AB07, prednisone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Tirzepatide.]
[C01DX02, prenylamine, The risk or severity of hypoglycemia can be increased when Prenylamine is combined with Tirzepatide.]
[M04AB01, probenecid, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Probenecid.]
[S01HA05, procaine, Procaine may increase the hypoglycemic activities of Tirzepatide.]
[L01XB01, procarbazine, Procarbazine may increase the hypoglycemic activities of Tirzepatide.]
[G03DA04, progesterone, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Progesterone.]
[C01BC03, propafenone, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Propafenone.]
[C07AA05, propranolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Propranolol.]
[N06AA11, protriptyline, Protriptyline may decrease the hypoglycemic activities of Tirzepatide.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Aripiprazole.]
[P01BC01, quinine, The risk or severity of hypoglycemia can be increased when Quinine is combined with Tirzepatide.]
[D07AC10, diflorasone, The risk or severity of hyperglycemia can be increased when Diflorasone is combined with Tirzepatide.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the hypoglycemic activities of Tirzepatide.]
[S01BC08, salicylic acid, Salicylic acid may increase the hypoglycemic activities of Tirzepatide.]
[N04BD01, selegiline, Selegiline may increase the hypoglycemic activities of Tirzepatide.]
[C07AA07, sotalol, The risk or severity of hypoglycemia can be increased when Sotalol is combined with Tirzepatide.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hyperglycemia can be increased when Hydrocortisone butyrate is combined with Tirzepatide.]
