[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Flucloxacillin.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be increased when combined with Flucloxacillin.]
[S02AA16, ofloxacin, Flucloxacillin may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[J01MB05, oxolinic acid, The serum concentration of Oxolinic acid can be increased when it is combined with Flucloxacillin.]
[S01AA04, oxytetracycline, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Oxytetracycline.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be increased when used in combination with Flucloxacillin.]
[J04AB30, capreomycin, The serum concentration of Capreomycin can be decreased when it is combined with Flucloxacillin.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Flucloxacillin.]
[A07AA06, paromomycin, The serum concentration of Paromomycin can be decreased when it is combined with Flucloxacillin.]
[J01MA03, pefloxacin, The serum concentration of Pefloxacin can be increased when it is combined with Flucloxacillin.]
[B01AA02, phenindione, Flucloxacillin may increase the anticoagulant activities of Phenindione.]
[N03AA02, phenobarbital, Phenobarbital may increase the excretion rate of Flucloxacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be increased when combined with Flucloxacillin.]
[S01AE05, levofloxacin, The serum concentration of Levofloxacin can be increased when it is combined with Flucloxacillin.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Flucloxacillin.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Flucloxacillin.]
[C10AA05, atorvastatin, Flucloxacillin may decrease the excretion rate of Atorvastatin which could result in a higher serum level.]
[J01CA12, piperacillin, The serum concentration of Flucloxacillin can be increased when it is combined with Piperacillin.]
[J05AE01, saquinavir, Flucloxacillin may decrease the excretion rate of Saquinavir which could result in a higher serum level.]
[J01MA11, grepafloxacin, The serum concentration of Grepafloxacin can be increased when it is combined with Flucloxacillin.]
[A10BG02, rosiglitazone, Flucloxacillin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J05AE03, ritonavir, Flucloxacillin may decrease the excretion rate of Ritonavir which could result in a higher serum level.]
[C10AA08, pitavastatin, Flucloxacillin may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Prilocaine.]
[M04AB01, probenecid, The excretion of Flucloxacillin can be decreased when combined with Probenecid.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Procaine.]
[C10AB05, fenofibrate, Flucloxacillin may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Flucloxacillin.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Flucloxacillin.]
[C01BA01, quinidine, The metabolism of Quinidine can be increased when combined with Flucloxacillin.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J04AB02, rifampin, Rifampicin may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J01AA09, rolitetracycline, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Rolitetracycline.]
[J01GB08, sisomicin, The serum concentration of Sisomicin can be decreased when it is combined with Flucloxacillin.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be increased when combined with Flucloxacillin.]
[C03DA01, spironolactone, Flucloxacillin may decrease the excretion rate of Spironolactone which could result in a higher serum level.]
[A05AA02, ursodiol, Ursodeoxycholic acid may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
