[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Droperidol is combined with Antipyrine.]
[M03BB03, chlorzoxazone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Chlorzoxazone.]
[N05BX03, etifoxine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Droperidol is combined with Ethenzamide.]
[N06BX18, vinpocetine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Vinpocetine.]
[N05BA18, ethyl loflazepate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Droperidol is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Droperidol is combined with Etofenamate.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Berotralstat.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Droperidol.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Droperidol is combined with Naxitamab.]
[M03BA05, febarbamate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Febarbamate.]
[N03AX10, felbamate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Felbamate.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Droperidol is combined with Fenbufen.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Droperidol.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Droperidol is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Droperidol is combined with Finasteride.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Droperidol.]
[R03CC15, formoterol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Droperidol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Droperidol.]
[N01AB05, trichloroethylene, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Trichloroethylene.]
[H04AA02, dasiglucagon, Droperidol may decrease the antihypertensive activities of Dasiglucagon.]
[N02BF01, gabapentin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Gabapentin.]
[N07CA02, cinnarizine, The risk or severity of hypotension can be increased when Droperidol is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Ciprofloxacin.]
[N06AB04, citalopram, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Droperidol is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Mobocertinib.]
[R06AA04, clemastine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Clemastine.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Droperidol.]
[J01FF01, clindamycin, Droperidol may increase the neurotoxic activities of Clindamycin.]
[N06AX25, St. John's wort extract, Droperidol may increase the central nervous system depressant (CNS depressant) activities of St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Droperidol.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Droperidol.]
[N01BB10, levobupivacaine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Droperidol.]
[N06AA04, clomipramine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Clomipramine.]
[N03AE01, clonazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Droperidol.]
[N05AH06, clothiapine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Clothiapine.]
[N05BA21, clotiazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Clotiazepam.]
[A04AA01, ondansetron, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.]
[A04AA02, granisetron, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Granisetron.]
[N05AH02, clozapine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA13, halazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Halazepam.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Cocaine.]
[C02KB01, metyrosine, The risk or severity of sedation and extrapyramidal symptoms can be increased when Metyrosine is combined with Droperidol.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Droperidol is combined with Proquazone.]
[R05DA04, codeine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Codeine.]
[M03AC05, hexafluorenium, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Hexafluronium.]
[A03AB10, hexocyclium, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Desflurane.]
[A04AA03, tropisetron, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tropisetron.]
[C04AX28, ifenprodil, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ifenprodil.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Droperidol is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Telithromycin.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Droperidol is combined with Indobufen.]
[R06AX27, desloratadine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Desloratadine.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Droperidol is combined with Valdecoxib.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Droperidol.]
[N02CC05, almotriptan, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Droperidol is combined with Parecoxib.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Droperidol.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Emedastine.]
[N05BA10, ketazolam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Droperidol is combined with Kebuzone.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Posaconazole is combined with Droperidol.]
[C08CA09, lacidipine, The risk or severity of hypotension can be increased when Droperidol is combined with Lacidipine.]
[N03AX09, lamotrigine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Levocabastine.]
[N07BC04, lofexidine, The therapeutic efficacy of Droperidol can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Droperidol is combined with Lonazolac.]
[N05CD06, lormetazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Droperidol is combined with Loxoprofen.]
[C09AA03, lisinopril, Droperidol may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, The risk or severity of hypotension can be increased when Droperidol is combined with Manidipine.]
[A03AA04, mebeverine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Droperidol is combined with Mefenorex.]
[C07AA14, mepindolol, Mepindolol may increase the orthostatic hypotensive activities of Droperidol.]
[R06AD07, mequitazine, Droperidol may increase the arrhythmogenic activities of Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Adenosine.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Droperidol.]
[C04AX01, cyclandelate, The risk or severity of hypotension can be increased when Droperidol is combined with Cyclandelate.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Droperidol can be decreased when used in combination with Methoxyphenamine.]
[R06AE03, cyclizine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cyclizine.]
[N05CA10, cyclobarbital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cyclobarbital.]
[C03DA04, eplerenone, Droperidol may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Melperone.]
[C03AA07, cyclopenthiazide, Droperidol may decrease the antihypertensive activities of Cyclopenthiazide.]
[L01AA01, cyclophosphamide, Droperidol may increase the neurotoxic activities of Cyclophosphamide.]
[N06AX07, minaprine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Minaprine.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Droperidol.]
[S01XA18, cyclosporine, The risk or severity of hypertension can be increased when Cyclosporine is combined with Droperidol.]
[N06AG02, moclobemide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Moclobemide.]
[R06AX02, cyproheptadine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Droperidol may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Droperidol is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Droperidol is combined with Morniflumate.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Droperidol.]
[G04BE09, vardenafil, The risk or severity of hypotension and syncope can be increased when Vardenafil is combined with Droperidol.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Droperidol is combined with Etoricoxib.]
[M03CA01, dantrolene, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[N06BX04, deanol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Deanol.]
[C02CC04, debrisoquin, Droperidol may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Nabilone.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Droperidol is combined with Nabumetone.]
[N05BA16, nordazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Nordazepam.]
[C07AB12, nebivolol, The therapeutic efficacy of Nebivolol can be decreased when used in combination with Droperidol.]
[N06AX06, nefazodone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Nefazodone.]
[N05CM16, niaprazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Niaprazine.]
[C01DX16, nicorandil, Droperidol may decrease the antihypertensive activities of Nicorandil.]
[N03AG06, tiagabine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tiagabine.]
[C01CA23, theodrenaline, Droperidol may decrease the hypertensive activities of Theodrenaline.]
[M03AC11, cisatracurium, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cisatracurium.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Droperidol.]
[R05DA06, normethadone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Normethadone.]
[N06AB10, escitalopram, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Escitalopram.]
[G04BD08, solifenacin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Droperidol is combined with Olsalazine.]
[N06AA01, desipramine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Droperidol.]
[C09XA02, aliskiren, Droperidol may decrease the antihypertensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Droperidol is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxcarbazepine.]
[N06BX07, oxiracetam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxiracetam.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Droperidol.]
[G04BD04, oxybutynin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Droperidol can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dextromethorphan.]
[N03AC01, paramethadione, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Paramethadione.]
[N02AC01, dextromoramide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dextromoramide.]
[N06AB05, paroxetine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Paroxetine.]
[N07BC06, heroin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Diamorphine.]
[N05BA01, diazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Diazepam.]
[N03AX07, phenacemide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Phenacemide.]
[V03AH01, diazoxide, Droperidol may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Phensuximide.]
[N06AA08, dibenzepin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dibenzepin.]
[S02DA04, dibucaine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cinchocaine.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Droperidol is combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Droperidol.]
[A03AA07, dicyclomine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Droperidol may increase the neurotoxic activities of Didanosine.]
[C02DG01, pinacidil, Droperidol may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of hypotension can be increased when Droperidol is combined with Pinaverium.]
[N05AD05, pipamperone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pipamperone.]
[A03AB14, pipenzolate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Erlotinib.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Droperidol.]
[A08AA03, diethylpropion, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Diethylpropion.]
[C08CA03, isradipine, The risk or severity of hypotension can be increased when Droperidol is combined with Isradipine.]
[A03AB11, poldine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Droperidol is combined with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Droperidol.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Droperidol.]
[C02DB01, dihydralazine, Droperidol may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Droperidol is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dihydroergotamine.]
[N02AA03, hydromorphone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Hydromorphone.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Atazanavir is combined with Droperidol.]
[B01AC21, treprostinil, Droperidol may decrease the antihypertensive activities of Treprostinil.]
[D04AB07, pramoxine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pramocaine.]
[C08DB01, diltiazem, The risk or severity of hypotension can be increased when Droperidol is combined with Diltiazem.]
[R06AA11, dimenhydrinate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dimenhydrinate.]
[M03BX03, pridinol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pridinol.]
[R06AB03, dimethindene, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Droperidol.]
[N03AG05, progabide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Progabide.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Droperidol is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Droperidol is combined with Proglumetacin.]
[R06AA02, diphenhydramine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Diphenoxylate.]
[N05CD10, quazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Quazepam.]
[C09AA06, quinapril, Droperidol may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of hypotension and syncope can be increased when Dipyridamole is combined with Droperidol.]
[N06BA11, dexmethylphenidate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dexmethylphenidate.]
[N06AA23, quinupramine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Quinupramine.]
[A03FA02, cisapride, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cisapride.]
[C09AA05, ramipril, Droperidol may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Remoxipride.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Droperidol.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Droperidol.]
[N07XX02, riluzole, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Riluzole.]
[N05AX08, risperidone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Risperidone.]
[R06AE09, levocetirizine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Levocetirizine.]
[N01BB09, ropivacaine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Droperidol.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Sunitinib is combined with Droperidol.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Droperidol.]
[G04BE08, tadalafil, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Droperidol.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Droperidol is combined with Ketorolac.]
[C02KX02, ambrisentan, Droperidol may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Droperidol.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Droperidol is combined with Salsalate.]
[R03AC12, salmeterol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Droperidol.]
[C01CA07, dobutamine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Droperidol.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Domperidone.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Droperidol is combined with Dopamine.]
[N06AA16, dothiepin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Droperidol is combined with Doxapram.]
[N06AA12, doxepin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Droperidol.]
[N06AB06, sertraline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Sertraline.]
[N01AB08, sevoflurane, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Sevoflurane.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Droperidol.]
[N07XX04, sodium oxybate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Droperidol is combined with Mefenamic acid.]
[A08AA10, sibutramine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Sibutramine.]
[C09AA11, spirapril, Droperidol may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Sultopride.]
[N02CC01, sumatriptan, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Sumatriptan.]
[C07AB13, talinolol, Talinolol may increase the orthostatic hypotensive activities of Droperidol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Droperidol is combined with Tenoxicam.]
[G04CA03, terazosin, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Terazosin.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Terodiline.]
[C07AA16, tertatolol, Tertatolol may increase the orthostatic hypotensive activities of Droperidol.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Droperidol.]
[M03BX07, tetrazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tetrazepam.]
[M03BX05, thiocolchicoside, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Thiocolchicoside.]
[N05AB05, thiopropazate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Thiopropazate.]
[G04BD01, emepronium, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tianeptine.]
[C09AA02, enalapril, Droperidol may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Droperidol is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Droperidol.]
[N03AX11, topiramate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Topiramate.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Toremifene.]
[C03CA04, torsemide, Droperidol may decrease the antihypertensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Droperidol is combined with Tramazoline.]
[C09AA10, trandolapril, Droperidol may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Loprazolam.]
[N05CM07, triclofos, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Triclofos.]
[A03AB08, tridihexethyl, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Trimethobenzamide.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Droperidol.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Droperidol.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Droperidol.]
[N01AB04, enflurane, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Enflurane.]
[C02CA06, urapidil, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Droperidol.]
[N05AL06, veralipride, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Veralipride.]
[L01CA04, vinorelbine, Vinorelbine may increase the neurotoxic activities of Droperidol.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Droperidol.]
[S01GX10, epinastine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Epinastine.]
[N06AX16, venlafaxine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Venlafaxine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Droperidol.]
[S01GA03, xylometazoline, The therapeutic efficacy of Xylometazoline can be decreased when used in combination with Droperidol.]
[C08CA12, mepirodipine, The risk or severity of hypotension can be increased when Droperidol is combined with Barnidipine.]
[S01EA01, epinephrine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Droperidol.]
[C09AA15, zofenopril, Droperidol may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Droperidol is combined with Zomepirac.]
[N03AX15, zonisamide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Zonisamide.]
[N05CF01, zopiclone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Zopiclone.]
[N05AX11, zotepine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Zotepine.]
[C02AC02, guanfacine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Guanfacine.]
[C01BG01, moricizine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Moricizine.]
[G02AB03, ergonovine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ergometrine.]
[C04AE01, ergoloid mesylates, USP, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ergoloid mesylate.]
[N02CA02, ergotamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ergotamine.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Droperidol.]
[N05CD04, estazolam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Estazolam.]
[C01CA15, gepefrine, The therapeutic efficacy of Droperidol can be decreased when used in combination with Gepefrine.]
[N05CM08, ethchlorvynol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ethchlorvynol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Ibutilide.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Droperidol.]
[N03AD01, ethosuximide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ethosuximide.]
[N03AB01, ethotoin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ethotoin.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Droperidol is combined with Meloxicam.]
[S01XA06, ethylmorphine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ethylmorphine.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Droperidol.]
[N01AX07, etomidate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Etomidate.]
[N05AE03, sertindole, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Sertindole.]
