[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Stiripentol.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Stiripentol.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Amineptine is combined with Stiripentol.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be decreased when combined with Stiripentol.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Stiripentol.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Aniracetam is combined with Stiripentol.]
[A05AA04, obeticholic acid, The metabolism of Stiripentol can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Stiripentol.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Stiripentol.]
[N07BC01, buprenorphine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Stiripentol.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Stiripentol.]
[L01XX27, arsenic trioxide, Arsenic trioxide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Stiripentol.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Stiripentol.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Stiripentol.]
[R06AX09, azatadine, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Stiripentol.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Stiripentol.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Stiripentol.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[R03DA08, bamifylline, Stiripentol may increase the excretion rate of Bamifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AH05, naldemedine, Stiripentol may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Stiripentol.]
[N02BF02, pregabalin, The therapeutic efficacy of Stiripentol can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Beclamide is combined with Stiripentol.]
[N06BC01, caffeine, The metabolism of Stiripentol can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Calcitriol can be decreased when combined with Stiripentol.]
[P01CA02, benznidazole, Stiripentol may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Linezolid.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Stiripentol.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Stiripentol.]
[L04AB02, infliximab, The metabolism of Stiripentol can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Stiripentol.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Stiripentol.]
[N04BD03, safinamide, The metabolism of Safinamide can be decreased when combined with Stiripentol.]
[J01MA23, delafloxacin, The excretion of Delafloxacin can be decreased when combined with Stiripentol.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Stiripentol.]
[P03AC02, bioallethrin, The metabolism of Bioallethrin can be decreased when combined with Stiripentol.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Stiripentol.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Stiripentol.]
[L01EH02, neratinib, The serum concentration of Neratinib can be increased when it is combined with Stiripentol.]
[L01FB01, inotuzumab ozogamicin, The excretion of Inotuzumab ozogamicin can be decreased when combined with Stiripentol.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Stiripentol.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Stiripentol.]
[C07AB07, bisoprolol, The metabolism of Bisoprolol can be decreased when combined with Stiripentol.]
[S01EC04, brinzolamide, The metabolism of Brinzolamide can be decreased when combined with Stiripentol.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be decreased when combined with Stiripentol.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Stiripentol.]
[N04AA11, bornaprine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Stiripentol is combined with Bromperidol.]
[N05CD09, brotizolam, The metabolism of Brotizolam can be decreased when combined with Stiripentol.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Budesonide can be decreased when combined with Stiripentol.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Stiripentol.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Stiripentol.]
[J05AX18, letermovir, The metabolism of Stiripentol can be increased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Butriptyline is combined with Stiripentol.]
[C01AA02, acetyldigoxins, Stiripentol may decrease the excretion rate of Acetyldigoxin which could result in a higher serum level.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Capsaicin.]
[A10BK04, ertugliflozin, The excretion of Ertugliflozin can be decreased when combined with Stiripentol.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Stiripentol is combined with Vinylbital.]
[R06AX18, acrivastine, Stiripentol may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[V04CD06, macimorelin, The metabolism of Macimorelin can be decreased when combined with Stiripentol.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Stiripentol.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Stiripentol.]
[A03AA03, camylofine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Stiripentol.]
[L03AB06, interferon alfa-n1, The metabolism of Stiripentol can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Stiripentol.]
[B02BX09, fostamatinib, The metabolism of Fostamatinib can be decreased when combined with Stiripentol.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Stiripentol.]
[B02BX08, avatrombopag, The excretion of Avatrombopag can be decreased when combined with Stiripentol.]
[L04AA37, baricitinib, The metabolism of Baricitinib can be decreased when combined with Stiripentol.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Stiripentol.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Stiripentol.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01GB14, plazomicin, Stiripentol may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Stiripentol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Stiripentol.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Stiripentol.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Stiripentol.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Stiripentol.]
[J01MB04, pipemidic acid, The metabolism of Stiripentol can be decreased when combined with Pipemidic acid.]
[B02BX07, lusutrombopag, The excretion of Lusutrombopag can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Stiripentol can be decreased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Stiripentol.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Stiripentol.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Stiripentol.]
[J01AA15, omadacycline, The excretion of Omadacycline can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Stiripentol.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Stiripentol is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Stiripentol.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Stiripentol may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Stiripentol.]
[R03DA02, oxtriphylline, Stiripentol may increase the excretion rate of Oxtriphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01XK04, talazoparib, The excretion of Talazoparib can be decreased when combined with Stiripentol.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Stiripentol.]
[R03BB08, revefenacin, The excretion of Revefenacin can be decreased when combined with Stiripentol.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Stiripentol.]
[L04AA39, emapalumab, The metabolism of Stiripentol can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Carmustine can be increased when combined with Stiripentol.]
[L01EX12, larotrectinib, The metabolism of Larotrectinib can be decreased when combined with Stiripentol.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Stiripentol.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Stiripentol.]
[A06AX05, prucalopride, The serum concentration of Prucalopride can be increased when it is combined with Stiripentol.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Stiripentol.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Cinitapride is combined with Stiripentol.]
[P02BX04, triclabendazole, The metabolism of Stiripentol can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Esketamine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Stiripentol is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Clarithromycin can be decreased when combined with Stiripentol.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Stiripentol is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Stiripentol is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Stiripentol.]
[N05BA09, clobazam, The metabolism of Clobazam can be decreased when combined with Stiripentol.]
[H02AB14, cloprednol, The metabolism of Cloprednol can be decreased when combined with Stiripentol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Stiripentol.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Stiripentol.]
[L04AB01, etanercept, The metabolism of Stiripentol can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Cortivazol can be decreased when combined with Stiripentol.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Stiripentol.]
[L01FX14, polatuzumab vedotin, The risk or severity of adverse effects can be increased when Stiripentol is combined with Polatuzumab vedotin.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01XX66, selinexor, The metabolism of Selinexor can be decreased when combined with Stiripentol.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be increased when it is combined with Stiripentol.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Stiripentol.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DD01, cefotaxime, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Cefotaxime.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Cyamemazine is combined with Stiripentol.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Stiripentol.]
[L04AA44, upadacitinib, The metabolism of Upadacitinib can be decreased when combined with Stiripentol.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Stiripentol.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Stiripentol.]
[N07XX11, pitolisant, The serum concentration of Stiripentol can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The serum concentration of Pretomanid can be increased when it is combined with Stiripentol.]
[J01XX12, lefamulin, The serum concentration of Lefamulin can be increased when it is combined with Stiripentol.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Stiripentol.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Stiripentol.]
[A10AE03, insulin, regular, pork, The metabolism of Stiripentol can be increased when combined with Insulin pork.]
[J01XX09, daptomycin, The excretion of Daptomycin can be decreased when combined with Stiripentol.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Stiripentol.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DB03, cephalothin, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Cefalotin.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Stiripentol.]
[G03DB05, demegestone, The metabolism of Demegestone can be decreased when combined with Stiripentol.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Stiripentol.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Stiripentol.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Stiripentol.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Stiripentol.]
[N03AX25, cenobamate, The serum concentration of Stiripentol can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Stiripentol can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Stiripentol may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Stiripentol.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Stiripentol.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Stiripentol.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Stiripentol.]
[S01XA12, dexpanthenol, Stiripentol may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Stiripentol.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Stiripentol.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Stiripentol.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Stiripentol.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be increased when it is combined with Stiripentol.]
[M01AX21, diacetylrhein, The metabolism of Diacerein can be decreased when combined with Stiripentol.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be decreased when combined with Stiripentol.]
[J05AB16, remdesivir, The metabolism of Remdesivir can be decreased when combined with Stiripentol.]
[S01AE06, gatifloxacin, The metabolism of Stiripentol can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The serum concentration of Osilodrostat can be increased when it is combined with Stiripentol.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Stiripentol.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Stiripentol.]
[L04AA38, ozanimod, Stiripentol may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Stiripentol.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Stiripentol.]
[R02AA03, dichlorobenzyl alcohol, Stiripentol may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The metabolism of Dienogest can be decreased when combined with Stiripentol.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Stiripentol.]
[D07AC19, difluprednate, The metabolism of Difluprednate can be decreased when combined with Stiripentol.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Stiripentol.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Stiripentol.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Stiripentol.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Stiripentol.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Stiripentol.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Stiripentol.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Valpromide is combined with Stiripentol.]
[L01AA02, chlorambucil, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Chlorambucil.]
[S03AA08, chloramphenicol, The metabolism of Stiripentol can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Stiripentol.]
[L01EN02, pemigatinib, The metabolism of Pemigatinib can be decreased when combined with Stiripentol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Stiripentol.]
[A03AA08, dihexyverine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be increased when it is combined with Stiripentol.]
[D07XB03, fluprednidene, The metabolism of Fluprednidene can be decreased when combined with Stiripentol.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Stiripentol.]
[G04BD09, trospium, The metabolism of Trospium can be decreased when combined with Stiripentol.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EX19, ripretinib, The serum concentration of Ripretinib can be increased when it is combined with Stiripentol.]
[V08CA05, mangafodipir, Mangafodipir may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be increased when it is combined with Stiripentol.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Stiripentol.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Stiripentol.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Dyclonine.]
[L01XX69, lurbinectedin, The serum concentration of Lurbinectedin can be increased when it is combined with Stiripentol.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Stiripentol.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Stiripentol.]
[J05AX29, fostemsavir, The metabolism of Fostemsavir can be decreased when combined with Stiripentol.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Stiripentol.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Stiripentol is combined with Remimazolam.]
[N07XX04, sodium oxybate, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L01FX15, belantamab mafodotin, The excretion of Belantamab mafodotin can be decreased when combined with Stiripentol.]
[L04AC19, satralizumab, The serum concentration of Stiripentol can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Stiripentol is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Stiripentol.]
[L01EX23, pralsetinib, The serum concentration of Pralsetinib can be increased when it is combined with Stiripentol.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Stiripentol.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Stiripentol.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Stiripentol.]
[N05AF03, chlorprothixene, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Stiripentol.]
[A11CC05, cholecalciferol, The metabolism of Cholecalciferol can be decreased when combined with Stiripentol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Etifoxine is combined with Stiripentol.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N02BA03, choline salicylate, Stiripentol may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The metabolism of Vinpocetine can be decreased when combined with Stiripentol.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Stiripentol.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be decreased when combined with Stiripentol.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Stiripentol.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Stiripentol.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Stiripentol.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Stiripentol.]
[M01AX25, chondroitin sulfates, Stiripentol may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The metabolism of Voclosporin can be decreased when combined with Stiripentol.]
[P03AX07, abametapir, The serum concentration of Stiripentol can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be increased when it is combined with Stiripentol.]
[V03AF12, trilaciclib, The excretion of Trilaciclib can be decreased when combined with Stiripentol.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Stiripentol is combined with Febarbamate.]
[N03AX10, felbamate, The metabolism of Felbamate can be decreased when combined with Stiripentol.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N06BA10, fenethylline, Stiripentol may increase the excretion rate of Fenethylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Stiripentol.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01MB07, flumequine, The metabolism of Stiripentol can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The metabolism of Flunisolide can be decreased when combined with Stiripentol.]
[S02BA08, fluocinolone acetonide, The metabolism of Fluocinolone acetonide can be decreased when combined with Stiripentol.]
[N02BG07, flupirtine, Flupirtine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Stiripentol.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Stiripentol.]
[L01EK03, tivozanib, The excretion of Tivozanib can be decreased when combined with Stiripentol.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Stiripentol is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Peginterferon alfa-2b can be decreased when combined with Stiripentol.]
[L01FX22, loncastuximab tesirine, The excretion of Loncastuximab tesirine can be decreased when combined with Stiripentol.]
[A02BA01, cimetidine, The metabolism of Cimetidine can be decreased when combined with Stiripentol.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Stiripentol.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Stiripentol.]
[J01MB06, cinoxacin, The metabolism of Stiripentol can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Stiripentol can be decreased when it is combined with Sotorasib.]
