[S02DA03, antipyrine, The protein binding of Valproic acid can be decreased when combined with Antipyrine.]
[J05AF02, didanosine, The excretion of Didanosine can be decreased when combined with Valproic acid.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Valproic acid.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Pipamperone.]
[A03AB14, pipenzolate, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Valproic acid.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Valproic acid.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Valproic acid is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Valproic acid.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Valproic acid.]
[A03AB11, poldine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The serum concentration of Valproic acid can be increased when it is combined with Diflunisal.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Valproic acid.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Valproic acid.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Valproic acid.]
[C10AX09, ezetimibe, The metabolism of Ezetimibe can be decreased when combined with Valproic acid.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Valproic acid.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Valproic acid.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Hydromorphone.]
[J05AE08, atazanavir, The metabolism of Valproic acid can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Valproic acid.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Diltiazem is combined with Valproic acid.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Valproic acid.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Pridinol.]
[R06AB03, dimethindene, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Valproic acid can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Valproic acid is combined with Progabide.]
[N06BC02, propentofylline, Valproic acid may increase the excretion rate of Propentofylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BB04, propyphenazone, The protein binding of Valproic acid can be decreased when combined with Propyphenazone.]
[M01AB14, proglumetacin, The protein binding of Valproic acid can be decreased when combined with Proglumetacin.]
[G02AD02, dinoprostone, The excretion of Valproic acid can be decreased when combined with Dinoprostone.]
[C05CA03, diosmin, The metabolism of Valproic acid can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Proparacaine.]
[R03DA03, proxyphylline, Valproic acid may increase the excretion rate of Proxyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Valproic acid is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Quazepam.]
[C09AA06, quinapril, The excretion of Quinapril can be decreased when combined with Valproic acid.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Valproic acid is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Valproic acid.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Valproic acid is combined with Remoxipride.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Disopyramide is combined with Valproic acid.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Valproic acid.]
[S02AA12, rifamycin SV, The metabolism of Valproic acid can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Valproic acid can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Valproic acid is combined with Riluzole.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Valproic acid.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Valproic acid.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Valproic acid.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Valproic acid.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Valproic acid.]
[S01BC05, ketorolac, The protein binding of Valproic acid can be decreased when combined with Ketorolac.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Valproic acid.]
[N02BA06, salsalate, The protein binding of Valproic acid can be decreased when combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Valproic acid.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Valproic acid.]
[N06AA12, doxepin, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Valproic acid.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Valproic acid.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Valproic acid is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Valproic acid.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Valproic acid.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Valproic acid.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Valproic acid can be decreased when used in combination with Sodium phosphate, monobasic.]
[R03DA01, dyphylline, Valproic acid may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Sultopride is combined with Valproic acid.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Valproic acid is combined with Sumatriptan.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Talinolol is combined with Valproic acid.]
[J01CG02, tazobactam, The excretion of Valproic acid can be decreased when combined with Tazobactam.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Valproic acid is combined with Temozolomide.]
[M01AC02, tenoxicam, The protein binding of Valproic acid can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Valproic acid.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Terodiline.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Valproic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Valproic acid is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Valproic acid is combined with Thiopropazate.]
[G04BD01, emepronium, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Valproic acid.]
[C09AA02, enalapril, The excretion of Valproic acid can be decreased when combined with Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The protein binding of Valproic acid can be decreased when combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Valproic acid.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Valproic acid.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Toremifene.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Valproic acid.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Valproic acid is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Valproic acid is combined with Triclofos.]
[A03AB08, tridihexethyl, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Valproic acid is combined with Trimethobenzamide.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Valproic acid.]
[N04AA12, tropatepine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Valproic acid.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Valproic acid is combined with Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Valproic acid.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Valproic acid is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Valproic acid.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Valproic acid.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Valproic acid is combined with Venlafaxine.]
[S01EA01, epinephrine, The metabolism of Valproic acid can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The protein binding of Valproic acid can be decreased when combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Valproic acid.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Valproic acid.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Zotepine.]
[C02AC02, guanfacine, The serum concentration of Valproic acid can be increased when it is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Valproic acid.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Valproic acid is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Valproic acid.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Valproic acid.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Estazolam.]
[A02BC02, pantoprazole, The excretion of Valproic acid can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Valproic acid.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Valproic acid.]
[G03CA57, estrogens, conjugated (USP), The excretion of Valproic acid can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Valproic acid can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Valproic acid.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Valproic acid is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Valproic acid.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Valproic acid.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Ibutilide is combined with Valproic acid.]
[N04AA05, profenamine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The serum concentration of Valproic acid can be decreased when it is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Valproic acid is combined with Ethotoin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Ethyl chloride.]
[M01AC06, meloxicam, The protein binding of Valproic acid can be decreased when combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Ethylmorphine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Valproic acid.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Valproic acid.]
[D05BB01, etretinate, Valproic acid may increase the Pseudotumor Cerebri activities of Etretinate.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Valproic acid is combined with Sertindole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Valproic acid.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Valproic acid.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Valproic acid.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Valproic acid.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Valproic acid is combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Valproic acid can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Valproic acid.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Valproic acid.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Valproic acid.]
[C10AA03, pravastatin, The excretion of Valproic acid can be decreased when combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, The metabolism of Valproic acid can be decreased when combined with Sodium aurothiomalate.]
[A05AA01, chenodeoxycholic acid, The metabolism of Valproic acid can be decreased when combined with Chenodeoxycholic acid.]
[A02BA03, famotidine, The excretion of Valproic acid can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, The excretion of Levocarnitine can be decreased when combined with Valproic acid.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Valproic acid.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Valproic acid.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Fendiline is combined with Valproic acid.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Valproic acid is combined with Fenfluramine.]
[M01AE04, fenoprofen, The protein binding of Valproic acid can be decreased when combined with Fenoprofen.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Valproic acid.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Valproic acid.]
[L01BB06, clofarabine, The excretion of Clofarabine can be decreased when combined with Valproic acid.]
[G04BD02, flavoxate, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Flecainide is combined with Valproic acid.]
[N02BG04, floctafenine, The protein binding of Valproic acid can be decreased when combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Valproic acid can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Flunarizine.]
[N05CD03, flunitrazepam, The metabolism of Valproic acid can be decreased when combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Valproic acid is combined with Melitracen.]
[V03AZ01, ethanol, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Valproic acid can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Valproic acid.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Valproic acid is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Flurazepam.]
[S01BC04, flurbiprofen, The protein binding of Valproic acid can be decreased when combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Fluspirilene is combined with Valproic acid.]
[L02BB01, flutamide, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Flutamide.]
[V04CX02, folic acid, The serum concentration of Folic acid can be decreased when it is combined with Valproic acid.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Valproic acid.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Valproic acid is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Furazolidone.]
[C03CA01, furosemide, The excretion of Valproic acid can be decreased when combined with Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Valproic acid is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Amisulpride is combined with Valproic acid.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Valproic acid.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Valproic acid.]
[S01AD09, ganciclovir, The excretion of Valproic acid can be decreased when combined with Ganciclovir.]
[N03AA04, barbexaclone, The serum concentration of Barbexaclone can be increased when it is combined with Valproic acid.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Valproic acid is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Valproic acid can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Telavancin is combined with Valproic acid.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Valproic acid.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Valproic acid.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Valproic acid.]
[C01CA21, cafedrine, Valproic acid may increase the excretion rate of Cafedrine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Valproic acid.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Valproic acid.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Valproic acid.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Valproic acid is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Valproic acid.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Valproic acid.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Valproic acid.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Valproic acid.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Valproic acid is combined with Glutethimide.]
[C05AE01, nitroglycerin, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Nitroglycerin.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Valproic acid.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Valproic acid.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Valproic acid.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Valproic acid.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Valproic acid.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Valproic acid.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Valproic acid is combined with Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Valproic acid.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Valproic acid.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Valproic acid is combined with Iprazochrome.]
[L01CE02, irinotecan, The risk or severity of neutropenia can be increased when Valproic acid is combined with Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Valproic acid is combined with Allobarbital.]
[M04AA01, allopurinol, The excretion of Allopurinol can be decreased when combined with Valproic acid.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Valproic acid.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Valproic acid.]
[A07EC02, mesalamine, The serum concentration of Valproic acid can be increased when it is combined with Mesalazine.]
[N05CA16, hexobarbital, The serum concentration of Hexobarbital can be increased when it is combined with Valproic acid.]
[J05AG01, nevirapine, The metabolism of Valproic acid can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Nilvadipine is combined with Valproic acid.]
[M02AA26, nimesulide, The protein binding of Valproic acid can be decreased when combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Oxatomide is combined with Valproic acid.]
[C03AA03, hydrochlorothiazide, The excretion of Hydrochlorothiazide can be decreased when combined with Valproic acid.]
[R05DA03, hydrocodone, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The excretion of Hydrocortisone can be decreased when combined with Valproic acid.]
[G04BD06, propiverine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Valproic acid can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Valproic acid is combined with Prothipendyl.]
[L01XX05, hydroxyurea, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Hydroxyurea.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Valproic acid can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The protein binding of Valproic acid can be decreased when combined with Ibuprofen.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Valproic acid.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Valproic acid.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Valproic acid is combined with Sufentanil.]
[N06AA02, imipramine, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Valproic acid.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Valproic acid.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Terlipressin is combined with Valproic acid.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be decreased when combined with Valproic acid.]
[L01CE01, topotecan, Valproic acid may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Valproic acid.]
[S01BC01, indomethacin, The protein binding of Valproic acid can be decreased when combined with Indomethacin.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Valproic acid is combined with Milnacipran.]
[A03AA30, piperidolate, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Articaine.]
[A10BH01, sitagliptin, The excretion of Sitagliptin can be decreased when combined with Valproic acid.]
[V08AB02, iohexol, The therapeutic efficacy of Valproic acid can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Valproic acid.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Valproic acid is combined with Ramelteon.]
[R06AE01, buclizine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Valproic acid.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Anagrelide is combined with Valproic acid.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Alprenolol.]
[J05AF04, stavudine, The excretion of Stavudine can be decreased when combined with Valproic acid.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Valproic acid is combined with Iprindole.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Valproic acid.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Valproic acid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Isocarboxazid.]
[P01AX06, atovaquone, The metabolism of Valproic acid can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Valproic acid.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Valproic acid can be decreased when combined with Isoniazid.]
[C01DA14, isosorbide mononitrate, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, Valproic acid may increase the Pseudotumor Cerebri activities of Isotretinoin.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Valproic acid.]
[L04AC07, tocilizumab, The metabolism of Valproic acid can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Valproic acid is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Valproic acid.]
[J02AB02, ketoconazole, The metabolism of Valproic acid can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Valproic acid can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The serum concentration of Olanzapine can be decreased when it is combined with Valproic acid.]
[M02AA10, ketoprofen, The protein binding of Valproic acid can be decreased when combined with Ketoprofen.]
