[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Itraconazole.]
[H02AB17, cortivazol, The metabolism of Cortivazol can be decreased when combined with Itraconazole.]
[L01EM03, alpelisib, The serum concentration of Alpelisib can be increased when it is combined with Itraconazole.]
[L01FX14, polatuzumab vedotin, The risk or severity of adverse effects can be increased when Itraconazole is combined with Polatuzumab vedotin.]
[L01XX66, selinexor, The metabolism of Selinexor can be decreased when combined with Itraconazole.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be increased when it is combined with Itraconazole.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Itraconazole.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Cicletanine.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Itraconazole.]
[L04AA44, upadacitinib, The metabolism of Upadacitinib can be decreased when combined with Itraconazole.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Itraconazole.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Itraconazole.]
[N07XX11, pitolisant, The serum concentration of Itraconazole can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The serum concentration of Pretomanid can be increased when it is combined with Itraconazole.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Itraconazole.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Itraconazole.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Itraconazole.]
[J01XX09, daptomycin, The serum concentration of Daptomycin can be increased when it is combined with Itraconazole.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Itraconazole.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Itraconazole.]
[G03DB05, demegestone, The metabolism of Demegestone can be decreased when combined with Itraconazole.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Itraconazole.]
[N02CC08, lasmiditan, The serum concentration of Lasmiditan can be increased when it is combined with Itraconazole.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Itraconazole.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Itraconazole.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Itraconazole.]
[N03AX25, cenobamate, The serum concentration of Itraconazole can be decreased when it is combined with Cenobamate.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Itraconazole.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Itraconazole.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Itraconazole.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Dexchlorpheniramine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Itraconazole.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Itraconazole.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Itraconazole.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be increased when it is combined with Itraconazole.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be decreased when combined with Itraconazole.]
[J05AB16, remdesivir, The metabolism of Remdesivir can be decreased when combined with Itraconazole.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Itraconazole.]
[H02CA02, osilodrostat, The serum concentration of Osilodrostat can be increased when it is combined with Itraconazole.]
[J05AE05, amprenavir, The serum concentration of Itraconazole can be increased when it is combined with Amprenavir.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Itraconazole.]
[L04AA38, ozanimod, Itraconazole may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Itraconazole.]
[G03DB08, dienogest, The metabolism of Dienogest can be decreased when combined with Itraconazole.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Itraconazole.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Itraconazole.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Itraconazole.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Itraconazole.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Itraconazole.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Itraconazole.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Chlorcyclizine.]
[L01EN02, pemigatinib, The metabolism of Pemigatinib can be decreased when combined with Itraconazole.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Itraconazole.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be increased when it is combined with Itraconazole.]
[D07XB03, fluprednidene, The metabolism of Fluprednidene can be decreased when combined with Itraconazole.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Itraconazole.]
[M01AC04, droxicam, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Droxicam.]
[L01EX19, ripretinib, The serum concentration of Ripretinib can be increased when it is combined with Itraconazole.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be increased when it is combined with Itraconazole.]
[M02AA27, dexketoprofen, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Itraconazole.]
[L01XX69, lurbinectedin, The serum concentration of Lurbinectedin can be increased when it is combined with Itraconazole.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Itraconazole.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Itraconazole.]
[J05AX29, fostemsavir, The metabolism of Fostemsavir can be decreased when combined with Itraconazole.]
[L01FX15, belantamab mafodotin, The serum concentration of Belantamab mafodotin can be increased when it is combined with Itraconazole.]
[L04AC19, satralizumab, The serum concentration of Itraconazole can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Itraconazole.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Itraconazole.]
[L01EX23, pralsetinib, The serum concentration of Pralsetinib can be increased when it is combined with Itraconazole.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Itraconazole.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Itraconazole.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Chlorprothixene.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Itraconazole.]
[A11CC05, cholecalciferol, The metabolism of Cholecalciferol can be decreased when combined with Itraconazole.]
[N02BA07, ethenzamide, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Ethenzamide.]
[N06BX18, vinpocetine, The metabolism of Vinpocetine can be decreased when combined with Itraconazole.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be decreased when combined with Itraconazole.]
[M01AB08, etodolac, The risk or severity of hyperkalemia can be increased when Etodolac is combined with Itraconazole.]
[M02AA06, etofenamate, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Etofenamate.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Itraconazole.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Itraconazole.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Itraconazole.]
[L04AD03, voclosporin, The metabolism of Voclosporin can be decreased when combined with Itraconazole.]
[P03AX07, abametapir, The serum concentration of Itraconazole can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be increased when it is combined with Itraconazole.]
[V03AF12, trilaciclib, Itraconazole may decrease the excretion rate of Trilaciclib which could result in a higher serum level.]
[N03AX10, felbamate, The metabolism of Felbamate can be decreased when combined with Itraconazole.]
[M01AE05, fenbufen, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Fenbufen.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Itraconazole.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Flumequine.]
[R03BA03, flunisolide, The metabolism of Flunisolide can be decreased when combined with Itraconazole.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Itraconazole.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Itraconazole.]
[L01EK03, tivozanib, The serum concentration of Tivozanib can be increased when it is combined with Itraconazole.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be increased when it is combined with Itraconazole.]
[A02BA01, cimetidine, Cimetidine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Itraconazole.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Itraconazole can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Itraconazole.]
[S03AA07, ciprofloxacin, The metabolism of Itraconazole can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The metabolism of Citalopram can be decreased when combined with Itraconazole.]
[J02AX07, ibrexafungerp, The serum concentration of Ibrexafungerp can be increased when it is combined with Itraconazole.]
[C03DA05, finerenone, The serum concentration of the active metabolites of Finerenone can be increased when Finerenone is used in combination with Itraconazole.]
[L04AA48, belumosudil, The metabolism of Belumosudil can be decreased when combined with Itraconazole.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Itraconazole is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Mobocertinib.]
[L01FX23, tisotumab vedotin, The metabolism of Tisotumab vedotin can be decreased when combined with Itraconazole.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Itraconazole.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Itraconazole.]
[L04AA59, avacopan, The metabolism of Avacopan can be decreased when combined with Itraconazole.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Clemastine.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Itraconazole.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be decreased when combined with Itraconazole.]
[L01EA06, asciminib, The serum concentration of Asciminib can be decreased when it is combined with Itraconazole.]
[L02BG06, exemestane, The metabolism of Exemestane can be decreased when combined with Itraconazole.]
[J05AX10, maribavir, The metabolism of Maribavir can be decreased when combined with Itraconazole.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Itraconazole.]
[C10AB01, clofibrate, The metabolism of Clofibrate can be decreased when combined with Itraconazole.]
[B06AX04, mitapivat, The metabolism of Mitapivat can be decreased when combined with Itraconazole.]
[L01EJ03, pacritinib, The serum concentration of Pacritinib can be increased when it is combined with Itraconazole.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Itraconazole.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Itraconazole.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be decreased when combined with Itraconazole.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Itraconazole.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Itraconazole.]
[A02BC08, vonoprazan, Vonoprazan can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be decreased when combined with Itraconazole.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Itraconazole.]
[A04AA02, granisetron, The metabolism of Granisetron can be decreased when combined with Itraconazole.]
[L01XX77, adagrasib, The serum concentration of Adagrasib can be increased when it is combined with Itraconazole.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Itraconazole.]
[L01EN04, futibatinib, The metabolism of Futibatinib can be decreased when combined with Itraconazole.]
[H01AC08, somatrogon, The metabolism of Itraconazole can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Cocaine.]
[M09AX11, palovarotene, The serum concentration of Palovarotene can be increased when it is combined with Itraconazole.]
[M01AX13, proquazone, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Proquazone.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Itraconazole.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Itraconazole.]
[L04AA13, leflunomide, Itraconazole may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Desflurane.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Itraconazole.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The metabolism of Telithromycin can be decreased when combined with Itraconazole.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Itraconazole.]
[B01AC10, indobufen, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Desloratadine.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Itraconazole.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Itraconazole.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Itraconazole.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Itraconazole.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Itraconazole.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The metabolism of Fluocinolone acetonide can be decreased when combined with Itraconazole.]
[M01AG01, mefenamic acid, The risk or severity of hyperkalemia can be increased when Mefenamic acid is combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Bemiparin.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Emedastine.]
[N05BA10, ketazolam, The metabolism of Ketazolam can be decreased when combined with Itraconazole.]
[M01AA06, kebuzone, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Imatinib can be increased when it is combined with Itraconazole.]
[J02AC04, posaconazole, The metabolism of Posaconazole can be decreased when combined with Itraconazole.]
[A02BC05, esomeprazole, Esomeprazole can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08CA09, lacidipine, The metabolism of Lacidipine can be decreased when combined with Itraconazole.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Itraconazole.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Itraconazole.]
[S01BA03, cortisone, The metabolism of Cortisone can be decreased when combined with Itraconazole.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Lonazolac.]
[R06AX13, loratadine, The metabolism of Loratadine can be decreased when combined with Itraconazole.]
[M02AA31, loxoprofen, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Loxoprofen.]
[C09AA03, lisinopril, The risk or severity of hyperkalemia can be increased when Lisinopril is combined with Itraconazole.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08CA11, manidipine, The metabolism of Manidipine can be decreased when combined with Itraconazole.]
[C07AA14, mepindolol, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Mepindolol.]
[H02AB15, meprednisone, The metabolism of Meprednisone can be decreased when combined with Itraconazole.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Itraconazole.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Adenosine.]
[C04AX01, cyclandelate, The metabolism of Cyclandelate can be decreased when combined with Itraconazole.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Cyclizine.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Itraconazole.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Melperone.]
[J01FA03, midecamycin, The metabolism of Midecamycin can be decreased when combined with Itraconazole.]
[J05AF07, tenofovir disoproxil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Itraconazole.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Itraconazole.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Itraconazole.]
[N06BA07, modafinil, The metabolism of Modafinil can be decreased when combined with Itraconazole.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Itraconazole.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Itraconazole.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Itraconazole.]
[M02AA02, mofebutazone, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be decreased when combined with Itraconazole.]
[G04BE09, vardenafil, The serum concentration of Vardenafil can be increased when it is combined with Itraconazole.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Itraconazole.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be increased when it is combined with Itraconazole.]
[G03XA01, danazol, The metabolism of Itraconazole can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Itraconazole.]
[L01DB02, daunorubicin, Itraconazole may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Itraconazole.]
[M01AX01, nabumetone, The risk or severity of hyperkalemia can be increased when Nabumetone is combined with Itraconazole.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Itraconazole.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Itraconazole.]
[N06AX06, nefazodone, The metabolism of Itraconazole can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Nicorandil.]
[N03AG06, tiagabine, The metabolism of Tiagabine can be decreased when combined with Itraconazole.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be decreased when combined with Itraconazole.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Itraconazole.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Itraconazole.]
[A07EC03, olsalazine, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Olsalazine.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Desipramine is combined with Itraconazole.]
[C01AA07, deslanoside, The serum concentration of Deslanoside can be increased when it is combined with Itraconazole.]
[C09XA02, aliskiren, The serum concentration of Aliskiren can be increased when it is combined with Itraconazole.]
[L01XA03, oxaliplatin, Itraconazole may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[M01AE12, oxaprozin, The risk or severity of hyperkalemia can be increased when Oxaprozin is combined with Itraconazole.]
[S03BA01, dexamethasone, The metabolism of Dexamethasone can be decreased when combined with Itraconazole.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Itraconazole.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Itraconazole.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Itraconazole.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Itraconazole.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Itraconazole.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Itraconazole.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Itraconazole.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Itraconazole.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Itraconazole.]
[J05AF02, didanosine, Didanosine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C02DG01, pinacidil, The metabolism of Pinacidil can be decreased when combined with Itraconazole.]
[A03AX04, pinaverium, The metabolism of Pinaverium can be decreased when combined with Itraconazole.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be decreased when combined with Itraconazole.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Itraconazole.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Itraconazole.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Itraconazole.]
[C08CA03, isradipine, The metabolism of Isradipine can be decreased when combined with Itraconazole.]
[D07XC04, diflucortolone, The metabolism of Difluocortolone can be decreased when combined with Itraconazole.]
[N02BA11, diflunisal, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Itraconazole.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Itraconazole.]
[C01AA05, digoxin, The serum concentration of Digoxin can be increased when it is combined with Itraconazole.]
[C10AX09, ezetimibe, Itraconazole may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, The serum concentration of Dihydroergocristine can be increased when it is combined with Itraconazole.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Itraconazole.]
[J05AE08, atazanavir, The metabolism of Itraconazole can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Itraconazole.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Itraconazole.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Itraconazole.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Dimenhydrinate.]
[N02BB04, propyphenazone, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Proglumetacin.]
[R06AA02, diphenhydramine, The risk or severity of QTc prolongation can be increased when Diphenhydramine is combined with Itraconazole.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Itraconazole.]
[C09AA06, quinapril, The risk or severity of hyperkalemia can be increased when Quinapril is combined with Itraconazole.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Itraconazole.]
[C09AA05, ramipril, The risk or severity of hyperkalemia can be increased when Ramipril is combined with Itraconazole.]
[S01XA23, sirolimus, The serum concentration of the active metabolites of Sirolimus can be increased when Sirolimus is used in combination with Itraconazole.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be decreased when combined with Itraconazole.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Itraconazole.]
[S02AA12, rifamycin SV, The metabolism of Itraconazole can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Rifapentine can be decreased when combined with Itraconazole.]
[D06AX11, rifaximin, The serum concentration of Rifaximin can be increased when it is combined with Itraconazole.]
[N07XX02, riluzole, Itraconazole may decrease the excretion rate of Riluzole which could result in a higher serum level.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Itraconazole.]
[R06AE09, levocetirizine, The metabolism of Levocetirizine can be decreased when combined with Itraconazole.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Itraconazole.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Itraconazole.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be decreased when combined with Itraconazole.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Itraconazole.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Itraconazole.]
[J05AE07, fosamprenavir, The serum concentration of Itraconazole can be increased when it is combined with Fosamprenavir.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Itraconazole.]
[S01BC05, ketorolac, The risk or severity of hyperkalemia can be increased when Ketorolac is combined with Itraconazole.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Itraconazole.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Itraconazole.]
[N02BA06, salsalate, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Salsalate.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Itraconazole.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Itraconazole.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Itraconazole.]
[N06AA12, doxepin, Doxepin can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01DB01, doxorubicin, The serum concentration of Doxorubicin can be increased when it is combined with Itraconazole.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Itraconazole.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Itraconazole.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be decreased when combined with Itraconazole.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Droperidol.]
[A08AA10, sibutramine, The metabolism of Sibutramine can be decreased when combined with Itraconazole.]
[C10AA01, simvastatin, The serum concentration of Simvastatin can be increased when it is combined with Itraconazole.]
[B05XA02, sodium bicarbonate, Sodium bicarbonate can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Itraconazole.]
[C09AA11, spirapril, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Spirapril.]
[G03DB01, dydrogesterone, The metabolism of Dydrogesterone can be decreased when combined with Itraconazole.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Sultopride.]
[N02CC01, sumatriptan, Itraconazole may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Itraconazole.]
[H01AA01, corticotropin, The metabolism of Corticotropin can be decreased when combined with Itraconazole.]
