[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Insulin glulisine.]
[C07AB13, talinolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hyperglycemia can be increased when Corticotropin is combined with Insulin glulisine.]
[J01MA05, temafloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Temafloxacin.]
[G04BD05, terodiline, The risk or severity of hypoglycemia can be increased when Terodiline is combined with Insulin glulisine.]
[C07AA16, tertatolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Tertatolol.]
[N06AX14, tianeptine, Tianeptine may decrease the hypoglycemic activities of Insulin glulisine.]
[G03CX01, tibolone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Tibolone.]
[C09AA02, enalapril, The risk or severity of hypoglycemia can be increased when Enalapril is combined with Insulin glulisine.]
[N06AG03, toloxatone, The risk or severity of hypoglycemia can be increased when Toloxatone is combined with Insulin glulisine.]
[C03CA04, torsemide, The risk or severity of hypoglycemia can be increased when Torasemide is combined with Insulin glulisine.]
[C09AA10, trandolapril, The risk or severity of hypoglycemia can be increased when Trandolapril is combined with Insulin glulisine.]
[H02CA01, trilostane, The risk or severity of hyperglycemia can be increased when Trilostane is combined with Insulin glulisine.]
[G03GA05, follitropin alfa, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Follitropin.]
[L02AE04, triptorelin, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Triptorelin.]
[J01MA04, enoxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Enoxacin.]
[N06AX16, venlafaxine, The risk or severity of hypoglycemia can be increased when Venlafaxine is combined with Insulin glulisine.]
[S01GA03, xylometazoline, The risk or severity of hypoglycemia can be increased when Xylometazoline is combined with Insulin glulisine.]
[C08CA12, mepirodipine, The risk or severity of hypoglycemia can be increased when Barnidipine is combined with Insulin glulisine.]
[S01EA01, epinephrine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Epinephrine.]
[C09AA15, zofenopril, The risk or severity of hypoglycemia can be increased when Zofenopril is combined with Insulin glulisine.]
[N03AX15, zonisamide, The risk or severity of hypoglycemia can be increased when Zonisamide is combined with Insulin glulisine.]
[J01MB04, pipemidic acid, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The risk or severity of hyperglycemia can be increased when Fluocinolone acetonide is combined with Insulin glulisine.]
[N05AX11, zotepine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Zotepine.]
[C01BG01, moricizine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Moricizine.]
[G03CA03, estradiol, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Estradiol.]
[G03CC06, estriol, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Estriol.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Conjugated estrogens.]
[G03CC04, estrone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Estrone.]
[R03BA09, fluticasone furoate, The risk or severity of hyperglycemia can be increased when Fluticasone furoate is combined with Insulin glulisine.]
[R03BA05, fluticasone, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Insulin glulisine.]
[D07AC21, halobetasol, The risk or severity of hyperglycemia can be increased when Ulobetasol is combined with Insulin glulisine.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Ethinylestradiol.]
[N03AD01, ethosuximide, The risk or severity of hypoglycemia can be increased when Ethosuximide is combined with Insulin glulisine.]
[N05AE03, sertindole, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Sertindole.]
[L04AD02, tacrolimus, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Tacrolimus.]
[J01MA08, fleroxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Fleroxacin.]
[N06AB08, fluvoxamine, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Insulin glulisine.]
[L02AE02, leuprolide, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Leuprolide.]
[C08CA02, felodipine, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Insulin glulisine.]
[C08EA01, fendiline, The risk or severity of hypoglycemia can be increased when Fendiline is combined with Insulin glulisine.]
[R03CC02, albuterol, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Salbutamol.]
[J02AC01, fluconazole, The risk or severity of hypoglycemia can be increased when Insulin glulisine is combined with Fluconazole.]
[H02AA02, fludrocortisone, The risk or severity of hyperglycemia can be increased when Fludrocortisone is combined with Insulin glulisine.]
[D07XB01, flumethasone, The risk or severity of hyperglycemia can be increased when Flumethasone is combined with Insulin glulisine.]
[N07CA03, flunarizine, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Insulin glulisine.]
[D07AC08, fluocinonide, The risk or severity of hyperglycemia can be increased when Fluocinonide is combined with Insulin glulisine.]
[N06AA14, melitracen, Melitracen may decrease the hypoglycemic activities of Insulin glulisine.]
[H02AB03, fluocortolone, The risk or severity of hyperglycemia can be increased when Fluocortolone is combined with Insulin glulisine.]
[V03AZ01, ethanol, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Ethanol.]
[S01CB05, fluorometholone, The risk or severity of hyperglycemia can be increased when Fluorometholone is combined with Insulin glulisine.]
[N06AB03, fluoxetine, The risk or severity of hypoglycemia can be increased when Fluoxetine is combined with Insulin glulisine.]
[G03BA01, fluoxymesterone, Fluoxymesterone may increase the hypoglycemic activities of Insulin glulisine.]
[N05AB02, fluphenazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Fluphenazine.]
[D07AC07, flurandrenolide, The risk or severity of hyperglycemia can be increased when Flurandrenolide is combined with Insulin glulisine.]
[N05AG01, fluspirilene, The risk or severity of hypoglycemia can be increased when Fluspirilene is combined with Insulin glulisine.]
[G01AX06, furazolidone, The risk or severity of hypoglycemia can be increased when Furazolidone is combined with Insulin glulisine.]
[J05AE10, darunavir, The risk or severity of hypoglycemia can be increased when Darunavir is combined with Insulin glulisine.]
[C03CA01, furosemide, The risk or severity of hypoglycemia can be increased when Furosemide is combined with Insulin glulisine.]
[N05AL05, amisulpride, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Amisulpride.]
[C08DA02, gallopamil, The risk or severity of hypoglycemia can be increased when Gallopamil is combined with Insulin glulisine.]
[C10AB04, gemfibrozil, The risk or severity of hypoglycemia can be increased when Gemfibrozil is combined with Insulin glulisine.]
[A10BJ02, liraglutide, Liraglutide may increase the hypoglycemic activities of Insulin glulisine.]
[N03AD03, methsuximide, The risk or severity of hypoglycemia can be increased when Methsuximide is combined with Insulin glulisine.]
[G03XA02, gestrinone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Gestrinone.]
[A10BB01, glyburide, The risk or severity of hypoglycemia can be increased when Glyburide is combined with Insulin glulisine.]
[A10BB09, gliclazide, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Insulin glulisine.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Glipizide is combined with Insulin glulisine.]
[H04AA01, glucagon, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Glucagon.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may decrease the hypoglycemic activities of Insulin glulisine.]
[C07AB09, esmolol, Esmolol may increase the hypoglycemic activities of Insulin glulisine.]
[C09AA09, fosinopril, The risk or severity of hypoglycemia can be increased when Fosinopril is combined with Insulin glulisine.]
[L02AE03, goserelin, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Goserelin.]
[D07AD02, halcinonide, The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Insulin glulisine.]
[N05AD01, haloperidol, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Haloperidol.]
[L02AE05, histrelin, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Histrelin.]
[S01FB03, ibopamine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Ibopamine.]
[N05AH04, quetiapine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Quetiapine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Insulin aspart is combined with Insulin glulisine.]
[C09CA01, losartan, The risk or severity of hypoglycemia can be increased when Losartan is combined with Insulin glulisine.]
[A07EC02, mesalamine, The risk or severity of hypoglycemia can be increased when Mesalazine is combined with Insulin glulisine.]
[C08CA10, nilvadipine, The risk or severity of hypoglycemia can be increased when Nilvadipine is combined with Insulin glulisine.]
[M02AA26, nimesulide, The risk or severity of hypoglycemia can be increased when Nimesulide is combined with Insulin glulisine.]
[C09AA04, perindopril, The risk or severity of hypoglycemia can be increased when Perindopril is combined with Insulin glulisine.]
[C03AA03, hydrochlorothiazide, The risk or severity of hypoglycemia can be increased when Hydrochlorothiazide is combined with Insulin glulisine.]
[S02BA01, hydrocortisone, The risk or severity of hyperglycemia can be increased when Hydrocortisone is combined with Insulin glulisine.]
[D07AC16, hydrocortisone aceponate, The risk or severity of hyperglycemia can be increased when Hydrocortisone aceponate is combined with Insulin glulisine.]
[C03AA02, hydroflumethiazide, The risk or severity of hypoglycemia can be increased when Hydroflumethiazide is combined with Insulin glulisine.]
[A12BA02, potassium citrate, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Potassium citrate.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Hydroxychloroquine.]
[S01BA13, rimexolone, The risk or severity of hyperglycemia can be increased when Rimexolone is combined with Insulin glulisine.]
[H01AC02, somatrem, Somatrem may decrease the hypoglycemic activities of Insulin glulisine.]
[N06AA02, imipramine, Imipramine may decrease the hypoglycemic activities of Insulin glulisine.]
[R01AD07, tixocortol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Insulin glulisine.]
[C03BA11, indapamide, The risk or severity of hypoglycemia can be increased when Indapamide is combined with Insulin glulisine.]
[S01BC01, indomethacin, The risk or severity of hypoglycemia can be increased when Indomethacin is combined with Insulin glulisine.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Milnacipran is combined with Insulin glulisine.]
[N01BB08, articaine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Articaine.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Sitagliptin is combined with Insulin glulisine.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Vildagliptin is combined with Insulin glulisine.]
[C07AA01, alprenolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Alprenolol.]
[C03BA02, quinethazone, The risk or severity of hypoglycemia can be increased when Quinethazone is combined with Insulin glulisine.]
[N06AA13, iprindole, Iprindole may decrease the hypoglycemic activities of Insulin glulisine.]
[N06AF05, iproniazid, The risk or severity of hypoglycemia can be increased when Iproniazid is combined with Insulin glulisine.]
[N05AA07, chlorproethazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of hypoglycemia can be increased when Isocarboxazid is combined with Insulin glulisine.]
[S01EC03, dorzolamide, The risk or severity of hypoglycemia can be increased when Dorzolamide is combined with Insulin glulisine.]
[C09AA16, imidapril, The risk or severity of hypoglycemia can be increased when Imidapril is combined with Insulin glulisine.]
[J04AC01, isoniazid, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Isoniazid.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Exenatide is combined with Insulin glulisine.]
[H01AC01, somatropin, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Somatotropin.]
[N05AH03, olanzapine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Olanzapine.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Insulin glulisine.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Nalidixic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Labetalol.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Etacrynic acid.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Levonorgestrel.]
[C08EX01, lidoflazine, The risk or severity of hypoglycemia can be increased when Lidoflazine is combined with Insulin glulisine.]
[C03DB01, amiloride, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Amiloride.]
[N06AA07, lofepramine, Lofepramine may decrease the hypoglycemic activities of Insulin glulisine.]
[A07DA03, loperamide, The risk or severity of hypoglycemia can be increased when Loperamide is combined with Insulin glulisine.]
[G03DC03, lynestrenol, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Lynestrenol.]
[D06BA03, mafenide, The risk or severity of hypoglycemia can be increased when Mafenide is combined with Insulin glulisine.]
[L01EG01, temsirolimus, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Temsirolimus.]
[V04CC02, magnesium sulfate, The risk or severity of hypoglycemia can be increased when Magnesium sulfate is combined with Insulin glulisine.]
[L01EA03, nilotinib, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Nilotinib.]
[V04CX04, mannitol, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Mannitol.]
[C03BA05, mefruside, The risk or severity of hypoglycemia can be increased when Mefruside is combined with Insulin glulisine.]
[C03BC01, mersalyl, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Mersalyl.]
[N05AC03, mesoridazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Mesoridazine.]
[G03BB01, mesterolone, Mesterolone may increase the hypoglycemic activities of Insulin glulisine.]
[N05AX13, paliperidone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Paliperidone.]
[A10BA02, metformin, The risk or severity of adverse effects can be increased when Insulin glulisine is combined with Metformin.]
[H01CB03, lanreotide, The risk or severity of hypoglycemia can be increased when Lanreotide is combined with Insulin glulisine.]
[S01EC05, methazolamide, The risk or severity of hypoglycemia can be increased when Methazolamide is combined with Insulin glulisine.]
[H03BB02, methimazole, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Methimazole.]
[N02BG08, ziconotide, The risk or severity of hypoglycemia can be increased when Ziconotide is combined with Insulin glulisine.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Methotrimeprazine.]
[C03AA08, methyclothiazide, The risk or severity of hypoglycemia can be increased when Methyclothiazide is combined with Insulin glulisine.]
[V04CG05, methylene blue, The risk or severity of hypoglycemia can be increased when Methylene blue is combined with Insulin glulisine.]
[H02AB04, methylprednisolone, The risk or severity of hyperglycemia can be increased when Methylprednisolone is combined with Insulin glulisine.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hyperglycemia can be increased when Methylprednisolone aceponate is combined with Insulin glulisine.]
[G03EK01, methyltestosterone, Methyltestosterone may increase the hypoglycemic activities of Insulin glulisine.]
[A03FA01, metoclopramide, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Metoclopramide.]
[C03BA08, metolazone, The risk or severity of hypoglycemia can be increased when Metolazone is combined with Insulin glulisine.]
[C07AB02, metoprolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Metoprolol.]
[G03XB01, mifepristone, The risk or severity of hypoglycemia can be increased when Mifepristone is combined with Insulin glulisine.]
[C09CA03, valsartan, The risk or severity of hypoglycemia can be increased when Valsartan is combined with Insulin glulisine.]
[C01BD01, amiodarone, The risk or severity of hypoglycemia can be increased when Amiodarone is combined with Insulin glulisine.]
[N06AA09, amitriptyline, Amitriptyline may decrease the hypoglycemic activities of Insulin glulisine.]
[N06AA17, amoxapine, Amoxapine may decrease the hypoglycemic activities of Insulin glulisine.]
[C07AA12, nadolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Nadolol.]
[N04BC04, ropinirole, The metabolism of Ropinirole can be increased when combined with Insulin glulisine.]
[S01XA11, nandrolone, Nandrolone phenpropionate may increase the hypoglycemic activities of Insulin glulisine.]
[A10BG01, troglitazone, The risk or severity of hypoglycemia can be increased when Troglitazone is combined with Insulin glulisine.]
[N06AX21, duloxetine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Insulin glulisine.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Insulin glulisine.]
[N05AX14, iloperidone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Desvenlafaxine is combined with Insulin glulisine.]
[C09CA07, telmisartan, The risk or severity of hypoglycemia can be increased when Telmisartan is combined with Insulin glulisine.]
[C10AD02, niacin, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Niacin.]
[N06AF02, nialamide, The risk or severity of hypoglycemia can be increased when Nialamide is combined with Insulin glulisine.]
[C08CA04, nicardipine, The risk or severity of hypoglycemia can be increased when Nicardipine is combined with Insulin glulisine.]
[C08CA05, nifedipine, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Insulin glulisine.]
[C08CA06, nimodipine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Insulin glulisine.]
[C08CA07, nisoldipine, The risk or severity of hypoglycemia can be increased when Nisoldipine is combined with Insulin glulisine.]
[C08CA08, nitrendipine, The risk or severity of hypoglycemia can be increased when Nitrendipine is combined with Insulin glulisine.]
[G03DC02, norethindrone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Norethisterone.]
[S01AE02, norfloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Norfloxacin.]
[G03AC07, norgestrienone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Norgestrienone.]
[C02KX01, bosentan, The risk or severity of hypoglycemia can be increased when Bosentan is combined with Insulin glulisine.]
[N06AA10, nortriptyline, Nortriptyline may decrease the hypoglycemic activities of Insulin glulisine.]
[G02CA02, nylidrin, The risk or severity of hypoglycemia can be increased when Nylidrin is combined with Insulin glulisine.]
[H01CB02, octreotide, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Ofloxacin.]
[N06AA05, opipramol, Opipramol may decrease the hypoglycemic activities of Insulin glulisine.]
[G04CA02, tamsulosin, The risk or severity of hypoglycemia can be increased when Tamsulosin is combined with Insulin glulisine.]
[A14AA08, oxandrolone, Oxandrolone may increase the hypoglycemic activities of Insulin glulisine.]
[J01MB05, oxolinic acid, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Oxolinic acid.]
[C07AA02, oxprenolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Oxprenolol.]
[A14AA05, oxymetholone, Oxymetholone may increase the hypoglycemic activities of Insulin glulisine.]
[J04AA01, aminosalicylic acid, The risk or severity of hypoglycemia can be increased when Aminosalicylic acid is combined with Insulin glulisine.]
[N05AH05, asenapine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Asenapine.]
[G03DB06, chlormadinone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Chlormadinone.]
[H02AB05, paramethasone, The risk or severity of hyperglycemia can be increased when Paramethasone is combined with Insulin glulisine.]
[C02KC01, pargyline, The risk or severity of hypoglycemia can be increased when Pargyline is combined with Insulin glulisine.]
[J01MA03, pefloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Pefloxacin.]
[C07AA23, penbutolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypoglycemia can be increased when Penfluridol is combined with Insulin glulisine.]
[C04AD03, pentoxifylline, The risk or severity of hypoglycemia can be increased when Pentoxifylline is combined with Insulin glulisine.]
[N05AB10, perazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Perazine.]
[C08EX02, perhexiline, The risk or severity of hypoglycemia can be increased when Perhexiline is combined with Insulin glulisine.]
[N05AB03, perphenazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Perphenazine.]
[N06AF03, phenelzine, The risk or severity of hypoglycemia can be increased when Phenelzine is combined with Insulin glulisine.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Phenformin is combined with Insulin glulisine.]
[A08AA01, phentermine, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Phentermine.]
[N03AB02, phenytoin, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Phenytoin.]
[S01AE05, levofloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of hypoglycemia can be increased when Mibefradil is combined with Insulin glulisine.]
[C07AA03, pindolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Pindolol.]
[J05AE01, saquinavir, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Saquinavir.]
[P02CB01, piperazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Piperazine.]
[N05AC04, pipothiazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Pipotiazine.]
[C09CA02, eprosartan, The risk or severity of hypoglycemia can be increased when Eprosartan is combined with Insulin glulisine.]
[J01MA11, grepafloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Grepafloxacin.]
[A10BG02, rosiglitazone, The risk or severity of congestive heart failure can be increased when Insulin glulisine is combined with Rosiglitazone.]
[C03AA05, polythiazide, The risk or severity of hypoglycemia can be increased when Polythiazide is combined with Insulin glulisine.]
[J05AE03, ritonavir, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Saxagliptin is combined with Insulin glulisine.]
[V03AB21, potassium iodide, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Potassium Iodide.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Insulin lispro is combined with Insulin glulisine.]
[C07AB01, practolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Practolol.]
[S03BA02, prednisolone, The risk or severity of hyperglycemia can be increased when Prednisolone is combined with Insulin glulisine.]
[H02AB07, prednisone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Insulin glulisine.]
[C01DX02, prenylamine, The risk or severity of hypoglycemia can be increased when Prenylamine is combined with Insulin glulisine.]
[M04AB01, probenecid, The risk or severity of hypoglycemia can be increased when Probenecid is combined with Insulin glulisine.]
[S01HA05, procaine, The risk or severity of hypoglycemia can be increased when Procaine is combined with Insulin glulisine.]
[L01XB01, procarbazine, The risk or severity of hypoglycemia can be increased when Procarbazine is combined with Insulin glulisine.]
[C10AB05, fenofibrate, The risk or severity of hypoglycemia can be increased when Fenofibrate is combined with Insulin glulisine.]
[N05AB04, prochlorperazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Prochlorperazine.]
[G03DA04, progesterone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Promethazine.]
[C01BC03, propafenone, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Propafenone.]
[N05AC01, periciazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Periciazine.]
[C07AA05, propranolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Propranolol.]
[H03BA02, propylthiouracil, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Propylthiouracil.]
[N06AA11, protriptyline, Protriptyline may decrease the hypoglycemic activities of Insulin glulisine.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Aripiprazole.]
[P01BC01, quinine, The risk or severity of hypoglycemia can be increased when Quinine is combined with Insulin glulisine.]
[D07AC10, diflorasone, The risk or severity of hyperglycemia can be increased when Diflorasone is combined with Insulin glulisine.]
[C02AA01, rescinnamine, The risk or severity of hypoglycemia can be increased when Rescinnamine is combined with Insulin glulisine.]
[A07EC01, sulfasalazine, The risk or severity of hypoglycemia can be increased when Sulfasalazine is combined with Insulin glulisine.]
[S01BC08, salicylic acid, The risk or severity of hypoglycemia can be increased when Salicylic acid is combined with Insulin glulisine.]
[N04BD01, selegiline, The risk or severity of hypoglycemia can be increased when Selegiline is combined with Insulin glulisine.]
[D06BA01, silver sulfadiazine, The risk or severity of hypoglycemia can be increased when Silver sulfadiazine is combined with Insulin glulisine.]
[H01CB01, somatostatin, The risk or severity of hypoglycemia can be increased when Somatostatin is combined with Insulin glulisine.]
[C07AA07, sotalol, The risk or severity of hypoglycemia can be increased when Sotalol is combined with Insulin glulisine.]
[C03DA01, spironolactone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Spironolactone.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hyperglycemia can be increased when Hydrocortisone butyrate is combined with Insulin glulisine.]
[D07AB11, hydrocortisone probutate, The risk or severity of hyperglycemia can be increased when Hydrocortisone probutate is combined with Insulin glulisine.]
