[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Mirtazapine.]
[N03AX24, cannabidiol, Cannabidiol may increase the serotonergic activities of Mirtazapine.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Mirtazapine.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Mirtazapine.]
[L01XX62, ivosidenib, The metabolism of Mirtazapine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Mirtazapine.]
[N03AX17, stiripentol, The metabolism of Mirtazapine can be decreased when combined with Stiripentol.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Mirtazapine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Mirtazapine.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R06AA06, chlorphenoxamine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Mirtazapine is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Mirtazapine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Inotersen.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Mirtazapine.]
[R03BB08, revefenacin, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Mirtazapine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Mirtazapine can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The therapeutic efficacy of Mirtazapine can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Amifampridine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Mirtazapine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Cibenzoline.]
[C09AA08, cilazapril, Mirtazapine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Mirtazapine.]
[A03FA08, cinitapride, Cinitapride may increase the serotonergic activities of Mirtazapine.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Mirtazapine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Mirtazapine.]
[J01FA09, clarithromycin, The metabolism of Mirtazapine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Mirtazapine.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Mirtazapine.]
[N05BA09, clobazam, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C09CA06, candesartan, Mirtazapine may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Mirtazapine can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Mirtazapine.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Mirtazapine.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Cicletanine.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the serotonergic activities of Mirtazapine.]
[L01EJ02, fedratinib, The metabolism of Mirtazapine can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Entrectinib.]
[N07XX11, pitolisant, The therapeutic efficacy of Pitolisant can be decreased when used in combination with Mirtazapine.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Mirtazapine.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Mirtazapine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Mirtazapine.]
[C03AA09, cyclothiazide, Mirtazapine may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may increase the serotonergic activities of Mirtazapine.]
[A10AE03, insulin, regular, pork, The metabolism of Mirtazapine can be increased when combined with Insulin pork.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Mirtazapine.]
[N02CC08, lasmiditan, Lasmiditan may increase the serotonergic activities of Mirtazapine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Mirtazapine.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Mirtazapine.]
[N03AX25, cenobamate, The serum concentration of Mirtazapine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Mirtazapine can be increased when it is combined with Givosiran.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Mirtazapine.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R06AB02, dexchlorpheniramine, The metabolism of Mirtazapine can be decreased when combined with Dexchlorpheniramine.]
[N02AX03, dezocine, Dezocine may increase the serotonergic activities of Mirtazapine.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Mirtazapine.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M01AX21, diacetylrhein, The metabolism of Mirtazapine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Mirtazapine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Mirtazapine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Mirtazapine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may increase the serotonergic activities of Mirtazapine.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Mirtazapine is combined with Dutasteride.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Mirtazapine.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02AA08, dihydrocodeine, Dihydrocodeine may increase the serotonergic activities of Mirtazapine.]
[N02CC06, eletriptan, Eletriptan may increase the serotonergic activities of Mirtazapine.]
[M01AH02, rofecoxib, The metabolism of Mirtazapine can be decreased when combined with Rofecoxib.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Mirtazapine.]
[C01BD07, dronedarone, The metabolism of Mirtazapine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Chlorcyclizine.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C02AA06, methoserpidine, Mirtazapine may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Mirtazapine.]
[A03AA08, dihexyverine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The metabolism of Mirtazapine can be decreased when combined with Capmatinib.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Dopexamine.]
[G04BD09, trospium, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Mirtazapine is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Mirtazapine is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Mirtazapine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Mirtazapine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Mirtazapine can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Mirtazapine is combined with Remimazolam.]
[N07XX04, sodium oxybate, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Mirtazapine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, Oliceridine may increase the serotonergic activities of Mirtazapine.]
[P01BA01, chloroquine, The metabolism of Mirtazapine can be decreased when combined with Chloroquine.]
[C03AA04, chlorothiazide, Mirtazapine may decrease the antihypertensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, Chlorpheniramine may increase the serotonergic activities of Mirtazapine.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the serotonergic activities of Mirtazapine.]
[N05AF03, chlorprothixene, Chlorprothixene may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C03BA04, chlorthalidone, Mirtazapine may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A11CC05, cholecalciferol, The metabolism of Mirtazapine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Mirtazapine is combined with Ethenzamide.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Mirtazapine is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Mirtazapine is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Mirtazapine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Mirtazapine can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Relugolix.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Mirtazapine is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Mirtazapine can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Mirtazapine can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Mirtazapine is combined with Fenbufen.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Mirtazapine.]
[C01CA19, fenoldopam, Mirtazapine may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Mirtazapine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Mirtazapine is combined with Finasteride.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Flumequine.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Mirtazapine.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Mirtazapine can be increased when it is combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Mirtazapine may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Mirtazapine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Mirtazapine.]
[J01MB06, cinoxacin, The metabolism of Mirtazapine can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Mirtazapine can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Mirtazapine.]
[S03AA07, ciprofloxacin, The metabolism of Mirtazapine can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, Citalopram may increase the serotonergic activities of Mirtazapine.]
[H01AC07, somapacitan, The metabolism of Mirtazapine can be increased when combined with Somapacitan.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Mirtazapine.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Mirtazapine is combined with Fexinidazole.]
[H01AC09, lonapegsomatropin, The metabolism of Mirtazapine can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Mobocertinib.]
[R06AA04, clemastine, Clemastine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Mirtazapine.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Mirtazapine is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, St. John's Wort may increase the serotonergic activities of Mirtazapine.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Mirtazapine.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Clofazimine.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Pacritinib.]
[N06AA04, clomipramine, Clomipramine may increase the serotonergic activities of Mirtazapine.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Mirtazapine.]
[C01EB24, mavacamten, The serum concentration of Mirtazapine can be decreased when it is combined with Mavacamten.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A04AA01, ondansetron, Ondansetron may increase the serotonergic activities of Mirtazapine.]
[A04AA02, granisetron, Granisetron may increase the serotonergic activities of Mirtazapine.]
[N05AH02, clozapine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[H01AC08, somatrogon, The metabolism of Mirtazapine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Cocaine may increase the serotonergic activities of Mirtazapine.]
[C02KB01, metyrosine, Mirtazapine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Mirtazapine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Mirtazapine is combined with Proquazone.]
[R05DA04, codeine, Codeine may increase the serotonergic activities of Mirtazapine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Mirtazapine.]
[A03AB10, hexocyclium, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Mirtazapine can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Mirtazapine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Mirtazapine is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The metabolism of Mirtazapine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Mirtazapine.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Mirtazapine is combined with Indobufen.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Mirtazapine is combined with Valdecoxib.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Mirtazapine is combined with Isometheptene.]
[N02CC05, almotriptan, Almotriptan may increase the serotonergic activities of Mirtazapine.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Mirtazapine is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Mirtazapine can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Mirtazapine.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Emedastine.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Mirtazapine is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Mirtazapine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Mirtazapine can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Lacidipine.]
[N03AX09, lamotrigine, Lamotrigine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N07BC04, lofexidine, Lofexidine may increase the serotonergic activities of Mirtazapine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Mirtazapine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Mirtazapine is combined with Lonazolac.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Mirtazapine is combined with Loxoprofen.]
[C09AA03, lisinopril, Mirtazapine may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, The metabolism of Mirtazapine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Mirtazapine is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Mirtazapine.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Adenosine.]
[N04AA03, methixene, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, Methoxyphenamine may increase the serotonergic activities of Mirtazapine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C03DA04, eplerenone, Mirtazapine may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, Melperone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C03AA07, cyclopenthiazide, Mirtazapine may decrease the antihypertensive activities of Cyclopenthiazide.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Mirtazapine.]
[N06AX07, minaprine, Minaprine may increase the serotonergic activities of Mirtazapine.]
[S01XA18, cyclosporine, The metabolism of Mirtazapine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the serotonergic activities of Mirtazapine.]
[N06BA07, modafinil, The metabolism of Mirtazapine can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Mirtazapine.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Mirtazapine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Mirtazapine is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Mirtazapine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Mirtazapine may decrease the antihypertensive activities of Moxonidine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Mirtazapine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Mirtazapine.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Mirtazapine.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Mirtazapine.]
[G03XA01, danazol, The metabolism of Mirtazapine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C02CC04, debrisoquin, Mirtazapine may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Mirtazapine.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C07AB12, nebivolol, Mirtazapine may decrease the antihypertensive activities of Nebivolol.]
[N06AX06, nefazodone, Nefazodone may increase the serotonergic activities of Mirtazapine.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C01DX16, nicorandil, Mirtazapine may decrease the antihypertensive activities of Nicorandil.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Mirtazapine.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Norfenefrine.]
[R05DA06, normethadone, Normethadone may increase the serotonergic activities of Mirtazapine.]
[N06AB10, escitalopram, Escitalopram may increase the serotonergic activities of Mirtazapine.]
[G04BD08, solifenacin, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Olsalazine.]
[N06AA01, desipramine, Desipramine may increase the serotonergic activities of Mirtazapine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Mirtazapine.]
[C09XA02, aliskiren, Mirtazapine may decrease the antihypertensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Mirtazapine is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[S03BA01, dexamethasone, The metabolism of Mirtazapine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N04AA08, dexetimide, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, Dexfenfluramine may increase the serotonergic activities of Mirtazapine.]
[A03AA01, oxyphencyclimine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Mirtazapine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Mirtazapine can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, Amphetamine may increase the serotonergic activities of Mirtazapine.]
[R05DA09, dextromethorphan, Dextromethorphan may increase the serotonergic activities of Mirtazapine.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02AC01, dextromoramide, Dextromoramide may increase the serotonergic activities of Mirtazapine.]
[N06AB05, paroxetine, Paroxetine may increase the serotonergic activities of Mirtazapine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Mirtazapine.]
[N07BC06, heroin, Diamorphine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Mirtazapine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Mirtazapine.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[V03AH01, diazoxide, Mirtazapine may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06AA08, dibenzepin, Dibenzepin may increase the serotonergic activities of Mirtazapine.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Mirtazapine.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Foscarnet.]
[A03AA07, dicyclomine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Mirtazapine may decrease the antihypertensive activities of Pinacidil.]
