[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Salmeterol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Chlorcyclizine.]
[C02AA06, methoserpidine, Salmeterol may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Salmeterol.]
[A03AA08, dihexyverine, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Dihexyverine.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Salmeterol is combined with Dopexamine.]
[D07XB03, fluprednidene, The risk or severity of hypokalemia can be increased when Fluprednidene is combined with Salmeterol.]
[G04BD09, trospium, The risk or severity of Tachycardia can be increased when Trospium is combined with Salmeterol.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Salmeterol is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Salmeterol is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Salmeterol is combined with Dexketoprofen.]
[C08CA17, levamlodipine, Salmeterol may decrease the antihypertensive activities of Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Fostemsavir.]
[L04AC19, satralizumab, The serum concentration of Salmeterol can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Salmeterol.]
[L01EX23, pralsetinib, The metabolism of Salmeterol can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Salmeterol.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Chlorpromazine.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Chlorprothixene.]
[C03BA04, chlorthalidone, Salmeterol may decrease the antihypertensive activities of Chlorthalidone.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Salmeterol is combined with Ethenzamide.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Salmeterol.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Salmeterol.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Salmeterol is combined with Etofenamate.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Etofibrate.]
[B06AC06, berotralstat, The metabolism of Salmeterol can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Salmeterol can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Relugolix.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Salmeterol is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Salmeterol can be increased when it is combined with Abametapir.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Salmeterol is combined with Fenbufen.]
[N06BA10, fenethylline, The risk or severity of hypokalemia can be increased when Fenethylline is combined with Salmeterol.]
[C01CA19, fenoldopam, Salmeterol may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Salmeterol is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Salmeterol is combined with Finasteride.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hypokalemia can be increased when Flunisolide is combined with Salmeterol.]
[R03CC15, formoterol, Salmeterol may increase the sympathomimetic activities of Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Salmeterol.]
[N01AB05, trichloroethylene, The risk or severity of hypertension can be increased when Salmeterol is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, Salmeterol may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Salmeterol.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Salmeterol can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Salmeterol can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of hypokalemia can be increased when Cisplatin is combined with Salmeterol.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Citalopram.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Salmeterol.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Salmeterol is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Clemastine.]
[R03CC13, clenbuterol, The risk or severity of adverse effects can be increased when Salmeterol is combined with Clenbuterol.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Salmeterol.]
[N06AX25, St. John's wort extract, The metabolism of Salmeterol can be increased when combined with St. John's Wort.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Salmeterol.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Clofibrate is combined with Salmeterol.]
[L01EJ03, pacritinib, The serum concentration of Salmeterol can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of hypertension can be increased when Clomipramine is combined with Salmeterol.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Salmeterol.]
[C01EB24, mavacamten, The serum concentration of Salmeterol can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Salmeterol.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Granisetron.]
[N05AH02, clozapine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Clozapine.]
[H01AC08, somatrogon, The metabolism of Salmeterol can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Cocaine.]
[C02KB01, metyrosine, Salmeterol may decrease the antihypertensive activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Salmeterol can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Salmeterol is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Salmeterol.]
[M04AC01, colchicine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Colchicine.]
[A03AB10, hexocyclium, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of Tachycardia can be increased when Homatropine methylbromide is combined with Salmeterol.]
[L04AA13, leflunomide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Desflurane.]
[C04AX28, ifenprodil, The risk or severity of hypertension can be increased when Salmeterol is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Salmeterol can be decreased when combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Salmeterol is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The metabolism of Salmeterol can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of hypokalemia can be increased when Ciclesonide is combined with Salmeterol.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Salmeterol is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Desloratadine.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Salmeterol.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Salmeterol is combined with Isometheptene.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Salmeterol.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Salmeterol is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Salmeterol can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The risk or severity of adverse effects can be increased when Acyclovir is combined with Salmeterol.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Emedastine.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Salmeterol is combined with Kebuzone.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Salmeterol.]
[J02AC04, posaconazole, The metabolism of Salmeterol can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Lacidipine.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Salmeterol.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Levocabastine.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nafarelin is combined with Salmeterol.]
[S01BA03, cortisone, The risk or severity of hypokalemia can be increased when Cortisone is combined with Salmeterol.]
[N07BC04, lofexidine, Salmeterol may decrease the antihypertensive activities of Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Salmeterol is combined with Lonazolac.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Salmeterol is combined with Loxoprofen.]
[C09AA03, lisinopril, Salmeterol may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, Salmeterol may decrease the antihypertensive activities of Manidipine.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Mebeverine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Salmeterol is combined with Mefenorex.]
[C07AA14, mepindolol, Mepindolol may decrease the bronchodilatory activities of Salmeterol.]
[H02AB15, meprednisone, The risk or severity of hypokalemia can be increased when Meprednisone is combined with Salmeterol.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Adenosine.]
[N04AA03, methixene, The risk or severity of Tachycardia can be increased when Metixene is combined with Salmeterol.]
[R03CB02, methoxyphenamine, The risk or severity of hypertension can be increased when Salmeterol is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Cyclizine.]
[C03DA04, eplerenone, Salmeterol may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Melperone.]
[C03AA07, cyclopenthiazide, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Cyclopenthiazide.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Salmeterol.]
[N06AX07, minaprine, The risk or severity of hypertension can be increased when Minaprine is combined with Salmeterol.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Salmeterol.]
[N06AG02, moclobemide, The risk or severity of hypertension can be increased when Salmeterol is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Salmeterol can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Salmeterol.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Salmeterol.]
[C10AA07, rosuvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Rosuvastatin.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Salmeterol is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Salmeterol is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Salmeterol can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Salmeterol may decrease the antihypertensive activities of Moxonidine.]
[L01BC01, cytarabine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Cytarabine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Salmeterol.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Salmeterol is combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Salmeterol can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Salmeterol.]
[L01DB02, daunorubicin, The metabolism of Salmeterol can be increased when combined with Daunorubicin.]
[C02CC04, debrisoquin, Salmeterol may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of Tachycardia can be increased when Nabilone is combined with Salmeterol.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Salmeterol.]
[C07AB12, nebivolol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Nebivolol.]
[N06AX06, nefazodone, The metabolism of Salmeterol can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Salmeterol may decrease the antihypertensive activities of Nicorandil.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Salmeterol is combined with Theodrenaline.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Salmeterol is combined with Norfenefrine.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Salmeterol is combined with Olsalazine.]
[N06AA01, desipramine, The risk or severity of hypertension can be increased when Desipramine is combined with Salmeterol.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Salmeterol.]
[D07XC02, desoximetasone, The risk or severity of hypokalemia can be increased when Desoximetasone is combined with Salmeterol.]
[H02AA03, desoxycorticosterone, The risk or severity of hypokalemia can be increased when Desoxycortone is combined with Salmeterol.]
[C09XA02, aliskiren, Salmeterol may decrease the antihypertensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Salmeterol.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Salmeterol is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The metabolism of Salmeterol can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Salmeterol can be increased when combined with Dexamethasone.]
[N04AA08, dexetimide, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Dexetimide.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Salmeterol.]
[A03AA01, oxyphencyclimine, The risk or severity of Tachycardia can be increased when Oxyphencyclimine is combined with Salmeterol.]
[L04AB04, adalimumab, The metabolism of Salmeterol can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Salmeterol can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Salmeterol.]
[R05DA09, dextromethorphan, The metabolism of Salmeterol can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Salmeterol.]
[N06AB05, paroxetine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Salmeterol.]
[B01AC04, clopidogrel, The risk or severity of adverse effects can be increased when Clopidogrel is combined with Salmeterol.]
[C04AD01, pentifylline, The risk or severity of hypokalemia can be increased when Pentifylline is combined with Salmeterol.]
[N05BA01, diazepam, The metabolism of Salmeterol can be decreased when combined with Diazepam.]
[V03AH01, diazoxide, Salmeterol may decrease the antihypertensive activities of Diazoxide.]
[N06AA08, dibenzepin, The risk or severity of hypertension can be increased when Dibenzepin is combined with Salmeterol.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Salmeterol.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Salmeterol.]
[A03AA07, dicyclomine, The risk or severity of Tachycardia can be increased when Dicyclomine is combined with Salmeterol.]
[C02DG01, pinacidil, Salmeterol may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Pinaverium.]
[A10BG03, pioglitazone, The serum concentration of Pioglitazone can be increased when it is combined with Salmeterol.]
[A03AB14, pipenzolate, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Salmeterol.]
[R03CC07, pirbuterol, The risk or severity of adverse effects can be increased when Salmeterol is combined with Pirbuterol.]
[C03CA03, piretanide, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Piretanide.]
[A08AA03, diethylpropion, The risk or severity of hypertension can be increased when Diethylpropion is combined with Salmeterol.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Salmeterol.]
[C08CA03, isradipine, The metabolism of Salmeterol can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of hypokalemia can be increased when Difluocortolone is combined with Salmeterol.]
[A03AB11, poldine, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Salmeterol.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Salmeterol.]
[C02DB01, dihydralazine, Salmeterol may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the hypertensive and vasoconstricting activities of Salmeterol.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the hypertensive and vasoconstricting activities of Salmeterol.]
[J05AE08, atazanavir, The metabolism of Salmeterol can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The serum concentration of Treprostinil can be increased when it is combined with Salmeterol.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Salmeterol.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Dimenhydrinate.]
[R06AB03, dimethindene, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Dimetindene.]
[R03CC08, procaterol, The risk or severity of adverse effects can be increased when Salmeterol is combined with Procaterol.]
[N06BC02, propentofylline, The risk or severity of hypokalemia can be increased when Propentofylline is combined with Salmeterol.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Salmeterol is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Salmeterol is combined with Proglumetacin.]
[G02AD02, dinoprostone, The risk or severity of adverse effects can be increased when Dinoprostone is combined with Salmeterol.]
[R03DA03, proxyphylline, The risk or severity of hypokalemia can be increased when Proxyphylline is combined with Salmeterol.]
[R06AA02, diphenhydramine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Diphenhydramine.]
[C09AA06, quinapril, Salmeterol may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of hypertension can be increased when Salmeterol is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of hypertension can be increased when Quinupramine is combined with Salmeterol.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Salmeterol.]
[C09AA05, ramipril, Salmeterol may decrease the antihypertensive activities of Ramipril.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Salmeterol.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Salmeterol is combined with Reproterol.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Salmeterol.]
[S02AA12, rifamycin SV, The metabolism of Salmeterol can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Salmeterol can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Levocetirizine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Salmeterol.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Salmeterol.]
[A04AD12, aprepitant, The metabolism of Salmeterol can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Salmeterol.]
[G04BE08, tadalafil, Salmeterol may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Salmeterol.]
[C02KX02, ambrisentan, Salmeterol may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Salmeterol is combined with Salsalate.]
[S01AA13, fusidic acid, The metabolism of Salmeterol can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The risk or severity of hypokalemia can be increased when Fluocinolone acetonide is combined with Salmeterol.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of adverse effects can be increased when Dobutamine is combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Salmeterol.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Salmeterol.]
[N06AA16, dothiepin, The risk or severity of hypertension can be increased when Dosulepin is combined with Salmeterol.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Salmeterol.]
[N06AA12, doxepin, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Doxepin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Salmeterol.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Sevoflurane.]
[N05AD08, droperidol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Droperidol.]
[A08AA10, sibutramine, Sibutramine may increase the tachycardic activities of Salmeterol.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Salmeterol.]
[C09AA11, spirapril, Salmeterol may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, The risk or severity of hypokalemia can be increased when Dyphylline is combined with Salmeterol.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of hypertension can be increased when Sumatriptan is combined with Salmeterol.]
[C07AB13, talinolol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hypokalemia can be increased when Corticotropin is combined with Salmeterol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Salmeterol.]
[G04CA03, terazosin, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Terazosin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Salmeterol.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Terodiline.]
[C07AA16, tertatolol, Tertatolol may decrease the bronchodilatory activities of Salmeterol.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Salmeterol is combined with Tetryzoline.]
[G04BD01, emepronium, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Emepronium.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Emetine.]
[N06AX14, tianeptine, The risk or severity of hypertension can be increased when Tianeptine is combined with Salmeterol.]
[C09AA02, enalapril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Enalapril is combined with Salmeterol.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Salmeterol is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of hypertension can be increased when Salmeterol is combined with Toloxatone.]
[N06BA09, atomoxetine, Atomoxetine may increase the tachycardic activities of Salmeterol.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Toremifene.]
[C03CA04, torsemide, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Salmeterol is combined with Tramazoline.]
[C09AA10, trandolapril, Salmeterol may decrease the antihypertensive activities of Trandolapril.]
[A03AB08, tridihexethyl, The risk or severity of Tachycardia can be increased when Tridihexethyl is combined with Salmeterol.]
[H02CA01, trilostane, The risk or severity of hypokalemia can be increased when Trilostane is combined with Salmeterol.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Triptorelin.]
[N04AA12, tropatepine, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Salmeterol is combined with Tulobuterol.]
[C02CA06, urapidil, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Salmeterol.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Salmeterol is combined with Ephedrine.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Salmeterol.]
[N06AX16, venlafaxine, Venlafaxine may increase the tachycardic activities of Salmeterol.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Salmeterol is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Salmeterol is combined with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Salmeterol can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of adverse effects can be increased when Epinephrine is combined with Salmeterol.]
[C09AA15, zofenopril, Salmeterol may decrease the antihypertensive activities of Zofenopril.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Salmeterol is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Salmeterol.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Salmeterol.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Salmeterol is combined with Guanfacine.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Salmeterol.]
[G02AB03, ergonovine, Ergometrine may increase the hypertensive and vasoconstricting activities of Salmeterol.]
