[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Levothyroxine.]
[C07AB12, nebivolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Nebivolol.]
[N06AX06, nefazodone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Nefazodone.]
[C01CA23, theodrenaline, The therapeutic efficacy of Theodrenaline can be increased when used in combination with Levothyroxine.]
[N06AB10, escitalopram, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Escitalopram.]
[A07EC03, olsalazine, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Olsalazine.]
[N06AA01, desipramine, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Desipramine.]
[L01EB01, gefitinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of adverse effects can be increased when Amphetamine is combined with Levothyroxine.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Levothyroxine.]
[N06AB05, paroxetine, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Paroxetine.]
[N07BC06, heroin, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Diamorphine.]
[C04AD01, pentifylline, Levothyroxine may increase the excretion rate of Pentifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Diazepam.]
[N06AA08, dibenzepin, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Dibenzepin.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Levothyroxine.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Levothyroxine.]
[L01EB02, erlotinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Erlotinib.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Levothyroxine.]
[L02AA01, diethylstilbestrol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Diethylstilbestrol.]
[D07XC04, diflucortolone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Difluocortolone.]
[N02BA11, diflunisal, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Diflunisal.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be decreased when it is combined with Levothyroxine.]
[C01AA05, digoxin, Levothyroxine may increase the excretion rate of Digoxin which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA02, polyestradiol phosphate, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Polyestradiol phosphate.]
[L01XX24, pegaspargase, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Pegaspargase.]
[N02CA01, dihydroergotamine, Levothyroxine may increase the vasoconstricting activities of Dihydroergotamine.]
[J05AE08, atazanavir, The metabolism of Levothyroxine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Levothyroxine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Levothyroxine.]
[R03CC08, procaterol, The risk or severity of adverse effects can be increased when Procaterol is combined with Levothyroxine.]
[N06BC02, propentofylline, Levothyroxine may increase the excretion rate of Propentofylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA03, proxyphylline, Levothyroxine may increase the excretion rate of Proxyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA23, quinupramine, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Levothyroxine.]
[S01XA23, sirolimus, The serum concentration of Sirolimus can be decreased when it is combined with Levothyroxine.]
[S01AX06, resorcinol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Resorcinol.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Levothyroxine.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be decreased when used in combination with Levothyroxine.]
[C03XA01, tolvaptan, The serum concentration of Tolvaptan can be decreased when it is combined with Levothyroxine.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be decreased when it is combined with Levothyroxine.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Levothyroxine.]
[C02KX02, ambrisentan, The excretion of Ambrisentan can be decreased when combined with Levothyroxine.]
[C01CA07, dobutamine, The risk or severity of adverse effects can be increased when Dobutamine is combined with Levothyroxine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Levothyroxine.]
[C01CA04, dopamine, The risk or severity of adverse effects can be increased when Dopamine is combined with Levothyroxine.]
[N06AA16, dothiepin, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Doxepin.]
[L01DB01, doxorubicin, The serum concentration of Doxorubicin can be decreased when it is combined with Levothyroxine.]
[N06AB06, sertraline, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Sertraline.]
[A08AA10, sibutramine, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Levothyroxine.]
[B05XA02, sodium bicarbonate, Sodium bicarbonate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R03DA01, dyphylline, Levothyroxine may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CC01, sumatriptan, Levothyroxine may increase the vasoconstricting activities of Sumatriptan.]
[C07AB13, talinolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Talinolol.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Levothyroxine.]
[C07AA16, tertatolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Tertatolol.]
[A08AB01, orlistat, The serum concentration of Levothyroxine can be decreased when it is combined with Orlistat.]
[S01GA02, tetrahydrozoline, The risk or severity of adverse effects can be increased when Tetryzoline is combined with Levothyroxine.]
[N06AX14, tianeptine, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Tianeptine.]
[G03CX01, tibolone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Tibolone.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Levothyroxine.]
[R01AA09, tramazoline, The risk or severity of adverse effects can be increased when Tramazoline is combined with Levothyroxine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Levothyroxine.]
[S01GA03, xylometazoline, Levothyroxine may increase the vasoconstricting activities of Xylometazoline.]
[S01EA01, epinephrine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Levothyroxine.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Levothyroxine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Levothyroxine.]
[N02CA02, ergotamine, Levothyroxine may increase the vasoconstricting activities of Ergotamine.]
[N03AG01, valproic acid, The metabolism of Levothyroxine can be decreased when combined with Valproic acid.]
[S01AA17, erythromycin, The excretion of Erythromycin can be decreased when combined with Levothyroxine.]
[A02BC02, pantoprazole, Pantoprazole can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03CA03, estradiol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Estradiol.]
[G03CC06, estriol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Estriol.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Conjugated estrogens.]
[R03BA09, fluticasone furoate, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Fluticasone furoate.]
[R03BA05, fluticasone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Levothyroxine.]
[C01CA15, gepefrine, The risk or severity of adverse effects can be increased when Gepefrine is combined with Levothyroxine.]
[L02AA03, ethinyl estradiol, The metabolism of Levothyroxine can be increased when combined with Ethinylestradiol.]
[J04AD03, ethionamide, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Ethionamide.]
[N03AB01, ethotoin, The therapeutic efficacy of Ethotoin can be increased when used in combination with Levothyroxine.]
[C01CA01, etilefrine, The risk or severity of adverse effects can be increased when Etilefrine is combined with Levothyroxine.]
[L01CB01, etoposide, The serum concentration of Etoposide can be decreased when it is combined with Levothyroxine.]
[A02BA04, nizatidine, Nizatidine can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AB08, fluvoxamine, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Fluvoxamine.]
[C10AA03, pravastatin, The excretion of Pravastatin can be decreased when combined with Levothyroxine.]
[M01CB01, gold sodium thiomalate, The metabolism of Levothyroxine can be decreased when combined with Sodium aurothiomalate.]
[A02BA03, famotidine, Famotidine can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Fenoterol is combined with Levothyroxine.]
[N05CD03, flunitrazepam, The metabolism of Levothyroxine can be decreased when combined with Flunitrazepam.]
[D07AC08, fluocinonide, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Melitracen.]
[H02AB03, fluocortolone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Fluocortolone.]
[L01BC09, floxuridine, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Levothyroxine.]
[N06AB03, fluoxetine, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Fluoxetine.]
[S01BC04, flurbiprofen, The metabolism of Levothyroxine can be decreased when combined with Flurbiprofen.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Levothyroxine.]
[C03CA01, furosemide, The protein binding of Levothyroxine can be decreased when combined with Furosemide.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Levothyroxine.]
[C10AB04, gemfibrozil, The metabolism of Levothyroxine can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Dasatinib.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be decreased when it is combined with Levothyroxine.]
[C01CA21, cafedrine, Levothyroxine may increase the excretion rate of Cafedrine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Levothyroxine.]
[A12AA13, calcium citrate, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Calcium citrate.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA05, calcium lactate, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Calcium lactate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Calcium levulinate.]
[L01EH01, lapatinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Lapatinib.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Levothyroxine.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Levothyroxine.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Levothyroxine.]
[L01EX02, sorafenib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Sorafenib.]
[C07AB09, esmolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Esmolol.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be increased when used in combination with Levothyroxine.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Levothyroxine.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Levothyroxine.]
[S01XA14, heparin, The therapeutic efficacy of Heparin can be increased when used in combination with Levothyroxine.]
[A07EC02, mesalamine, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Mesalazine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Levothyroxine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Levothyroxine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Levothyroxine.]
[N06AA02, imipramine, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Levothyroxine.]
[H01BA04, terlipressin, Levothyroxine may increase the vasoconstricting activities of Terlipressin.]
[L01CE01, topotecan, The serum concentration of Topotecan can be decreased when it is combined with Levothyroxine.]
[S01BC01, indomethacin, The metabolism of Levothyroxine can be decreased when combined with Indomethacin.]
[N06AX17, milnacipran, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Milnacipran.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Levothyroxine.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Levothyroxine.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Levothyroxine.]
[C07AA01, alprenolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Alprenolol.]
[N06AA13, iprindole, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Iprindole.]
[R03CB01, isoproterenol, The risk or severity of adverse effects can be increased when Isoprenaline is combined with Levothyroxine.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be decreased when used in combination with Levothyroxine.]
[C04AA01, isoxsuprine, The risk or severity of adverse effects can be increased when Isoxsuprine is combined with Levothyroxine.]
[A02AB01, aluminum hydroxide, The serum concentration of Levothyroxine can be decreased when it is combined with Aluminum hydroxide.]
[N01AX03, ketamine, The risk or severity of hypertension and Tachycardia can be increased when Ketamine is combined with Levothyroxine.]
[J02AB02, ketoconazole, The metabolism of Levothyroxine can be decreased when combined with Ketoconazole.]
[V03AC03, deferasirox, The metabolism of Levothyroxine can be decreased when combined with Deferasirox.]
[C07AG01, labetalol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Labetalol.]
[N06AA07, lofepramine, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Lofepramine.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Levothyroxine.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Calcium pangamate.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Levothyroxine.]
[H01BA03, lypressin, Levothyroxine may increase the vasoconstricting activities of Lypressin.]
[L01EG01, temsirolimus, The serum concentration of Temsirolimus can be decreased when it is combined with Levothyroxine.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EA03, nilotinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of adverse effects can be increased when Levothyroxine is combined with Maprotiline.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Meclofenamic acid can be increased when used in combination with Levothyroxine.]
[C01AA08, medigoxin, Levothyroxine may increase the excretion rate of Metildigoxin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA11, mephentermine, The risk or severity of adverse effects can be increased when Mephentermine is combined with Levothyroxine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Levothyroxine.]
[N05AX13, paliperidone, The serum concentration of Paliperidone can be decreased when it is combined with Levothyroxine.]
[C01CA09, metaraminol, The risk or severity of adverse effects can be increased when Metaraminol is combined with Levothyroxine.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Levothyroxine.]
[N07BC02, methadone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Methadone.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Metamfetamine is combined with Levothyroxine.]
[A03AB07, methantheline, Methantheline can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AX03, methotrexate, The excretion of Methotrexate can be decreased when combined with Levothyroxine.]
[C01CA10, methoxamine, The risk or severity of adverse effects can be increased when Methoxamine is combined with Levothyroxine.]
[R03DA05, aminophylline, Levothyroxine may increase the excretion rate of Aminophylline which could result in a lower serum level and potentially a reduction in efficacy.]
[G03EK01, methyltestosterone, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Methyltestosterone.]
[N02CA04, methysergide, Levothyroxine may increase the vasoconstricting activities of Methysergide.]
[A03FA01, metoclopramide, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Metoclopramide.]
[C07AB02, metoprolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Metoprolol.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Levothyroxine is combined with Mianserin.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Levothyroxine.]
[C01CA17, midodrine, The risk or severity of adverse effects can be increased when Midodrine is combined with Levothyroxine.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Levothyroxine.]
[C09CA03, valsartan, The excretion of Valsartan can be decreased when combined with Levothyroxine.]
[L01XX23, mitotane, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of adverse effects can be increased when Lisdexamfetamine is combined with Levothyroxine.]
[L03AC01, aldesleukin, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Aldesleukin.]
[C01BD01, amiodarone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Amitriptyline.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Levothyroxine.]
[B02BX05, eltrombopag, The metabolism of Levothyroxine can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Pazopanib.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Levothyroxine.]
[G03XC01, raloxifene, Raloxifene can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AA17, amoxapine, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Levothyroxine.]
[C07AA12, nadolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Nadolol.]
[S01XA11, nandrolone, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Nandrolone phenpropionate.]
[S01GA01, naphazoline, The risk or severity of adverse effects can be increased when Naphazoline is combined with Levothyroxine.]
[N06BA01, amphetamine, The risk or severity of adverse effects can be increased when Amphetamine is combined with Levothyroxine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Levothyroxine.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Levothyroxine.]
[N06AX21, duloxetine, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Duloxetine.]
[L01CD02, docetaxel, The excretion of Docetaxel can be decreased when combined with Levothyroxine.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Levothyroxine.]
[N06AX23, desvenlafaxine, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Desvenlafaxine.]
[C10AD02, niacin, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Niacin.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be decreased when combined with Levothyroxine.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Nitrofurantoin can be increased when used in combination with Levothyroxine.]
[C01CA03, norepinephrine, The therapeutic efficacy of Norepinephrine can be increased when used in combination with Levothyroxine.]
[N06AA10, nortriptyline, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Nortriptyline.]
[G02CA02, nylidrin, The risk or severity of adverse effects can be increased when Nylidrin is combined with Levothyroxine.]
[A02BC01, omeprazole, Omeprazole can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AA05, opipramol, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Opipramol.]
[R03CB03, metaproterenol, The risk or severity of adverse effects can be increased when Orciprenaline is combined with Levothyroxine.]
[H01BA05, ornipressin, Levothyroxine may increase the vasoconstricting activities of Ornipressin.]
[C01AC01, ouabain, The excretion of Ouabain can be decreased when combined with Levothyroxine.]
[V08CB01, ferumoxsil, Ferumoxsil can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A14AA08, oxandrolone, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Oxandrolone.]
[C07AA02, oxprenolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Oxprenolol.]
[S01GA04, oxymetazoline, The risk or severity of adverse effects can be increased when Oxymetazoline is combined with Levothyroxine.]
[A14AA05, oxymetholone, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Oxymetholone.]
[J04AA01, aminosalicylic acid, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Aminosalicylic acid.]
[H02AB05, paramethasone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Paramethasone.]
[C07AA23, penbutolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Penbutolol.]
[C04AD03, pentoxifylline, Levothyroxine may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB03, perphenazine, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Perphenazine.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Levothyroxine.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Levothyroxine.]
[N03AA02, phenobarbital, The metabolism of Levothyroxine can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Phenprocoumon can be increased when used in combination with Levothyroxine.]
[A08AA01, phentermine, The risk or severity of adverse effects can be increased when Phentermine is combined with Levothyroxine.]
[S01GA05, phenylephrine, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Levothyroxine.]
[A02BC06, dexlansoprazole, Dexlansoprazole can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R01BA01, phenylpropanolamine, The risk or severity of adverse effects can be increased when Phenylpropanolamine is combined with Levothyroxine.]
[N03AB02, phenytoin, The protein binding of Levothyroxine can be decreased when combined with Phenytoin.]
[C07AA03, pindolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Levothyroxine.]
[N06BX03, piracetam, The risk or severity of confusion, irritability, and sleep disorders can be increased when Levothyroxine is combined with Piracetam.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Levothyroxine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Levothyroxine.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Levothyroxine.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Levothyroxine.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Levothyroxine.]
[J05AE03, ritonavir, The metabolism of Levothyroxine can be increased when combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Levothyroxine.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Levothyroxine.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Levothyroxine.]
[C07AB01, practolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Practolol.]
[H02AB07, prednisone, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Prednisone.]
[N03AA03, primidone, The metabolism of Levothyroxine can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Levothyroxine can be decreased when combined with Probenecid.]
[C01BC03, propafenone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Propafenone.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Levothyroxine.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be decreased when it is combined with Levothyroxine.]
[N01AX10, propofol, The metabolism of Levothyroxine can be decreased when combined with Propofol.]
[C07AA05, propranolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Propranolol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Levothyroxine.]
[N06AA11, protriptyline, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Protriptyline.]
[R01BA02, pseudoephedrine, The risk or severity of adverse effects can be increased when Pseudoephedrine is combined with Levothyroxine.]
[C01BA01, quinidine, The serum concentration of Quinidine can be decreased when it is combined with Levothyroxine.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be decreased when used in combination with Levothyroxine.]
[A02BA02, ranitidine, Ranitidine can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J04AB02, rifampin, The metabolism of Levothyroxine can be increased when combined with Rifampicin.]
[G02CA01, ritodrine, The risk or severity of adverse effects can be increased when Ritodrine is combined with Levothyroxine.]
[A07EC01, sulfasalazine, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Sulfasalazine.]
[S01BC08, salicylic acid, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Salicylic acid.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Levothyroxine.]
[V04CC03, sincalide, The excretion of Sincalide can be decreased when combined with Levothyroxine.]
[C07AA07, sotalol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Sotalol.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be decreased when it is combined with Levothyroxine.]
