[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dacarbazine.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Dacarbazine.]
[P02BX04, triclabendazole, The metabolism of Dacarbazine can be decreased when combined with Triclabendazole.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Siponimod.]
[N06BA14, solriamfetol, Dacarbazine may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Cloprednol.]
[L04AB01, etanercept, The metabolism of Dacarbazine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Risankizumab.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Dacarbazine.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Upadacitinib.]
[N07XX11, pitolisant, The metabolism of Dacarbazine can be increased when combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Dacarbazine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE03, insulin, regular, pork, The metabolism of Dacarbazine can be increased when combined with Insulin pork.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Dacarbazine.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Trastuzumab emtansine.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Diroximel fumarate.]
[A16AX16, givosiran, The serum concentration of Dacarbazine can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Dacarbazine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Dacarbazine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Dacarbazine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Dacarbazine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The serum concentration of Dacarbazine can be increased when it is combined with Osilodrostat.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Dacarbazine.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Dacarbazine.]
[R02AA03, dichlorobenzyl alcohol, Dacarbazine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Dacarbazine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[M01AH02, rofecoxib, The metabolism of Dacarbazine can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Dacarbazine.]
[C08CA16, clevidipine, Dacarbazine may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Dacarbazine.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Dacarbazine.]
[L01EX17, capmatinib, The serum concentration of Dacarbazine can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Fluprednidene.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[V08CA05, mangafodipir, Dacarbazine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Dacarbazine.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Dacarbazine is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Stepronin.]
[L04AC19, satralizumab, The serum concentration of Dacarbazine can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA01, chlorpromazine, The metabolism of Dacarbazine can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Dacarbazine can be decreased when combined with Chlorzoxazone.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N02BA03, choline salicylate, Dacarbazine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Fludarabine.]
[M01AX25, chondroitin sulfates, Dacarbazine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Dacarbazine can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Dacarbazine can be increased when combined with Trilaciclib.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Dacarbazine.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01MB07, flumequine, The metabolism of Dacarbazine can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Dacarbazine.]
[N02BG07, flupirtine, Dacarbazine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ponesimod.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Dacarbazine can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Dacarbazine can be decreased when combined with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Dacarbazine can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Dacarbazine can be decreased when combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The metabolism of Dacarbazine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Dacarbazine.]
[N06AB04, citalopram, The metabolism of Dacarbazine can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Pegcetacoplan.]
[H01AC07, somapacitan, The metabolism of Dacarbazine can be increased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Dacarbazine can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Anifrolumab.]
[H01AC09, lonapegsomatropin, The metabolism of Dacarbazine can be increased when combined with Lonapegsomatropin.]
[V09AB03, ioflupane I-123, Dacarbazine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Dacarbazine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Dacarbazine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ropeginterferon alfa-2b.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Dacarbazine.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Dacarbazine can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Dacarbazine.]
[N03AE01, clonazepam, Dacarbazine may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The metabolism of Dacarbazine can be decreased when combined with Clonidine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Deucravacitinib.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Dacarbazine.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Dacarbazine is combined with Clozapine.]
[J01GB12, arbekacin, Dacarbazine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Dacarbazine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Dacarbazine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M04AC01, colchicine, Dacarbazine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Dacarbazine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Leflunomide.]
[A04AA03, tropisetron, Dacarbazine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Nelarabine.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Dacarbazine.]
[J05AB14, valganciclovir, Dacarbazine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Dacarbazine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Dacarbazine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Dacarbazine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Dacarbazine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Dacarbazine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N02CC05, almotriptan, Dacarbazine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Dacarbazine.]
[S01AD03, acyclovir, The metabolism of Dacarbazine can be decreased when combined with Acyclovir.]
[N05BA10, ketazolam, Dacarbazine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Dacarbazine.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Dacarbazine.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Dacarbazine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Dacarbazine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Dacarbazine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Meprednisone.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Dacarbazine may decrease the excretion rate of Melperone which could result in a higher serum level.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Dacarbazine.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Dacarbazine.]
[S01XA18, cyclosporine, Dacarbazine may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Dacarbazine can be increased when combined with Armodafinil.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Dacarbazine can be decreased when combined with Entecavir.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Dacarbazine.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Antilymphocyte immunoglobulin (horse).]
[J01MB04, pipemidic acid, The metabolism of Dacarbazine can be decreased when combined with Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Dacarbazine.]
[M01AG01, mefenamic acid, The metabolism of Dacarbazine can be decreased when combined with Mefenamic acid.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Dactinomycin.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Dacarbazine.]
[M01AX01, nabumetone, The metabolism of Dacarbazine can be decreased when combined with Nabumetone.]
[N07BB05, nalmefene, Dacarbazine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N06AX06, nefazodone, Dacarbazine may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Dacarbazine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Dacarbazine.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Dacarbazine.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N06AA01, desipramine, Dacarbazine may decrease the excretion rate of Desipramine which could result in a higher serum level.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Dacarbazine.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Dacarbazine.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Dexamethasone.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Dacarbazine.]
[L04AB04, adalimumab, The metabolism of Dacarbazine can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N06AB05, paroxetine, The metabolism of Dacarbazine can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Dacarbazine can be decreased when combined with Clopidogrel.]
[C01DA05, pentaerythritol tetranitrate, Dacarbazine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Dacarbazine.]
[P03AC04, permethrin, Dacarbazine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Cinchocaine.]
[R05DA08, pholcodine, Dacarbazine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Dacarbazine can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J05AF02, didanosine, Dacarbazine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Dacarbazine can be decreased when combined with Erlotinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Pirarubicin.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Difluocortolone.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C01AA05, digoxin, Dacarbazine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Dacarbazine can be decreased when combined with Dihydralazine.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Dacarbazine.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Dacarbazine.]
[J05AE08, atazanavir, The metabolism of Dacarbazine can be decreased when combined with Atazanavir.]
[H03BC01, potassium perchlorate, Dacarbazine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Pramocaine.]
[V03AB09, dimercaprol, Dacarbazine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Dacarbazine may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Dacarbazine.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Dacarbazine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Dacarbazine.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Dacarbazine.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Sirolimus.]
[S01AX06, resorcinol, Dacarbazine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The metabolism of Dacarbazine can be decreased when combined with Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Natalizumab.]
[S02AA12, rifamycin SV, The metabolism of Dacarbazine can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, The metabolism of Dacarbazine can be decreased when combined with Riluzole.]
[R06AE09, levocetirizine, Dacarbazine may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Dacarbazine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Dacarbazine can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Sunitinib.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Dacarbazine.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Dacarbazine.]
[C01CA04, dopamine, Dacarbazine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Dacarbazine can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Dacarbazine.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[A08AA10, sibutramine, Dacarbazine may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[A12CA02, sodium sulfate, Dacarbazine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[V04CX07, edrophonium, Dacarbazine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Corticotropin.]
