[S02DA03, antipyrine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Antipyrine.]
[P01CA02, benznidazole, Indapamide may increase the excretion rate of Benznidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BA03, calcium chloride, Indapamide may decrease the excretion rate of Calcium chloride which could result in a higher serum level.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Indapamide.]
[J05AF06, abacavir, Indapamide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE09, tipranavir, The metabolism of Indapamide can be decreased when combined with Tipranavir.]
[D11AX03, calcium gluconate, Indapamide may decrease the excretion rate of Calcium gluconate which could result in a higher serum level.]
[N07XX13, valbenazine, Indapamide may increase the excretion rate of Valbenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A12AA01, calcium phosphate, Indapamide may decrease the excretion rate of Calcium Phosphate which could result in a higher serum level.]
[L01EX10, midostaurin, The metabolism of Indapamide can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Indapamide.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Delafloxacin.]
[L01BC06, capecitabine, Indapamide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Vorinostat.]
[C07AB07, bisoprolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Bisoprolol.]
[R03AC17, bitolterol, Bitolterol may decrease the antihypertensive activities of Indapamide.]
[J05AG03, efavirenz, The metabolism of Indapamide can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[N04AA11, bornaprine, The serum concentration of Indapamide can be increased when it is combined with Bornaprine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Indapamide is combined with Nesiritide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Budesonide may increase the hypokalemic activities of Indapamide.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Indapamide.]
[M01AB07, bumadizone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Bumadizone.]
[N05CA03, butobarbital, The serum concentration of Indapamide can be increased when it is combined with Butobarbital.]
[N06AA15, butriptyline, Butriptyline may decrease the antihypertensive activities of Indapamide.]
[C01AA02, acetyldigoxins, The risk or severity of adverse effects can be increased when Indapamide is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Indapamide.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Indapamide.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Acrivastine.]
[C09AA01, captopril, The therapeutic efficacy of Indapamide can be increased when used in combination with Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Indapamide can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Indapamide is combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, Indapamide may decrease the excretion rate of Calcium polycarbophil which could result in a higher serum level.]
[A03AA03, camylofine, The serum concentration of Indapamide can be increased when it is combined with Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Carbinoxamine.]
[C07AG02, carvedilol, The therapeutic efficacy of Indapamide can be increased when used in combination with Carvedilol.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Indapamide.]
[N03AX24, cannabidiol, Cannabidiol may decrease the antihypertensive activities of Indapamide.]
[L04AA37, baricitinib, Indapamide may increase the excretion rate of Baricitinib which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Encorafenib.]
[J01DD14, ceftibuten, Indapamide may increase the excretion rate of Ceftibuten which could result in a lower serum level and potentially a reduction in efficacy.]
[J01GB14, plazomicin, Indapamide may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Indapamide can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Indapamide may increase the excretion rate of Migalastat which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX17, stiripentol, The metabolism of Indapamide can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Indapamide.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Indapamide.]
[N01BA04, chloroprocaine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Chloroprocaine.]
[D08AE05, chloroxylenol, Indapamide may increase the excretion rate of Chloroxylenol which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA06, chlorphenoxamine, The serum concentration of Indapamide can be increased when it is combined with Chlorphenoxamine.]
[M01AC05, lornoxicam, The therapeutic efficacy of Indapamide can be decreased when used in combination with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Inotersen.]
[R03BB08, revefenacin, The serum concentration of Indapamide can be increased when it is combined with Revefenacin.]
[L01AD01, carmustine, Indapamide may increase the excretion rate of Carmustine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Amifampridine.]
[A06AX05, prucalopride, The risk or severity of adverse effects can be increased when Indapamide is combined with Prucalopride.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Cibenzoline.]
[C09AA08, cilazapril, The therapeutic efficacy of Indapamide can be increased when used in combination with Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Cilostazol.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Indapamide.]
[S01ED05, carteolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Carteolol.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Triclabendazole.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Indapamide.]
[J01FA09, clarithromycin, The metabolism of Indapamide can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Indapamide may increase the excretion rate of Solriamfetol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA09, clobazam, Indapamide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB14, cloprednol, Cloprednol may increase the hypokalemic activities of Indapamide.]
[A06AB05, castor oil, The risk or severity of adverse effects can be increased when Indapamide is combined with Castor oil.]
[V03AE07, calcium acetate, Indapamide may decrease the excretion rate of Calcium acetate which could result in a higher serum level.]
[C09CA06, candesartan, The therapeutic efficacy of Indapamide can be increased when used in combination with Candesartan.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Indapamide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, Cortivazol may increase the hypokalemic activities of Indapamide.]
[J01DC04, cefaclor, Indapamide may increase the excretion rate of Cefaclor which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB05, cefadroxil, Indapamide may increase the excretion rate of Cefadroxil which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DC05, cefotetan, Indapamide may increase the excretion rate of Cefotetan which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DD02, ceftazidime, Indapamide may increase the excretion rate of Ceftazidime which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BX03, cicletanine, The therapeutic efficacy of Indapamide can be increased when used in combination with Cicletanine.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DD04, ceftriaxone, Indapamide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Indapamide can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Indapamide.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Indapamide can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may decrease the antihypertensive activities of Indapamide.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Indapamide is combined with Insulin pork.]
[A06AB03, danthron, The risk or severity of adverse effects can be increased when Indapamide is combined with Dantron.]
[J01XX09, daptomycin, Indapamide may increase the excretion rate of Daptomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB01, cephalexin, Indapamide may increase the excretion rate of Cephalexin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[J01DB09, cephradine, Indapamide may increase the excretion rate of Cefradine which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB13, deflazacort, Deflazacort may increase the hypokalemic activities of Indapamide.]
[N03AX25, cenobamate, The serum concentration of Indapamide can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[M09AX08, golodirsen, Indapamide may increase the excretion rate of Golodirsen which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Indapamide.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, The risk or severity of hypokalemia can be increased when Dexpanthenol is combined with Indapamide.]
[N02AX03, dezocine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Dezocine.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Gatifloxacin.]
[J05AE05, amprenavir, The metabolism of Indapamide can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may decrease the antihypertensive activities of Indapamide.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Indapamide.]
[R02AA03, dichlorobenzyl alcohol, Indapamide may increase the excretion rate of Dichlorobenzyl alcohol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03DB08, dienogest, Indapamide may increase the excretion rate of Dienogest which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA08, dihydrocodeine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Dihydrocodeine.]
[N02CC06, eletriptan, Eletriptan may decrease the antihypertensive activities of Indapamide.]
[M01AH02, rofecoxib, The therapeutic efficacy of Indapamide can be decreased when used in combination with Rofecoxib.]
[C08CA16, clevidipine, Indapamide may increase the excretion rate of Clevidipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BD07, dronedarone, The metabolism of Indapamide can be decreased when combined with Dronedarone.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Chlorcyclizine.]
[C02AA06, methoserpidine, The therapeutic efficacy of Indapamide can be increased when used in combination with Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Indapamide.]
[A03AA08, dihexyverine, The serum concentration of Indapamide can be increased when it is combined with Dihexyverine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Indapamide is combined with Opicapone.]
[C01CA14, dopexamine, Dopexamine may decrease the antihypertensive activities of Indapamide.]
[D07XB03, fluprednidene, Fluprednidene may increase the hypokalemic activities of Indapamide.]
[G04BD09, trospium, The serum concentration of Indapamide can be increased when it is combined with Trospium.]
[M01AC04, droxicam, The therapeutic efficacy of Indapamide can be decreased when used in combination with Droxicam.]
[V08CA05, mangafodipir, Indapamide may increase the excretion rate of Mangafodipir which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Indapamide.]
[M02AA27, dexketoprofen, The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Indapamide.]
[C08CA17, levamlodipine, The therapeutic efficacy of Indapamide can be increased when used in combination with Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Fostemsavir.]
[L04AC19, satralizumab, The serum concentration of Indapamide can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Oliceridine.]
[P01BA01, chloroquine, Indapamide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Indapamide can be increased when used in combination with Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Indapamide may increase the excretion rate of Chlorpromazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Indapamide.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Chlorprothixene.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Indapamide can be increased when used in combination with Chlorthalidone.]
[M03BB03, chlorzoxazone, Indapamide may increase the excretion rate of Chlorzoxazone which could result in a lower serum level and potentially a reduction in efficacy.]
[A11CC05, cholecalciferol, The risk or severity of hypokalemia can be increased when Cholecalciferol is combined with Indapamide.]
[N02BA07, ethenzamide, The therapeutic efficacy of Indapamide can be decreased when used in combination with Ethenzamide.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Indapamide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA03, choline salicylate, Indapamide may increase the excretion rate of Choline salicylate which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AB08, etodolac, The therapeutic efficacy of Indapamide can be decreased when used in combination with Etodolac.]
[M02AA06, etofenamate, The therapeutic efficacy of Indapamide can be decreased when used in combination with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Indapamide can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Indapamide can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Relugolix.]
[M01AX25, chondroitin sulfates, Indapamide may increase the excretion rate of Chondroitin sulfate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Indapamide.]
[P03AX07, abametapir, The serum concentration of Indapamide can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Indapamide is combined with Vericiguat.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Felbamate.]
[M01AE05, fenbufen, The therapeutic efficacy of Indapamide can be decreased when used in combination with Fenbufen.]
[C01CA19, fenoldopam, The therapeutic efficacy of Indapamide can be increased when used in combination with Fenoldopam.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Indapamide.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Indapamide.]
[J01DD15, cefdinir, Indapamide may increase the excretion rate of Cefdinir which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Flumequine.]
[R03BA03, flunisolide, Flunisolide may increase the hypokalemic activities of Indapamide.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may increase the hypokalemic activities of Indapamide.]
[N02BG07, flupirtine, Indapamide may increase the excretion rate of Flupirtine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Indapamide is combined with Insulin human.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Indapamide.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Indapamide.]
[H04AA02, dasiglucagon, The therapeutic efficacy of Indapamide can be increased when used in combination with Dasiglucagon.]
[A02BA01, cimetidine, Indapamide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V08CA04, gadoteridol, Indapamide may increase the excretion rate of Gadoteridol which could result in a lower serum level and potentially a reduction in efficacy.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Indapamide can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Indapamide can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Indapamide may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of hyponatremia can be increased when Citalopram is combined with Indapamide.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Indapamide is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Indapamide may increase the excretion rate of Ioflupane I-123 which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AA01, technetium Tc 99m exametazime, Indapamide may increase the excretion rate of Technetium Tc-99m exametazime which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AX06, florbetaben f-18, Indapamide may increase the excretion rate of Florbetaben (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Clemastine.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Indapamide.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Indapamide.]
[R03CC13, clenbuterol, Clenbuterol may decrease the antihypertensive activities of Indapamide.]
[A12AA02, calcium glubionate, Indapamide may decrease the excretion rate of Calcium glubionate anhydrous which could result in a higher serum level.]
[N06AX25, St. John's wort extract, The metabolism of Indapamide can be increased when combined with St. John's Wort.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Clofazimine.]
[N01BB10, levobupivacaine, Indapamide may increase the excretion rate of Levobupivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Pacritinib.]
[N06AA04, clomipramine, Indapamide may increase the excretion rate of Clomipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AE01, clonazepam, Indapamide may increase the excretion rate of Clonazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EA04, clonidine, The risk or severity of hypotension can be increased when Clonidine is combined with Indapamide.]
[C01EB24, mavacamten, The serum concentration of Indapamide can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Indapamide may increase the excretion rate of Oseltamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Indapamide.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Granisetron.]
[N05AH02, clozapine, The metabolism of Indapamide can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Indapamide.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Indapamide.]
[J01GB12, arbekacin, Indapamide may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Indapamide can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Cocaine.]
[C02KB01, metyrosine, The therapeutic efficacy of Indapamide can be increased when used in combination with Metyrosine.]
[M01AX13, proquazone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Proquazone.]
[R05DA04, codeine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Codeine.]
[M03AC05, hexafluorenium, The serum concentration of Indapamide can be increased when it is combined with Hexafluronium.]
[M04AC01, colchicine, Indapamide may increase the excretion rate of Colchicine which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Indapamide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AB10, hexocyclium, The serum concentration of Indapamide can be increased when it is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The serum concentration of Indapamide can be increased when it is combined with Homatropine methylbromide.]
[J01XB01, colistin, Indapamide may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Desflurane.]
[A04AA03, tropisetron, Indapamide may increase the excretion rate of Tropisetron which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Indapamide.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Indapamide.]
[N02BA16, imidazole-2-hydroxybenzoate, The therapeutic efficacy of Indapamide can be decreased when used in combination with Imidazole salicylate.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Indapamide.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Indapamide is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Indapamide can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, Ciclesonide may increase the hypokalemic activities of Indapamide.]
[B01AC10, indobufen, The therapeutic efficacy of Indapamide can be decreased when used in combination with Indobufen.]
[R06AX27, desloratadine, The serum concentration of Indapamide can be increased when it is combined with Desloratadine.]
[J05AB14, valganciclovir, Indapamide may increase the excretion rate of Valganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C05BB03, invert sugar, Indapamide may increase the excretion rate of Invert sugar which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB09, iodixanol, Indapamide may increase the excretion rate of Iodixanol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB05, iopromide, Indapamide may increase the excretion rate of Iopromide which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB07, ioversol, Indapamide may increase the excretion rate of Ioversol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB12, ioxilan, Indapamide may increase the excretion rate of Ioxilan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH03, valdecoxib, The therapeutic efficacy of Indapamide can be decreased when used in combination with Valdecoxib.]
[C01AA06, lanatoside C, The risk or severity of adverse effects can be increased when Indapamide is combined with Lanatoside C.]
[A03AX10, isometheptene, Isometheptene may decrease the antihypertensive activities of Indapamide.]
[N02CC05, almotriptan, Indapamide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH04, parecoxib, The therapeutic efficacy of Indapamide can be decreased when used in combination with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Indapamide can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Indapamide may increase the excretion rate of Acyclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Emedastine.]
[N05BA10, ketazolam, Indapamide may increase the excretion rate of Ketazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AA06, kebuzone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Kebuzone.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Indapamide can be decreased when combined with Posaconazole.]
[S01EE04, travoprost, The therapeutic efficacy of Indapamide can be increased when used in combination with Travoprost.]
[S01EE03, bimatoprost, The therapeutic efficacy of Indapamide can be increased when used in combination with Bimatoprost.]
[C08CA09, lacidipine, Indapamide may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The risk or severity of adverse effects can be increased when Indapamide is combined with Lactitol.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Indapamide.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Levocabastine.]
[S01BA03, cortisone, Cortisone may increase the hypokalemic activities of Indapamide.]
[N07BC04, lofexidine, The therapeutic efficacy of Indapamide can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Lomefloxacin.]
[M01AB09, lonazolac, The therapeutic efficacy of Indapamide can be decreased when used in combination with Lonazolac.]
[M02AA31, loxoprofen, The therapeutic efficacy of Indapamide can be decreased when used in combination with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[C09AA03, lisinopril, The therapeutic efficacy of Indapamide can be increased when used in combination with Lisinopril.]
[A06AD01, magnesium carbonate, The risk or severity of adverse effects can be increased when Indapamide is combined with Magnesium carbonate.]
[C08CA11, manidipine, The therapeutic efficacy of Indapamide can be increased when used in combination with Manidipine.]
