[S02DA03, antipyrine, The metabolism of Thiothixene can be decreased when combined with Antipyrine.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Thiothixene is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Thiothixene.]
[N06BA10, fenethylline, The metabolism of Thiothixene can be decreased when combined with Fenethylline.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Thiothixene.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Flumequine.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Thiothixene.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Thiothixene.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Thiothixene is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Thiothixene can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Thiothixene can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Thiothixene.]
[N07CA02, cinnarizine, The metabolism of Thiothixene can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Thiothixene can be decreased when combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The metabolism of Thiothixene can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Thiothixene is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Thiothixene can be increased when combined with Somapacitan.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Thiothixene is combined with Fexinidazole.]
[H01AC09, lonapegsomatropin, The metabolism of Thiothixene can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Thiothixene can be decreased when combined with Mefenamic acid.]
[J01FF01, clindamycin, Clindamycin may increase the neurotoxic activities of Thiothixene.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when St. John's Wort is combined with Thiothixene.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Thiothixene.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Thiothixene.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Thiothixene.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Clomipramine is combined with Thiothixene.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Thiothixene.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Thiothixene.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Thiothixene.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Thiothixene.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Thiothixene.]
[N05AH02, clozapine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Thiothixene.]
[H01AC08, somatrogon, The metabolism of Thiothixene can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Thiothixene may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Thiothixene can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Thiothixene.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Thiothixene.]
[A03AB10, hexocyclium, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Thiothixene can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Thiothixene.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Thiothixene is combined with Tropisetron.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Thiothixene.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Telithromycin.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Thiothixene.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Thiothixene.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Thiothixene.]
[S01AD03, acyclovir, The metabolism of Thiothixene can be decreased when combined with Acyclovir.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Emedastine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketazolam is combined with Thiothixene.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Posaconazole is combined with Thiothixene.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Lacidipine.]
[N03AX09, lamotrigine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Thiothixene.]
[N07BC04, lofexidine, The therapeutic efficacy of Thiothixene can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Thiothixene can be decreased when combined with Lomefloxacin.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Thiothixene is combined with Lormetazepam.]
[A03AA04, mebeverine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Medifoxamine.]
[R06AD07, mequitazine, Thiothixene may increase the arrhythmogenic activities of Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Adenosine.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Thiothixene.]
[R03CB02, methoxyphenamine, Thiothixene may decrease the stimulatory activities of Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Thiothixene.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Thiothixene is combined with Cyclobarbital.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Thiothixene is combined with Melperone.]
[L01AA01, cyclophosphamide, Cyclophosphamide may increase the neurotoxic activities of Thiothixene.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Thiothixene.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Thiothixene.]
[S01XA18, cyclosporine, Cyclosporine may increase the neurotoxic activities of Thiothixene.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Thiothixene.]
[N06BA07, modafinil, The metabolism of Thiothixene can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Thiothixene.]
[J05AF10, entecavir, The metabolism of Thiothixene can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Thiothixene.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Thiothixene.]
[L01AX04, dacarbazine, The metabolism of Thiothixene can be decreased when combined with Dacarbazine.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Thiothixene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Thiothixene is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Thiothixene.]
[M01AX01, nabumetone, The metabolism of Thiothixene can be decreased when combined with Nabumetone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Thiothixene is combined with Nordazepam.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Thiothixene is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Niaprazine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Thiothixene.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Thiothixene.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Thiothixene.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Thiothixene is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Thiothixene is combined with Escitalopram.]
[G04BD08, solifenacin, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Oxaliplatin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Thiothixene.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Thiothixene is combined with Oxiracetam.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Thiothixene.]
[G04BD04, oxybutynin, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Thiothixene can be decreased when combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Thiothixene can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Thiothixene may decrease the stimulatory activities of Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Thiothixene.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Thiothixene.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Thiothixene.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Thiothixene can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Thiothixene.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Thiothixene.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Thiothixene.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Thiothixene.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Thiothixene.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Thiothixene is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Thiothixene.]
[S01BC03, diclofenac, The metabolism of Thiothixene can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Thiothixene.]
[A03AA07, dicyclomine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may increase the neurotoxic activities of Thiothixene.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Thiothixene is combined with Pipamperone.]
[A03AB14, pipenzolate, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Erlotinib.]
[A08AA03, diethylpropion, Thiothixene may decrease the stimulatory activities of Diethylpropion.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Thiothixene.]
[A03AB11, poldine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Thiothixene.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Thiothixene.]
[C02DB01, dihydralazine, The metabolism of Thiothixene can be decreased when combined with Dihydralazine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Thiothixene.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Thiothixene.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Atazanavir is combined with Thiothixene.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Thiothixene.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Thiothixene.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Thiothixene is combined with Pridinol.]
[R06AB03, dimethindene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Thiothixene.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Thiothixene.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Thiothixene.]
[R06AA02, diphenhydramine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Thiothixene.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Thiothixene.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Thiothixene is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Cisapride.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Thiothixene.]
[C01BA03, disopyramide, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Thiothixene.]
[S02AA12, rifamycin SV, The metabolism of Thiothixene can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Thiothixene.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Thiothixene.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Thiothixene.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Thiothixene.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Sunitinib is combined with Thiothixene.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Thiothixene.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Ranolazine.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Thiothixene.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Domperidone.]
[N06AA16, dothiepin, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Thiothixene.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Thiothixene is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Thiothixene.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Thiothixene.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Sibutramine.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Thiothixene is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Thiothixene.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Thiothixene can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Terodiline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Thiothixene is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Thiothixene is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Thiothixene is combined with Thiopropazate.]
[G04BD01, emepronium, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Tianeptine is combined with Thiothixene.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Thiothixene is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Thiothixene is combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Thiothixene.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Thiothixene.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Toremifene.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Thiothixene is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Thiothixene.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Thiothixene is combined with Triclofos.]
[A03AB08, tridihexethyl, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Thiothixene.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Triptorelin.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Thiothixene.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Thiothixene.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Thiothixene is combined with Urapidil.]
[J01MA04, enoxacin, The metabolism of Thiothixene can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Thiothixene is combined with Veralipride.]
[L01CA04, vinorelbine, Vinorelbine may increase the neurotoxic activities of Thiothixene.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Thiothixene.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Thiothixene.]
[N05CF02, zolpidem, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Thiothixene.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Thiothixene is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Thiothixene.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Thiothixene.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Thiothixene.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Thiothixene.]
[N02CA02, ergotamine, The risk or severity of adverse effects can be increased when Ergotamine is combined with Thiothixene.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Valproic acid.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Thiothixene.]
[H05BX01, cinacalcet, The metabolism of Thiothixene can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Thiothixene can be decreased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Thiothixene can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Thiothixene can be decreased when combined with Ethambutol.]
[C01CA15, gepefrine, Thiothixene may decrease the stimulatory activities of Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Thiothixene.]
[L02AA03, ethinyl estradiol, The metabolism of Thiothixene can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Ibutilide.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Thiothixene.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Thiothixene.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Thiothixene.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Thiothixene.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Thiothixene.]
[L01CB01, etoposide, The metabolism of Thiothixene can be decreased when combined with Etoposide.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Thiothixene is combined with Sertindole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Thiothixene.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Thiothixene.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Fleroxacin.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Astemizole.]
[R06AX12, terfenadine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Thiothixene.]
[N06AB08, fluvoxamine, The metabolism of Thiothixene can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Thiothixene can be decreased when combined with Tocainide.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Thiothixene.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Thiothixene.]
[P02CA03, albendazole, The metabolism of Thiothixene can be increased when combined with Albendazole.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Thiothixene.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Fendiline.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Thiothixene.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Thiothixene.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Thiothixene.]
[G04BD02, flavoxate, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Thiothixene can be decreased when combined with Flecainide.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Thiothixene.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Thiothixene.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Thiothixene is combined with Melitracen.]
[V03AZ01, ethanol, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The metabolism of Thiothixene can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Thiothixene.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Thiothixene.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Thiothixene is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Thiothixene can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Thiothixene.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Thiothixene is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Thiothixene.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Thiothixene is combined with Eszopiclone.]
[N05AL05, amisulpride, Thiothixene may increase the antipsychotic activities of Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Thiothixene.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Gallopamil.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Thiothixene is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Thiothixene is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Thiothixene can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Degarelix.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Thiothixene.]
[N04BC06, cabergoline, The therapeutic efficacy of Cabergoline can be decreased when used in combination with Thiothixene.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Thiothixene.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Thiothixene is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Thiothixene.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Thiothixene.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Thiothixene.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Thiothixene.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Dofetilide.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Thiothixene.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Thiothixene.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Thiothixene is combined with Fluindione.]
