[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Almotriptan.]
[N04AA11, bornaprine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Almotriptan may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Almotriptan is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Almotriptan is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Almotriptan is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Almotriptan can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Almotriptan is combined with Butriptyline.]
[N01BX04, capsaicin, The metabolism of Almotriptan can be decreased when combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Almotriptan is combined with Vinylbital.]
[R06AX18, acrivastine, Almotriptan may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Almotriptan may decrease the antihypertensive activities of Captopril.]
[L02BB05, apalutamide, The metabolism of Almotriptan can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Almotriptan can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Almotriptan.]
[C07AG02, carvedilol, Almotriptan may decrease the antihypertensive activities of Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Almotriptan.]
[B02BX08, avatrombopag, The metabolism of Almotriptan can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Almotriptan may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Almotriptan.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01GB14, plazomicin, Almotriptan may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Almotriptan may decrease the antihypertensive activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Almotriptan.]
[L01XX62, ivosidenib, The metabolism of Almotriptan can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Almotriptan.]
[A16AX14, migalastat, Almotriptan may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Almotriptan can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Almotriptan can be increased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Almotriptan.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Almotriptan.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Almotriptan is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Almotriptan may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Almotriptan is combined with Lornoxicam.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Almotriptan.]
[R03BB08, revefenacin, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Almotriptan can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[L01EX13, gilteritinib, The therapeutic efficacy of Almotriptan can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Almotriptan.]
[A06AX05, prucalopride, Almotriptan may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, Almotriptan may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, Almotriptan may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Almotriptan is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Almotriptan can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Almotriptan.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Almotriptan is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Almotriptan can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Almotriptan.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Brexanolone.]
[N05BA09, clobazam, The metabolism of Almotriptan can be decreased when combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Cloxazolam.]
[C09CA06, candesartan, The metabolism of Almotriptan can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Almotriptan can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Almotriptan can be decreased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Almotriptan.]
[L01EJ02, fedratinib, The metabolism of Almotriptan can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The serum concentration of Almotriptan can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Almotriptan.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Yohimbine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Almotriptan.]
[N03AX25, cenobamate, The serum concentration of Almotriptan can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Almotriptan can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Almotriptan may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Almotriptan.]
[R06AB02, dexchlorpheniramine, The metabolism of Almotriptan can be decreased when combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Almotriptan may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Almotriptan is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Almotriptan can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Almotriptan can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Almotriptan can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Almotriptan is combined with Dutasteride.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Almotriptan.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Almotriptan.]
[R02AA03, dichlorobenzyl alcohol, Almotriptan may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Almotriptan may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Almotriptan is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Almotriptan.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Almotriptan.]
[L01XF03, bexarotene, The metabolism of Almotriptan can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, Almotriptan may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[C01BD07, dronedarone, The metabolism of Almotriptan can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Almotriptan is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Almotriptan.]
[C02AA06, methoserpidine, Almotriptan may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Almotriptan.]
[A03AA08, dihexyverine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Almotriptan is combined with Dopexamine.]
[G04BD09, trospium, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Almotriptan is combined with Droxicam.]
[V08CA05, mangafodipir, Almotriptan may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Almotriptan can be increased when it is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Almotriptan is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Almotriptan is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Almotriptan.]
[C08CA17, levamlodipine, Almotriptan may decrease the antihypertensive activities of Levamlodipine.]
[P01BB01, proguanil, The metabolism of Almotriptan can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Almotriptan can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Almotriptan is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Almotriptan can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Almotriptan can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Almotriptan can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N05AF03, chlorprothixene, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Almotriptan.]
[A11CC05, cholecalciferol, The metabolism of Almotriptan can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Almotriptan is combined with Ethenzamide.]
[N02BA03, choline salicylate, Almotriptan may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Almotriptan is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Almotriptan.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Almotriptan is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Almotriptan can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Almotriptan can be decreased when combined with Lonafarnib.]
[M01AX25, chondroitin sulfates, Almotriptan may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Almotriptan is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Almotriptan can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Almotriptan is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Almotriptan is combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Almotriptan is combined with Fenbufen.]
[C01CA19, fenoldopam, Almotriptan may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Almotriptan is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Almotriptan is combined with Finasteride.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N02BG07, flupirtine, Almotriptan may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of hypertension can be increased when Almotriptan is combined with Formoterol.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Almotriptan is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Almotriptan can be decreased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Almotriptan may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Almotriptan can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Almotriptan is combined with Gabapentin.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Almotriptan can be decreased when combined with Cinnarizine.]
[L01XX73, sotorasib, The serum concentration of Almotriptan can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Almotriptan can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Almotriptan may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Almotriptan is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Almotriptan.]
[V09AB03, ioflupane I-123, Almotriptan may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Almotriptan may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Almotriptan may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Almotriptan.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Almotriptan is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, The metabolism of Almotriptan can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Almotriptan.]
[B06AX04, mitapivat, The metabolism of Almotriptan can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Almotriptan.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Almotriptan.]
[C01EB24, mavacamten, The serum concentration of Almotriptan can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Clothiapine.]
[H01CC04, linzagolix, The serum concentration of Almotriptan can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Almotriptan.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Almotriptan.]
[N05AH02, clozapine, The metabolism of Almotriptan can be decreased when combined with Clozapine.]
[J01GB12, arbekacin, Almotriptan may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Almotriptan.]
[H01AC08, somatrogon, The metabolism of Almotriptan can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Almotriptan may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Almotriptan can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Almotriptan is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Almotriptan.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Almotriptan is combined with Hexafluronium.]
[M04AC01, colchicine, Almotriptan may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Almotriptan may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Almotriptan is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Almotriptan is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Almotriptan is combined with Ifenprodil.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Almotriptan is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The metabolism of Almotriptan can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Almotriptan.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Almotriptan is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Desloratadine.]
[J05AB14, valganciclovir, Almotriptan may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Almotriptan may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Almotriptan may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Almotriptan may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Almotriptan may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Almotriptan may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Almotriptan.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Almotriptan is combined with Isometheptene.]
[S01AA13, fusidic acid, The metabolism of Almotriptan can be decreased when combined with Fusidic acid.]
[N07XX04, sodium oxybate, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Almotriptan is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Almotriptan can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Almotriptan is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Almotriptan can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Almotriptan can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Almotriptan may decrease the antihypertensive activities of Lacidipine.]
[N03AX09, lamotrigine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Almotriptan can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Almotriptan is combined with Lonazolac.]
[R06AX13, loratadine, The metabolism of Almotriptan can be decreased when combined with Loratadine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Almotriptan is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C09AA03, lisinopril, Almotriptan may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, Almotriptan may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Almotriptan can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Almotriptan is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Almotriptan.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Almotriptan.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N04AA03, methixene, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Almotriptan is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Almotriptan is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Almotriptan is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Almotriptan can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, The metabolism of Almotriptan can be decreased when combined with Minaprine.]
[S01XA18, cyclosporine, The metabolism of Almotriptan can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Almotriptan can be decreased when combined with Moclobemide.]
[R06AX02, cyproheptadine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Almotriptan may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Almotriptan is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Almotriptan is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Almotriptan can be decreased when combined with Conivaptan.]
