[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Efavirenz.]
[L03AB06, interferon alfa-n1, The metabolism of Efavirenz can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The serum concentration of Carvedilol can be decreased when it is combined with Efavirenz.]
[B02BX09, fostamatinib, The metabolism of Fostamatinib can be decreased when combined with Efavirenz.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Efavirenz.]
[L04AA37, baricitinib, The metabolism of Baricitinib can be decreased when combined with Efavirenz.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Efavirenz.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be increased when combined with Efavirenz.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Efavirenz.]
[H01CC03, elagolix, The metabolism of Elagolix can be increased when combined with Efavirenz.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Efavirenz.]
[A16AX14, migalastat, The metabolism of Migalastat can be increased when combined with Efavirenz.]
[N03AX17, stiripentol, The metabolism of Efavirenz can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Efavirenz.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Efavirenz.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Efavirenz.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Efavirenz.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Efavirenz.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Efavirenz is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Efavirenz.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Efavirenz.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Efavirenz.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Efavirenz.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Efavirenz.]
[R03BB08, revefenacin, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Efavirenz.]
[L04AA39, emapalumab, The metabolism of Efavirenz can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Efavirenz.]
[L01EX12, larotrectinib, The metabolism of Larotrectinib can be decreased when combined with Efavirenz.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Efavirenz.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Efavirenz.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Amifampridine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Efavirenz.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Efavirenz.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Efavirenz.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Efavirenz is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Efavirenz.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Esketamine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Efavirenz is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Clarithromycin can be decreased when combined with Efavirenz.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Efavirenz is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Efavirenz.]
[N05BA09, clobazam, The metabolism of Clobazam can be decreased when combined with Efavirenz.]
[H02AB14, cloprednol, The metabolism of Cloprednol can be decreased when combined with Efavirenz.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Cloxazolam.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Efavirenz.]
[L04AB01, etanercept, The metabolism of Efavirenz can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Cortivazol can be decreased when combined with Efavirenz.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Efavirenz.]
[L01FX14, polatuzumab vedotin, The risk or severity of adverse effects can be increased when Efavirenz is combined with Polatuzumab vedotin.]
[J01DC04, cefaclor, Efavirenz may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[L01XX66, selinexor, The metabolism of Selinexor can be decreased when combined with Efavirenz.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be decreased when it is combined with Efavirenz.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Efavirenz.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Efavirenz.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Efavirenz.]
[L04AA44, upadacitinib, The metabolism of Upadacitinib can be decreased when combined with Efavirenz.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Efavirenz.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Efavirenz.]
[N07XX11, pitolisant, The serum concentration of Efavirenz can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The serum concentration of Pretomanid can be increased when it is combined with Efavirenz.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Efavirenz.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Efavirenz.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Efavirenz.]
[A10AE03, insulin, regular, pork, The metabolism of Efavirenz can be increased when combined with Insulin pork.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Efavirenz.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be decreased when it is combined with Efavirenz.]
[G03DB05, demegestone, The metabolism of Demegestone can be decreased when combined with Efavirenz.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Efavirenz.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Efavirenz.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Efavirenz.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Efavirenz.]
[N03AX25, cenobamate, The serum concentration of Efavirenz can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Efavirenz can be increased when it is combined with Givosiran.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Efavirenz.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Efavirenz.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Efavirenz.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Efavirenz.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Efavirenz.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Efavirenz.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Efavirenz.]
[M01AX21, diacetylrhein, The metabolism of Efavirenz can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be decreased when combined with Efavirenz.]
[J05AB16, remdesivir, The metabolism of Remdesivir can be decreased when combined with Efavirenz.]
[S01AE06, gatifloxacin, The metabolism of Efavirenz can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The serum concentration of Osilodrostat can be increased when it is combined with Efavirenz.]
[J05AE05, amprenavir, The serum concentration of the active metabolites of Amprenavir can be reduced when Amprenavir is used in combination with Efavirenz resulting in a loss in efficacy.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Efavirenz is combined with Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be increased when combined with Efavirenz.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Efavirenz.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Efavirenz.]
[G03DB08, dienogest, The metabolism of Dienogest can be decreased when combined with Efavirenz.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Efavirenz is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Efavirenz.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Efavirenz.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Efavirenz.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Efavirenz.]
[C08CA16, clevidipine, The serum concentration of Clevidipine can be decreased when it is combined with Efavirenz.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Efavirenz.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Valpromide.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Efavirenz.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Efavirenz.]
[L01EN02, pemigatinib, The metabolism of Pemigatinib can be increased when combined with Efavirenz.]
[L01FX17, sacituzumab govitecan, The serum concentration of Sacituzumab govitecan can be decreased when it is combined with Efavirenz.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Efavirenz.]
[A03AA08, dihexyverine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Efavirenz.]
[D07XB03, fluprednidene, The metabolism of Fluprednidene can be decreased when combined with Efavirenz.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Efavirenz.]
[G04BD09, trospium, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01EX19, ripretinib, The serum concentration of Ripretinib can be increased when it is combined with Efavirenz.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Efavirenz.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Efavirenz.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Efavirenz is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dyclonine.]
[L01XX69, lurbinectedin, The serum concentration of Lurbinectedin can be decreased when it is combined with Efavirenz.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be decreased when it is combined with Efavirenz.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Efavirenz.]
[J05AX29, fostemsavir, The metabolism of Fostemsavir can be decreased when combined with Efavirenz.]
[P01BB01, proguanil, The serum concentration of Cycloguanil, an active metabolite of Proguanil, can be decreased when used in combination with Efavirenz.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Remimazolam.]
[N07XX04, sodium oxybate, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L01FX15, belantamab mafodotin, Efavirenz may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Efavirenz can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Efavirenz is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Efavirenz.]
[L01EX23, pralsetinib, The serum concentration of Pralsetinib can be increased when it is combined with Efavirenz.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Efavirenz.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Efavirenz.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Efavirenz.]
[N05AF03, chlorprothixene, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Efavirenz.]
[A11CC05, cholecalciferol, The metabolism of Cholecalciferol can be decreased when combined with Efavirenz.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Etifoxine.]
[N02BA03, choline salicylate, The risk or severity of adverse effects can be increased when Efavirenz is combined with Choline salicylate.]
[N06BX18, vinpocetine, The serum concentration of Vinpocetine can be decreased when it is combined with Efavirenz.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Efavirenz is combined with Ethyl loflazepate.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be decreased when combined with Efavirenz.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Efavirenz.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Efavirenz.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Efavirenz.]
[J05AJ04, cabotegravir, The metabolism of Cabotegravir can be increased when combined with Efavirenz.]
[L04AD03, voclosporin, The metabolism of Voclosporin can be decreased when combined with Efavirenz.]
[P03AX07, abametapir, The serum concentration of Efavirenz can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be increased when it is combined with Efavirenz.]
[V03AF12, trilaciclib, The metabolism of Efavirenz can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Efavirenz is combined with Febarbamate.]
[N03AX10, felbamate, The metabolism of Felbamate can be decreased when combined with Efavirenz.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Efavirenz.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Efavirenz.]
[J01MB07, flumequine, The metabolism of Efavirenz can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The metabolism of Flunisolide can be decreased when combined with Efavirenz.]
[S02BA08, fluocinolone acetonide, The metabolism of Fluocinolone acetonide can be decreased when combined with Efavirenz.]
[S01JA01, fluorescein, Efavirenz may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Efavirenz.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Efavirenz.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Efavirenz.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Efavirenz is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Efavirenz can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Efavirenz which could result in a higher serum level.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Efavirenz is combined with Gabapentin.]
[N07CA02, cinnarizine, The serum concentration of Cinnarizine can be decreased when it is combined with Efavirenz.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Efavirenz can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Efavirenz.]
[S03AA07, ciprofloxacin, The metabolism of Efavirenz can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The metabolism of Efavirenz can be decreased when combined with Cisplatin.]
[N06AB04, citalopram, The serum concentration of Citalopram can be increased when it is combined with Efavirenz.]
[H01AC07, somapacitan, The metabolism of Efavirenz can be increased when combined with Somapacitan.]
[J02AX07, ibrexafungerp, The serum concentration of Ibrexafungerp can be decreased when it is combined with Efavirenz.]
[C03DA05, finerenone, The serum concentration of the active metabolites of Finerenone can be increased when Finerenone is used in combination with Efavirenz.]
[L04AA48, belumosudil, The metabolism of Belumosudil can be decreased when combined with Efavirenz.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Efavirenz is combined with Fexinidazole.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Efavirenz.]
[H01AC09, lonapegsomatropin, The metabolism of Efavirenz can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Mobocertinib.]
[L01FX23, tisotumab vedotin, The metabolism of Tisotumab vedotin can be decreased when combined with Efavirenz.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Efavirenz.]
[L04AA59, avacopan, The metabolism of Avacopan can be decreased when combined with Efavirenz.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Efavirenz.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Efavirenz.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Efavirenz.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Efavirenz.]
[N06AX25, St. John's wort extract, The serum concentration of Efavirenz can be decreased when it is combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Asciminib can be increased when it is combined with Efavirenz.]
[L02BG06, exemestane, The metabolism of Exemestane can be decreased when combined with Efavirenz.]
[J05AX10, maribavir, The metabolism of Maribavir can be decreased when combined with Efavirenz.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Efavirenz.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Efavirenz.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Efavirenz.]
[C10AB01, clofibrate, The metabolism of Clofibrate can be decreased when combined with Efavirenz.]
[B06AX04, mitapivat, The metabolism of Mitapivat can be decreased when combined with Efavirenz.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Pacritinib can be increased when it is combined with Efavirenz.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Efavirenz.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Efavirenz.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Efavirenz.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Efavirenz.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Efavirenz.]
[N03AX27, ganaxolone, The metabolism of Ganaxolone can be increased when combined with Efavirenz.]
[A05BA08, glycyrrhizic acid, Efavirenz may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Clothiapine.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be decreased when combined with Efavirenz.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Efavirenz.]
[A04AA02, granisetron, The metabolism of Granisetron can be decreased when combined with Efavirenz.]
[J05AX31, lenacapavir, The metabolism of Lenacapavir can be increased when combined with Efavirenz.]
[L01XX77, adagrasib, The serum concentration of Adagrasib can be increased when it is combined with Efavirenz.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Efavirenz.]
[L01EN04, futibatinib, The metabolism of Futibatinib can be decreased when combined with Efavirenz.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Efavirenz can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Cocaine.]
[M09AX11, palovarotene, The serum concentration of Palovarotene can be increased when it is combined with Efavirenz.]
[C02KB01, metyrosine, Efavirenz may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Efavirenz can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Efavirenz.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Efavirenz is combined with Hexafluronium.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Efavirenz.]
[A03AB10, hexocyclium, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Efavirenz can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Efavirenz is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Efavirenz is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Efavirenz is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Efavirenz.]
[J01FA15, telithromycin, The metabolism of Telithromycin can be decreased when combined with Efavirenz.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Efavirenz.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Desloratadine.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Efavirenz.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Efavirenz.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Efavirenz.]
[J02AC02, itraconazole, The metabolism of Itraconazole can be decreased when combined with Efavirenz.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Efavirenz.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Emedastine.]
[N05BA10, ketazolam, The metabolism of Ketazolam can be decreased when combined with Efavirenz.]
[L02BA03, fulvestrant, The metabolism of Fulvestrant can be increased when combined with Efavirenz.]
[L01EA01, imatinib, The serum concentration of Imatinib can be increased when it is combined with Efavirenz.]
[J02AC04, posaconazole, The serum concentration of Posaconazole can be decreased when it is combined with Efavirenz.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Efavirenz.]
[C08CA09, lacidipine, The serum concentration of Lacidipine can be decreased when it is combined with Efavirenz.]
[N03AX09, lamotrigine, The metabolism of Lamotrigine can be increased when combined with Efavirenz.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Efavirenz.]
[S01BA03, cortisone, The metabolism of Cortisone can be decreased when combined with Efavirenz.]
[N07BC04, lofexidine, The therapeutic efficacy of Efavirenz can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Lomefloxacin.]
[R06AX13, loratadine, The metabolism of Loratadine can be decreased when combined with Efavirenz.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Lormetazepam.]
[C08CA11, manidipine, The serum concentration of Manidipine can be decreased when it is combined with Efavirenz.]
[A03AA04, mebeverine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Medifoxamine.]
[H02AB15, meprednisone, The metabolism of Meprednisone can be decreased when combined with Efavirenz.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Efavirenz.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Adenosine.]
[N04AA03, methixene, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, The serum concentration of Cyclandelate can be decreased when it is combined with Efavirenz.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Efavirenz is combined with Cyclobarbital.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Efavirenz.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Melperone.]
[J01FA03, midecamycin, The metabolism of Midecamycin can be decreased when combined with Efavirenz.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Efavirenz.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Minaprine.]
[S01XA18, cyclosporine, The serum concentration of Cyclosporine can be decreased when it is combined with Efavirenz.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Efavirenz can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Efavirenz.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Efavirenz.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be decreased when combined with Efavirenz.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Efavirenz.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Efavirenz.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Efavirenz.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Efavirenz.]
[G03XA01, danazol, The metabolism of Efavirenz can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Efavirenz.]
[L01DB02, daunorubicin, Efavirenz may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Efavirenz.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Efavirenz.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Efavirenz.]
[N06AX06, nefazodone, The metabolism of Nefazodone can be decreased when combined with Efavirenz.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Niaprazine.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Efavirenz.]
[N03AG06, tiagabine, The metabolism of Tiagabine can be decreased when combined with Efavirenz.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be decreased when combined with Efavirenz.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Efavirenz.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Efavirenz.]
