[S02DA03, antipyrine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Antipyrine.]
[N07XX15, inotersen, The risk or severity of nephrotoxicity can be increased when Furosemide is combined with Inotersen.]
[L01AD01, carmustine, Furosemide may increase the excretion rate of Carmustine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX05, prucalopride, The risk or severity of adverse effects can be increased when Furosemide is combined with Prucalopride.]
[C09AA08, cilazapril, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Cilazapril.]
[B01AC23, cilostazol, Furosemide may increase the excretion rate of Cilostazol which could result in a lower serum level and potentially a reduction in efficacy.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Furosemide.]
[S01ED05, carteolol, Carteolol may increase the hypotensive activities of Furosemide.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Furosemide.]
[N06BA14, solriamfetol, Furosemide may increase the excretion rate of Solriamfetol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA09, clobazam, Furosemide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB14, cloprednol, The risk or severity of hypokalemia can be increased when Cloprednol is combined with Furosemide.]
[A06AB05, castor oil, The risk or severity of adverse effects can be increased when Furosemide is combined with Castor oil.]
[C09CA06, candesartan, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Candesartan.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Furosemide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of hypokalemia can be increased when Cortivazol is combined with Furosemide.]
[J01DC04, cefaclor, Furosemide may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[J01DB05, cefadroxil, Furosemide may decrease the excretion rate of Cefadroxil which could result in a higher serum level.]
[J01DC03, cefamandole, Furosemide may decrease the excretion rate of Cefamandole which could result in a higher serum level.]
[J01DB07, cefatrizine, Furosemide may decrease the excretion rate of Cefatrizine which could result in a higher serum level.]
[J01DB04, cefazolin, Furosemide may decrease the excretion rate of Cefazolin which could result in a higher serum level.]
[J01DC09, cefmetazole, Furosemide may decrease the excretion rate of Cefmetazole which could result in a higher serum level.]
[J01DC06, cefonicid, Furosemide may decrease the excretion rate of Cefonicid which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Furosemide can be decreased when combined with Pexidartinib.]
[J01DD12, cefoperazone, Furosemide may decrease the excretion rate of Cefoperazone which could result in a higher serum level.]
[J01DD01, cefotaxime, Furosemide may decrease the excretion rate of Cefotaxime which could result in a higher serum level.]
[J01DC05, cefotetan, Furosemide may decrease the excretion rate of Cefotetan which could result in a higher serum level.]
[J01DC07, cefotiam, Furosemide may decrease the excretion rate of Cefotiam which could result in a higher serum level.]
[J01DC01, cefoxitin, Furosemide may decrease the excretion rate of Cefoxitin which could result in a higher serum level.]
[J01DD03, cefsulodin, Furosemide may decrease the excretion rate of Cefsulodin which could result in a higher serum level.]
[J01DD02, ceftazidime, Furosemide may decrease the excretion rate of Ceftazidime which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Furosemide may decrease the excretion rate of Ceftizoxime which could result in a higher serum level.]
[J01DD04, ceftriaxone, Furosemide may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.]
[S01AA27, cefuroxime, Furosemide may decrease the excretion rate of Cefuroxime which could result in a higher serum level.]
[N07XX11, pitolisant, Furosemide may increase the excretion rate of Pitolisant which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Furosemide can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may decrease the antihypertensive activities of Furosemide.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Furosemide is combined with Insulin pork.]
[A06AB03, danthron, The risk or severity of adverse effects can be increased when Furosemide is combined with Dantron.]
[J01XX09, daptomycin, Furosemide may increase the excretion rate of Daptomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB01, cephalexin, Furosemide may decrease the excretion rate of Cephalexin which could result in a higher serum level.]
[J01DB02, cephaloridine, Furosemide may decrease the excretion rate of Cefaloridine which could result in a higher serum level.]
[J01DB03, cephalothin, Furosemide may decrease the excretion rate of Cefalotin which could result in a higher serum level.]
[J01DB08, cephapirin, Furosemide may decrease the excretion rate of Cefapirin which could result in a higher serum level.]
[J01DB09, cephradine, Furosemide may decrease the excretion rate of Cefradine which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of hypokalemia can be increased when Deflazacort is combined with Furosemide.]
[G03AC09, desogestrel, The metabolism of Furosemide can be increased when combined with Desogestrel.]
[A16AX16, givosiran, The risk or severity of nephrotoxicity can be increased when Furosemide is combined with Givosiran.]
[M09AX08, golodirsen, Furosemide may increase the excretion rate of Golodirsen which could result in a lower serum level and potentially a reduction in efficacy.]
[S01XA12, dexpanthenol, Furosemide may increase the excretion rate of Dexpanthenol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX03, dezocine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Dezocine.]
[L04AA53, teprotumumab, The risk or severity of ototoxicity can be increased when Furosemide is combined with Teprotumumab.]
[N02CC07, frovatriptan, Frovatriptan may decrease the antihypertensive activities of Furosemide.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Furosemide.]
[R02AA03, dichlorobenzyl alcohol, Furosemide may increase the excretion rate of Dichlorobenzyl alcohol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03DB08, dienogest, Furosemide may increase the excretion rate of Dienogest which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA08, dihydrocodeine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Dihydrocodeine.]
[N02CC06, eletriptan, Eletriptan may decrease the antihypertensive activities of Furosemide.]
[M01AH02, rofecoxib, The therapeutic efficacy of Furosemide can be decreased when used in combination with Rofecoxib.]
[C08CA16, clevidipine, Furosemide may increase the excretion rate of Clevidipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BD07, dronedarone, Dronedarone may decrease the antihypertensive activities of Furosemide.]
[C02AA06, methoserpidine, Furosemide may increase the hypotensive activities of Methoserpidine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Furosemide is combined with Opicapone.]
[C01CA14, dopexamine, Dopexamine may decrease the antihypertensive activities of Furosemide.]
[D07XB03, fluprednidene, The risk or severity of hypokalemia can be increased when Fluprednidene is combined with Furosemide.]
[M01AC04, droxicam, The therapeutic efficacy of Furosemide can be decreased when used in combination with Droxicam.]
[V08CA05, mangafodipir, Furosemide may increase the excretion rate of Mangafodipir which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Furosemide.]
[M02AA27, dexketoprofen, The therapeutic efficacy of Furosemide can be decreased when used in combination with Dexketoprofen.]
[C08CA17, levamlodipine, Furosemide may increase the hypotensive activities of Levamlodipine.]
[N02AX07, oliceridine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Oliceridine.]
[P01BA01, chloroquine, Furosemide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Furosemide can be increased when used in combination with Chlorothiazide.]
[N05AA01, chlorpromazine, Furosemide may increase the excretion rate of Chlorpromazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Furosemide.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Furosemide may increase the excretion rate of Chlorzoxazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA07, ethenzamide, The therapeutic efficacy of Furosemide can be decreased when used in combination with Ethenzamide.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Furosemide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA03, choline salicylate, The risk or severity of adverse effects can be increased when Furosemide is combined with Choline salicylate.]
[M01AB08, etodolac, The therapeutic efficacy of Furosemide can be decreased when used in combination with Etodolac.]
[M02AA06, etofenamate, The therapeutic efficacy of Furosemide can be decreased when used in combination with Etofenamate.]
[M01AX25, chondroitin sulfates, Furosemide may increase the excretion rate of Chondroitin sulfate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Furosemide.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Furosemide is combined with Vericiguat.]
[M01AE05, fenbufen, The therapeutic efficacy of Furosemide can be decreased when used in combination with Fenbufen.]
[C01CA19, fenoldopam, Furosemide may increase the excretion rate of Fenoldopam which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Furosemide.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Furosemide.]
[J01DD08, cefixime, Furosemide may decrease the excretion rate of Cefixime which could result in a higher serum level.]
[J01DD15, cefdinir, Furosemide may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Furosemide may increase the excretion rate of Fluocinolone acetonide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01JA01, fluorescein, The excretion of Fluorescein can be decreased when combined with Furosemide.]
[N02BG07, flupirtine, Furosemide may increase the excretion rate of Flupirtine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC15, formoterol, The risk or severity of hypokalemia can be increased when Formoterol is combined with Furosemide.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Furosemide is combined with Insulin human.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Furosemide.]
[H04AA02, dasiglucagon, Furosemide may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The excretion of Cimetidine can be decreased when combined with Furosemide.]
[V08CA04, gadoteridol, Furosemide may increase the excretion rate of Gadoteridol which could result in a lower serum level and potentially a reduction in efficacy.]
[S03AA07, ciprofloxacin, Furosemide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XA01, cisplatin, Furosemide may increase the nephrotoxic and ototoxic activities of Cisplatin.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Furosemide may increase the excretion rate of Ioflupane I-123 which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AA01, technetium Tc 99m exametazime, Furosemide may increase the excretion rate of Technetium Tc-99m exametazime which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AX06, florbetaben f-18, Furosemide may increase the excretion rate of Florbetaben (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Furosemide.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Furosemide.]
[R03CC13, clenbuterol, The risk or severity of hypokalemia can be increased when Clenbuterol is combined with Furosemide.]
[L01EA06, asciminib, The metabolism of Furosemide can be decreased when combined with Asciminib.]
[C10AB01, clofibrate, The therapeutic efficacy of Furosemide can be decreased when used in combination with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Furosemide can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, Furosemide may increase the excretion rate of Levobupivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA04, clomipramine, Furosemide may increase the excretion rate of Clomipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AE01, clonazepam, Furosemide may increase the excretion rate of Clonazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EA04, clonidine, The risk or severity of hypotension can be increased when Clonidine is combined with Furosemide.]
[J05AH02, oseltamivir, The excretion of Oseltamivir can be decreased when combined with Furosemide.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Furosemide.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, Furosemide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Furosemide.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Furosemide.]
[J01GB12, arbekacin, Furosemide may increase the ototoxic activities of Arbekacin.]
[C02KB01, metyrosine, Furosemide may increase the hypotensive activities of Metyrosine.]
[M01AX13, proquazone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Proquazone.]
[R05DA04, codeine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Codeine.]
[M04AC01, colchicine, Furosemide may increase the excretion rate of Colchicine which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Furosemide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01XB01, colistin, Furosemide may increase the ototoxic activities of Colistin.]
[J01DE02, cefpirome, Furosemide may decrease the excretion rate of Cefpirome which could result in a higher serum level.]
[N01AB07, desflurane, Desflurane may decrease the antihypertensive activities of Furosemide.]
[A04AA03, tropisetron, Furosemide may increase the excretion rate of Tropisetron which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Furosemide.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Furosemide.]
[N02BA16, imidazole-2-hydroxybenzoate, The therapeutic efficacy of Furosemide can be decreased when used in combination with Imidazole salicylate.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Furosemide.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Furosemide is combined with Insulin glargine.]
[R03BA08, ciclesonide, The therapeutic efficacy of Furosemide can be increased when used in combination with Ciclesonide.]
[B01AC10, indobufen, The therapeutic efficacy of Furosemide can be decreased when used in combination with Indobufen.]
[J05AB14, valganciclovir, Furosemide may increase the excretion rate of Valganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C05BB03, invert sugar, Furosemide may increase the excretion rate of Invert sugar which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB09, iodixanol, Furosemide may increase the excretion rate of Iodixanol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB05, iopromide, Furosemide may increase the excretion rate of Iopromide which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB07, ioversol, Furosemide may increase the excretion rate of Ioversol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB12, ioxilan, Furosemide may increase the excretion rate of Ioxilan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH03, valdecoxib, The therapeutic efficacy of Furosemide can be decreased when used in combination with Valdecoxib.]
[C01AA06, lanatoside C, The risk or severity of adverse effects can be increased when Furosemide is combined with Lanatoside C.]
[A03AX10, isometheptene, Isometheptene may decrease the antihypertensive activities of Furosemide.]
[N02CC05, almotriptan, Furosemide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH04, parecoxib, The therapeutic efficacy of Furosemide can be decreased when used in combination with Parecoxib.]
[S01AD03, acyclovir, The excretion of Acyclovir can be decreased when combined with Furosemide.]
[N05BA10, ketazolam, Furosemide may increase the excretion rate of Ketazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AA06, kebuzone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Kebuzone.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Furosemide.]
[S01EE03, bimatoprost, Furosemide may increase the hypotensive activities of Bimatoprost.]
[C08CA09, lacidipine, Furosemide may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The risk or severity of adverse effects can be increased when Furosemide is combined with Lactitol.]
[N03AX09, lamotrigine, The metabolism of Furosemide can be increased when combined with Lamotrigine.]
[S01BA03, cortisone, The risk or severity of hypokalemia can be increased when Cortisone is combined with Furosemide.]
[N07BC04, lofexidine, Furosemide may increase the excretion rate of Lofexidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AB09, lonazolac, The therapeutic efficacy of Furosemide can be decreased when used in combination with Lonazolac.]
[M02AA31, loxoprofen, The therapeutic efficacy of Furosemide can be decreased when used in combination with Loxoprofen.]
[J01DC08, loracarbef, Furosemide may decrease the excretion rate of Loracarbef which could result in a higher serum level.]
[C09AA03, lisinopril, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Lisinopril.]
[A06AD01, magnesium carbonate, The risk or severity of adverse effects can be increased when Furosemide is combined with Magnesium carbonate.]
[C08CA11, manidipine, Furosemide may increase the hypotensive activities of Manidipine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Furosemide.]
[H02AB15, meprednisone, The therapeutic efficacy of Furosemide can be increased when used in combination with Meprednisone.]
[J01DH02, meropenem, Furosemide may increase the excretion rate of Meropenem which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the antihypertensive activities of Furosemide.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Furosemide may increase the excretion rate of Melperone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA22, micronomicin, Furosemide may increase the ototoxic activities of Micronomicin.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Furosemide can be increased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Furosemide.]
[J05AF07, tenofovir disoproxil, Furosemide may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N06AX07, minaprine, Minaprine may increase the hypotensive activities of Furosemide.]
[S01XA18, cyclosporine, The risk or severity of gouty arthritis can be increased when Cyclosporine is combined with Furosemide.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Furosemide.]
[C09AA13, moexipril, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Moexipril.]
[C10AA07, rosuvastatin, The excretion of Rosuvastatin can be decreased when combined with Furosemide.]
[M02AA02, mofebutazone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Mofebutazone.]
[M01AX22, morniflumate, The therapeutic efficacy of Furosemide can be decreased when used in combination with Morniflumate.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC05, moxonidine, Moxonidine may decrease the antihypertensive activities of Furosemide.]
[G04BE09, vardenafil, Vardenafil may increase the antihypertensive activities of Furosemide.]
[M01AH05, etoricoxib, The therapeutic efficacy of Furosemide can be decreased when used in combination with Etoricoxib.]
[L01AX04, dacarbazine, Furosemide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03XA01, danazol, The therapeutic efficacy of Furosemide can be increased when used in combination with Danazol.]
[M03CA01, dantrolene, The therapeutic efficacy of Dantrolene can be increased when used in combination with Furosemide.]
[C02CC04, debrisoquin, Furosemide may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Nabilone is combined with Furosemide.]
[M01AX01, nabumetone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Nabumetone.]
[N07BB05, nalmefene, Furosemide may increase the excretion rate of Nalmefene which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA15, potassium lactate, The risk or severity of adverse effects can be increased when Furosemide is combined with Potassium lactate.]
[C07AB12, nebivolol, Furosemide may increase the hypotensive activities of Nebivolol.]
[S01GX04, nedocromil, Furosemide may increase the excretion rate of Nedocromil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX06, nefazodone, Furosemide may increase the excretion rate of Nefazodone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Furosemide.]
[L02BB02, nilutamide, Furosemide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA23, theodrenaline, The risk or severity of Cardiac Arrhythmia can be increased when Theodrenaline is combined with Furosemide.]
[M03AC11, cisatracurium, Furosemide may decrease the neuromuscular blocking activities of Cisatracurium.]
[C01CA05, norfenefrine, Norfenefrine may decrease the antihypertensive activities of Furosemide.]
[R05DA06, normethadone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Normethadone.]
[B01AX05, fondaparinux, Furosemide may increase the excretion rate of Fondaparinux which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD08, solifenacin, Solifenacin may decrease the antihypertensive activities of Furosemide.]
[A07EC03, olsalazine, The risk or severity of adverse effects can be increased when Furosemide is combined with Olsalazine.]
[N06AA01, desipramine, Furosemide may increase the excretion rate of Desipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AA07, deslanoside, The risk or severity of adverse effects can be increased when Furosemide is combined with Deslanoside.]
[H01BA02, desmopressin, Furosemide may increase the excretion rate of Desmopressin which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XC02, desoximetasone, The risk or severity of hypokalemia can be increased when Desoximetasone is combined with Furosemide.]
[V04CH02, indigo carmine, Furosemide may increase the excretion rate of Indigotindisulfonic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AA03, desoxycorticosterone, The risk or severity of hypokalemia can be increased when Desoxycortone is combined with Furosemide.]
[J01DH03, ertapenem, Furosemide may increase the excretion rate of Ertapenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C09XA02, aliskiren, The serum concentration of Furosemide can be decreased when it is combined with Aliskiren.]
[M01AE12, oxaprozin, The therapeutic efficacy of Furosemide can be decreased when used in combination with Oxaprozin.]
[S03BA01, dexamethasone, The excretion of Dexamethasone can be decreased when combined with Furosemide.]
[N06BA02, dextroamphetamine, Furosemide may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AC01, dextromoramide, The therapeutic efficacy of Furosemide can be decreased when used in combination with Dextromoramide.]
[N07BC06, heroin, The therapeutic efficacy of Furosemide can be decreased when used in combination with Diamorphine.]
[P03AC04, permethrin, Furosemide may increase the excretion rate of Permethrin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, Furosemide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Furosemide.]
[S01AA29, dibekacin, Furosemide may increase the ototoxic activities of Dibekacin.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Furosemide.]
[R05DA08, pholcodine, Furosemide may increase the excretion rate of Pholcodine which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA02, clodronic acid, The risk or severity of hypocalcemia can be increased when Furosemide is combined with Clodronic acid.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The therapeutic efficacy of Furosemide can be decreased when used in combination with Diclofenac.]
[J05AD01, foscarnet, Furosemide may decrease the excretion rate of Foscarnet which could result in a higher serum level.]
[A03AA07, dicyclomine, Furosemide may increase the excretion rate of Dicyclomine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF03, zalcitabine, The excretion of Zalcitabine can be decreased when combined with Furosemide.]
[J05AF02, didanosine, Furosemide may increase the excretion rate of Didanosine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DG01, pinacidil, Furosemide may increase the hypotensive activities of Pinacidil.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Furosemide.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Furosemide is combined with Pipamperone.]
[L01EB02, erlotinib, The metabolism of Furosemide can be decreased when combined with Erlotinib.]
[R03CC07, pirbuterol, The risk or severity of hypokalemia can be increased when Pirbuterol is combined with Furosemide.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, Diethylpropion may decrease the antihypertensive activities of Furosemide.]
[L02AA01, diethylstilbestrol, The therapeutic efficacy of Furosemide can be decreased when used in combination with Diethylstilbestrol.]
[C08CA03, isradipine, Furosemide may increase the excretion rate of Isradipine which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XC04, diflucortolone, The risk or severity of hypokalemia can be increased when Difluocortolone is combined with Furosemide.]
[N02BA11, diflunisal, The risk or severity of adverse effects can be increased when Furosemide is combined with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of adverse effects can be increased when Furosemide is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.]
[C02DB01, dihydralazine, Furosemide may increase the hypotensive activities of Dihydralazine.]
[L01XX24, pegaspargase, The therapeutic efficacy of Furosemide can be increased when used in combination with Pegaspargase.]
[C04AE04, dihydroergocristine, Dihydroergocristine may decrease the antihypertensive activities of Furosemide.]
[N02CA01, dihydroergotamine, Dihydroergotamine may decrease the antihypertensive activities of Furosemide.]
[N02AA03, hydromorphone, Furosemide may increase the excretion rate of Hydromorphone which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX04, lenalidomide, Furosemide may increase the excretion rate of Lenalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE08, atazanavir, The risk or severity of nephrotoxicity can be increased when Furosemide is combined with Atazanavir.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Furosemide.]
[H03BC01, potassium perchlorate, Furosemide may increase the excretion rate of Potassium perchlorate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB04, pralidoxime, Furosemide may increase the excretion rate of Pralidoxime which could result in a lower serum level and potentially a reduction in efficacy.]
[C08DB01, diltiazem, Diltiazem may increase the hypotensive activities of Furosemide.]
[V03AB09, dimercaprol, Furosemide may increase the excretion rate of Dimercaprol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC08, procaterol, The risk or severity of hypokalemia can be increased when Procaterol is combined with Furosemide.]
[M02AX03, dimethyl sulfoxide, Furosemide may increase the excretion rate of Dimethyl sulfoxide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BB04, propyphenazone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Propyphenazone.]
[M01AB14, proglumetacin, The therapeutic efficacy of Furosemide can be decreased when used in combination with Proglumetacin.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Furosemide.]
[A07DA01, diphenoxylate, The therapeutic efficacy of Furosemide can be decreased when used in combination with Diphenoxylate.]
[C09AA06, quinapril, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Quinapril.]
[B01AC07, dipyridamole, Dipyridamole may increase the antihypertensive activities of Furosemide.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Furosemide.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Furosemide.]
[R03CC14, reproterol, Reproterol may decrease the antihypertensive activities of Furosemide.]
[S01AX06, resorcinol, Furosemide may increase the excretion rate of Resorcinol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Furosemide.]
[N05AX08, risperidone, The risk or severity of hypotension can be increased when Furosemide is combined with Risperidone.]
[R06AE09, levocetirizine, Furosemide may increase the excretion rate of Levocetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
