[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Capecitabine.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Capecitabine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Capecitabine.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L04AA39, emapalumab, The metabolism of Capecitabine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Capecitabine.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ravulizumab.]
[A06AX05, prucalopride, Capecitabine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Capecitabine.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Cilostazol is combined with Capecitabine.]
[P02BX04, triclabendazole, The metabolism of Capecitabine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Capecitabine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Capecitabine is combined with Siponimod.]
[N06BA14, solriamfetol, Capecitabine may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Capecitabine.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Capecitabine is combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Capecitabine can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Capecitabine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Capecitabine is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Capecitabine can be increased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Capecitabine is combined with Upadacitinib.]
[N07XX11, pitolisant, Capecitabine may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Capecitabine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Capecitabine is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Capecitabine.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Capecitabine is combined with Diroximel fumarate.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Capecitabine.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Capecitabine.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[M09AX08, golodirsen, Capecitabine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Capecitabine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Capecitabine can be decreased when combined with Avapritinib.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Capecitabine can be decreased when combined with Diacerein.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Capecitabine.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Capecitabine.]
[R02AA03, dichlorobenzyl alcohol, Capecitabine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Capecitabine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Capecitabine.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Capecitabine.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Capecitabine.]
[C08CA16, clevidipine, The metabolism of Capecitabine can be decreased when combined with Clevidipine.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Capecitabine.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Capecitabine.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Capecitabine is combined with Fluprednidene.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[V08CA05, mangafodipir, Capecitabine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Capecitabine.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Capecitabine is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Capecitabine is combined with Stepronin.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Capecitabine.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Satralizumab.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01EX23, pralsetinib, The metabolism of Capecitabine can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Capecitabine.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N02BA03, choline salicylate, Capecitabine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Capecitabine.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Capecitabine.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Capecitabine.]
[M01AX25, chondroitin sulfates, Capecitabine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Capecitabine is combined with Voclosporin.]
[L01EX21, tepotinib, The metabolism of Capecitabine can be decreased when combined with Tepotinib.]
[N03AX10, felbamate, The metabolism of Capecitabine can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Capecitabine.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Capecitabine.]
[N02BG07, flupirtine, Capecitabine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Capecitabine.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ponesimod.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Capecitabine.]
[L03AB10, peginterferon alfa-2b, The metabolism of Capecitabine can be increased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The serum concentration of the active metabolites of Capecitabine can be increased when Capecitabine is used in combination with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Capecitabine.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Capecitabine.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Capecitabine is combined with Pegcetacoplan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Capecitabine is combined with Belumosudil.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Anifrolumab.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Capecitabine.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Capecitabine.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Capecitabine.]
[L01EA06, asciminib, The serum concentration of Capecitabine can be increased when it is combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Capecitabine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Capecitabine.]
[B06AX04, mitapivat, The metabolism of Capecitabine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Levobupivacaine.]
[N06AA04, clomipramine, Capecitabine may decrease the excretion rate of Clomipramine which could result in a higher serum level.]
[N03AE01, clonazepam, Clonazepam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C01EB24, mavacamten, The metabolism of Capecitabine can be increased when combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Capecitabine is combined with Deucravacitinib.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Capecitabine.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Capecitabine is combined with Clozapine.]
[J01GB12, arbekacin, Capecitabine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Capecitabine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[M04AC01, colchicine, Capecitabine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Capecitabine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Capecitabine is combined with Leflunomide.]
[A04AA03, tropisetron, Capecitabine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Capecitabine.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Nelarabine.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Capecitabine.]
[J05AB14, valganciclovir, Capecitabine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Capecitabine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Capecitabine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Capecitabine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Capecitabine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Capecitabine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Capecitabine can be decreased when combined with Valdecoxib.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Capecitabine.]
[N02CC05, almotriptan, Almotriptan may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Capecitabine.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Capecitabine.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N05BA10, ketazolam, Capecitabine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Capecitabine can be decreased when combined with Imatinib.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Capecitabine.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N07BC04, lofexidine, Capecitabine may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Capecitabine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Capecitabine can be decreased when combined with Manidipine.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Capecitabine is combined with Meprednisone.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[R06AE03, cyclizine, The metabolism of Capecitabine can be decreased when combined with Cyclizine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Capecitabine may decrease the excretion rate of Melperone which could result in a higher serum level.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Capecitabine.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Capecitabine.]
[S01XA18, cyclosporine, Capecitabine may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Capecitabine can be decreased when combined with Modafinil.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Capecitabine.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Capecitabine.]
[M01AH05, etoricoxib, The metabolism of Capecitabine can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Capecitabine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Capecitabine.]
[J04BA02, dapsone, The metabolism of Capecitabine can be increased when combined with Dapsone.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Capecitabine.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Capecitabine.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Capecitabine.]
[N07BB05, nalmefene, Capecitabine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N06AX06, nefazodone, Capecitabine may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Capecitabine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Capecitabine can be decreased when combined with Nilutamide.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Capecitabine.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N06AA01, desipramine, Capecitabine may decrease the excretion rate of Desipramine which could result in a higher serum level.]
[C01AA07, deslanoside, Deslanoside may decrease the cardiotoxic activities of Capecitabine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Capecitabine.]
[V04CH02, indigo carmine, Capecitabine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Capecitabine.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Capecitabine is combined with Dexamethasone.]
[L04AB04, adalimumab, The metabolism of Capecitabine can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Capecitabine.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Capecitabine.]
[N06AB05, paroxetine, The metabolism of Capecitabine can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Capecitabine can be decreased when combined with Clopidogrel.]
[C01DA05, pentaerythritol tetranitrate, Capecitabine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Capecitabine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Capecitabine.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Cinchocaine.]
[R05DA08, pholcodine, Capecitabine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Capecitabine.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ixabepilone.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be increased when it is combined with Capecitabine.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Capecitabine is combined with Pirarubicin.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, The metabolism of Capecitabine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Capecitabine is combined with Difluocortolone.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C01AA04, digitoxin, Digitoxin may decrease the cardiotoxic activities of Capecitabine.]
[C01AA05, digoxin, Capecitabine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Capecitabine.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Capecitabine.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Capecitabine.]
[J05AE08, atazanavir, The metabolism of Capecitabine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Capecitabine.]
[H03BC01, potassium perchlorate, Capecitabine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Capecitabine.]
[V03AB09, dimercaprol, Capecitabine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C05CA03, diosmin, The metabolism of Capecitabine can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Capecitabine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Capecitabine.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Capecitabine.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Capecitabine.]
[S01AX06, resorcinol, Capecitabine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Natalizumab.]
[S02AA12, rifamycin SV, The metabolism of Capecitabine can be decreased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Capecitabine can be increased when combined with Rifapentine.]
[R06AE09, levocetirizine, Capecitabine may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Capecitabine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Ropivacaine.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Capecitabine is combined with Sunitinib.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Capecitabine.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Capecitabine.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Capecitabine.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Doxorubicin is combined with Capecitabine.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N06AB06, sertraline, The metabolism of Capecitabine can be decreased when combined with Sertraline.]
