[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Dulaglutide.]
[D07XC02, desoximetasone, The risk or severity of hyperglycemia can be increased when Desoximetasone is combined with Dulaglutide.]
[H02AA03, desoxycorticosterone, The risk or severity of hyperglycemia can be increased when Desoxycortone is combined with Dulaglutide.]
[S03BA01, dexamethasone, The risk or severity of hyperglycemia can be increased when Dexamethasone is combined with Dulaglutide.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Dulaglutide.]
[N06AB05, paroxetine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Dulaglutide.]
[V03AH01, diazoxide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Diazoxide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the hypoglycemic activities of Dulaglutide.]
[S01EC02, dichlorphenamide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Diclofenamide.]
[A07AB02, phthalylsulfathiazole, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Phthalylsulfathiazole.]
[G03CC02, dienestrol, Dienestrol may increase the thrombogenic activities of Dulaglutide.]
[A03AX04, pinaverium, The risk or severity of hypoglycemia can be increased when Pinaverium is combined with Dulaglutide.]
[A10BG03, pioglitazone, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Dulaglutide.]
[C03CA03, piretanide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Piretanide.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may increase the thrombogenic activities of Dulaglutide.]
[C08CA03, isradipine, The risk or severity of hypoglycemia can be increased when Isradipine is combined with Dulaglutide.]
[D07XC04, diflucortolone, The risk or severity of hyperglycemia can be increased when Difluocortolone is combined with Dulaglutide.]
[N02BA11, diflunisal, Diflunisal may increase the hypoglycemic activities of Dulaglutide.]
[L02AA02, polyestradiol phosphate, Polyestradiol phosphate may increase the thrombogenic activities of Dulaglutide.]
[J05AE08, atazanavir, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Atazanavir.]
[D07AC18, prednicarbate, The risk or severity of hyperglycemia can be increased when Prednicarbate is combined with Dulaglutide.]
[C08DB01, diltiazem, The risk or severity of hypoglycemia can be increased when Diltiazem is combined with Dulaglutide.]
[G03CA09, promestriene, Promestriene may increase the thrombogenic activities of Dulaglutide.]
[N06AA23, quinupramine, Quinupramine may decrease the hypoglycemic activities of Dulaglutide.]
[S01XA23, sirolimus, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Sirolimus.]
[C01BA03, disopyramide, The risk or severity of hypoglycemia can be increased when Disopyramide is combined with Dulaglutide.]
[J06BB01, Rho(D) immune globulin, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Human Rho(D) immune globulin.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Natalizumab is combined with Dulaglutide.]
[N05AX08, risperidone, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Risperidone.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Dulaglutide.]
[J01MB01, rosoxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Sunitinib is combined with Dulaglutide.]
[J05AE07, fosamprenavir, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Fosamprenavir.]
[N06AA16, dothiepin, Dosulepin may decrease the hypoglycemic activities of Dulaglutide.]
[N06AA12, doxepin, Doxepin may decrease the hypoglycemic activities of Dulaglutide.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Dulaglutide.]
[A07AB04, succinylsulfathiazole, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Succinylsulfathiazole.]
[N02CC01, sumatriptan, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Sumatriptan.]
[C07AB13, talinolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hyperglycemia can be increased when Corticotropin is combined with Dulaglutide.]
[J01MA05, temafloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Temafloxacin.]
[G04BD05, terodiline, The risk or severity of hypoglycemia can be increased when Terodiline is combined with Dulaglutide.]
[C07AA16, tertatolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Tertatolol.]
[N06AX14, tianeptine, Tianeptine may decrease the hypoglycemic activities of Dulaglutide.]
[G03CX01, tibolone, Tibolone may increase the thrombogenic activities of Dulaglutide.]
[N06AG03, toloxatone, Toloxatone may increase the hypoglycemic activities of Dulaglutide.]
[C03CA04, torsemide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Torasemide.]
[H02CA01, trilostane, The risk or severity of hyperglycemia can be increased when Trilostane is combined with Dulaglutide.]
[L02AE04, triptorelin, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Triptorelin.]
[J01MA04, enoxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Enoxacin.]
[J06BB03, varicella-zoster immune globulin, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Human varicella-zoster immune globulin.]
[N06AX16, venlafaxine, The risk or severity of hypoglycemia can be increased when Venlafaxine is combined with Dulaglutide.]
[S01GA03, xylometazoline, The risk or severity of hypoglycemia can be increased when Xylometazoline is combined with Dulaglutide.]
[C08CA12, mepirodipine, The risk or severity of hypoglycemia can be increased when Barnidipine is combined with Dulaglutide.]
[S01EA01, epinephrine, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Epinephrine.]
[N03AX15, zonisamide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Insulin glulisine.]
[G03CA03, estradiol, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Estradiol.]
[G03CC06, estriol, Estriol may increase the thrombogenic activities of Dulaglutide.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Dulaglutide.]
[G03CC04, estrone, Estrone may increase the thrombogenic activities of Dulaglutide.]
[R03BA09, fluticasone furoate, The risk or severity of hyperglycemia can be increased when Fluticasone furoate is combined with Dulaglutide.]
[R03BA05, fluticasone, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Dulaglutide.]
[D07AC21, halobetasol, The risk or severity of hyperglycemia can be increased when Ulobetasol is combined with Dulaglutide.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Ethinylestradiol.]
[N03AD01, ethosuximide, The risk or severity of hypoglycemia can be increased when Ethosuximide is combined with Dulaglutide.]
[L04AD02, tacrolimus, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Tacrolimus.]
[J01MA08, fleroxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Fleroxacin.]
[N06AB08, fluvoxamine, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Dulaglutide.]
[L02AE02, leuprolide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Leuprolide.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Dulaglutide.]
[C08CA02, felodipine, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Dulaglutide.]
[C08EA01, fendiline, The risk or severity of hypoglycemia can be increased when Fendiline is combined with Dulaglutide.]
[J02AC01, fluconazole, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Fluconazole.]
[H02AA02, fludrocortisone, The risk or severity of hyperglycemia can be increased when Fludrocortisone is combined with Dulaglutide.]
[D07XB01, flumethasone, The risk or severity of hyperglycemia can be increased when Flumethasone is combined with Dulaglutide.]
[N07CA03, flunarizine, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Dulaglutide.]
[D07AC08, fluocinonide, The risk or severity of hyperglycemia can be increased when Fluocinonide is combined with Dulaglutide.]
[N06AA14, melitracen, Melitracen may decrease the hypoglycemic activities of Dulaglutide.]
[H02AB03, fluocortolone, The risk or severity of hyperglycemia can be increased when Fluocortolone is combined with Dulaglutide.]
[S01CB05, fluorometholone, The risk or severity of hyperglycemia can be increased when Fluorometholone is combined with Dulaglutide.]
[N06AB03, fluoxetine, The risk or severity of hypoglycemia can be increased when Fluoxetine is combined with Dulaglutide.]
[G03BA01, fluoxymesterone, Fluoxymesterone may increase the hypoglycemic activities of Dulaglutide.]
[D07AC07, flurandrenolide, The risk or severity of hyperglycemia can be increased when Flurandrenolide is combined with Dulaglutide.]
[N05AG01, fluspirilene, The risk or severity of hypoglycemia can be increased when Fluspirilene is combined with Dulaglutide.]
[G01AX06, furazolidone, Furazolidone may increase the hypoglycemic activities of Dulaglutide.]
[J05AE10, darunavir, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Furosemide.]
[C08DA02, gallopamil, The risk or severity of hypoglycemia can be increased when Gallopamil is combined with Dulaglutide.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Liraglutide is combined with Dulaglutide.]
[N03AD03, methsuximide, The risk or severity of hypoglycemia can be increased when Methsuximide is combined with Dulaglutide.]
[A10BB01, glyburide, Dulaglutide may increase the hypoglycemic activities of Glyburide.]
[A10BB09, gliclazide, Dulaglutide may increase the hypoglycemic activities of Gliclazide.]
[A10BB07, glipizide, Dulaglutide may increase the hypoglycemic activities of Glipizide.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may decrease the hypoglycemic activities of Dulaglutide.]
[L02AE03, goserelin, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Goserelin.]
[D07AD02, halcinonide, The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Dulaglutide.]
[N05AD01, haloperidol, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Haloperidol.]
[L02AE05, histrelin, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Quetiapine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Insulin aspart.]
[A07EC02, mesalamine, Mesalazine may increase the hypoglycemic activities of Dulaglutide.]
[C08CA10, nilvadipine, The risk or severity of hypoglycemia can be increased when Nilvadipine is combined with Dulaglutide.]
[M02AA26, nimesulide, The risk or severity of hypoglycemia can be increased when Nimesulide is combined with Dulaglutide.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hyperglycemia can be increased when Hydrocortisone is combined with Dulaglutide.]
[D07AC16, hydrocortisone aceponate, The risk or severity of hyperglycemia can be increased when Hydrocortisone aceponate is combined with Dulaglutide.]
[D07AB11, hydrocortisone probutate, The risk or severity of hyperglycemia can be increased when Hydrocortisone probutate is combined with Dulaglutide.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Hydroflumethiazide.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Hydroxychloroquine.]
[S01BA13, rimexolone, The risk or severity of hyperglycemia can be increased when Rimexolone is combined with Dulaglutide.]
[H01AC02, somatrem, Somatrem may decrease the hypoglycemic activities of Dulaglutide.]
[N06AA02, imipramine, Imipramine may decrease the hypoglycemic activities of Dulaglutide.]
[R01AD07, tixocortol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Dulaglutide.]
[C03BA11, indapamide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypoglycemia can be increased when Indomethacin is combined with Dulaglutide.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Milnacipran is combined with Dulaglutide.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Dulaglutide.]
[N01BB08, articaine, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Articaine.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Sitagliptin is combined with Dulaglutide.]
[S01LA04, ranibizumab, The risk or severity of adverse effects can be increased when Ranibizumab is combined with Dulaglutide.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Vildagliptin is combined with Dulaglutide.]
[C07AA01, alprenolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Quinethazone.]
[N06AA13, iprindole, Iprindole may decrease the hypoglycemic activities of Dulaglutide.]
[N06AF05, iproniazid, Iproniazid may increase the hypoglycemic activities of Dulaglutide.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypoglycemic activities of Dulaglutide.]
[J04AC01, isoniazid, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Isoniazid.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Exenatide is combined with Dulaglutide.]
[H01AC01, somatropin, Somatotropin may decrease the hypoglycemic activities of Dulaglutide.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Tocilizumab is combined with Dulaglutide.]
[N05AH03, olanzapine, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Olanzapine.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Dulaglutide.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Nalidixic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Labetalol.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Etacrynic acid.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Levonorgestrel.]
[C08EX01, lidoflazine, The risk or severity of hypoglycemia can be increased when Lidoflazine is combined with Dulaglutide.]
[N06AA07, lofepramine, Lofepramine may decrease the hypoglycemic activities of Dulaglutide.]
[A07DA03, loperamide, The risk or severity of hypoglycemia can be increased when Loperamide is combined with Dulaglutide.]
[L01EG01, temsirolimus, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Temsirolimus.]
[V04CC02, magnesium sulfate, The risk or severity of hypoglycemia can be increased when Magnesium sulfate is combined with Dulaglutide.]
[L01EA03, nilotinib, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Nilotinib.]
[C03BA05, mefruside, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Mefruside.]
[G03BB01, mesterolone, Mesterolone may increase the hypoglycemic activities of Dulaglutide.]
[N05AX13, paliperidone, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Paliperidone.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Metformin is combined with Dulaglutide.]
[H01CB03, lanreotide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Lanreotide.]
[S01EC05, methazolamide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Methazolamide.]
[N02BG08, ziconotide, The risk or severity of hypoglycemia can be increased when Ziconotide is combined with Dulaglutide.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Methotrimeprazine.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Methyclothiazide.]
[V04CG05, methylene blue, Methylene blue may increase the hypoglycemic activities of Dulaglutide.]
[H02AB04, methylprednisolone, The risk or severity of hyperglycemia can be increased when Methylprednisolone is combined with Dulaglutide.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hyperglycemia can be increased when Methylprednisolone aceponate is combined with Dulaglutide.]
[G03EK01, methyltestosterone, Methyltestosterone may increase the hypoglycemic activities of Dulaglutide.]
[C03BA08, metolazone, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Metoprolol.]
[G03XB01, mifepristone, The risk or severity of hypoglycemia can be increased when Mifepristone is combined with Dulaglutide.]
[C01BD01, amiodarone, The risk or severity of hypoglycemia can be increased when Amiodarone is combined with Dulaglutide.]
[N06AA09, amitriptyline, Amitriptyline may decrease the hypoglycemic activities of Dulaglutide.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Dulaglutide.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ofatumumab is combined with Dulaglutide.]
[N06AA17, amoxapine, Amoxapine may decrease the hypoglycemic activities of Dulaglutide.]
[C07AA12, nadolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Nadolol.]
[S01XA11, nandrolone, Nandrolone phenpropionate may increase the hypoglycemic activities of Dulaglutide.]
[A10BG01, troglitazone, The risk or severity of hypoglycemia can be increased when Troglitazone is combined with Dulaglutide.]
[N06AX21, duloxetine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Dulaglutide.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Dulaglutide.]
[N05AX14, iloperidone, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Desvenlafaxine is combined with Dulaglutide.]
[C10AD02, niacin, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypoglycemic activities of Dulaglutide.]
[C08CA04, nicardipine, The risk or severity of hypoglycemia can be increased when Nicardipine is combined with Dulaglutide.]
[C08CA05, nifedipine, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Dulaglutide.]
[C08CA06, nimodipine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Dulaglutide.]
[C08CA07, nisoldipine, The risk or severity of hypoglycemia can be increased when Nisoldipine is combined with Dulaglutide.]
[C08CA08, nitrendipine, The risk or severity of hypoglycemia can be increased when Nitrendipine is combined with Dulaglutide.]
[G03DC02, norethindrone, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Norethisterone.]
[S01AE02, norfloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Norfloxacin.]
[C02KX01, bosentan, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may decrease the hypoglycemic activities of Dulaglutide.]
[G02CA02, nylidrin, The risk or severity of hypoglycemia can be increased when Nylidrin is combined with Dulaglutide.]
[H01CB02, octreotide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Ofloxacin.]
[N06AA05, opipramol, Opipramol may decrease the hypoglycemic activities of Dulaglutide.]
[G04CA02, tamsulosin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Tamsulosin.]
[A14AA08, oxandrolone, Oxandrolone may increase the hypoglycemic activities of Dulaglutide.]
[J01MB05, oxolinic acid, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Oxolinic acid.]
[C07AA02, oxprenolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Oxprenolol.]
[A14AA05, oxymetholone, Oxymetholone may increase the hypoglycemic activities of Dulaglutide.]
[J04AA01, aminosalicylic acid, Aminosalicylic acid may increase the hypoglycemic activities of Dulaglutide.]
[N05AH05, asenapine, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Asenapine.]
[H02AB05, paramethasone, The risk or severity of hyperglycemia can be increased when Paramethasone is combined with Dulaglutide.]
[C02KC01, pargyline, Pargyline may increase the hypoglycemic activities of Dulaglutide.]
[J01MA03, pefloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Pefloxacin.]
[C07AA23, penbutolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypoglycemia can be increased when Penfluridol is combined with Dulaglutide.]
[C08EX02, perhexiline, The risk or severity of hypoglycemia can be increased when Perhexiline is combined with Dulaglutide.]
[L01FX01, edrecolomab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Edrecolomab.]
[N06AF03, phenelzine, Phenelzine may increase the hypoglycemic activities of Dulaglutide.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Phenformin is combined with Dulaglutide.]
[A08AA01, phentermine, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Phentermine.]
[N03AB02, phenytoin, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Phenytoin.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Golimumab is combined with Dulaglutide.]
[S01AE05, levofloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of hypoglycemia can be increased when Mibefradil is combined with Dulaglutide.]
[C07AA03, pindolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Pindolol.]
[J05AE01, saquinavir, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Saquinavir.]
[P02CB01, piperazine, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Piperazine.]
[N05AC04, pipothiazine, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Pipotiazine.]
[J01MA11, grepafloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Grepafloxacin.]
[B01AC13, abciximab, The risk or severity of adverse effects can be increased when Abciximab is combined with Dulaglutide.]
[A10BG02, rosiglitazone, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Dulaglutide.]
[L04AC05, ustekinumab, The risk or severity of adverse effects can be increased when Ustekinumab is combined with Dulaglutide.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Canakinumab is combined with Dulaglutide.]
[C03AA05, polythiazide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Saxagliptin is combined with Dulaglutide.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Insulin lispro.]
[C07AB01, practolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Practolol.]
[S03BA02, prednisolone, The risk or severity of hyperglycemia can be increased when Prednisolone is combined with Dulaglutide.]
[H02AB07, prednisone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Dulaglutide.]
[C01DX02, prenylamine, The risk or severity of hypoglycemia can be increased when Prenylamine is combined with Dulaglutide.]
[M04AB01, probenecid, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Probenecid.]
[S01HA05, procaine, Procaine may increase the hypoglycemic activities of Dulaglutide.]
[L01XB01, procarbazine, Procarbazine may increase the hypoglycemic activities of Dulaglutide.]
[G03DA04, progesterone, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Progesterone.]
[C01BC03, propafenone, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Propafenone.]
[C07AA05, propranolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Propranolol.]
[N06AA11, protriptyline, Protriptyline may decrease the hypoglycemic activities of Dulaglutide.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Aripiprazole.]
[P01BC01, quinine, The risk or severity of hypoglycemia can be increased when Quinine is combined with Dulaglutide.]
[D07AC10, diflorasone, The risk or severity of hyperglycemia can be increased when Diflorasone is combined with Dulaglutide.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the hypoglycemic activities of Dulaglutide.]
[S01BC08, salicylic acid, Salicylic acid may increase the hypoglycemic activities of Dulaglutide.]
[N04BD01, selegiline, Selegiline may increase the hypoglycemic activities of Dulaglutide.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Obinutuzumab is combined with Dulaglutide.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Dulaglutide.]
[C07AA07, sotalol, The risk or severity of hypoglycemia can be increased when Sotalol is combined with Dulaglutide.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Trastuzumab emtansine is combined with Dulaglutide.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hyperglycemia can be increased when Hydrocortisone butyrate is combined with Dulaglutide.]
