[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluphenazine.]
[N03AX09, lamotrigine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Fluphenazine can be increased when used in combination with Lofexidine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Lormetazepam.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AA04, mebeverine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Medifoxamine.]
[C07AA14, mepindolol, The serum concentration of Mepindolol can be increased when it is combined with Fluphenazine.]
[R06AD07, mequitazine, Fluphenazine may increase the arrhythmogenic activities of Mequitazine.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Fluphenazine.]
[R03CB02, methoxyphenamine, Fluphenazine may decrease the stimulatory activities of Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Cyclobarbital.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Melperone.]
[L01AA01, cyclophosphamide, Cyclophosphamide may increase the neurotoxic activities of Fluphenazine.]
[N06AX07, minaprine, The risk or severity of extrapyramidal symptoms can be increased when Minaprine is combined with Fluphenazine.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Fluphenazine.]
[S01XA18, cyclosporine, Cyclosporine may increase the neurotoxic activities of Fluphenazine.]
[N06AG02, moclobemide, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Fluphenazine.]
[R06AX02, cyproheptadine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Dantrolene.]
[J04BA02, dapsone, The risk or severity of QTc prolongation can be increased when Dapsone is combined with Fluphenazine.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Fluphenazine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Nordazepam.]
[C07AB12, nebivolol, The serum concentration of Nebivolol can be increased when it is combined with Fluphenazine.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Niaprazine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Tiagabine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Fluphenazine.]
[R05DA06, normethadone, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Escitalopram.]
[G04BD08, solifenacin, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, The serum concentration of Desipramine can be increased when it is combined with Fluphenazine.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Oxcarbazepine.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Oxiracetam.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Fluphenazine.]
[G04BD04, oxybutynin, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Fluphenazine.]
[A03AA01, oxyphencyclimine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Fluphenazine.]
[N06BA02, dextroamphetamine, Fluphenazine may decrease the stimulatory activities of Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Fluphenazine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Fluphenazine.]
[N02AC01, dextromoramide, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Phensuximide.]
[N06AA08, dibenzepin, The serum concentration of Dibenzepin can be increased when it is combined with Fluphenazine.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Fluphenazine.]
[A03AA07, dicyclomine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Fluphenazine may increase the neurotoxic activities of Didanosine.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Pipamperone.]
[A03AB14, pipenzolate, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Fluphenazine.]
[A08AA03, diethylpropion, Fluphenazine may decrease the stimulatory activities of Diethylpropion.]
[A03AB11, poldine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Fluphenazine.]
[N02AA03, hydromorphone, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Hydromorphone.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Fluphenazine.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Pridinol.]
[R06AB03, dimethindene, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Fluphenazine.]
[R06AA02, diphenhydramine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The serum concentration of Quinupramine can be increased when it is combined with Fluphenazine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Fluphenazine.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Fluphenazine.]
[C01BA03, disopyramide, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Riluzole.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Fluphenazine.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Fluphenazine.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Fluphenazine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Fluphenazine.]
[N06AA16, dothiepin, The serum concentration of Dosulepin can be increased when it is combined with Fluphenazine.]
[N06AA12, doxepin, The serum concentration of Doxepin can be increased when it is combined with Fluphenazine.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Fluphenazine.]
[B05XA02, sodium bicarbonate, Sodium bicarbonate can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Fluphenazine.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Fluphenazine.]
[C07AA16, tertatolol, The serum concentration of Tertatolol can be increased when it is combined with Fluphenazine.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Thiopropazate.]
[G04BD01, emepronium, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The serum concentration of Tianeptine can be increased when it is combined with Fluphenazine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of extrapyramidal symptoms can be increased when Toloxatone is combined with Fluphenazine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Fluphenazine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Fluphenazine.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Triclofos.]
[A03AB08, tridihexethyl, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Trimethobenzamide.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Fluphenazine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Fluphenazine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Veralipride.]
[L01CA04, vinorelbine, Vinorelbine may increase the neurotoxic activities of Fluphenazine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Fluphenazine.]
[N05CF02, zolpidem, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Fluphenazine.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Moricizine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Fluphenazine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Fluphenazine.]
[N02CA02, ergotamine, The risk or severity of adverse effects can be increased when Ergotamine is combined with Fluphenazine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Fluphenazine.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Estazolam.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Fluphenazine.]
[C01CA15, gepefrine, Fluphenazine may decrease the stimulatory activities of Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Fluphenazine.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Fluphenazine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Fluphenazine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ethotoin.]
[S01XA06, ethylmorphine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Fluphenazine.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Sertindole.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Fluphenazine.]
[R06AX12, terfenadine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Fluphenazine.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Fluphenazine.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Fluphenazine.]
[N02AB03, fentanyl, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Fentanyl.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Fluphenazine.]
[G04BD02, flavoxate, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Fluphenazine.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Flunitrazepam.]
[N06AA14, melitracen, The serum concentration of Melitracen can be increased when it is combined with Fluphenazine.]
[V03AZ01, ethanol, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[N06AB03, fluoxetine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Fluphenazine.]
[N07XX04, sodium oxybate, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Flurazepam.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Fluspirilene.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of extrapyramidal symptoms can be increased when Furazolidone is combined with Fluphenazine.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Fluphenazine is combined with Eszopiclone.]
[N05AL05, amisulpride, Fluphenazine may increase the antipsychotic activities of Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Fluphenazine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Gallamine.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Bifemelane.]
[N04BC06, cabergoline, The therapeutic efficacy of Cabergoline can be decreased when used in combination with Fluphenazine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Alfentanil.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Fluphenazine.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Fluphenazine.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Fluphenazine.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Glutethimide.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Fluphenazine.]
[C07AB09, esmolol, The serum concentration of Esmolol can be increased when it is combined with Fluphenazine.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Halofantrine is combined with Fluphenazine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Fluphenazine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Halothane.]
[N05AH04, quetiapine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Fluphenazine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Allobarbital.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Fluphenazine.]
[R05DA03, hydrocodone, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[G04BD06, propiverine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Fluphenazine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[B05CB02, sodium citrate, Fluphenazine may increase the neurotoxic activities of Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Fluphenazine.]
[N01AH03, sufentanil, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Sufentanil.]
[N06AA02, imipramine, The serum concentration of Imipramine can be increased when it is combined with Fluphenazine.]
[L01CD01, paclitaxel, Fluphenazine may increase the neurotoxic activities of Paclitaxel.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Tizanidine.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Milnacipran.]
[A03AA30, piperidolate, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Fluphenazine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ramelteon.]
[R06AE01, buclizine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C07AA01, alprenolol, The serum concentration of Alprenolol can be increased when it is combined with Fluphenazine.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Fluphenazine.]
[J05AF04, stavudine, Fluphenazine may increase the neurotoxic activities of Stavudine.]
[N06AA13, iprindole, The serum concentration of Iprindole can be increased when it is combined with Fluphenazine.]
[N06AF05, iproniazid, The risk or severity of extrapyramidal symptoms can be increased when Iproniazid is combined with Fluphenazine.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of extrapyramidal symptoms can be increased when Isocarboxazid is combined with Fluphenazine.]
[P01AX06, atovaquone, The risk or severity of QTc prolongation can be increased when Atovaquone is combined with Fluphenazine.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Isoflurane.]
[N04BX02, entacapone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Fluphenazine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Fluphenazine.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ketanserin.]
[N05AH03, olanzapine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N04BC09, rotigotine, Fluphenazine may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, The serum concentration of Labetalol can be increased when it is combined with Fluphenazine.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Fluphenazine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Lacosamide.]
[N04BA01, levodopa, The therapeutic efficacy of Levodopa can be decreased when used in combination with Fluphenazine.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Fluphenazine.]
[J01FF02, lincomycin, Fluphenazine may increase the neurotoxic activities of Lincomycin.]
[N02CA07, lisuride, The therapeutic efficacy of Lisuride can be decreased when used in combination with Fluphenazine.]
[N06AA07, lofepramine, The serum concentration of Lofepramine can be increased when it is combined with Fluphenazine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Fluphenazine.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Fluphenazine.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Fluphenazine can be increased when used in combination with Magnesium sulfate.]
[N06AA21, maprotiline, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Fluphenazine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Meclizine.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Medazepam.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Fluphenazine.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Melatonin.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Fluphenazine.]
[N02AB02, meperidine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Meperidine.]
[C01CA11, mephentermine, Fluphenazine may decrease the stimulatory activities of Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Fluphenazine.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Fluphenazine.]
[N02AX05, meptazinol, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Fluphenazine.]
[N06BA03, methamphetamine, Fluphenazine may decrease the stimulatory activities of Metamfetamine.]
[A03AB07, methantheline, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Fluphenazine.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Metergoline.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Fluphenazine.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Fluphenazine.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Fluphenazine is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Methoxyflurane.]
[V04CG05, methylene blue, The risk or severity of extrapyramidal symptoms can be increased when Methylene blue is combined with Fluphenazine.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Fluphenazine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Fluphenazine.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Metoclopramide is combined with Fluphenazine.]
[C07AB02, metoprolol, The serum concentration of Metoprolol can be increased when it is combined with Fluphenazine.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Fluphenazine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Mianserin is combined with Fluphenazine.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Fluphenazine.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Midazolam.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[N06BA12, lisdexamfetamine, Fluphenazine may decrease the stimulatory activities of Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Molindone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Fluphenazine.]
[N02AA01, morphine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Morphine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Fluphenazine.]
