[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Entacapone.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Entacapone.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Entacapone is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Entacapone.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Entacapone is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Entacapone is combined with Pridinol.]
[R06AB03, dimethindene, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Entacapone is combined with Progabide.]
[R06AA02, diphenhydramine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Entacapone is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dexmethylphenidate is combined with Entacapone.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Entacapone is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Entacapone is combined with Cisapride.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Entacapone.]
[C01BA03, disopyramide, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Entacapone is combined with Riluzole.]
[N05AX08, risperidone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Entacapone is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Entacapone.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Entacapone.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Entacapone.]
[C01CA07, dobutamine, The metabolism of Dobutamine can be decreased when combined with Entacapone.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Entacapone.]
[C01CA04, dopamine, The metabolism of Dopamine can be decreased when combined with Entacapone.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Entacapone.]
[N06AA12, doxepin, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Entacapone is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Entacapone is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Entacapone is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Entacapone.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Entacapone is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Entacapone is combined with Sumatriptan.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Entacapone.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Entacapone.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Entacapone is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Entacapone is combined with Thiopropazate.]
[G04BD01, emepronium, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Entacapone is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Entacapone is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Entacapone is combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Entacapone.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Entacapone.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Entacapone is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Entacapone is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Entacapone is combined with Triclofos.]
[A03AB08, tridihexethyl, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Entacapone is combined with Trimethobenzamide.]
[N04AA12, tropatepine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Entacapone.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Entacapone is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Entacapone is combined with Veralipride.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Entacapone is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Entacapone.]
[S01EA01, epinephrine, The metabolism of Epinephrine can be decreased when combined with Entacapone.]
[N05CF02, zolpidem, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Entacapone is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Entacapone is combined with Zopiclone.]
[N05AX11, zotepine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Entacapone is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Entacapone is combined with Moricizine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Entacapone is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Entacapone is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The risk or severity of adverse effects can be increased when Entacapone is combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Entacapone.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Entacapone is combined with Estazolam.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Entacapone.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Entacapone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Entacapone.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Entacapone.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Entacapone.]
[N04AA05, profenamine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Entacapone is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Entacapone is combined with Ethotoin.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Entacapone is combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Entacapone.]
[N05AE03, sertindole, The therapeutic efficacy of Entacapone can be decreased when used in combination with Sertindole.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Entacapone.]
[R06AX12, terfenadine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Entacapone.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Entacapone is combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Entacapone.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Entacapone is combined with Fenfluramine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Entacapone is combined with Fentanyl.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Entacapone.]
[G04BD02, flavoxate, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Entacapone.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Entacapone is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Entacapone is combined with Melitracen.]
[V03AZ01, ethanol, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[N06AB03, fluoxetine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, The therapeutic efficacy of Entacapone can be decreased when used in combination with Flupentixol.]
[N05AB02, fluphenazine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Flurazepam.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Entacapone is combined with Fluspirilene.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Entacapone is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Entacapone is combined with Furazolidone.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Entacapone is combined with Eszopiclone.]
[N05AL05, amisulpride, The therapeutic efficacy of Entacapone can be decreased when used in combination with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Entacapone.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Entacapone is combined with Gallamine.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Entacapone is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Entacapone is combined with Bifemelane.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Entacapone.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Entacapone is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Entacapone is combined with Alfentanil.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Entacapone is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Entacapone is combined with Glutethimide.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Entacapone.]
[L01EX02, sorafenib, The metabolism of Entacapone can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Entacapone.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Entacapone.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Entacapone is combined with Halothane.]
[N05AH04, quetiapine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Entacapone is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Entacapone is combined with Allobarbital.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Entacapone is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Entacapone.]
[R05DA03, hydrocodone, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[G04BD06, propiverine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Entacapone.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Entacapone is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Entacapone.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Entacapone is combined with Sufentanil.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Entacapone.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Entacapone is combined with Tizanidine.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Entacapone is combined with Milnacipran.]
[A03AA30, piperidolate, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Entacapone is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Entacapone.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Entacapone is combined with Ramelteon.]
[R06AE01, buclizine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Entacapone is combined with Alprenolol.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Entacapone.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Entacapone is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Entacapone is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Entacapone is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Entacapone is combined with Isocarboxazid.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Entacapone is combined with Isoflurane.]
[N07XX04, sodium oxybate, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The metabolism of Entacapone can be decreased when combined with Mefenamic acid.]
[R03CB01, isoproterenol, The metabolism of Isoprenaline can be decreased when combined with Entacapone.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Entacapone.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Entacapone is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Entacapone is combined with Ketanserin.]
[N05AH03, olanzapine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Olanzapine.]
[V03AC03, deferasirox, The metabolism of Entacapone can be decreased when combined with Deferasirox.]
[N04BC09, rotigotine, Entacapone may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Entacapone.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Entacapone is combined with Lacosamide.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Entacapone.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Entacapone is combined with Lisuride.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Entacapone is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Entacapone.]
[N05AH01, loxapine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Loxapine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Entacapone can be increased when used in combination with Magnesium sulfate.]
[N06AA21, maprotiline, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Entacapone is combined with Mazindol.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Entacapone is combined with Meclizine.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Medazepam.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Entacapone is combined with Melatonin.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Entacapone.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Entacapone is combined with Mephenytoin.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Entacapone is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Entacapone is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Entacapone.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Entacapone is combined with Meptazinol.]
[N05AC03, mesoridazine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Mesoridazine.]
[N05AX13, paliperidone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Entacapone is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Entacapone.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Entacapone is combined with Metamfetamine.]
[A03AB07, methantheline, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Entacapone is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Entacapone is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Entacapone.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Entacapone is combined with Metergoline.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Entacapone.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Entacapone.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Entacapone is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Entacapone is combined with Methoxyflurane.]
[C02AB01, methyldopa, The metabolism of Methyldopa can be decreased when combined with Entacapone.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Entacapone is combined with Methylene blue.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Methylphenidate is combined with Entacapone.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Entacapone.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Entacapone is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Entacapone.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Entacapone.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Entacapone.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Entacapone.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Entacapone is combined with Mianserin.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Entacapone.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Entacapone is combined with Midazolam.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Entacapone.]
[N05AE02, molindone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Molindone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Entacapone.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Entacapone.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Entacapone.]
[B02BX05, eltrombopag, The metabolism of Entacapone can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Entacapone.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Entacapone is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Entacapone is combined with Amobarbital.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Entacapone.]
[N03AB05, fosphenytoin, The risk or severity of adverse effects can be increased when Entacapone is combined with Fosphenytoin.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Entacapone.]
[N04BC04, ropinirole, Entacapone may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Entacapone is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Entacapone is combined with Nalbuphine.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Entacapone.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Entacapone is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Entacapone.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Entacapone is combined with Remifentanil.]
[N05AX14, iloperidone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Entacapone is combined with Desvenlafaxine.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Entacapone is combined with Nialamide.]
[C08CA04, nicardipine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Entacapone.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Entacapone.]
[M02AA17, niflumic acid, The metabolism of Entacapone can be decreased when combined with Niflumic acid.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Nitrazepam.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Entacapone is combined with Zaleplon.]
[N04BC05, pramipexole, Entacapone may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Entacapone is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Entacapone is combined with Nomifensine.]
[C01CA03, norepinephrine, The metabolism of Norepinephrine can be decreased when combined with Entacapone.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Entacapone.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Entacapone is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Entacapone is combined with Opium.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Entacapone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Entacapone is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Entacapone is combined with Oxycodone.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Entacapone is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Entacapone is combined with Oxypertine.]
[A03AB03, oxyphenonium, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[M03AC01, pancuronium, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[N05CC05, paraldehyde, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Entacapone is combined with Pargyline.]
[G04BD11, fesoterodine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Entacapone is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Entacapone is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Entacapone is combined with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Entacapone.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Entacapone is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Entacapone is combined with Pergolide.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Entacapone.]
[N05AB03, perphenazine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Entacapone.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Entacapone is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Entacapone is combined with Phenelzine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Entacapone.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Entacapone is combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Entacapone is combined with Phenoperidine.]
[N03AB02, phenytoin, The risk or severity of adverse effects can be increased when Phenytoin is combined with Entacapone.]
[N05AG02, pimozide, The therapeutic efficacy of Entacapone can be decreased when used in combination with Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Entacapone is combined with Pindolol.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Entacapone.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Entacapone is combined with Pipotiazine.]
[A02BX03, pirenzepine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Entacapone is combined with Piritramide.]
[N02CX01, pizotyline, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Entacapone.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Entacapone is combined with Proxibarbal.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Entacapone is combined with Alosetron.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be decreased when combined with Entacapone.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Entacapone.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Prazepam.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Entacapone is combined with Prilocaine.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Entacapone is combined with Primidone.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Entacapone.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Entacapone is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Entacapone is combined with Procarbazine.]
[N05AB04, prochlorperazine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Prochlorperazine.]
[N04AA04, procyclidine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Entacapone.]
[N05AA03, promazine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Entacapone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Entacapone is combined with Propanidid.]
[A03AB05, propantheline, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Entacapone is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Entacapone is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Entacapone.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Entacapone is combined with Rizatriptan.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Entacapone.]
