[S02DA03, antipyrine, The metabolism of Methyltestosterone can be decreased when combined with Antipyrine.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C08CA16, clevidipine, Clevidipine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C01BD07, dronedarone, The metabolism of Methyltestosterone can be decreased when combined with Dronedarone.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Methyltestosterone.]
[D07XB03, fluprednidene, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Methyltestosterone.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[V08CA05, mangafodipir, Methyltestosterone may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CM02, chlormethiazole, The metabolism of Methyltestosterone can be decreased when combined with Clomethiazole.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Dyclonine.]
[L04AC19, satralizumab, The serum concentration of Methyltestosterone can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BB02, chlorpropamide, Methyltestosterone may increase the hypoglycemic activities of Chlorpropamide.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02BA03, choline salicylate, Methyltestosterone may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M02AA06, etofenamate, The therapeutic efficacy of Etofenamate can be increased when used in combination with Methyltestosterone.]
[B06AC06, berotralstat, The metabolism of Methyltestosterone can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Methyltestosterone can be decreased when combined with Lonafarnib.]
[M01AX25, chondroitin sulfates, Methyltestosterone may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Methyltestosterone can be increased when it is combined with Abametapir.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DD15, cefdinir, The excretion of Cefdinir can be increased when combined with Methyltestosterone.]
[R03BA03, flunisolide, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Fluocinolone acetonide.]
[S01JA01, fluorescein, The excretion of Fluorescein can be increased when combined with Methyltestosterone.]
[N02BG07, flupirtine, Flupirtine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10AF01, insulin, regular, human, Methyltestosterone may increase the hypoglycemic activities of Insulin human.]
[A02BA01, cimetidine, The excretion of Cimetidine can be increased when combined with Methyltestosterone.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Methyltestosterone can be decreased when combined with Cinnarizine.]
[L01XX73, sotorasib, The serum concentration of Methyltestosterone can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Methyltestosterone can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Methyltestosterone may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Methyltestosterone.]
[V09AB03, ioflupane I-123, Methyltestosterone may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Methyltestosterone may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Methyltestosterone may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BB12, glimepiride, Methyltestosterone may increase the hypoglycemic activities of Glimepiride.]
[A10BB08, gliquidone, Methyltestosterone may increase the hypoglycemic activities of Gliquidone.]
[N06AX25, St. John's wort extract, The metabolism of Methyltestosterone can be increased when combined with St. John's Wort.]
[B06AX04, mitapivat, The metabolism of Methyltestosterone can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Levobupivacaine.]
[N06AA04, clomipramine, Clomipramine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N03AE01, clonazepam, Clonazepam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C01EB24, mavacamten, The serum concentration of Methyltestosterone can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, The excretion of Oseltamivir can be increased when combined with Methyltestosterone.]
[A10BX16, tirzepatide, Methyltestosterone may increase the hypoglycemic activities of Tirzepatide.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA21, clotiazepam, The metabolism of Methyltestosterone can be decreased when combined with Clotiazepam.]
[N05AH02, clozapine, The metabolism of Methyltestosterone can be decreased when combined with Clozapine.]
[A10BX01, guar gum, Methyltestosterone may increase the hypoglycemic activities of Guar gum.]
[A10BK06, sotagliflozin, Methyltestosterone may increase the hypoglycemic activities of Sotagliflozin.]
[J01GB12, arbekacin, Methyltestosterone may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Methyltestosterone can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Methyltestosterone can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M04AC01, colchicine, Colchicine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01XB01, colistin, Methyltestosterone may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A04AA03, tropisetron, Methyltestosterone may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, Methyltestosterone may increase the hypoglycemic activities of Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[H01AC03, mecasermin, Methyltestosterone may increase the hypoglycemic activities of Mecasermin.]
[A10AE04, insulin glargine, Methyltestosterone may increase the hypoglycemic activities of Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Methyltestosterone can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Ciclesonide.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J05AB14, valganciclovir, Valganciclovir may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C05BB03, invert sugar, Methyltestosterone may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[V08AB05, iopromide, Methyltestosterone may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Methyltestosterone may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Methyltestosterone may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CC05, almotriptan, Almotriptan may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Methyltestosterone can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The excretion of Acyclovir can be increased when combined with Methyltestosterone.]
[N05BA10, ketazolam, Ketazolam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J02AC04, posaconazole, The metabolism of Methyltestosterone can be decreased when combined with Posaconazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Methyltestosterone.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01BA03, cortisone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Cortisone.]
[N07BC04, lofexidine, Lofexidine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Methyltestosterone may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Methyltestosterone can be decreased when combined with Manidipine.]
[H02AB15, meprednisone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Meprednisone.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Methyltestosterone may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BF02, miglitol, Methyltestosterone may increase the hypoglycemic activities of Miglitol.]
[J05AF07, tenofovir disoproxil, The excretion of Tenofovir disoproxil can be increased when combined with Methyltestosterone.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Methyltestosterone.]
[S01XA18, cyclosporine, The risk or severity of liver damage can be increased when Methyltestosterone is combined with Cyclosporine.]
[N06BA07, modafinil, The metabolism of Methyltestosterone can be increased when combined with Armodafinil.]
[C10AA07, rosuvastatin, The excretion of Rosuvastatin can be increased when combined with Methyltestosterone.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Methyltestosterone can be decreased when combined with Conivaptan.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Methyltestosterone can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The therapeutic efficacy of Dantrolene can be increased when used in combination with Methyltestosterone.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N07BB05, nalmefene, Nalmefene may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Methyltestosterone can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Methyltestosterone may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N06AA01, desipramine, The metabolism of Methyltestosterone can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Desoximetasone.]
[V04CH02, indigo carmine, Methyltestosterone may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[H02AA03, desoxycorticosterone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Desoxycortone.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S03BA01, dexamethasone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Dexamethasone.]
[L04AB04, adalimumab, The metabolism of Methyltestosterone can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N06AB05, paroxetine, The metabolism of Methyltestosterone can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Methyltestosterone can be decreased when combined with Clopidogrel.]
[P03AC04, permethrin, Permethrin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Cinchocaine.]
[R05DA08, pholcodine, Methyltestosterone may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Methyltestosterone can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BG03, pioglitazone, Methyltestosterone may increase the hypoglycemic activities of Pioglitazone.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA03, isradipine, The metabolism of Methyltestosterone can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Difluocortolone.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C01AA05, digoxin, Methyltestosterone may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Methyltestosterone can be decreased when combined with Atazanavir.]
[H03BC01, potassium perchlorate, Methyltestosterone may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Methyltestosterone can be decreased when combined with Diltiazem.]
[V03AB09, dimercaprol, Methyltestosterone may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be increased when combined with Methyltestosterone.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Methyltestosterone can be decreased when combined with Quazepam.]
[C09AA06, quinapril, The excretion of Quinapril can be increased when combined with Methyltestosterone.]
[A03FA02, cisapride, The metabolism of Methyltestosterone can be decreased when combined with Cisapride.]
[S01AX06, resorcinol, Methyltestosterone may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Methyltestosterone may increase the hypoglycemic activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Methyltestosterone can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Methyltestosterone can be increased when combined with Rifapentine.]
[R06AE09, levocetirizine, Levocetirizine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Ropivacaine.]
[L01EX01, sunitinib, Methyltestosterone may increase the hypoglycemic activities of Sunitinib.]
[A04AD12, aprepitant, The metabolism of Methyltestosterone can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Methyltestosterone can be decreased when combined with Domperidone.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Methyltestosterone.]
[N06AA12, doxepin, Doxepin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N06AB06, sertraline, The metabolism of Methyltestosterone can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, The metabolism of Methyltestosterone can be decreased when combined with Sevoflurane.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C10AA01, simvastatin, The metabolism of Methyltestosterone can be increased when combined with Simvastatin.]
[A12CA02, sodium sulfate, Methyltestosterone may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[H01AA01, corticotropin, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Corticotropin.]
[J01CG02, tazobactam, The excretion of Tazobactam can be increased when combined with Methyltestosterone.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N06AG03, toloxatone, Methyltestosterone may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Chloral hydrate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[H02CA01, trilostane, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Trilostane.]
[S01GX10, epinastine, The metabolism of Methyltestosterone can be decreased when combined with Epinastine.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C08CA12, mepirodipine, The metabolism of Methyltestosterone can be decreased when combined with Barnidipine.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AB06, insulin glulisine, human, Methyltestosterone may increase the hypoglycemic activities of Insulin glulisine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA02, ergotamine, The metabolism of Methyltestosterone can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The excretion of Valproic acid can be increased when combined with Methyltestosterone.]
[L03AX05, pidotimod, Methyltestosterone may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Methyltestosterone can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Estazolam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[G03CA03, estradiol, The excretion of Estradiol can be increased when combined with Methyltestosterone.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be increased when combined with Methyltestosterone.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[R03BA05, fluticasone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Methyltestosterone can be increased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N03AB01, ethotoin, The therapeutic efficacy of Ethotoin can be increased when used in combination with Methyltestosterone.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Methyltestosterone can be decreased when combined with Ethylmorphine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[R06AX12, terfenadine, The metabolism of Methyltestosterone can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Methyltestosterone can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Methyltestosterone can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C10AA03, pravastatin, The excretion of Pravastatin can be increased when combined with Methyltestosterone.]
[M01CB01, gold sodium thiomalate, Methyltestosterone may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Methyltestosterone may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A02BA03, famotidine, The excretion of Famotidine can be increased when combined with Methyltestosterone.]
[A16AA01, levocarnitine, The excretion of Levocarnitine can be increased when combined with Methyltestosterone.]
[N03AX26, fenfluramine, The metabolism of Methyltestosterone can be decreased when combined with Fenfluramine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01BB06, clofarabine, The excretion of Clofarabine can be increased when combined with Methyltestosterone.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Methyltestosterone can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[H02AA02, fludrocortisone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Fludrocortisone.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[D07XB01, flumethasone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Flumethasone.]
[N05CD03, flunitrazepam, The metabolism of Methyltestosterone can be decreased when combined with Flunitrazepam.]
[D07AC08, fluocinonide, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Fluocinonide.]
[H02AB03, fluocortolone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Methyltestosterone can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01CB05, fluorometholone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Fluorometholone.]
[N06AB03, fluoxetine, The metabolism of Methyltestosterone can be decreased when combined with Fluoxetine.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
