[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Vilazodone.]
[G04BD09, trospium, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Vilazodone is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Vilazodone is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Vilazodone is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Clomethiazole is combined with Vilazodone.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Vilazodone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Vilazodone.]
[C08CA17, levamlodipine, Vilazodone may decrease the antihypertensive activities of Levamlodipine.]
[P01BB01, proguanil, The metabolism of Vilazodone can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Vilazodone is combined with Remimazolam.]
[N07XX04, sodium oxybate, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Vilazodone can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Vilazodone is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Vilazodone can be decreased when combined with Chloroquine.]
[C03AA04, chlorothiazide, Vilazodone may decrease the antihypertensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Vilazodone.]
[N05AA01, chlorpromazine, The metabolism of Vilazodone can be decreased when combined with Chlorpromazine.]
[N05AF03, chlorprothixene, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Vilazodone may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Vilazodone.]
[A11CC05, cholecalciferol, The metabolism of Vilazodone can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Vilazodone is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Vilazodone.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Vilazodone.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Vilazodone is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Vilazodone can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Vilazodone can be decreased when combined with Lonafarnib.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Vilazodone is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Vilazodone can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Vilazodone is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Vilazodone.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Vilazodone is combined with Fenbufen.]
[C01CA19, fenoldopam, Vilazodone may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Vilazodone is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Finasteride is combined with Vilazodone.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Vilazodone.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Vilazodone is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Vilazodone can be decreased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Vilazodone may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Vilazodone can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Vilazodone.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Vilazodone.]
[L01XX73, sotorasib, The serum concentration of Vilazodone can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Vilazodone can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The metabolism of Citalopram can be decreased when combined with Vilazodone.]
[H01AC07, somapacitan, The metabolism of Vilazodone can be decreased when combined with Somapacitan.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Vilazodone.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Vilazodone.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Vilazodone.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Vilazodone.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Clenbuterol is combined with Vilazodone.]
[N06AX25, St. John's wort extract, The metabolism of Vilazodone can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Vilazodone can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Vilazodone.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Vilazodone.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Vilazodone.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Vilazodone.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Vilazodone.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Vilazodone.]
[C01EB24, mavacamten, The serum concentration of Vilazodone can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Vilazodone can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Vilazodone.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Vilazodone.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Vilazodone.]
[N05AH02, clozapine, The metabolism of Vilazodone can be decreased when combined with Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Vilazodone.]
[H01AC08, somatrogon, The metabolism of Vilazodone can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Vilazodone may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Vilazodone can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Vilazodone is combined with Proquazone.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Vilazodone.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Vilazodone.]
[A03AB10, hexocyclium, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Vilazodone.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Vilazodone is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Vilazodone is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Vilazodone.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Vilazodone is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The metabolism of Vilazodone can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Vilazodone.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Vilazodone is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Vilazodone.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Vilazodone.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Vilazodone is combined with Isometheptene.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Vilazodone.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Vilazodone is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Vilazodone can be decreased when combined with Itraconazole.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketazolam is combined with Vilazodone.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Vilazodone is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Vilazodone can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Vilazodone can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Vilazodone can be decreased when combined with Esomeprazole.]
[C08CA09, lacidipine, Vilazodone may decrease the antihypertensive activities of Lacidipine.]
[N03AX09, lamotrigine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Vilazodone can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Vilazodone is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Vilazodone is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Vilazodone is combined with Loxoprofen.]
[C09AA03, lisinopril, Vilazodone may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, The metabolism of Vilazodone can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Vilazodone is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Vilazodone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Vilazodone.]
[N04AA03, methixene, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Vilazodone is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Vilazodone.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Vilazodone is combined with Cyclobarbital.]
[C03DA04, eplerenone, Vilazodone may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Vilazodone is combined with Melperone.]
[C03AA07, cyclopenthiazide, Vilazodone may decrease the antihypertensive activities of Cyclopenthiazide.]
[L01AA01, cyclophosphamide, The metabolism of Vilazodone can be decreased when combined with Cyclophosphamide.]
[N06AX07, minaprine, The metabolism of Vilazodone can be decreased when combined with Minaprine.]
[S01XA18, cyclosporine, The metabolism of Vilazodone can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Vilazodone can be decreased when combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Vilazodone can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Vilazodone may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Vilazodone is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Vilazodone is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Vilazodone can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Vilazodone may decrease the antihypertensive activities of Moxonidine.]
[M01AH05, etoricoxib, The metabolism of Vilazodone can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Vilazodone can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Vilazodone.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Vilazodone is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Vilazodone.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Vilazodone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Vilazodone is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Vilazodone.]
[N06AX06, nefazodone, The metabolism of Vilazodone can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Niaprazine.]
[C01DX16, nicorandil, Vilazodone may decrease the antihypertensive activities of Nicorandil.]
[L02BB02, nilutamide, The metabolism of Vilazodone can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Vilazodone.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Vilazodone is combined with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Vilazodone.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Vilazodone is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Vilazodone is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Vilazodone.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Olsalazine is combined with Vilazodone.]
[N06AA01, desipramine, The metabolism of Vilazodone can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Vilazodone.]
[C09XA02, aliskiren, Vilazodone may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Oxaprozin is combined with Vilazodone.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Vilazodone.]
[S03BA01, dexamethasone, The metabolism of Vilazodone can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Vilazodone is combined with Oxiracetam.]
[N04AA08, dexetimide, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Vilazodone.]
[A03AA01, oxyphencyclimine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Vilazodone can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Vilazodone.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Vilazodone.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Vilazodone.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Vilazodone.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Vilazodone.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Vilazodone.]
[B01AC04, clopidogrel, The metabolism of Vilazodone can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Vilazodone.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Vilazodone.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Vilazodone.]
[V03AH01, diazoxide, Vilazodone may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Vilazodone.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Vilazodone is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Vilazodone.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Diclofenac is combined with Vilazodone.]
[A03AA07, dicyclomine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Vilazodone may decrease the antihypertensive activities of Pinacidil.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Pipamperone.]
[A03AB14, pipenzolate, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Vilazodone.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Pirbuterol is combined with Vilazodone.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Vilazodone.]
[C08CA03, isradipine, The metabolism of Vilazodone can be decreased when combined with Isradipine.]
[A03AB11, poldine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Vilazodone.]
[C01AA05, digoxin, The serum concentration of Digoxin can be increased when it is combined with Vilazodone.]
[C02DB01, dihydralazine, Vilazodone may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the vasoconstricting activities of Vilazodone.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the vasoconstricting activities of Vilazodone.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Vilazodone.]
[J05AE08, atazanavir, The metabolism of Vilazodone can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Vilazodone may decrease the antihypertensive activities of Treprostinil.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Vilazodone.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Vilazodone.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Vilazodone is combined with Pridinol.]
[R06AB03, dimethindene, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Procaterol is combined with Vilazodone.]
[M02AX03, dimethyl sulfoxide, The metabolism of Vilazodone can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Vilazodone.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Vilazodone is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Vilazodone is combined with Proglumetacin.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Vilazodone.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Vilazodone.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Vilazodone.]
[C09AA06, quinapril, Vilazodone may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Vilazodone is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Vilazodone can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Vilazodone may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Vilazodone.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Vilazodone is combined with Reproterol.]
[C01BA03, disopyramide, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Vilazodone can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Vilazodone can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Vilazodone.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Vilazodone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Levocetirizine is combined with Vilazodone.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Vilazodone.]
[A04AD12, aprepitant, The metabolism of Vilazodone can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Vilazodone.]
[G04BE08, tadalafil, Vilazodone may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Vilazodone.]
[C02KX02, ambrisentan, Vilazodone may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Vilazodone can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Salsalate is combined with Vilazodone.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Salmeterol is combined with Vilazodone.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Vilazodone.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Vilazodone.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Dopamine is combined with Vilazodone.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Vilazodone.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Vilazodone.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Vilazodone.]
[L01DB01, doxorubicin, The metabolism of Vilazodone can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Vilazodone.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Vilazodone.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Vilazodone.]
[C09AA11, spirapril, Vilazodone may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Vilazodone is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Vilazodone.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Vilazodone.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Vilazodone.]
[G04CA03, terazosin, Vilazodone may decrease the antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Vilazodone can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Vilazodone.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Vilazodone is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Vilazodone is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Vilazodone is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Vilazodone is combined with Thiopropazate.]
[G04BD01, emepronium, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Tianeptine.]
[C09AA02, enalapril, Vilazodone may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Vilazodone is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Vilazodone is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The metabolism of Vilazodone can be decreased when combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Vilazodone.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Vilazodone.]
[C03CA04, torsemide, Vilazodone may decrease the antihypertensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Vilazodone is combined with Tramazoline.]
[C09AA10, trandolapril, Vilazodone may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Vilazodone.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Vilazodone is combined with Triclofos.]
[A03AB08, tridihexethyl, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Vilazodone.]
[N04AA12, tropatepine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Vilazodone is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Vilazodone.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Vilazodone is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Vilazodone is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vilazodone can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Ephedrine is combined with Vilazodone.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Vilazodone.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Vilazodone is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Vilazodone is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Vilazodone is combined with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Vilazodone can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypertension can be increased when Epinephrine is combined with Vilazodone.]
[C09AA15, zofenopril, Vilazodone may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Zomepirac is combined with Vilazodone.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Vilazodone.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Vilazodone.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Moricizine.]
[G02AB03, ergonovine, Ergometrine may increase the vasoconstricting activities of Vilazodone.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the vasoconstricting activities of Vilazodone.]
[N02CA02, ergotamine, The metabolism of Vilazodone can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Vilazodone.]
[S01AA17, erythromycin, The metabolism of Vilazodone can be decreased when combined with Erythromycin.]
