[S02DA03, antipyrine, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Antipyrine.]
[H01BA02, desmopressin, Cefepime may decrease the excretion rate of Desmopressin which could result in a higher serum level.]
[V04CH02, indigo carmine, Cefepime may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Cefepime may decrease the excretion rate of Ertapenem which could result in a higher serum level.]
[M01AE12, oxaprozin, The risk or severity of nephrotoxicity can be increased when Oxaprozin is combined with Cefepime.]
[N06BA02, dextroamphetamine, Cefepime may decrease the excretion rate of Amphetamine which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Cefepime may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Cefepime may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Cefepime may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[S01AA29, dibekacin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Dibekacin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Cinchocaine.]
[R05DA08, pholcodine, Cefepime may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[M05BA02, clodronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Cefepime is combined with Clodronic acid.]
[S01BC03, diclofenac, The risk or severity of nephrotoxicity can be increased when Diclofenac is combined with Cefepime.]
[J05AD01, foscarnet, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Foscarnet.]
[A03AA07, dicyclomine, Cefepime may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Cefepime may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C03CA03, piretanide, The risk or severity of nephrotoxicity can be increased when Piretanide is combined with Cefepime.]
[C08CA03, isradipine, Cefepime may decrease the excretion rate of Isradipine which could result in a higher serum level.]
[D07XC04, diflucortolone, Cefepime may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefepime.]
[C01AA05, digoxin, Cefepime may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02AA03, hydromorphone, Cefepime may decrease the excretion rate of Hydromorphone which could result in a higher serum level.]
[L04AX04, lenalidomide, Cefepime may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The risk or severity of nephrotoxicity can be increased when Atazanavir is combined with Cefepime.]
[H03BC01, potassium perchlorate, Cefepime may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Cefepime may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Pramocaine.]
[V03AB09, dimercaprol, Cefepime may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Cefepime may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Proglumetacin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The therapeutic efficacy of Dipyridamole can be decreased when used in combination with Cefepime.]
[B01AD10, drotrecogin alfa, The therapeutic efficacy of Drotrecogin alfa can be decreased when used in combination with Cefepime.]
[S01AX06, resorcinol, Cefepime may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Cefepime may decrease the excretion rate of Disopyramide which could result in a higher serum level.]
[P03AA04, disulfiram, The risk or severity of adverse effects can be increased when Cefepime is combined with Disulfiram.]
[R06AE09, levocetirizine, Cefepime may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Ropivacaine.]
[G04BE08, tadalafil, Cefepime may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, The risk or severity of nephrotoxicity can be increased when Ketorolac is combined with Cefepime.]
[C01EB18, ranolazine, Cefepime may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N02BA06, salsalate, The risk or severity of nephrotoxicity can be increased when Salsalate is combined with Cefepime.]
[H05BA01, salmon calcitonin, Cefepime may decrease the excretion rate of Salmon calcitonin which could result in a higher serum level.]
[C01CA07, dobutamine, Cefepime may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CA04, dopamine, Cefepime may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA12, doxepin, Cefepime may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01AA02, doxycycline, Cefepime may decrease the excretion rate of Doxycycline which could result in a higher serum level.]
[A08AA10, sibutramine, Cefepime may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[A12CA02, sodium sulfate, Cefepime may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Cefepime may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N02CC01, sumatriptan, Cefepime may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Cefepime may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[L01AX03, temozolomide, Cefepime may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of nephrotoxicity can be increased when Tenoxicam is combined with Cefepime.]
[M01AG02, tolfenamic acid, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Cefepime may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Cefepime may decrease the excretion rate of Atomoxetine which could result in a higher serum level.]
[N03AX11, topiramate, Cefepime may decrease the excretion rate of Topiramate which could result in a higher serum level.]
[C03CA04, torsemide, The risk or severity of nephrotoxicity can be increased when Torasemide is combined with Cefepime.]
[N05CC01, chloral hydrate, Cefepime may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[B01AC18, triflusal, The therapeutic efficacy of Triflusal can be decreased when used in combination with Cefepime.]
[C05CA04, troxerutin, The therapeutic efficacy of Troxerutin can be decreased when used in combination with Cefepime.]
[N06AX16, venlafaxine, Cefepime may decrease the excretion rate of Venlafaxine which could result in a higher serum level.]
[M01AB04, zomepirac, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Zomepirac.]
[N03AX15, zonisamide, Cefepime may decrease the excretion rate of Zonisamide which could result in a higher serum level.]
[B01AD03, anistreplase, The therapeutic efficacy of Anistreplase can be decreased when used in combination with Cefepime.]
[L01XA02, carboplatin, The risk or severity of nephrotoxicity can be increased when Carboplatin is combined with Cefepime.]
[C02AC02, guanfacine, Cefepime may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L03AX05, pidotimod, Cefepime may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Cefepime may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Cefepime may decrease the excretion rate of Pantoprazole which could result in a higher serum level.]
[G03CA03, estradiol, Cefepime may decrease the excretion rate of Estradiol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Cefepime may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[J04AK02, ethambutol, Cefepime may decrease the excretion rate of Ethambutol which could result in a higher serum level.]
[V08CA03, gadodiamide, Cefepime may decrease the excretion rate of Gadodiamide which could result in a higher serum level.]
[C01BD05, ibutilide, Cefepime may decrease the excretion rate of Ibutilide which could result in a higher serum level.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Etidocaine.]
[N01AX07, etomidate, Cefepime may decrease the excretion rate of Etomidate which could result in a higher serum level.]
[L04AD02, tacrolimus, The risk or severity of nephrotoxicity can be increased when Tacrolimus is combined with Cefepime.]
[P01AX07, trimetrexate, Cefepime may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Cefepime may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, Cefepime may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[L02AE02, leuprolide, Cefepime may decrease the excretion rate of Leuprolide which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Cefepime may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Cefepime may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Cefepime may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.]
[A16AA01, levocarnitine, Cefepime may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[M01AE04, fenoprofen, The risk or severity of nephrotoxicity can be increased when Fenoprofen is combined with Cefepime.]
[N02AB03, fentanyl, Cefepime may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Cefepime may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[B01AD05, plasmin, The therapeutic efficacy of Fibrinolysin can be decreased when used in combination with Cefepime.]
[L01BB06, clofarabine, Cefepime may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Cefepime may decrease the excretion rate of Cevimeline which could result in a higher serum level.]
[G04BD02, flavoxate, Cefepime may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Floctafenine.]
[J02AC01, fluconazole, Cefepime may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J02AX01, flucytosine, Cefepime may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Cefepime may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[L01BC09, floxuridine, Cefepime may decrease the excretion rate of Floxuridine which could result in a higher serum level.]
[N05CD01, flurazepam, Cefepime may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, The risk or severity of nephrotoxicity can be increased when Flurbiprofen is combined with Cefepime.]
[L02BB01, flutamide, Cefepime may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Cefepime may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[S02AA17, fosfomycin, Cefepime may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Framycetin.]
[L01BC03, tegafur, Cefepime may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[C03CA01, furosemide, The risk or severity of nephrotoxicity can be increased when Furosemide is combined with Cefepime.]
[M05BA04, alendronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Cefepime is combined with Alendronic acid.]
[N05CF04, eszopiclone, Cefepime may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[S01AD09, ganciclovir, Cefepime may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, Cefepime may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Cefepime may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[A10BB07, glipizide, Cefepime may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Cefepime may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[L01EX02, sorafenib, Cefepime may decrease the excretion rate of Sorafenib which could result in a higher serum level.]
[M01CB04, aurothioglucose, Cefepime may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Cefepime may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Cefepime is combined with Fluindione.]
[C09AA09, fosinopril, Cefepime may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[S01EX01, guanethidine, Cefepime may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Cefepime may decrease the excretion rate of Goserelin which could result in a higher serum level.]
[N05AD01, haloperidol, Cefepime may decrease the excretion rate of Haloperidol which could result in a higher serum level.]
[N05AH04, quetiapine, Cefepime may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Cefepime may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, Cefepime may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[S01XA14, heparin, The therapeutic efficacy of Heparin can be decreased when used in combination with Cefepime.]
[G03DC01, allylestrenol, Cefepime may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of nephrotoxicity can be increased when Mesalazine is combined with Cefepime.]
[C01CE02, milrinone, Cefepime may decrease the excretion rate of Milrinone which could result in a higher serum level.]
[M02AA26, nimesulide, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Nimesulide.]
[C09AA04, perindopril, Cefepime may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Cefepime may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The risk or severity of nephrotoxicity can be increased when Hydrochlorothiazide is combined with Cefepime.]
[B05XA17, potassium acetate, Cefepime may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[V03AB33, hydroxocobalamin, Cefepime may decrease the excretion rate of Hydroxocobalamin which could result in a higher serum level.]
[G04BD06, propiverine, Cefepime may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[B05AA07, hetastarch, Cefepime may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[M05BA07, risedronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Cefepime is combined with Risedronic acid.]
[R02AX02, ibuprofen, The risk or severity of nephrotoxicity can be increased when Ibuprofen is combined with Cefepime.]
[B05XA08, sodium acetate, Cefepime may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, The therapeutic efficacy of Sodium citrate can be decreased when used in combination with Cefepime.]
[L01AA06, ifosfamide, Cefepime may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AA02, imipramine, Cefepime may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[R01AD07, tixocortol, Cefepime may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CE01, topotecan, Cefepime may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Cefepime may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[S01BC01, indomethacin, The risk or severity of nephrotoxicity can be increased when Indomethacin is combined with Cefepime.]
[A11HA07, inositol, Cefepime may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Cefepime may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Cefepime may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Articaine.]
[A10BH01, sitagliptin, Cefepime may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Cefepime may decrease the excretion rate of Alprazolam which could result in a higher serum level.]
[N05CH02, ramelteon, Cefepime may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[V03AB01, ipecac, Cefepime may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[J04AC01, isoniazid, Cefepime may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Cefepime may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Cefepime may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Cefepime may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[B01AE06, bivalirudin, The therapeutic efficacy of Bivalirudin can be decreased when used in combination with Cefepime.]
[S01AA24, kanamycin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Kanamycin.]
[N01AX03, ketamine, Cefepime may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Cefepime may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[M02AA10, ketoprofen, The risk or severity of nephrotoxicity can be increased when Ketoprofen is combined with Cefepime.]
[M01AE11, tiaprofenic acid, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Cefepime may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N04BB01, amantadine, Cefepime may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Cefepime may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, The risk or severity of nephrotoxicity can be increased when Etacrynic acid is combined with Cefepime.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Lidocaine.]
[S01AA21, amikacin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Amikacin.]
[N05BA06, lorazepam, Cefepime may decrease the excretion rate of Lorazepam which could result in a higher serum level.]
[B05XA11, magnesium chloride, Cefepime may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Cefepime may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Cefepime may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefepime.]
[N06AA21, maprotiline, Cefepime may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Cefepime may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[M02AA18, meclofenamic acid, The risk or severity of nephrotoxicity can be increased when Meclofenamic acid is combined with Cefepime.]
[B01AB06, nadroparin, The therapeutic efficacy of Nadroparin can be decreased when used in combination with Cefepime.]
[B01AB05, enoxaparin, The therapeutic efficacy of Enoxaparin can be decreased when used in combination with Cefepime.]
[B01AB04, dalteparin, The therapeutic efficacy of Dalteparin can be decreased when used in combination with Cefepime.]
[N06DX01, memantine, Cefepime may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Cefepime may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Mepivacaine.]
[G04BX16, tiopronin, Cefepime may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Cefepime may decrease the excretion rate of Mersalyl which could result in a higher serum level.]
[N05AX13, paliperidone, Cefepime may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, Cefepime may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N07BC02, methadone, Cefepime may decrease the excretion rate of Methadone which could result in a higher serum level.]
[N06BA03, methamphetamine, Cefepime may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Cefepime may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[H03BB02, methimazole, Cefepime may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Cefepime may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Cefepime may decrease the excretion rate of Pyridoxine which could result in a higher serum level.]
[L04AX03, methotrexate, The risk or severity of nephrotoxicity can be increased when Methotrexate is combined with Cefepime.]
[D05BA02, methoxsalen, Cefepime may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C02AB01, methyldopa, Cefepime may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, Cefepime may decrease the excretion rate of Methylene blue which could result in a higher serum level.]
[G03EK01, methyltestosterone, Cefepime may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, Cefepime may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, Cefepime may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[C07AB02, metoprolol, Cefepime may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[V04CD01, metyrapone, Cefepime may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N02BB03, aminopyrine, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Aminophenazone.]
[B01AB07, parnaparin, The therapeutic efficacy of Parnaparin can be decreased when used in combination with Cefepime.]
[N05CD08, midazolam, Cefepime may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[B01AB10, tinzaparin, The therapeutic efficacy of Tinzaparin can be decreased when used in combination with Cefepime.]
[J05AH01, zanamivir, Cefepime may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[L03AC01, aldesleukin, Cefepime may decrease the excretion rate of Aldesleukin which could result in a higher serum level.]
[N06AA09, amitriptyline, Cefepime may decrease the excretion rate of Amitriptyline which could result in a higher serum level.]
[A04AA05, palonosetron, Cefepime may decrease the excretion rate of Palonosetron which could result in a higher serum level.]
[J01DD06, moxalactam, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Latamoxef.]
[L04AB05, certolizumab pegol, Cefepime may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Cefepime may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Cefepime may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[C07AA12, nadolol, Cefepime may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Cefepime may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Cefepime may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N06BA01, amphetamine, Cefepime may decrease the excretion rate of Amphetamine which could result in a higher serum level.]
[M02AA12, naproxen, The risk or severity of nephrotoxicity can be increased when Naproxen is combined with Cefepime.]
[N06AX21, duloxetine, Cefepime may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N04BX01, tolcapone, Cefepime may decrease the excretion rate of Tolcapone which could result in a higher serum level.]
[S03AA01, neomycin, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Neomycin.]
[B01AC17, tirofiban, Cefepime may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[J02AA01, amphotericin B, The risk or severity of nephrotoxicity can be increased when Amphotericin B is combined with Cefepime.]
[S01AA19, ampicillin, Cefepime may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Cefepime may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Netilmicin.]
[N06AX23, desvenlafaxine, Cefepime may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, The risk or severity of nephrotoxicity can be increased when Valaciclovir is combined with Cefepime.]
[C01CE01, inamrinone, Cefepime may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C08CA05, nifedipine, Cefepime may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Niflumic acid.]
[C08CA07, nisoldipine, Cefepime may decrease the excretion rate of Nisoldipine which could result in a higher serum level.]
[R07AX01, nitric oxide, Cefepime may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Cefepime may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Cefepime may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Cefepime may decrease the excretion rate of Pramipexole which could result in a higher serum level.]
[C02DD01, nitroprusside, Cefepime may decrease the excretion rate of Nitroprusside which could result in a higher serum level.]
[B01AB08, reviparin, The therapeutic efficacy of Reviparin can be decreased when used in combination with Cefepime.]
[N02AA02, opium, Cefepime may decrease the excretion rate of Opium which could result in a higher serum level.]
[B01AD07, reteplase, The therapeutic efficacy of Reteplase can be decreased when used in combination with Cefepime.]
[B01AD09, ancrod, The therapeutic efficacy of Ancrod can be decreased when used in combination with Cefepime.]
[G04CA02, tamsulosin, Cefepime may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[M05BA08, zoledronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Cefepime is combined with Zoledronic acid.]
[J01CF04, oxacillin, Cefepime may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, Cefepime may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01BC02, oxyphenbutazone, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Oxyphenbutazone.]
[B01AB09, danaparoid, The therapeutic efficacy of Danaparoid can be decreased when used in combination with Cefepime.]
[J04AB30, capreomycin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Capreomycin.]
[A07AA06, paromomycin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Paromomycin.]
[G04BD11, fesoterodine, Cefepime may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Cefepime may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[J01CE09, penicillin G procaine, Cefepime may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Cefepime may decrease the excretion rate of Pentobarbital which could result in a higher serum level.]
[L01XX08, pentostatin, Cefepime may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Cefepime may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[G04BX06, phenazopyridine, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Phenazopyridine.]
[N06AF03, phenelzine, Cefepime may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Cefepime is combined with Phenindione.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Cefepime is combined with Phenprocoumon.]
[V03AB36, phentolamine, Cefepime may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The risk or severity of nephrotoxicity can be increased when Phenylbutazone is combined with Cefepime.]
[S01AE05, levofloxacin, Cefepime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Cefepime may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, The risk or severity of nephrotoxicity can be increased when Cidofovir is combined with Cefepime.]
[C07AA03, pindolol, Cefepime may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01CA12, piperacillin, Cefepime may decrease the excretion rate of Piperacillin which could result in a higher serum level.]
[N06BX03, piracetam, Cefepime may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The risk or severity of nephrotoxicity can be increased when Piroxicam is combined with Cefepime.]
[J01DD16, cefditoren, The risk or severity of nephrotoxicity can be increased when Cefditoren is combined with Cefepime.]
[B01AC13, abciximab, The therapeutic efficacy of Abciximab can be decreased when used in combination with Cefepime.]
[S01XA13, alteplase, The therapeutic efficacy of Alteplase can be decreased when used in combination with Cefepime.]
