[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Givosiran.]
[M04AC01, colchicine, Givosiran may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Givosiran may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, The risk or severity of nephrotoxicity can be increased when Cefpirome is combined with Givosiran.]
[L04AA13, leflunomide, The serum concentration of Leflunomide can be increased when it is combined with Givosiran.]
[A04AA03, tropisetron, Givosiran may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The serum concentration of Nateglinide can be increased when it is combined with Givosiran.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of nephrotoxicity can be increased when Imidazole salicylate is combined with Givosiran.]
[R03BA08, ciclesonide, The serum concentration of Ciclesonide can be increased when it is combined with Givosiran.]
[B01AC10, indobufen, The risk or severity of nephrotoxicity can be increased when Indobufen is combined with Givosiran.]
[J05AB14, valganciclovir, Givosiran may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Givosiran may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Givosiran may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Givosiran may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Givosiran may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Givosiran may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of nephrotoxicity can be increased when Valdecoxib is combined with Givosiran.]
[N02CC05, almotriptan, The serum concentration of Almotriptan can be increased when it is combined with Givosiran.]
[M01AH04, parecoxib, The risk or severity of nephrotoxicity can be increased when Parecoxib is combined with Givosiran.]
[S01AD03, acyclovir, The serum concentration of Acyclovir can be increased when it is combined with Givosiran.]
[N05BA10, ketazolam, Givosiran may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, The risk or severity of nephrotoxicity can be increased when Kebuzone is combined with Givosiran.]
[L01EA01, imatinib, The serum concentration of Imatinib can be increased when it is combined with Givosiran.]
[N03AX09, lamotrigine, Givosiran may decrease the excretion rate of Lamotrigine which could result in a higher serum level.]
[N07BC04, lofexidine, The serum concentration of Lofexidine can be increased when it is combined with Givosiran.]
[S01AE04, lomefloxacin, The serum concentration of Lomefloxacin can be increased when it is combined with Givosiran.]
[M01AB09, lonazolac, The risk or severity of nephrotoxicity can be increased when Lonazolac is combined with Givosiran.]
[M02AA31, loxoprofen, The risk or severity of nephrotoxicity can be increased when Loxoprofen is combined with Givosiran.]
[J01DC08, loracarbef, The risk or severity of nephrotoxicity can be increased when Loracarbef is combined with Givosiran.]
[C09AA03, lisinopril, Givosiran may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Givosiran may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C07AA14, mepindolol, The serum concentration of Mepindolol can be increased when it is combined with Givosiran.]
[R06AD07, mequitazine, The serum concentration of Mequitazine can be increased when it is combined with Givosiran.]
[J01DH02, meropenem, Givosiran may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[N05AD03, metylperon, Givosiran may decrease the excretion rate of Melperone which could result in a higher serum level.]
[J05AF07, tenofovir disoproxil, Givosiran may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N06AX07, minaprine, The serum concentration of Minaprine can be increased when it is combined with Givosiran.]
[S01XA18, cyclosporine, The risk or severity of nephrotoxicity can be increased when Cyclosporine is combined with Givosiran.]
[N06AG02, moclobemide, The serum concentration of Moclobemide can be increased when it is combined with Givosiran.]
[M02AA02, mofebutazone, The risk or severity of nephrotoxicity can be increased when Mofebutazone is combined with Givosiran.]
[M01AX22, morniflumate, The risk or severity of nephrotoxicity can be increased when Morniflumate is combined with Givosiran.]
[J05AF10, entecavir, The serum concentration of Entecavir can be increased when it is combined with Givosiran.]
[M01AH05, etoricoxib, The serum concentration of Etoricoxib can be increased when it is combined with Givosiran.]
[L01AX04, dacarbazine, The serum concentration of Dacarbazine can be increased when it is combined with Givosiran.]
[C02CC04, debrisoquin, The serum concentration of Debrisoquine can be increased when it is combined with Givosiran.]
[M01AX01, nabumetone, The serum concentration of Nabumetone can be increased when it is combined with Givosiran.]
[N07BB05, nalmefene, Givosiran may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The serum concentration of Nebivolol can be increased when it is combined with Givosiran.]
[S01GX04, nedocromil, Givosiran may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The serum concentration of Nefazodone can be increased when it is combined with Givosiran.]
[C01DX16, nicorandil, Givosiran may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Givosiran may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C01CA23, theodrenaline, The serum concentration of Theodrenaline can be increased when it is combined with Givosiran.]
[B01AX05, fondaparinux, Givosiran may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The serum concentration of Escitalopram can be increased when it is combined with Givosiran.]
[G04BD08, solifenacin, The serum concentration of Solifenacin can be increased when it is combined with Givosiran.]
[A07EC03, olsalazine, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Givosiran.]
[N06AA01, desipramine, The serum concentration of Desipramine can be increased when it is combined with Givosiran.]
[H01BA02, desmopressin, Givosiran may decrease the excretion rate of Desmopressin which could result in a higher serum level.]
[V04CH02, indigo carmine, Givosiran may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Givosiran may decrease the excretion rate of Ertapenem which could result in a higher serum level.]
[M01AE12, oxaprozin, The risk or severity of nephrotoxicity can be increased when Oxaprozin is combined with Givosiran.]
[A08AA04, dexfenfluramine, The serum concentration of Dexfenfluramine can be increased when it is combined with Givosiran.]
[L01EB01, gefitinib, The serum concentration of Gefitinib can be increased when it is combined with Givosiran.]
[N06BA02, dextroamphetamine, The serum concentration of Amphetamine can be increased when it is combined with Givosiran.]
[R05DA09, dextromethorphan, The serum concentration of Dextromethorphan can be increased when it is combined with Givosiran.]
[N06AB05, paroxetine, The serum concentration of Paroxetine can be increased when it is combined with Givosiran.]
[B01AC04, clopidogrel, The serum concentration of Clopidogrel can be increased when it is combined with Givosiran.]
[C01DA05, pentaerythritol tetranitrate, Givosiran may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The serum concentration of Pentifylline can be increased when it is combined with Givosiran.]
[P03AC04, permethrin, Givosiran may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Givosiran may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R05DA08, pholcodine, Givosiran may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[M05BA02, clodronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Givosiran is combined with Clodronic acid.]
[S01BC03, diclofenac, The serum concentration of Diclofenac can be increased when it is combined with Givosiran.]
[J05AD01, foscarnet, The risk or severity of nephrotoxicity can be increased when Givosiran is combined with Foscarnet.]
[A03AA07, dicyclomine, Givosiran may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Givosiran may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be increased when it is combined with Givosiran.]
[C08CA03, isradipine, Givosiran may decrease the excretion rate of Isradipine which could result in a higher serum level.]
[D07XC04, diflucortolone, Givosiran may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Givosiran.]
[C01AA05, digoxin, Givosiran may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The serum concentration of Dihydralazine can be increased when it is combined with Givosiran.]
[N02AA03, hydromorphone, Givosiran may decrease the excretion rate of Hydromorphone which could result in a higher serum level.]
[L04AX04, lenalidomide, Givosiran may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The risk or severity of nephrotoxicity can be increased when Atazanavir is combined with Givosiran.]
[H03BC01, potassium perchlorate, Givosiran may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Givosiran may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[C08DB01, diltiazem, The serum concentration of Diltiazem can be increased when it is combined with Givosiran.]
[V03AB09, dimercaprol, Givosiran may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Givosiran may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N06BC02, propentofylline, The serum concentration of Propentofylline can be increased when it is combined with Givosiran.]
[N02BB04, propyphenazone, The risk or severity of nephrotoxicity can be increased when Propyphenazone is combined with Givosiran.]
[M01AB14, proglumetacin, The risk or severity of nephrotoxicity can be increased when Proglumetacin is combined with Givosiran.]
[R03DA03, proxyphylline, The serum concentration of Proxyphylline can be increased when it is combined with Givosiran.]
[R06AA02, diphenhydramine, The serum concentration of Diphenhydramine can be increased when it is combined with Givosiran.]
[N05AL04, remoxipride, The serum concentration of Remoxipride can be increased when it is combined with Givosiran.]
[S01AX06, resorcinol, Givosiran may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The serum concentration of Disopyramide can be increased when it is combined with Givosiran.]
[N07XX02, riluzole, The serum concentration of Riluzole can be increased when it is combined with Givosiran.]
[N05AX08, risperidone, The serum concentration of Risperidone can be increased when it is combined with Givosiran.]
[R06AE09, levocetirizine, Givosiran may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The serum concentration of Ropivacaine can be increased when it is combined with Givosiran.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be increased when it is combined with Givosiran.]
[G04BE08, tadalafil, Givosiran may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, The risk or severity of nephrotoxicity can be increased when Ketorolac is combined with Givosiran.]
[C01EB18, ranolazine, The serum concentration of Ranolazine can be increased when it is combined with Givosiran.]
[N02BA06, salsalate, The risk or severity of nephrotoxicity can be increased when Salsalate is combined with Givosiran.]
[H05BA01, salmon calcitonin, Givosiran may decrease the excretion rate of Salmon calcitonin which could result in a higher serum level.]
[C01CA07, dobutamine, Givosiran may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The serum concentration of Domperidone can be increased when it is combined with Givosiran.]
[C01CA04, dopamine, Givosiran may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The serum concentration of Dosulepin can be increased when it is combined with Givosiran.]
[N06AA12, doxepin, The serum concentration of Doxepin can be increased when it is combined with Givosiran.]
[J01AA02, doxycycline, Givosiran may decrease the excretion rate of Doxycycline which could result in a higher serum level.]
[N06AB06, sertraline, The serum concentration of Sertraline can be increased when it is combined with Givosiran.]
[A08AA10, sibutramine, Givosiran may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, The serum concentration of Simvastatin can be increased when it is combined with Givosiran.]
[A12CA02, sodium sulfate, Givosiran may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Givosiran may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N02CC01, sumatriptan, Givosiran may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Givosiran may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Givosiran.]
[J01MA05, temafloxacin, The serum concentration of Temafloxacin can be increased when it is combined with Givosiran.]
[L01AX03, temozolomide, Givosiran may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of nephrotoxicity can be increased when Tenoxicam is combined with Givosiran.]
[D01BA02, terbinafine, The serum concentration of Terbinafine can be increased when it is combined with Givosiran.]
[C07AA16, tertatolol, The serum concentration of Tertatolol can be increased when it is combined with Givosiran.]
[M01AG02, tolfenamic acid, The risk or severity of nephrotoxicity can be increased when Tolfenamic acid is combined with Givosiran.]
[N06AG03, toloxatone, Givosiran may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, The serum concentration of Atomoxetine can be increased when it is combined with Givosiran.]
[N03AX11, topiramate, Givosiran may decrease the excretion rate of Topiramate which could result in a higher serum level.]
[N05CC01, chloral hydrate, Givosiran may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[S01GX10, epinastine, The serum concentration of Epinastine can be increased when it is combined with Givosiran.]
[N06AX16, venlafaxine, The serum concentration of Venlafaxine can be increased when it is combined with Givosiran.]
[N05CF02, zolpidem, The serum concentration of Zolpidem can be increased when it is combined with Givosiran.]
[M01AB04, zomepirac, The risk or severity of nephrotoxicity can be increased when Zomepirac is combined with Givosiran.]
[N03AX15, zonisamide, Givosiran may decrease the excretion rate of Zonisamide which could result in a higher serum level.]
[N05AX11, zotepine, The serum concentration of Zotepine can be increased when it is combined with Givosiran.]
[L01XA02, carboplatin, The risk or severity of nephrotoxicity can be increased when Carboplatin is combined with Givosiran.]
[C02AC02, guanfacine, Givosiran may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L03AX05, pidotimod, Givosiran may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Givosiran may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Givosiran may decrease the excretion rate of Pantoprazole which could result in a higher serum level.]
[H05BX01, cinacalcet, The serum concentration of Cinacalcet can be increased when it is combined with Givosiran.]
[G03CA03, estradiol, The serum concentration of Estradiol can be increased when it is combined with Givosiran.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be increased when it is combined with Givosiran.]
[G03CC04, estrone, The serum concentration of Estrone can be increased when it is combined with Givosiran.]
[J04AK02, ethambutol, Givosiran may decrease the excretion rate of Ethambutol which could result in a higher serum level.]
[C10AA04, fluvastatin, The serum concentration of Fluvastatin can be increased when it is combined with Givosiran.]
[V08CA03, gadodiamide, Givosiran may decrease the excretion rate of Gadodiamide which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The serum concentration of Ethinylestradiol can be increased when it is combined with Givosiran.]
[C01BD05, ibutilide, Givosiran may decrease the excretion rate of Ibutilide which could result in a higher serum level.]
[M01AC06, meloxicam, The risk or severity of nephrotoxicity can be increased when Meloxicam is combined with Givosiran.]
[S01XA06, ethylmorphine, The serum concentration of Ethylmorphine can be increased when it is combined with Givosiran.]
[N01AX07, etomidate, Givosiran may decrease the excretion rate of Etomidate which could result in a higher serum level.]
[L01CB01, etoposide, The serum concentration of Etoposide can be increased when it is combined with Givosiran.]
[N05AE03, sertindole, The serum concentration of Sertindole can be increased when it is combined with Givosiran.]
[L04AD02, tacrolimus, The risk or severity of nephrotoxicity can be increased when Tacrolimus is combined with Givosiran.]
[R06AX11, astemizole, The serum concentration of Astemizole can be increased when it is combined with Givosiran.]
[R06AX12, terfenadine, The serum concentration of Terfenadine can be increased when it is combined with Givosiran.]
[P01AX07, trimetrexate, Givosiran may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Givosiran may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, The serum concentration of Fluvoxamine can be increased when it is combined with Givosiran.]
[C01BB03, tocainide, The serum concentration of Tocainide can be increased when it is combined with Givosiran.]
[C01BC08, encainide, The serum concentration of Encainide can be increased when it is combined with Givosiran.]
[L02AE02, leuprolide, Givosiran may decrease the excretion rate of Leuprolide which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Givosiran may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Givosiran may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Givosiran may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.]
[A16AA01, levocarnitine, Givosiran may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[P02CA03, albendazole, The serum concentration of Albendazole can be increased when it is combined with Givosiran.]
[N03AX26, fenfluramine, The serum concentration of Fenfluramine can be increased when it is combined with Givosiran.]
[M01AE04, fenoprofen, The risk or severity of nephrotoxicity can be increased when Fenoprofen is combined with Givosiran.]
[N02AB03, fentanyl, Givosiran may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Givosiran may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Givosiran may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, The serum concentration of Cevimeline can be increased when it is combined with Givosiran.]
[G04BD02, flavoxate, Givosiran may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The serum concentration of Flecainide can be increased when it is combined with Givosiran.]
[N02BG04, floctafenine, The risk or severity of nephrotoxicity can be increased when Floctafenine is combined with Givosiran.]
[J02AC01, fluconazole, Givosiran may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J02AX01, flucytosine, Givosiran may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Givosiran may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The serum concentration of Flunarizine can be increased when it is combined with Givosiran.]
[V03AZ01, ethanol, The serum concentration of Ethanol can be increased when it is combined with Givosiran.]
[L01BC09, floxuridine, Givosiran may decrease the excretion rate of Floxuridine which could result in a higher serum level.]
[L01BC02, fluorouracil, The serum concentration of Fluorouracil can be increased when it is combined with Givosiran.]
[N06AB03, fluoxetine, The serum concentration of Fluoxetine can be increased when it is combined with Givosiran.]
[N05CD01, flurazepam, Givosiran may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, The risk or severity of nephrotoxicity can be increased when Flurbiprofen is combined with Givosiran.]
[L02BB01, flutamide, The serum concentration of Flutamide can be increased when it is combined with Givosiran.]
[V04CX02, folic acid, Givosiran may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[S02AA17, fosfomycin, Givosiran may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, The risk or severity of nephrotoxicity can be increased when Framycetin is combined with Givosiran.]
[L01BC03, tegafur, The serum concentration of Tegafur can be increased when it is combined with Givosiran.]
[C03CA01, furosemide, The risk or severity of nephrotoxicity can be increased when Furosemide is combined with Givosiran.]
[M05BA04, alendronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Givosiran is combined with Alendronic acid.]
[N05CF04, eszopiclone, Givosiran may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N06DA04, galantamine, The serum concentration of Galantamine can be increased when it is combined with Givosiran.]
[S01AD09, ganciclovir, Givosiran may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, Givosiran may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Givosiran may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Givosiran.]
[C01CA21, cafedrine, The serum concentration of Cafedrine can be increased when it is combined with Givosiran.]
[A10BB07, glipizide, Givosiran may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Givosiran may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C02CA04, doxazosin, The serum concentration of Doxazosin can be increased when it is combined with Givosiran.]
[L01EX02, sorafenib, The serum concentration of Sorafenib can be increased when it is combined with Givosiran.]
[C07AB09, esmolol, The serum concentration of Esmolol can be increased when it is combined with Givosiran.]
[M01CB04, aurothioglucose, Givosiran may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Givosiran may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Givosiran may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[S01EX01, guanethidine, Givosiran may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Givosiran may decrease the excretion rate of Goserelin which could result in a higher serum level.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Givosiran.]
[N05AH04, quetiapine, The serum concentration of Quetiapine can be increased when it is combined with Givosiran.]
[N06BX13, idebenone, Givosiran may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, Givosiran may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[G03DC01, allylestrenol, Givosiran may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of nephrotoxicity can be increased when Mesalazine is combined with Givosiran.]
[C01CE02, milrinone, Givosiran may decrease the excretion rate of Milrinone which could result in a higher serum level.]
[J05AG01, nevirapine, The serum concentration of Nevirapine can be increased when it is combined with Givosiran.]
[M02AA26, nimesulide, The risk or severity of nephrotoxicity can be increased when Nimesulide is combined with Givosiran.]
[C09AA04, perindopril, Givosiran may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Givosiran may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The risk or severity of nephrotoxicity can be increased when Hydrochlorothiazide is combined with Givosiran.]
[R05DA03, hydrocodone, The serum concentration of Hydrocodone can be increased when it is combined with Givosiran.]
[B05XA17, potassium acetate, Givosiran may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[V03AB33, hydroxocobalamin, Givosiran may decrease the excretion rate of Hydroxocobalamin which could result in a higher serum level.]
[G04BD06, propiverine, Givosiran may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The serum concentration of Hydroxychloroquine can be increased when it is combined with Givosiran.]
[B05AA07, hetastarch, Givosiran may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[M05BA07, risedronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Givosiran is combined with Risedronic acid.]
[R02AX02, ibuprofen, The risk or severity of nephrotoxicity can be increased when Ibuprofen is combined with Givosiran.]
[B05XA08, sodium acetate, Givosiran may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The serum concentration of Idarubicin can be increased when it is combined with Givosiran.]
[L01AA06, ifosfamide, Givosiran may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AA02, imipramine, The serum concentration of Imipramine can be increased when it is combined with Givosiran.]
[R01AD07, tixocortol, Givosiran may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The serum concentration of Tizanidine can be increased when it is combined with Givosiran.]
[L01CE01, topotecan, Givosiran may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Givosiran may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[S01BC01, indomethacin, The risk or severity of nephrotoxicity can be increased when Indomethacin is combined with Givosiran.]
[A11HA07, inositol, Givosiran may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Givosiran may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Givosiran may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, Givosiran may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Givosiran may decrease the excretion rate of Alprazolam which could result in a higher serum level.]
[N05CH02, ramelteon, The serum concentration of Ramelteon can be increased when it is combined with Givosiran.]
[L01XX35, anagrelide, The serum concentration of Anagrelide can be increased when it is combined with Givosiran.]
[C07AA01, alprenolol, The serum concentration of Alprenolol can be increased when it is combined with Givosiran.]
[V03AB01, ipecac, The serum concentration of Ipecac can be increased when it is combined with Givosiran.]
[J05AB13, penciclovir, The serum concentration of Penciclovir can be increased when it is combined with Givosiran.]
[J04AC01, isoniazid, Givosiran may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Givosiran may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Givosiran may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Givosiran may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[S01AA24, kanamycin, Givosiran may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Givosiran may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Givosiran may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[N05AH03, olanzapine, The serum concentration of Olanzapine can be increased when it is combined with Givosiran.]
[M02AA10, ketoprofen, The risk or severity of nephrotoxicity can be increased when Ketoprofen is combined with Givosiran.]
[N04BC09, rotigotine, The serum concentration of Rotigotine can be increased when it is combined with Givosiran.]
[M01AE11, tiaprofenic acid, The risk or severity of nephrotoxicity can be increased when Tiaprofenic acid is combined with Givosiran.]
[C07AG01, labetalol, The serum concentration of Labetalol can be increased when it is combined with Givosiran.]
[N04BB01, amantadine, Givosiran may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Givosiran may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, The risk or severity of nephrotoxicity can be increased when Etacrynic acid is combined with Givosiran.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be increased when it is combined with Givosiran.]
[S01AA21, amikacin, Givosiran may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02CA07, lisuride, The serum concentration of Lisuride can be increased when it is combined with Givosiran.]
[N05BA06, lorazepam, Givosiran may decrease the excretion rate of Lorazepam which could result in a higher serum level.]
[B05XA11, magnesium chloride, Givosiran may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Givosiran may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Givosiran may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Givosiran.]
[N06AA21, maprotiline, The serum concentration of Maprotiline can be increased when it is combined with Givosiran.]
[C02BB01, mecamylamine, Givosiran may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[R06AE05, meclizine, The serum concentration of Meclizine can be increased when it is combined with Givosiran.]
[M02AA18, meclofenamic acid, The risk or severity of nephrotoxicity can be increased when Meclofenamic acid is combined with Givosiran.]
[N05CH01, melatonin, The serum concentration of Melatonin can be increased when it is combined with Givosiran.]
[N06DX01, memantine, Givosiran may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Givosiran may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N03AB04, mephenytoin, The serum concentration of Mephenytoin can be increased when it is combined with Givosiran.]
[N01BB03, mepivacaine, Givosiran may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Givosiran may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Givosiran may decrease the excretion rate of Mersalyl which could result in a higher serum level.]
[N05AC03, mesoridazine, The serum concentration of Mesoridazine can be increased when it is combined with Givosiran.]
[N05AX13, paliperidone, The serum concentration of Paliperidone can be increased when it is combined with Givosiran.]
[A10BA02, metformin, Givosiran may decrease the excretion rate of Metformin which could result in a higher serum level.]
[A04AA04, dolasetron, The serum concentration of Dolasetron can be increased when it is combined with Givosiran.]
