[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Vinorelbine.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Vinorelbine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Vinorelbine.]
[M01AH02, rofecoxib, The metabolism of Vinorelbine can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Vinorelbine can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Vinorelbine can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The serum concentration of Vinorelbine can be increased when it is combined with Dronedarone.]
[J01FA13, dirithromycin, The metabolism of Vinorelbine can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Vinorelbine.]
[S03AA08, chloramphenicol, The metabolism of Vinorelbine can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Vinorelbine.]
[D07XB03, fluprednidene, The metabolism of Vinorelbine can be increased when combined with Fluprednidene.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Vinorelbine.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Vinorelbine is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Stepronin.]
[R06AX22, ebastine, The metabolism of Vinorelbine can be decreased when combined with Ebastine.]
[L04AC19, satralizumab, The serum concentration of Vinorelbine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Vinorelbine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Vinorelbine.]
[L01EX23, pralsetinib, The metabolism of Vinorelbine can be increased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Vinorelbine.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Vinorelbine.]
[N05AA01, chlorpromazine, The metabolism of Vinorelbine can be increased when combined with Chlorpromazine.]
[N05AF03, chlorprothixene, Vinorelbine may increase the neurotoxic activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Vinorelbine.]
[B06AC06, berotralstat, The serum concentration of Vinorelbine can be increased when it is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Vinorelbine can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Fludarabine.]
[L01FX21, naxitamab, Vinorelbine may increase the neurotoxic activities of Naxitamab.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Vinorelbine can be increased when it is combined with Abametapir.]
[N03AX10, felbamate, The metabolism of Vinorelbine can be increased when combined with Felbamate.]
[R03BA03, flunisolide, The metabolism of Vinorelbine can be increased when combined with Flunisolide.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Vinorelbine.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Ponesimod.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Vinorelbine.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Vinorelbine.]
[A02BA01, cimetidine, The metabolism of Vinorelbine can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Vinorelbine.]
[L01XX73, sotorasib, The serum concentration of Vinorelbine can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Vinorelbine can be decreased when combined with Infigratinib.]
[S03AA07, ciprofloxacin, The metabolism of Vinorelbine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Vinorelbine.]
[N06AB04, citalopram, The metabolism of Vinorelbine can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Vinorelbine can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Vinorelbine can be decreased when it is combined with Belzutifan.]
[L01EB10, mobocertinib, The serum concentration of Vinorelbine can be decreased when it is combined with Mobocertinib.]
[L04AA59, avacopan, The metabolism of Vinorelbine can be decreased when combined with Avacopan.]
[J01FF01, clindamycin, The serum concentration of Vinorelbine can be increased when it is combined with Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Vinorelbine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Vinorelbine can be increased when it is combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The metabolism of Vinorelbine can be decreased when combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Vinorelbine.]
[C10AB01, clofibrate, The metabolism of Vinorelbine can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Vinorelbine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Vinorelbine can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Vinorelbine.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Vinorelbine.]
[C01EB24, mavacamten, The serum concentration of Vinorelbine can be decreased when it is combined with Mavacamten.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Deucravacitinib.]
[N05AH06, clothiapine, Vinorelbine may increase the neurotoxic activities of Clothiapine.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Vinorelbine.]
[J05AX31, lenacapavir, The metabolism of Vinorelbine can be decreased when combined with Lenacapavir.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Vinorelbine is combined with Clozapine.]
[H01AC08, somatrogon, The metabolism of Vinorelbine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Vinorelbine can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Vinorelbine.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Leflunomide.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Vinorelbine.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Nelarabine.]
[J01FA15, telithromycin, The metabolism of Vinorelbine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Vinorelbine.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Vinorelbine.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Vinorelbine.]
[J02AC02, itraconazole, The metabolism of Vinorelbine can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Vinorelbine.]
[N05BA10, ketazolam, The metabolism of Vinorelbine can be decreased when combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Vinorelbine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Vinorelbine can be decreased when combined with Posaconazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Vinorelbine.]
[S01BA03, cortisone, The metabolism of Vinorelbine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Vinorelbine.]
[C08CA11, manidipine, The metabolism of Vinorelbine can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Vinorelbine.]
[H02AB15, meprednisone, The metabolism of Vinorelbine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Vinorelbine can be decreased when combined with Mequitazine.]
[N05AD03, metylperon, Vinorelbine may increase the neurotoxic activities of Melperone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Vinorelbine.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Vinorelbine.]
[J01FA03, midecamycin, The metabolism of Vinorelbine can be decreased when combined with Midecamycin.]
[L01AA01, cyclophosphamide, The metabolism of Vinorelbine can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Vinorelbine.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Vinorelbine.]
[S01XA18, cyclosporine, Vinorelbine may increase the immunosuppressive activities of Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Vinorelbine.]
[N06BA07, modafinil, The metabolism of Vinorelbine can be increased when combined with Modafinil.]
[C10AA07, rosuvastatin, The metabolism of Vinorelbine can be decreased when combined with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Vinorelbine can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Cytarabine.]
[M01AH05, etoricoxib, The metabolism of Vinorelbine can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Dactinomycin.]
[G03XA01, danazol, The metabolism of Vinorelbine can be decreased when combined with Danazol.]
[L01DB02, daunorubicin, The metabolism of Vinorelbine can be decreased when combined with Daunorubicin.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Vinorelbine.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Vinorelbine.]
[N06AX06, nefazodone, The metabolism of Vinorelbine can be decreased when combined with Nefazodone.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Vinorelbine.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Vinorelbine.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Vinorelbine.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Vinorelbine.]
[N06AA01, desipramine, The metabolism of Vinorelbine can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Deslanoside may decrease the cardiotoxic activities of Vinorelbine.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Desoximetasone.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Oxaliplatin.]
[N03AF02, oxcarbazepine, The metabolism of Vinorelbine can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Vinorelbine can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Vinorelbine can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Vinorelbine.]
[L04AB04, adalimumab, The metabolism of Vinorelbine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, Gefitinib may increase the neutropenic activities of Vinorelbine.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Vinorelbine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Vinorelbine.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Vinorelbine.]
[B01AC04, clopidogrel, The risk or severity of bleeding can be increased when Clopidogrel is combined with Vinorelbine.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Phenol.]
[N06AA08, dibenzepin, Vinorelbine may increase the neurotoxic activities of Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Cinchocaine.]
[J01CF01, dicloxacillin, The metabolism of Vinorelbine can be increased when combined with Dicloxacillin.]
[J05AF02, didanosine, Vinorelbine may increase the neurotoxic activities of Didanosine.]
[N05AD05, pipamperone, Vinorelbine may increase the neurotoxic activities of Pipamperone.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Vinorelbine can be decreased when combined with Erlotinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Pirarubicin.]
[L03AA13, pegfilgrastim, The risk or severity of peripheral neuropathy can be increased when Pegfilgrastim is combined with Vinorelbine.]
[L02AA01, diethylstilbestrol, The metabolism of Vinorelbine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Vinorelbine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Vinorelbine can be increased when combined with Difluocortolone.]
[C01AA04, digitoxin, Digitoxin may decrease the cardiotoxic activities of Vinorelbine.]
[C01AA05, digoxin, Digoxin may decrease the cardiotoxic activities of Vinorelbine.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Vinorelbine.]
[C04AE04, dihydroergocristine, The metabolism of Vinorelbine can be decreased when combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Vinorelbine can be decreased when combined with Dihydroergotamine.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Lenalidomide.]
[J05AE08, atazanavir, The metabolism of Vinorelbine can be decreased when combined with Atazanavir.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Vinorelbine can be decreased when combined with Diltiazem.]
[M02AX03, dimethyl sulfoxide, The metabolism of Vinorelbine can be decreased when combined with Dimethyl sulfoxide.]
[C05CA03, diosmin, The metabolism of Vinorelbine can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Vinorelbine.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Vinorelbine.]
[N06AA23, quinupramine, Vinorelbine may increase the neurotoxic activities of Quinupramine.]
[A03FA02, cisapride, The metabolism of Vinorelbine can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Sirolimus.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Vinorelbine.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Natalizumab.]
[S02AA12, rifamycin SV, The metabolism of Vinorelbine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Vinorelbine can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Vinorelbine.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Vinorelbine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Ropivacaine.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Vinorelbine can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Vinorelbine.]
[J05AE07, fosamprenavir, The metabolism of Vinorelbine can be decreased when combined with Fosamprenavir.]
[C01EB18, ranolazine, The metabolism of Vinorelbine can be decreased when combined with Ranolazine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Vinorelbine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Vinorelbine.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Vinorelbine.]
[L01DB01, doxorubicin, The metabolism of Vinorelbine can be decreased when combined with Doxorubicin.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Vinorelbine.]
[N05AD08, droperidol, Vinorelbine may increase the neurotoxic activities of Droperidol.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Vinorelbine.]
[N05AL02, sultopride, Vinorelbine may increase the neurotoxic activities of Sultopride.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Vinorelbine.]
[H01AA01, corticotropin, The metabolism of Vinorelbine can be increased when combined with Corticotropin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Temozolomide.]
[D01BA02, terbinafine, The metabolism of Vinorelbine can be increased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Vinorelbine.]
[N05AB05, thiopropazate, Vinorelbine may increase the neurotoxic activities of Thiopropazate.]
[N06AX14, tianeptine, Vinorelbine may increase the neurotoxic activities of Tianeptine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Vinorelbine.]
[N03AX11, topiramate, The metabolism of Vinorelbine can be increased when combined with Topiramate.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Vinorelbine.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Trilostane.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Vinorelbine.]
[N05AL06, veralipride, Vinorelbine may increase the neurotoxic activities of Veralipride.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The metabolism of Vinorelbine can be decreased when combined with Fusidic acid.]
[S02BA08, fluocinolone acetonide, The metabolism of Vinorelbine can be increased when combined with Fluocinolone acetonide.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Vinorelbine.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Vinorelbine.]
[C08CA12, mepirodipine, The metabolism of Vinorelbine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Vinorelbine can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Epirubicin.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Vinorelbine.]
[N05AX11, zotepine, Vinorelbine may increase the neurotoxic activities of Zotepine.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Vinorelbine.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Carboplatin.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Vinorelbine.]
[C01BG01, moricizine, Vinorelbine may increase the neurotoxic activities of Moricizine.]
[N02CA02, ergotamine, The metabolism of Vinorelbine can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Vinorelbine can be decreased when combined with Erythromycin.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Estramustine.]
[J04AK02, ethambutol, The metabolism of Vinorelbine can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Vinorelbine can be increased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Vinorelbine can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Vinorelbine.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Vinorelbine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Etoposide.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Vinorelbine.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Vinorelbine.]
[R06AX11, astemizole, The metabolism of Vinorelbine can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Vinorelbine can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Vinorelbine can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Vinorelbine.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Vinorelbine.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Vinorelbine.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Dexrazoxane.]
[P02CA03, albendazole, The metabolism of Vinorelbine can be decreased when combined with Albendazole.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Vinorelbine.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Vinorelbine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Vinorelbine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Vinorelbine.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Vinorelbine.]
[J01CF05, floxacillin, The metabolism of Vinorelbine can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Vinorelbine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Fludrocortisone.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Vinorelbine.]
[D07AC08, fluocinonide, The metabolism of Vinorelbine can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, Vinorelbine may increase the neurotoxic activities of Melitracen.]
[H02AB03, fluocortolone, The metabolism of Vinorelbine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Vinorelbine can be increased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Vinorelbine.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Vinorelbine.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Fluorouracil.]
[N06AB03, fluoxetine, The metabolism of Vinorelbine can be decreased when combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Vinorelbine.]
[N05AB02, fluphenazine, Vinorelbine may increase the neurotoxic activities of Fluphenazine.]
[N05AG01, fluspirilene, Vinorelbine may increase the neurotoxic activities of Fluspirilene.]
[J05AE10, darunavir, The serum concentration of Vinorelbine can be increased when it is combined with Darunavir.]
[N05AL05, amisulpride, Vinorelbine may increase the neurotoxic activities of Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Vinorelbine.]
[M03AC02, gallamine, Vinorelbine may increase the neurotoxic activities of Gallamine.]
[N03AA04, barbexaclone, The metabolism of Vinorelbine can be increased when combined with Barbexaclone.]
[L01EA02, dasatinib, The metabolism of Vinorelbine can be decreased when combined with Dasatinib.]
[J05AG04, etravirine, The metabolism of Vinorelbine can be increased when combined with Etravirine.]
[L01EH01, lapatinib, The metabolism of Vinorelbine can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Vinorelbine can be decreased when combined with Glyburide.]
[C02CA04, doxazosin, The metabolism of Vinorelbine can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Sorafenib.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Vinorelbine.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Vinorelbine.]
[D01BA01, griseofulvin, The metabolism of Vinorelbine can be increased when combined with Griseofulvin.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Vinorelbine.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Vinorelbine.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Irinotecan.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Vinorelbine.]
[C09CA01, losartan, The metabolism of Vinorelbine can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Vinorelbine.]
[G03DC01, allylestrenol, The metabolism of Vinorelbine can be decreased when combined with Allylestrenol.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Altretamine.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Vinorelbine.]
[C08CA10, nilvadipine, The metabolism of Vinorelbine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Vinorelbine.]
[C02DB02, hydralazine, The metabolism of Vinorelbine can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Vinorelbine.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Vinorelbine.]
[S02BA01, hydrocortisone, The metabolism of Vinorelbine can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Vinorelbine.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, Vinorelbine may increase the neurotoxic activities of Prothipendyl.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Hydroxyurea.]
[J04AB04, rifabutin, The metabolism of Vinorelbine can be increased when combined with Rifabutin.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Vinorelbine.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Vinorelbine can be increased when combined with Ifosfamide.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Vinorelbine.]
[L01CD01, paclitaxel, Paclitaxel may increase the neurotoxic activities of Vinorelbine.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Topotecan.]
